,Samoa,USSR,Cambodia,France,Australia & New Zealand,Australia,Pakistan,Slovakia,Thailand,Ethiopia,Kenya,Nigeria,Yemen,Romania,Lao People's Democratic Republic,Zambia,Botswana,Peru,South Africa,Togo,Tunisia,Equatorial Guinea,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,El Salvador,Canada,Colombia,Spain,Central African Republic,Tajikistan,India,Jamaica,Ecuador,Swaziland,Indonesia,Poland,Argentina,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Mali,"Saint Helena, Ascension and Tristan da Cunha",Hungary,Republic of Moldova,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Paraguay,Cyprus,Guinea-Bissau,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,South Sudan,Saint Kitts and Nevis,Cuba,Austria,United States of America,Bhutan,Turkmenistan,Philippines,Iraq,Madagascar,United Republic of Tanzania,Burundi,Belgium,Nepal,Czechia,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Comoros,Benin,Sweden,Estonia,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Chile,Honduras,Uruguay,Afghanistan,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Somalia,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Viet Nam,Bosnia and Herzegovina,Russian Federation,Portugal,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Latvia,Guinea,Montserrat,Guadeloupe,Sri Lanka,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Myanmar,Ukraine,Sierra Leone
1961,500.0,2066500.0,19867.0,57855.0,3769.0,3564.0,331000.0,,298664.0,,65946.0,51000.0,5305.0,26433.0,1700.0,,1000.0,134973.0,9551.0,2900.0,218.0,400.0,5200.0,694249.0,16467.0,67184.0,790.0,5200.0,46746.0,100.0,93500.0,121239.0,10500.0,,2444600.0,710.0,3720.0,2400.0,52899.0,69300.0,126218.0,229450.0,127.0,32086.0,64636.0,14000.0,350275.0,,4400.0,94123.0,27700.0,27518.0,16172.0,32539.0,205.0,,2221.0,900.0,25400.0,,3930.0,121062.0,580495.0,45408.0,119325.0,,,,1034000.0,8500.0,140.0,,91.0,,8850.0,27294.0,23010.0,,100.0,16800.0,76.0,3109754.0,,,97933.0,7884.0,25410.0,246630.0,3211.0,,32000.0,,1726.0,1354138.0,17980.0,150.0,9720.0,68071.0,692.0,1400.0,2826.0,,,1067922.0,800.0,,,117597.0,1800.0,5100.0,1319.0,163.0,17000.0,1451.0,,3556.0,870.0,33922.0,14500.0,100.0,9506.0,,876.0,1008.0,0.0,,,0.0,,1100.0,33100.0,37432.0,,,381.0,990.0,65.0,66.0,16861.0,,100.0,90.0,60.0,1000.0,1678.0,500.0,,21053.0,16313.0,,6300.0
1962,500.0,2059000.0,13000.0,61120.0,8020.0,3695.0,373400.0,,187110.0,,61226.0,51000.0,6899.0,27904.0,1800.0,,800.0,150557.0,12106.0,3110.0,171.0,400.0,5200.0,822925.0,33495.0,70620.0,1550.0,5200.0,63372.0,200.0,99800.0,129887.0,11416.0,,2445300.0,741.0,4160.0,1300.0,43611.0,79800.0,112215.0,257500.0,85.0,37842.0,78356.0,15500.0,471330.0,,4000.0,87928.0,26300.0,27188.0,12746.0,21738.0,4325.0,,4278.0,1300.0,24300.0,,3343.0,150491.0,617635.0,47560.0,97326.0,,,,954000.0,10700.0,152.0,,95.0,,15000.0,30304.0,34506.0,,81.0,13400.0,61.0,3228196.0,,,114503.0,8197.0,34447.0,266352.0,1740.0,,34000.0,,2219.0,1229908.0,18360.0,113.0,11414.0,34218.0,1249.0,1500.0,2847.0,,,984212.0,2251.0,,,212872.0,3650.0,5200.0,3719.0,306.0,26000.0,1194.0,,6055.0,850.0,30212.0,16070.0,100.0,9474.0,,1046.0,1260.0,0.0,,,0.0,,1300.0,55200.0,42899.0,,,393.0,990.0,59.0,132.0,19809.0,,100.0,70.0,80.0,79.0,2494.0,500.0,,25292.0,22658.0,,5700.0
1963,500.0,2280500.0,13500.0,73422.0,6740.0,2585.0,425600.0,,279007.0,,73942.0,43000.0,8915.0,25771.0,1800.0,205.0,800.0,152355.0,18708.0,2347.0,165.0,500.0,6500.0,761171.0,37483.0,61056.0,1800.0,5200.0,77465.0,200.0,90600.0,111149.0,10070.0,,2649680.0,739.0,3570.0,1900.0,33557.0,64000.0,139004.0,272000.0,70.0,39564.0,69075.0,15100.0,455284.0,,4000.0,99196.0,32800.0,28023.0,11739.0,23667.0,4155.0,,5496.0,1300.0,29500.0,,3965.0,153542.0,682021.0,45207.0,127502.0,,,,1449000.0,11300.0,159.0,,79.0,,16400.0,33812.0,57603.0,,56.0,15553.0,,3329873.0,,,143402.0,4921.0,37800.0,275349.0,1695.0,,36936.0,,2649.0,1143918.0,19820.0,273.0,7659.0,65551.0,1177.0,1300.0,2459.0,,,1481411.0,2736.0,,,159226.0,5140.0,5200.0,4796.0,610.0,36700.0,2207.0,,3512.0,850.0,32411.0,13400.0,100.0,6731.0,,1425.0,722.0,0.0,,,0.0,,1349.0,71500.0,47349.0,,,324.0,1320.0,86.0,33.0,21639.0,,100.0,80.0,45.0,573.0,3696.0,500.0,,22455.0,29141.0,,6000.0
1964,500.0,2299400.0,11200.0,89162.0,7623.0,3387.0,385400.0,,370970.0,,70549.0,47000.0,5792.0,24257.0,1780.0,549.0,2007.0,142399.0,16640.0,2981.0,155.0,500.0,6500.0,796160.0,35743.0,74080.0,2420.0,5200.0,79764.0,800.0,84500.0,84125.0,10520.0,,2526124.0,681.0,5247.0,1500.0,36709.0,61920.0,105752.0,340500.0,45.0,46417.0,74036.0,16200.0,520181.0,,4400.0,73791.0,32800.0,26990.0,11238.0,18934.0,4236.0,,7846.0,1300.0,32400.0,,2201.0,176004.0,760793.0,50253.0,123342.0,,,,1952200.0,11500.0,47.0,,131.0,,16000.0,39454.0,67408.0,,60.0,13183.0,,3297408.0,,,126505.0,9805.0,44116.0,296746.0,2356.0,,35712.0,,4366.0,1033028.0,14670.0,14.0,6108.0,69225.0,902.0,2300.0,2781.0,,,1991790.0,2983.0,,,100179.0,6330.0,5200.0,7146.0,655.0,26000.0,3252.0,,4553.0,875.0,39590.0,15700.0,100.0,6464.0,,1445.0,921.0,0.0,,,0.0,,1206.0,92200.0,50999.0,,,428.0,1650.0,27.0,51.0,23067.0,,100.0,70.0,45.0,212.0,2899.0,500.0,,26737.0,31578.0,,7500.0
1965,500.0,2559900.0,10500.0,62395.0,13197.0,9104.0,423500.0,,602236.0,,68166.0,46000.0,10727.0,26790.0,2080.0,755.0,2000.0,134418.0,23324.0,2964.0,75.0,426.0,8190.0,774092.0,31249.0,63472.0,2040.0,5200.0,87892.0,700.0,84000.0,83789.0,9120.0,,2093388.0,601.0,6830.0,2000.0,40415.0,75717.0,141271.0,339000.0,50.0,31229.0,77592.0,17500.0,533828.0,,3200.0,74320.0,27500.0,27655.0,12997.0,13116.0,4093.0,,5846.0,1300.0,37100.0,,2099.0,180839.0,725877.0,50998.0,154939.0,,,,2413500.0,14300.0,142.0,,106.0,,21100.0,26544.0,75018.0,,58.0,14818.0,,3255194.0,,,117781.0,10174.0,45102.0,294612.0,2235.0,,38812.0,,5699.0,1377808.0,14490.0,112.0,7429.0,79603.0,776.0,2500.0,1726.0,,,2450243.0,2522.0,,,152000.0,8700.0,5200.0,11463.0,411.0,25000.0,6625.0,,7106.0,978.0,36743.0,21500.0,100.0,4911.0,,1178.0,924.0,0.0,,,0.0,,1391.0,122500.0,53716.0,,,377.0,1980.0,51.0,66.0,27542.0,,100.0,65.0,35.0,321.0,3683.0,500.0,,23560.0,36510.0,,5000.0
1966,550.0,2672100.0,10300.0,67869.0,22433.0,18228.0,473346.0,,745971.0,,61360.0,46000.0,3942.0,36153.0,2130.0,1907.0,1622.0,123472.0,19369.0,3592.0,65.0,257.0,8210.0,852351.0,45152.0,75168.0,2330.0,5200.0,60978.0,3200.0,95000.0,92456.0,15180.0,,2238466.0,495.0,8927.0,2600.0,47608.0,75422.0,118469.0,395800.0,100.0,25908.0,76855.0,22600.0,468290.0,,3259.0,84657.0,25900.0,25484.0,15850.0,13097.0,4205.0,,8070.0,,37000.0,,1406.0,141896.0,663934.0,53295.0,119896.0,,,,2685500.0,9300.0,112.0,,100.0,,20700.0,20259.0,81482.0,,73.0,17067.0,,2080745.0,,,144451.0,9316.0,40373.0,313888.0,1941.0,,38735.0,,4955.0,1285370.0,14070.0,429.0,7997.0,80933.0,438.0,2900.0,,,,2718940.0,5725.0,,,153501.0,10300.0,5200.0,11409.0,307.0,20300.0,10050.0,,4573.0,683.0,33440.0,24900.0,100.0,2199.0,,783.0,924.0,0.0,,,0.0,,1552.0,110690.0,52879.0,,,341.0,2970.0,39.0,66.0,25517.0,,100.0,29.0,164.0,600.0,5251.0,550.0,,40891.0,32039.0,,2000.0
1967,550.0,2678700.0,13636.0,67789.0,18654.0,14920.0,526868.0,,498821.0,,55580.0,52000.0,4592.0,38299.0,2104.0,640.0,853.0,93155.0,17467.0,4200.0,10.0,118.0,7290.0,856599.0,37848.0,81545.0,2190.0,5200.0,46488.0,300.0,117600.0,66118.0,18520.0,,2587014.0,501.0,8545.0,3800.0,54647.0,93700.0,89428.0,406955.0,82.0,17205.0,71725.0,25000.0,449620.0,,3281.0,92847.0,26600.0,22515.0,16603.0,13843.0,3734.0,,11307.0,,35500.0,,685.0,126913.0,642940.0,46809.0,119346.0,,,,2735000.0,8928.0,183.0,,113.0,,18200.0,12804.0,59012.0,,30.0,18707.0,,1620514.0,30.0,,126307.0,11569.0,39136.0,297448.0,2875.0,,38000.0,,5515.0,1325150.0,9780.0,1527.0,8234.0,78200.0,526.0,4000.0,,,,2768477.0,6232.0,,,183495.0,6300.0,5300.0,9958.0,252.0,23100.0,16500.0,,4307.0,740.0,33477.0,28500.0,100.0,1289.0,,617.0,924.0,0.0,,,0.0,,1603.0,114899.0,54666.0,,,348.0,2640.0,25.0,51.0,26032.0,,100.0,50.0,324.0,540.0,9549.0,550.0,,38245.0,28692.0,,3200.0
1968,550.0,2542700.0,19000.0,51451.0,34305.0,30175.0,536140.0,,401578.0,,55035.0,27000.0,3068.0,33093.0,2804.0,1451.0,811.0,104420.0,22876.0,2719.0,35.0,300.0,4200.0,967951.0,55190.0,80520.0,2349.0,5200.0,42582.0,2200.0,142200.0,78217.0,22370.0,,1820162.0,476.0,8000.0,2500.0,45026.0,83125.0,74976.0,448182.0,53.0,17637.0,84425.0,26800.0,454220.0,,3519.0,74055.0,26300.0,17566.0,13964.0,22900.0,4130.0,,15157.0,,21400.0,,925.0,150421.0,729013.0,15722.0,170405.0,,,35.0,2742000.0,9676.0,132.0,,80.0,,25200.0,13035.0,78853.0,,17.0,17050.0,,2378636.0,40.0,,109415.0,13429.0,40812.0,255131.0,2843.0,,46000.0,,4343.0,1084654.0,6620.0,3500.0,7066.0,62960.0,355.0,7800.0,,,,2774574.0,11478.0,,,180188.0,6800.0,5350.0,8347.0,226.0,23700.0,20645.0,,4131.0,814.0,32574.0,33000.0,100.0,860.0,,337.0,1008.0,0.0,,,0.0,,1319.0,102596.0,57666.0,,,365.0,3630.0,39.0,33.0,25212.0,,100.0,52.0,290.0,217.0,13320.0,550.0,,20228.0,39519.0,,6500.0
1969,550.0,2551200.0,18700.0,56826.0,35122.0,30919.0,541845.0,,433339.0,,55446.0,56000.0,5703.0,37064.0,3020.0,2219.0,1021.0,93540.0,33181.0,3504.0,165.0,400.0,4980.0,1027680.0,42932.0,80413.0,3670.0,5200.0,52343.0,350.0,147100.0,59230.0,22600.0,,2340318.0,475.0,10840.0,1900.0,52657.0,69294.0,117233.0,411900.0,55.0,18228.0,92218.0,28500.0,560850.0,,2671.0,109872.0,27000.0,15835.0,14249.0,29300.0,4203.0,,16001.0,,29300.0,,1320.0,145068.0,534791.0,17760.0,167890.0,,,106.0,2443000.0,13011.0,237.0,,99.0,,33960.0,11033.0,74551.0,,15.0,12500.0,,2175055.0,40.0,,112099.0,14000.0,49207.0,286803.0,2725.0,,43000.0,,2385.0,1388000.0,4068.0,3900.0,6696.0,76727.0,218.0,8000.0,,,,2476558.0,13000.0,,,224101.0,7430.0,5400.0,7695.0,172.0,28700.0,55500.0,,6261.0,802.0,33558.0,39200.0,100.0,840.0,,267.0,1008.0,0.0,,,0.0,,1294.0,93316.0,56599.0,,,364.0,4436.0,31.0,33.0,27113.0,,100.0,16.0,300.0,688.0,17195.0,550.0,,25735.0,32715.0,,3800.0
1970,550.0,2728000.0,15700.0,40548.0,29403.0,25200.0,548749.0,,434834.0,,48556.0,91380.0,5433.0,30832.0,3320.0,1879.0,450.0,98253.0,26967.0,2061.0,35.0,400.0,5000.0,975644.0,35352.0,81386.0,3473.0,5200.0,51560.0,4750.0,151400.0,55140.0,20698.0,,2133640.0,475.0,6400.0,2300.0,53038.0,65700.0,149873.0,409800.0,65.0,7752.0,93800.0,30800.0,531880.0,,373.0,106656.0,18600.0,16000.0,12480.0,29250.0,4203.0,,20102.0,,24600.0,,1647.0,149555.0,479599.0,22102.0,155292.0,,4.0,164.0,2634000.0,11601.0,68.0,,82.0,,28000.0,5287.0,65719.0,,9.0,18600.0,,2219066.0,50.0,,129540.0,15301.0,44750.0,287770.0,3253.0,,49000.0,,1235.0,1263678.0,2122.0,4200.0,6655.0,86400.0,195.0,12500.0,,,,2659901.0,8243.0,,,230845.0,6320.0,5750.0,3205.0,222.0,25300.0,34600.0,,7414.0,220.0,25901.0,35300.0,100.0,700.0,,95.0,1092.0,0.0,,,0.0,,1534.0,68871.0,62499.0,,,206.0,5100.0,23.0,33.0,25511.0,,100.0,23.0,300.0,489.0,12746.0,550.0,,24946.0,34242.0,,4200.0
