,Estonia,Belarus,Croatia,Serbia,Israel,Armenia,Dominican Republic,Syrian Arab Republic,Sweden,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Belgium,Japan,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Pakistan,Morocco,Sudan (former),Republic of Moldova,Kyrgyzstan,Netherlands,Yugoslav SFR,Ukraine,Georgia,Germany,Slovenia,Austria,Turkmenistan,Czechoslovakia,Poland,Congo,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Uzbekistan,Colombia,Nicaragua,Latvia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Azerbaijan,Hungary,Kazakhstan,Chile,Uruguay,France,Lithuania,Tunisia,Finland,"China, mainland",Russian Federation,Mali,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,5765.0,-1.0,-1,4400.0,49828.0,172000.0,38662.0,34368.0,-1.0,2477.0,3537.0,560.0,-1.0,-1.0,48200.0,73000.0,441500.0,49000.0,-1.0,400.0,1350.0,3500.0,-1,-1.0,-1.0,84792.0,80500.0,-1.0,-1.0,477937.0,-1.0,38618.0,-1.0,248363.0,419800.0,-1,5052.0,-1.0,3120000.0,172000.0,215.0,158500.0,-1.0,-1.0,206500.0,31889.0,-1.0,-1.0,-1,-1.0,5665.0,2500.0,-1.0,786.0,-1.0,-1.0,-1.0,129965.0,-1.0,7763.0,8564.0,359300.0,-1.0,1500.0,18100.0,206500.0,-1.0,-1.0,130344.0,226584.0,62314.0
1962,-1.0,-1.0,-1.0,-1.0,4835.0,-1.0,-1,3985.0,46762.0,170000.0,41874.0,34267.0,-1.0,6456.0,3600.0,700.0,-1.0,-1.0,52100.0,76000.0,446360.0,51000.0,-1.0,-1.0,3270.0,3500.0,-1,-1.0,-1.0,77439.0,74900.0,-1.0,-1.0,522533.0,-1.0,47980.0,-1.0,256944.0,430000.0,-1,4862.0,-1.0,3166000.0,154800.0,216.0,166020.0,-1.0,-1.0,83300.0,31606.0,-1.0,-1.0,-1,-1.0,5418.0,2300.0,-1.0,868.0,-1.0,-1.0,-1.0,125600.0,-1.0,13341.0,13139.0,351700.0,-1.0,1500.0,19500.0,83300.0,-1.0,-1.0,125739.0,225500.0,57114.0
1963,-1.0,-1.0,-1.0,-1.0,4710.0,-1.0,-1,4046.0,40380.0,170000.0,69226.0,38535.0,-1.0,9420.0,3600.0,700.0,-1.0,-1.0,49800.0,75286.0,505000.0,55000.0,-1.0,1000.0,2910.0,3480.0,-1,-1.0,-1.0,69513.0,96300.0,-1.0,-1.0,532808.0,-1.0,48259.0,-1.0,258124.0,372100.0,-1,6907.0,-1.0,3748000.0,178500.0,269.0,116405.0,-1.0,-1.0,78000.0,35733.0,-1.0,-1.0,-1,-1.0,5980.0,2500.0,-1.0,890.0,-1.0,-1.0,-1.0,118400.0,-1.0,17012.0,11400.0,370900.0,-1.0,2000.0,16400.0,78000.0,-1.0,-1.0,134585.0,229500.0,56940.0
1964,-1.0,-1.0,-1.0,-1.0,5712.0,-1.0,-1,6981.0,44072.0,179000.0,83847.0,40999.0,-1.0,11950.0,3500.0,1700.0,-1.0,-1.0,49200.0,80816.0,564626.0,65000.0,-1.0,2090.0,5040.0,8630.0,-1,-1.0,-1.0,79134.0,88500.0,-1.0,-1.0,556960.0,-1.0,52600.0,-1.0,259865.0,443600.0,-1,7570.0,-1.0,4107000.0,190300.0,291.0,144190.0,-1.0,-1.0,124500.0,32293.0,-1.0,-1.0,-1,-1.0,5664.0,2300.0,-1.0,1775.0,-1.0,-1.0,-1.0,133000.0,-1.0,18768.0,13062.0,425300.0,-1.0,3200.0,19500.0,124500.0,-1.0,-1.0,186750.0,231044.0,63868.0
1965,-1.0,-1.0,-1.0,-1.0,7729.0,-1.0,-1,8556.0,41727.0,183000.0,60372.0,34407.0,-1.0,16590.0,4000.0,1700.0,-1.0,-1.0,60400.0,70720.0,501800.0,65000.0,-1.0,2600.0,3140.0,9140.0,-1,-1.0,-1.0,91894.0,79700.0,-1.0,-1.0,519395.0,-1.0,38199.0,-1.0,222111.0,476000.0,-1,8372.0,-1.0,3882000.0,189933.0,277.0,145875.0,-1.0,-1.0,170900.0,26526.0,-1.0,-1.0,-1,-1.0,5747.0,2500.0,-1.0,1500.0,-1.0,-1.0,-1.0,120526.0,-1.0,17957.0,15820.0,395300.0,-1.0,3850.0,19600.0,170900.0,-1.0,-1.0,157749.0,281907.0,65361.0
1966,-1.0,-1.0,-1.0,-1.0,6120.0,-1.0,-1,8495.0,39979.0,179273.0,57588.0,32889.0,-1.0,16830.0,4000.0,1125.0,-1.0,-1.0,61100.0,64494.0,469874.0,112260.0,-1.0,2000.0,4600.0,14100.0,-1,-1.0,-1.0,91651.0,106000.0,-1.0,-1.0,504568.0,-1.0,46637.0,-1.0,229903.0,435200.0,-1,8437.0,-1.0,3803000.0,194300.0,293.0,157200.0,-1.0,-1.0,194000.0,21650.0,-1.0,-1.0,-1,-1.0,5559.0,2500.0,-1.0,2200.0,-1.0,-1.0,-1.0,107985.0,-1.0,21044.0,14953.0,295400.0,-1.0,3000.0,17100.0,194000.0,-1.0,-1.0,153254.0,298125.0,66475.0
1967,-1.0,-1.0,-1.0,-1.0,7180.0,-1.0,-1,6500.0,39318.0,183725.0,52551.0,33712.0,-1.0,16760.0,4500.0,1717.0,-1.0,-1.0,59800.0,61273.0,459700.0,132000.0,-1.0,2610.0,2810.0,20200.0,-1,-1.0,-1.0,99983.0,102000.0,-1.0,-1.0,503220.0,-1.0,42164.0,-1.0,205420.0,433900.0,-1,8673.0,-1.0,3797000.0,176100.0,297.0,171398.0,-1.0,-1.0,184700.0,25859.0,-1.0,-1.0,-1,-1.0,5577.0,2740.0,-1.0,2100.0,-1.0,-1.0,-1.0,103534.0,-1.0,28661.0,13978.0,313500.0,-1.0,2900.0,17900.0,184700.0,-1.0,-1.0,149578.0,345332.0,77847.0
1968,-1.0,-1.0,-1.0,-1.0,6250.0,-1.0,-1,7532.0,40957.0,186962.0,52164.0,32239.0,-1.0,17950.0,4500.0,1844.0,-1.0,-1.0,54900.0,54669.0,583550.0,146000.0,-1.0,2880.0,6380.0,25600.0,-1,-1.0,-1.0,103530.0,79000.0,-1.0,-1.0,493591.0,-1.0,43971.0,-1.0,195670.0,414100.0,-1,8981.0,-1.0,3560000.0,184752.0,507.0,179700.0,-1.0,-1.0,170000.0,25940.0,-1.0,-1.0,-1,-1.0,5452.0,2930.0,-1.0,2499.0,-1.0,-1.0,-1.0,103870.0,-1.0,30170.0,15386.0,403600.0,-1.0,2589.0,15400.0,170000.0,-1.0,-1.0,126539.0,305796.0,89503.0
1969,-1.0,-1.0,-1.0,-1.0,4615.0,-1.0,-1,7225.0,39580.0,184129.0,52077.0,32061.0,-1.0,22410.0,4600.0,1825.0,-1.0,-1.0,58900.0,59395.0,632500.0,152928.0,-1.0,3900.0,13670.0,32000.0,-1,-1.0,-1.0,102862.0,95340.0,-1.0,-1.0,486829.0,-1.0,46866.0,-1.0,182781.0,409500.0,-1,8970.0,-1.0,3384000.0,188025.0,528.0,181800.0,-1.0,-1.0,185300.0,24847.0,-1.0,-1.0,-1,-1.0,5031.0,2510.0,-1.0,2200.0,-1.0,-1.0,-1.0,96974.0,-1.0,27290.0,17946.0,400600.0,-1.0,2299.0,13300.0,185300.0,-1.0,-1.0,101924.0,290567.0,89929.0
1970,-1.0,-1.0,-1.0,-1.0,4600.0,-1.0,-1,9026.0,39520.0,186557.0,47326.0,27830.0,-1.0,26300.0,4400.0,2250.0,-1.0,-1.0,54100.0,58072.0,553200.0,169468.0,-1.0,3310.0,16790.0,35000.0,-1,-1.0,-1.0,102228.0,85137.0,-1.0,-1.0,494515.0,-1.0,43827.0,-1.0,181717.0,408000.0,-1,9040.0,-1.0,3368000.0,169878.0,518.0,221000.0,-1.0,-1.0,198700.0,25778.0,-1.0,-1.0,-1,-1.0,4930.0,1570.0,-1.0,2112.0,-1.0,-1.0,-1.0,75650.0,-1.0,41700.0,9652.0,403300.0,-1.0,1727.0,14900.0,198700.0,-1.0,-1.0,123016.0,280560.0,89708.0
