,Sudan,Israel,Kenya,Niger,Chad,Morocco,Cameroon,Saudi Arabia,Qatar,Mexico,Sudan (former),South Sudan,Jordan,Mauritania,Benin,Somalia,China,Pakistan,Colombia,Tunisia,Libya,Albania,Iraq,Yemen,Peru,Occupied Palestinian Territory,Spain,Bahrain,Syrian Arab Republic,United States of America,Iran (Islamic Republic of),Egypt,Algeria,Kuwait,"China, mainland",Oman,Mali,United Arab Emirates,Namibia,Swaziland,Turkey
1971,-1.0,215.0,250.0,1700.0,-1.0,20000.0,-1.0,31061.0,-1.0,452.0,16803.0,-1,50.0,3500.0,-1.0,1400.0,1150.0,23900.0,-1.0,10500.0,-1.0,-1.0,-1.0,10900.0,97.0,-1.0,710.0,1600.0,-1.0,1620.0,80000.0,20000.0,58000.0,-1.0,1150.0,13340.0,-1,660.0,-1.0,-1.0,670.0
1972,-1.0,240.0,250.0,1700.0,-1.0,23000.0,-1.0,32956.0,-1.0,465.0,16803.0,-1,50.0,3500.0,-1.0,1400.0,1150.0,21400.0,-1.0,10500.0,-1.0,-1.0,-1.0,11100.0,100.0,-1.0,706.0,1600.0,-1.0,1660.0,80000.0,20000.0,57000.0,-1.0,1150.0,13340.0,-1,680.0,-1.0,-1.0,750.0
1973,-1.0,245.0,250.0,1700.0,-1.0,23000.0,-1.0,34566.0,-1.0,465.0,16803.0,-1,70.0,3500.0,-1.0,1400.0,1150.0,22100.0,-1.0,11000.0,-1.0,-1.0,-1.0,11700.0,120.0,-1.0,759.0,1600.0,-1.0,1700.0,80000.0,20000.0,57000.0,-1.0,1150.0,14000.0,-1,708.0,-1.0,-1.0,830.0
1974,-1.0,285.0,250.0,1800.0,-1.0,23000.0,-1.0,60837.0,-1.0,484.0,16000.0,-1,80.0,3500.0,-1.0,1400.0,1150.0,19800.0,-1.0,11500.0,-1.0,-1.0,-1.0,13300.0,120.0,-1.0,752.0,1650.0,-1.0,1660.0,80000.0,20000.0,60000.0,-1.0,1150.0,14000.0,-1,1500.0,-1.0,-1.0,840.0
1975,-1.0,290.0,250.0,1860.0,-1.0,23000.0,-1.0,53121.0,-1.0,527.0,14000.0,-1,92.0,3500.0,-1.0,1400.0,1150.0,22471.0,-1.0,12000.0,-1.0,-1.0,-1.0,13593.0,120.0,-1.0,751.0,2300.0,-1.0,1660.0,80000.0,20000.0,61000.0,-1.0,1150.0,14000.0,-1,2200.0,-1.0,-1.0,850.0
1976,-1.0,300.0,350.0,1930.0,-1.0,23000.0,-1.0,60413.0,-1.0,425.0,12000.0,-1,50.0,2000.0,-1.0,1800.0,1150.0,24335.0,-1.0,17000.0,-1.0,-1.0,-1.0,14097.0,120.0,-1.0,736.0,3100.0,-1.0,1540.0,81000.0,20000.0,55000.0,-1.0,1150.0,15000.0,-1,2600.0,-1.0,-1.0,900.0
1977,-1.0,330.0,350.0,1930.0,-1.0,23000.0,-1.0,53599.0,-1.0,427.0,12000.0,-1,50.0,3700.0,-1.0,2000.0,1400.0,22918.0,-1.0,17300.0,-1.0,-1.0,-1.0,13364.0,120.0,-1.0,589.0,3900.0,-1.0,1580.0,81000.0,20000.0,47000.0,-1.0,1400.0,17000.0,-1,4032.0,-1.0,-1.0,980.0
1978,-1.0,380.0,250.0,2000.0,-1.0,20000.0,-1.0,58369.0,700.0,512.0,12000.0,-1,20.0,4000.0,-1.0,1800.0,1500.0,22640.0,-1.0,17550.0,-1.0,-1.0,-1.0,11711.0,120.0,-1.0,587.0,4000.0,-1.0,1620.0,81000.0,20000.0,65000.0,-1.0,1500.0,18500.0,-1,5739.0,-1.0,-1.0,1000.0
1979,-1.0,400.0,350.0,2030.0,-1.0,23000.0,-1.0,62483.0,750.0,471.0,12800.0,-1,6.0,4500.0,-1.0,2300.0,1500.0,23100.0,-1.0,17850.0,-1.0,-1.0,-1.0,11711.0,120.0,-1.0,453.0,4000.0,-1.0,1580.0,81000.0,20000.0,69000.0,-1.0,1500.0,20194.0,-1,5600.0,-1.0,-1.0,920.0
1980,-1.0,400.0,350.0,2100.0,-1.0,17700.0,-1.0,60353.0,805.0,517.0,12995.0,-1,9.0,4500.0,-1.0,2300.0,1800.0,24135.0,-1.0,18000.0,-1.0,-1.0,-1.0,11618.0,110.0,-1.0,449.0,4000.0,-1.0,1620.0,82000.0,20000.0,67000.0,-1.0,1800.0,20100.0,-1,5564.0,-1.0,-1.0,930.0
1981,-1.0,510.0,350.0,2100.0,-1.0,20200.0,-1.0,62330.0,829.0,470.0,13370.0,-1,13.0,4000.0,-1.0,2300.0,1800.0,27878.0,-1.0,18000.0,-1.0,-1.0,-1.0,12565.0,110.0,-1.0,534.0,1700.0,-1.0,1660.0,82000.0,20000.0,70000.0,-1.0,1800.0,20100.0,-1,6313.0,-1.0,-1.0,900.0
1982,-1.0,530.0,350.0,2140.0,-1.0,21900.0,-1.0,68583.0,677.0,332.0,13637.0,-1,13.0,3500.0,-1.0,2300.0,1800.0,30525.0,-1.0,18000.0,-1.0,-1.0,-1.0,12569.0,141.0,-1.0,542.0,1200.0,-1.0,1660.0,120919.0,21000.0,68000.0,-1.0,1800.0,20194.0,-1,7146.0,-1.0,-1.0,950.0
1983,-1.0,660.0,350.0,2170.0,-1.0,21500.0,-1.0,55481.0,706.0,489.0,13500.0,-1,15.0,3700.0,-1.0,2300.0,1800.0,32402.0,-1.0,18300.0,-1.0,-1.0,-1.0,12575.0,141.0,-1.0,557.0,1200.0,-1.0,1700.0,105107.0,22000.0,65000.0,-1.0,1800.0,20194.0,-1,7138.0,-1.0,-1.0,1050.0
1984,-1.0,610.0,340.0,2200.0,-1.0,21700.0,-1.0,56207.0,731.0,481.0,13000.0,-1,15.0,3500.0,-1.0,2400.0,2000.0,33100.0,-1.0,19000.0,-1.0,-1.0,-1.0,15516.0,141.0,-1.0,662.0,1200.0,-1.0,1740.0,106214.0,23000.0,65000.0,-1.0,2000.0,20194.0,-1,5864.0,-1.0,-1.0,1100.0
1985,-1.0,710.0,345.0,2200.0,7600.0,21400.0,60.0,59787.0,804.0,441.0,13500.0,-1,15.0,4000.0,360.0,2400.0,2500.0,38700.0,-1.0,19000.0,17500.0,-1.0,105000.0,15500.0,250.0,-1.0,660.0,1400.0,-1.0,1780.0,102995.0,24000.0,71000.0,150.0,2500.0,22000.0,-1,6125.0,-1.0,-1.0,1200.0
1986,-1.0,780.0,345.0,2200.0,7600.0,21400.0,60.0,63033.0,877.0,536.0,13500.0,-1,15.0,4000.0,360.0,2400.0,3000.0,40500.0,-1.0,19000.0,17500.0,-1.0,122130.0,15487.0,270.0,-1.0,602.0,1400.0,-1.0,1820.0,115163.0,23000.0,72000.0,250.0,3000.0,23500.0,-1,6123.0,-1.0,-1.0,1520.0
1987,-1.0,910.0,345.0,2200.0,7600.0,22100.0,60.0,64328.0,896.0,511.0,14000.0,-1,17.0,3500.0,360.0,2400.0,3200.0,40300.0,-1.0,20000.0,15000.0,-1.0,107970.0,15921.0,270.0,-1.0,572.0,1600.0,-1.0,1980.0,123264.0,24000.0,73000.0,250.0,3200.0,24000.0,-1,6649.0,-1.0,-1.0,1600.0
1988,-1.0,990.0,345.0,2200.0,7600.0,19500.0,60.0,64073.0,899.0,610.0,14000.0,-1,17.0,4500.0,360.0,2400.0,3400.0,41300.0,-1.0,20000.0,15000.0,-1.0,103370.0,16127.0,270.0,-1.0,516.0,1600.0,-1.0,2060.0,127139.0,21000.0,76000.0,250.0,3400.0,25000.0,-1,22156.0,-1.0,-1.0,2600.0
1989,-1.0,1050.0,345.0,2200.0,7600.0,20900.0,60.0,68305.0,967.0,606.0,15000.0,-1,24.0,5000.0,360.0,2400.0,3200.0,41795.0,-1.0,20000.0,15000.0,-1.0,119970.0,16479.0,270.0,-1.0,516.0,1600.0,-1.0,2020.0,120913.0,25000.0,78000.0,400.0,3200.0,25000.0,-1,22156.0,-1.0,-1.0,2710.0
1990,-1.0,1195.0,462.0,1954.0,7749.0,22000.0,38.0,72379.0,998.0,586.0,15500.0,-1,86.0,5600.0,320.0,2483.0,2500.0,42014.0,-1.0,21000.0,15718.0,-1.0,123510.0,15313.0,270.0,-1.0,603.0,997.0,-1.0,2020.0,118988.0,21816.0,78640.0,350.0,2500.0,25000.0,-1,22156.0,-1.0,-1.0,2840.0
1991,-1.0,1240.0,352.0,2228.0,6827.0,23700.0,61.0,75757.0,1298.0,516.0,16000.0,-1,127.0,4500.0,288.0,2300.0,5300.0,42396.0,-1.0,22000.0,14352.0,-1.0,115670.0,15696.0,270.0,-1.0,427.0,950.0,482.0,2100.0,141155.0,27000.0,81890.0,250.0,5300.0,26000.0,-1,22368.0,-1.0,-1.0,2940.0
1992,-1.0,1585.0,351.0,2250.0,6748.0,23500.0,90.0,79575.0,1537.0,580.0,16500.0,-1,45.0,3810.0,296.0,2147.0,5600.0,41237.0,-1.0,22400.0,14523.0,-1.0,116000.0,15881.0,270.0,-1.0,442.0,900.0,353.0,2145.0,136413.0,27450.0,83440.0,237.0,5600.0,27000.0,-1,27926.0,-1.0,-1.0,3050.0
1993,-1.0,1300.0,348.0,2271.0,6814.0,23400.0,95.0,83703.0,1628.0,576.0,16900.0,-1,52.0,4750.0,304.0,2382.0,6000.0,73167.0,-1.0,26150.0,18000.0,-1.0,136000.0,16229.0,270.0,-1.0,416.0,920.0,144.0,2226.0,138565.0,22269.0,84410.0,500.0,6000.0,28000.0,-1,28860.0,-1.0,-1.0,3070.0
1994,-1.0,1350.0,346.0,2293.0,6872.0,23300.0,87.0,85790.0,1700.0,480.0,17500.0,-1,108.0,7500.0,312.0,2480.0,8000.0,73501.0,-1.0,28000.0,20000.0,-1.0,165000.0,16609.0,150.0,298.0,456.0,870.0,124.0,2226.0,150672.0,25652.0,85230.0,700.0,8000.0,28500.0,-1,28860.0,-1.0,-1.0,3330.0
1995,-1.0,1290.0,350.0,2467.0,6944.0,44200.0,89.0,93825.0,1824.0,535.0,18000.0,-1,108.0,8500.0,320.0,2434.0,6500.0,73915.0,-1.0,29460.0,22000.0,-1.0,168000.0,18634.0,70.0,298.0,464.0,812.0,90.0,2104.0,151066.0,25652.0,87020.0,750.0,6500.0,29000.0,-1,30215.0,-1.0,-1.0,3440.0
1996,-1.0,1310.0,400.0,2304.0,7013.0,44400.0,91.0,100858.0,1897.0,636.0,18000.0,-1,111.0,8000.0,327.0,2411.0,6800.0,74559.0,-1.0,29480.0,24000.0,-1.0,176000.0,19354.0,80.0,312.0,494.0,823.0,1000.0,1890.0,166133.0,27296.0,96560.0,670.0,6800.0,29500.0,-1,31005.0,-1.0,-1.0,3570.0
1997,-1.0,1240.0,366.0,2580.0,7083.0,42000.0,92.0,106137.0,2567.0,610.0,18000.0,-1,212.0,12000.0,335.0,2398.0,7000.0,75100.0,-1.0,27000.0,25000.0,-1.0,156000.0,20144.0,123.0,332.0,588.0,823.0,1000.0,1940.0,192254.0,28000.0,96520.0,890.0,7000.0,30000.0,-1,36531.0,200.0,-1.0,3750.0
1998,-1.0,1258.0,345.0,2632.0,7155.0,44200.0,95.0,106460.0,1368.0,890.0,18200.0,-1,250.0,4300.0,343.0,2329.0,5000.0,75500.0,-1.0,30000.0,24000.0,-1.0,144000.0,20627.0,73.0,281.0,585.0,1000.0,1000.0,1980.0,217765.0,29000.0,97990.0,870.0,5000.0,35500.0,-1,59179.0,186.0,-1.0,4000.0
1999,-1.0,1301.0,339.0,2684.0,7228.0,44200.0,101.0,141750.0,1366.0,617.0,26040.0,-1,251.0,5000.0,350.0,2323.0,6000.0,76900.0,1.0,31000.0,23000.0,-1.0,90000.0,22162.0,68.0,346.0,525.0,830.0,1000.0,1983.0,177272.0,28195.0,100120.0,1050.0,6000.0,35500.0,-1,170330.0,182.0,60.0,4200.0
2000,-1.0,2070.0,330.0,2744.0,7302.0,30400.0,100.0,142450.0,1931.0,894.0,35000.0,-1,264.0,5000.0,358.0,2400.0,6000.0,78590.0,2.0,31610.0,24000.0,-1.0,110000.0,22755.0,78.0,368.0,754.0,823.0,1009.0,1943.0,184725.0,28982.0,100120.0,1350.0,6000.0,35508.0,-1,185330.0,178.0,95.0,5000.0
2001,-1.0,2170.0,337.0,2300.0,7378.0,33600.0,105.0,139099.0,1516.0,926.0,35000.0,-1,264.0,8000.0,363.0,2600.0,6000.0,78469.0,5.0,39980.0,28000.0,-1.0,101500.0,23126.0,84.0,378.0,856.0,823.0,1037.0,1983.0,183269.0,29461.0,120036.0,1268.0,6000.0,33919.0,-1,185330.0,174.0,200.0,5070.0
2002,-1.0,2362.0,337.0,2876.0,7455.0,33000.0,110.0,139979.0,1463.0,759.0,35000.0,-1,346.0,8000.0,371.0,2574.0,7000.0,77866.0,4.0,40000.0,36285.0,-1.0,101500.0,23362.0,86.0,424.0,764.0,1670.0,433.0,1942.0,184000.0,29632.0,120830.0,1350.0,7000.0,33869.0,-1,185329.0,170.0,60.0,5500.0
2003,-1.0,2510.0,344.0,2308.0,7178.0,33000.0,111.0,141421.0,1464.0,550.0,33193.0,-1,554.0,9560.0,390.0,2750.0,7000.0,74791.0,6.0,40000.0,28000.0,-1.0,101500.0,23601.0,86.0,476.0,764.0,1670.0,900.0,2104.0,194159.0,32864.0,128800.0,1350.0,7000.0,33848.0,-1,185330.0,167.0,94.0,5500.0
2004,-1.0,2600.0,351.0,3042.0,7391.0,32900.0,115.0,148801.0,1600.0,565.0,34453.0,-1,615.0,8000.0,388.0,2586.0,7000.0,81727.0,6.0,40000.0,28000.0,2300.0,54669.0,13739.0,86.0,341.0,866.0,1650.0,370.0,2226.0,232987.0,34528.0,136774.0,1450.0,7000.0,35532.0,-1,186000.0,163.0,95.0,5700.0
2005,-1.0,2900.0,355.0,2350.0,7434.0,34700.0,119.0,150744.0,1444.0,600.0,33613.0,-1,615.0,8000.0,400.0,2500.0,9000.0,81991.0,6.0,39970.0,26816.0,2500.0,50000.0,13773.0,86.0,317.0,893.0,1400.0,262.0,2347.0,238862.0,36150.0,147906.0,2000.0,9000.0,31353.0,-1,185330.0,160.0,65.0,5900.0
2006,-1.0,3200.0,366.0,2950.0,7593.0,35500.0,120.0,152402.0,1444.0,625.0,36540.0,-1,656.0,8000.0,395.0,2700.0,8000.0,84695.0,6.0,40740.0,28000.0,3000.0,101500.0,13774.0,135.0,593.0,865.0,2150.0,120.0,2185.0,240000.0,35780.0,154372.0,2200.0,8000.0,31353.0,-1,185395.0,154.0,90.0,5890.0
2007,-1.0,3149.0,376.0,3900.0,7700.0,36100.0,125.0,155734.0,1444.0,596.0,35280.0,-1,1573.0,8000.0,410.0,2654.0,8500.0,90135.0,5.0,39830.0,28000.0,3200.0,105000.0,14180.0,90.0,642.0,950.0,2102.0,358.0,2145.0,190000.0,36450.0,159871.0,3200.0,8500.0,32746.0,-1,185330.0,148.0,90.0,6700.0
2008,-1.0,3700.0,388.0,4900.0,8225.0,37300.0,133.0,157074.0,1440.0,634.0,35616.0,-1,1637.0,8000.0,415.0,2659.0,9000.0,90700.0,2.0,39300.0,28000.0,1712.0,110000.0,14465.0,80.0,799.0,837.0,1500.0,349.0,2307.0,156618.0,36828.0,162033.0,3500.0,9000.0,31353.0,-1,185330.0,135.0,94.0,6780.0
2009,-1.0,3800.0,400.0,11000.0,8597.0,39000.0,135.0,161975.0,2237.0,653.0,35910.0,-1,1668.0,8269.0,452.0,2660.0,10000.0,90584.0,4.0,45900.0,28315.0,1407.0,101500.0,14764.0,74.0,646.0,830.0,1510.0,369.0,2711.0,156618.0,36924.0,160867.0,4666.0,10000.0,31353.0,-1,186000.0,110.0,95.0,7040.0
2010,-1.0,5000.0,412.0,11500.0,8892.0,68176.0,136.0,155118.0,2469.0,662.0,36204.0,-1,1708.0,8900.0,471.0,2656.0,10292.0,90124.0,3.0,49671.0,31152.0,1288.0,123000.0,14955.0,104.0,691.0,736.0,1588.0,371.0,3116.0,156618.0,41945.0,161091.0,5089.0,10292.0,31353.0,-1,197400.0,150.0,95.0,7340.0
2011,-1.0,5500.0,425.0,4900.0,9358.0,54476.0,142.0,156023.0,2366.0,988.0,36288.0,-1,1769.0,9508.0,494.0,2652.0,10788.0,93100.0,3.0,51000.0,30891.0,1166.0,123230.0,14809.0,104.0,789.0,679.0,2091.0,366.0,3318.0,153300.0,41652.0,162134.0,2370.0,10788.0,31348.0,-1,41159.0,151.0,100.0,8000.0
2012,36414.0,3635.0,445.0,5000.0,10000.0,57035.0,150.0,156848.0,2477.0,946.0,-1.0,-1,1840.0,9567.0,600.0,2650.0,11500.0,89600.0,4.0,49486.0,31296.0,4420.0,139944.0,14762.0,105.0,891.0,613.0,2433.0,366.0,3561.0,153301.0,38503.0,163985.0,2480.0,11500.0,32374.0,-1,38233.0,155.0,100.0,8570.0
2013,36778.0,3632.0,450.0,4900.0,10000.0,57384.0,147.0,156901.0,2599.0,1008.0,-1.0,-1,2152.0,9895.0,546.0,2650.0,12111.0,89654.0,4.0,45300.0,31701.0,450.0,203496.0,14678.0,105.0,1018.0,588.0,2795.0,368.0,3318.0,154000.0,37923.0,164695.0,2600.0,12111.0,34195.0,-1,30148.0,144.0,97.0,2264.0
2014,36600.0,3927.0,456.0,4500.0,10257.0,57744.0,154.0,107281.0,2290.0,1169.0,-1.0,-1,2222.0,10240.0,537.0,2672.0,12764.0,91145.0,7.0,48700.0,32107.0,465.0,242632.0,14381.0,71.0,1178.0,700.0,3195.0,368.0,4047.0,150207.0,44037.0,165378.0,8931.0,12764.0,36255.0,-1,28485.0,141.0,98.0,2062.0
