,"China, Taiwan Province of","China, mainland",Japan,Republic of Korea,Philippines,Brazil,Lao People's Democratic Republic,China
1961,8201.0,9000.0,8741.0,5307.0,10000.0,17143.0,6667.0,8948.0
1962,7403.0,9091.0,10189.0,5930.0,14685.0,17143.0,10000.0,9023.0
1963,6494.0,9167.0,14483.0,6552.0,17081.0,16923.0,10000.0,9041.0
1964,7368.0,9231.0,9559.0,5594.0,16528.0,16471.0,8000.0,9149.0
1965,7541.0,8846.0,11217.0,5501.0,17467.0,16667.0,8000.0,8802.0
1966,7376.0,8462.0,,8522.0,15082.0,17000.0,8000.0,8427.0
1967,7321.0,8462.0,,11116.0,15976.0,16364.0,8000.0,8426.0
1968,8096.0,8519.0,,13138.0,16312.0,16522.0,8000.0,8507.0
1969,7452.0,8519.0,,12450.0,14301.0,16800.0,8000.0,8489.0
1970,7667.0,8571.0,,13125.0,12912.0,16923.0,8000.0,8548.0
1971,6587.0,8571.0,,12972.0,12954.0,23711.0,8250.0,8542.0
1972,6693.0,8571.0,,11547.0,12970.0,23637.0,8500.0,8546.0
1973,7252.0,8621.0,,14620.0,13408.0,16620.0,8750.0,8615.0
1974,8298.0,8621.0,,13360.0,12727.0,21342.0,8750.0,8620.0
1975,12000.0,8621.0,,15719.0,9643.0,19239.0,8571.0,8628.0
1976,7538.0,8667.0,,14634.0,18381.0,19121.0,8421.0,8664.0
1977,7586.0,8125.0,,15398.0,18857.0,17098.0,8333.0,8124.0
1978,7097.0,7250.0,,14500.0,43875.0,11281.0,8529.0,7250.0
1979,7317.0,9303.0,,13889.0,46667.0,14142.0,9722.0,9301.0
1980,7368.0,9500.0,,13333.0,6667.0,24634.0,10000.0,9498.0
1981,8000.0,10208.0,,14167.0,10327.0,14005.0,11250.0,10208.0
1982,7027.0,12553.0,,14000.0,10750.0,16181.0,12500.0,12549.0
1983,11875.0,11562.0,,13333.0,10603.0,20520.0,15000.0,11562.0
1984,,12755.0,,14000.0,8947.0,21413.0,15476.0,12755.0
1985,,9498.0,,12000.0,19278.0,20471.0,16279.0,9498.0
1986,,8329.0,,12500.0,30060.0,12658.0,17931.0,8329.0
1987,,10988.0,,13548.0,11461.0,21831.0,18222.0,10988.0
1988,,10966.0,,20488.0,10592.0,23352.0,18222.0,10966.0
1989,,12389.0,,17714.0,10460.0,11448.0,18889.0,12389.0
1990,,11064.0,,18889.0,9454.0,14264.0,21739.0,11064.0
1991,,10688.0,,16102.0,6447.0,14389.0,23404.0,10688.0
1992,,11506.0,,18000.0,6056.0,13314.0,25000.0,11506.0
1993,,13408.0,,17973.0,6098.0,15075.0,26804.0,13408.0
1994,,14035.0,,,6053.0,11465.0,28571.0,14035.0
1995,,15136.0,,,6212.0,12151.0,28497.0,15136.0
1996,,15153.0,,,6061.0,18829.0,28889.0,15153.0
1997,,16319.0,,,6000.0,19912.0,28516.0,16319.0
1998,,15736.0,,,6132.0,19743.0,28571.0,15736.0
1999,,16216.0,,,6105.0,21333.0,30000.0,16216.0
2000,,16867.0,,,6081.0,20430.0,29656.0,16867.0
2001,,17330.0,,,6059.0,22481.0,29091.0,17330.0
2002,,19049.0,,,6038.0,28708.0,29255.0,19049.0
2003,,19141.0,,,6007.0,25622.0,29435.0,19141.0
2004,,25248.0,,,6049.0,22189.0,29351.0,25248.0
2005,,20989.0,,,6047.0,21484.0,30000.0,20989.0
2006,,20227.0,,,6045.0,27315.0,31667.0,20227.0
2007,,20396.0,,,6044.0,27208.0,32787.0,20396.0
2008,,19860.0,,,6043.0,22886.0,33846.0,19860.0
2009,,19278.0,,,6042.0,33046.0,34428.0,19278.0
2010,,19402.0,,,6040.0,22520.0,34657.0,19402.0
2011,,18863.0,,,6037.0,26314.0,35105.0,18863.0
2012,,18881.0,,,6000.0,41325.0,35659.0,18881.0
2013,,19086.0,,,6000.0,33000.0,36923.0,19086.0
2014,,19348.0,,,6000.0,7448.0,37538.0,19348.0
