,Brazil,Paraguay,Argentina
1961,,30189.0,
1962,,30189.0,
1963,,29851.0,
1964,,30137.0,
1965,,30120.0,
1966,,29885.0,
1967,,30000.0,
1968,,30159.0,
1969,,29851.0,
1970,,30046.0,
1971,,30308.0,
1972,,30164.0,
1973,,30109.0,
1974,,29919.0,
1975,,30076.0,
1976,,29956.0,
1977,,29867.0,
1978,,30049.0,
1979,,30081.0,
1980,,30000.0,16991.0
1981,209669.0,29915.0,15768.0
1982,200558.0,30046.0,17930.0
1983,229290.0,30044.0,16611.0
1984,228450.0,30062.0,19806.0
1985,228429.0,29888.0,17513.0
1986,223100.0,29953.0,15466.0
1987,266813.0,37962.0,12517.0
1988,256844.0,39922.0,13346.0
1989,227283.0,39945.0,14976.0
1990,173148.0,40318.0,15301.0
1991,162992.0,31605.0,15097.0
1992,134612.0,30019.0,15848.0
1993,120661.0,29977.0,13975.0
1994,135126.0,30029.0,15613.0
1995,108646.0,22435.0,17386.0
1996,65348.0,22366.0,16517.0
1997,78043.0,22549.0,19466.0
1998,73906.0,22702.0,18549.0
1999,74438.0,20865.0,20667.0
2000,75623.0,18584.0,16011.0
2001,76869.0,21007.0,17574.0
2002,64500.0,39348.0,16276.0
2003,59417.0,28614.0,18263.0
2004,53915.0,27395.0,15652.0
2005,56468.0,27057.0,15965.0
2006,55255.0,28241.0,16327.0
2007,58835.0,27344.0,17216.0
2008,61043.0,41881.0,13675.0
2009,62776.0,41881.0,13016.0
2010,88374.0,46718.0,12277.0
2011,62321.0,46718.0,13748.0
2012,67227.0,28675.0,14058.0
2013,76480.0,42917.0,13484.0
2014,85065.0,46000.0,13537.0
