,USSR,Finland,Vanuatu,Trinidad and Tobago,Fiji,French Guiana,Kenya,Guyana,Solomon Islands,Papua New Guinea,Somalia,Micronesia,Togo,Equatorial Guinea,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Puerto Rico,Singapore,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Honduras,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Kiribati,Belarus,Afghanistan,Switzerland,Sudan,Wallis and Futuna Islands,Mauritius,Yemen,Georgia,Lithuania,Russian Federation,Marshall Islands,Tunisia,Paraguay,Tuvalu,Cook Islands,Guadeloupe,Tokelau,Venezuela (Bolivarian Republic of),South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Tajikistan,Suriname,Niue,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Tonga,Belgium,Peru,United States of America,"China, mainland",French Polynesia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Nauru,Cuba,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Samoa,Luxembourg,Czechia,Seychelles,Italy,Senegal,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Jordan,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Guam,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,American Samoa,Brunei Darussalam,Mexico,Guinea,Mauritania,Sierra Leone,Sri Lanka,Pacific Islands Trust Territory,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Ukraine,Liberia
1961,4494.0,6105.0,2701.0,3847.0,4257333.0,,1620.0,14109200.0,4137.0,2023.0,1596.0,2041.0,1522.0,5478.0,3023.0,3427.0,,6837.0,,4234.0,4851.0,3031.0,3264.0,6400.0,2434.0,2612.0,,,4118.0,2757.0,4250.0,2360.0,,4170.0,5388.0,2450.0,2132.0,3860.0,2675.0,4195.0,4919.0,3188.0,4404.0,2902.0,12703.0,2040.0,,3102.0,,139183.0,7674.0,5182.0,4342.0,3569.0,,,3083.0,1581.0,3348.0,5971.0,4547.0,2596.0,7975.0,4364.0,,3132.0,6669.0,,5699.0,,5934.0,4335.0,10769.0,5030.0,2719.0,1613.0,,6537.0,3360.0,1386.0,,2626.0,9630.0,,400.0,3674.0,2735.0,,,,,5592.0,3068.0,975.0,842.0,6887.0,4000.0,2417.0,3184.0,1841.0,,3551.0,3304.0,99378.0,2509.0,4978.0,,,3544.0,4432.0,3115.0,4227.0,,3119.0,948.0,1417.0,1811.0,4361.0,,,3013.0,1666.0,,2291.0,4316.0,6646.0,1481.0,2713.0,3246.0,,3074.0,3998.0,9095.0,4046.0,2686.0,1953.0,2942.0,,11233.0,,4709.0,9514.0,3861.0,4200.0,1913.0,2797.0,2749.0,6994.0,4074.0,3714.0,3444.0,4604.0,,6593.0,3333.0,2579.0,3050.0,2738.0,4552.0,,,3699.0,18416.0,3788.0,,1185.0,,3874.0,1738.0,,3504.0,2400.0,2170.0,2705.0,2574.0,,2269.0,9443.0,9435.0,5064.0,,10910.0,4107.0,3624.0,,39167.0,,5121.0,3019.0,,3041.0,4809.0,38631.0,1380.0,1600.0,5207.0,1181.0,2989.0,7435.0,3571.0,2413.0,1610.0,4042.0,,4820.0,,5036.0
1962,4322.0,7406.0,2642.0,3833.0,8351187.0,,1233.0,13169467.0,4285.0,2019.0,1294.0,1981.0,1734.0,5467.0,3225.0,3731.0,,6932.0,,5694.0,4513.0,3028.0,3177.0,7805.0,2377.0,2708.0,,,4136.0,2900.0,4250.0,2407.0,,3170.0,4259.0,2454.0,2073.0,4864.0,3108.0,4300.0,5690.0,2491.0,4418.0,2899.0,12770.0,1988.0,,2469.0,,128708.0,8631.0,5189.0,4305.0,3490.0,,,3028.0,1565.0,3334.0,6992.0,4787.0,2650.0,8983.0,4364.0,,2602.0,6491.0,,5068.0,,5389.0,5496.0,10024.0,5311.0,2807.0,1738.0,,7507.0,3360.0,1222.0,,2992.0,12916.0,,400.0,3718.0,3272.0,,,,,5581.0,2790.0,975.0,840.0,5502.0,4100.0,2715.0,3045.0,1879.0,,4107.0,3758.0,97080.0,2836.0,4797.0,,,3511.0,4815.0,2806.0,5392.0,,2994.0,1300.0,1487.0,2404.0,4348.0,,,2587.0,1771.0,,1949.0,4271.0,6540.0,1731.0,2312.0,3215.0,,3033.0,3705.0,9588.0,3717.0,2382.0,2232.0,2766.0,,8563.0,,4886.0,9409.0,4201.0,4201.0,1952.0,2838.0,2976.0,8157.0,3868.0,3714.0,3101.0,4451.0,,6767.0,3977.0,2734.0,2062.0,2375.0,4552.0,,,3726.0,22055.0,3831.0,,999.0,,4211.0,1621.0,,3775.0,3449.0,1907.0,3476.0,3284.0,,2269.0,9132.0,9166.0,5168.0,,10086.0,6314.0,3738.0,,30225.0,,6579.0,2956.0,,3271.0,4804.0,26791.0,1581.0,1260.0,5625.0,1207.0,2989.0,7749.0,3664.0,2475.0,1763.0,3750.0,,5310.0,,3566.0
1963,4349.0,7273.0,2982.0,3840.0,8167256.0,,1602.0,9182850.0,4133.0,2119.0,1731.0,2363.0,1464.0,6080.0,3701.0,3442.0,,7117.0,,5761.0,5024.0,3241.0,3414.0,8956.0,2151.0,2747.0,,,3793.0,2774.0,4161.0,2374.0,,4107.0,3800.0,2723.0,2600.0,4810.0,2957.0,4509.0,6231.0,3155.0,4166.0,2865.0,10160.0,1976.0,,2299.0,,158319.0,10932.0,5239.0,4321.0,3467.0,,,3234.0,1616.0,3332.0,5011.0,4301.0,2702.0,7582.0,4218.0,,2926.0,6800.0,,6202.0,,6448.0,5241.0,8624.0,6128.0,2701.0,1887.0,,8190.0,3360.0,1504.0,,3077.0,10965.0,,400.0,3885.0,3110.0,,,,,5734.0,3019.0,975.0,875.0,7895.0,4000.0,2798.0,3172.0,1843.0,,3961.0,3528.0,94782.0,3069.0,4719.0,,,3511.0,5142.0,3121.0,4466.0,,3221.0,1735.0,1439.0,2590.0,4336.0,,,2947.0,1746.0,,1811.0,4183.0,5518.0,1868.0,1593.0,3279.0,,3199.0,3430.0,8473.0,4002.0,2393.0,2096.0,3042.0,,9489.0,,4922.0,9758.0,4407.0,4311.0,2000.0,2665.0,2923.0,6700.0,5127.0,3714.0,3045.0,4657.0,,7143.0,4177.0,2601.0,1978.0,2056.0,5245.0,,,3714.0,22333.0,3798.0,,1240.0,,4415.0,1420.0,,3196.0,4147.0,1922.0,3140.0,3059.0,,2539.0,7986.0,8428.0,5272.0,,10779.0,6399.0,3643.0,,22250.0,,6695.0,2893.0,,3512.0,5307.0,48588.0,1800.0,1288.0,5538.0,1283.0,2890.0,7007.0,3561.0,2648.0,1679.0,4052.0,,5282.0,,2785.0
1964,4927.0,5932.0,3145.0,3799.0,5240080.0,,1408.0,7246560.0,4266.0,2112.0,1924.0,2258.0,1595.0,6627.0,3697.0,3237.0,,5612.0,,5287.0,4752.0,3407.0,3401.0,8683.0,2491.0,2810.0,,,4043.0,2777.0,4161.0,2311.0,,4868.0,3756.0,2865.0,3012.0,4720.0,2983.0,5227.0,6937.0,3079.0,4220.0,2504.0,12994.0,2381.0,,1642.0,,139221.0,9990.0,6182.0,4339.0,3235.0,,,3573.0,1639.0,3633.0,7980.0,4500.0,2658.0,9143.0,4291.0,,3625.0,7140.0,,5252.0,,5916.0,5971.0,11619.0,6123.0,2713.0,2251.0,,8129.0,3740.0,1407.0,,2559.0,12130.0,,400.0,3951.0,2640.0,,,,,4894.0,4385.0,975.0,896.0,7895.0,4000.0,3271.0,2449.0,1532.0,,4765.0,4482.0,92501.0,2754.0,4564.0,,,3569.0,4383.0,2536.0,8453.0,,3202.0,1920.0,1627.0,2349.0,4439.0,,,3893.0,1844.0,,2069.0,4313.0,5243.0,1882.0,1632.0,3266.0,,3253.0,3114.0,9651.0,4256.0,2504.0,1974.0,3061.0,,8322.0,,4990.0,9423.0,4872.0,4304.0,1931.0,2460.0,3132.0,8323.0,5595.0,3714.0,4132.0,4709.0,,7192.0,3679.0,2955.0,1660.0,2738.0,5896.0,,,3778.0,30000.0,3675.0,,1178.0,,4884.0,1550.0,,2837.0,4248.0,2413.0,2769.0,2370.0,,2296.0,8748.0,7949.0,5384.0,,11129.0,6847.0,3533.0,,23942.0,,6986.0,3058.0,,4041.0,4602.0,41576.0,1867.0,1218.0,5799.0,1260.0,2937.0,6938.0,3744.0,2646.0,1702.0,4103.0,,6003.0,,2869.0
1965,4816.0,7585.0,2467.0,3878.0,4164560.0,,1582.0,5693560.0,4159.0,2213.0,1993.0,2495.0,1760.0,5568.0,3813.0,3697.0,,6268.0,,5746.0,5056.0,3677.0,3589.0,8540.0,2621.0,2874.0,,,3832.0,2776.0,4080.0,2445.0,,5333.0,5322.0,2885.0,3026.0,3932.0,2791.0,5250.0,6431.0,3793.0,4800.0,2732.0,14457.0,1902.0,,2168.0,,166310.0,9957.0,6452.0,4261.0,3246.0,,,3153.0,1581.0,2751.0,8276.0,4695.0,2907.0,10517.0,4000.0,,3026.0,7083.0,,5208.0,,7032.0,6644.0,10244.0,7636.0,2810.0,2585.0,,8698.0,6233.0,1875.0,,3177.0,12312.0,,400.0,3886.0,2716.0,,,,,6361.0,4167.0,975.0,980.0,10380.0,4035.0,3123.0,3113.0,1442.0,,3710.0,3401.0,90486.0,2838.0,4192.0,,,3569.0,4680.0,3252.0,14450.0,,3250.0,2000.0,1305.0,2993.0,4537.0,,,3227.0,1836.0,,2000.0,4350.0,8838.0,1824.0,1275.0,3276.0,,3026.0,3199.0,10019.0,4212.0,2445.0,1992.0,3138.0,,8443.0,,4700.0,10404.0,4850.0,4299.0,1789.0,1889.0,3041.0,7997.0,6109.0,3571.0,3911.0,5321.0,,6767.0,3312.0,3597.0,1760.0,2452.0,3062.0,,,3693.0,32184.0,3823.0,,1246.0,,4866.0,1622.0,,2975.0,3495.0,2028.0,2789.0,1574.0,,2577.0,9349.0,9154.0,5496.0,,13339.0,6174.0,3919.0,,23942.0,,7851.0,3057.0,,4035.0,5149.0,37965.0,1680.0,1206.0,5869.0,1185.0,2922.0,6629.0,3423.0,2673.0,1966.0,3430.0,,5806.0,,4189.0
1966,5452.0,5600.0,2877.0,3844.0,3555792.0,,1616.0,7042320.0,4228.0,2281.0,2161.0,2643.0,1498.0,4373.0,4216.0,4140.0,,5651.0,,5891.0,5010.0,3548.0,3501.0,8387.0,2560.0,2880.0,,,3619.0,2897.0,4080.0,2297.0,,5992.0,5933.0,2820.0,2778.0,4886.0,3091.0,4737.0,7171.0,3195.0,5335.0,3131.0,10944.0,2069.0,,2850.0,,161789.0,8632.0,6272.0,4224.0,5843.0,,,3557.0,1684.0,3024.0,7582.0,5160.0,2918.0,10263.0,4364.0,,2975.0,7013.0,,5568.0,,6917.0,6121.0,8433.0,6022.0,2580.0,1527.0,,8957.0,4200.0,2034.0,,3716.0,9876.0,,400.0,4050.0,2517.0,,,,,6755.0,3450.0,975.0,980.0,6350.0,4000.0,3210.0,2954.0,1349.0,,5357.0,5254.0,87939.0,2970.0,4550.0,,,3625.0,4626.0,3326.0,7541.0,,3559.0,1582.0,1395.0,3248.0,6078.0,,,4133.0,1927.0,,2119.0,4328.0,7942.0,1838.0,1162.0,3319.0,,3082.0,3528.0,9649.0,4418.0,2471.0,1769.0,3273.0,,9943.0,,5061.0,11148.0,6013.0,4280.0,1768.0,1892.0,2851.0,8539.0,7840.0,3571.0,3965.0,6290.0,,7260.0,3709.0,3554.0,1806.0,2384.0,2982.0,,,3700.0,34477.0,3406.0,,1347.0,,6015.0,1731.0,,3006.0,3808.0,1855.0,3103.0,2700.0,,2529.0,10452.0,8908.0,5538.0,,13316.0,5397.0,3769.0,,19673.0,,6386.0,2976.0,,4299.0,5767.0,42544.0,1867.0,1206.0,6580.0,1272.0,2940.0,7377.0,2925.0,2720.0,1882.0,3525.0,,6944.0,,4438.0
1967,5753.0,11265.0,3423.0,3892.0,628050.0,,1629.0,5805680.0,4285.0,2095.0,2199.0,2744.0,1473.0,4547.0,3882.0,2948.0,,6992.0,,5461.0,6200.0,4407.0,3344.0,12289.0,2665.0,2940.0,,,4580.0,3108.0,4129.0,2292.0,,6374.0,6531.0,3251.0,2833.0,4644.0,2910.0,4363.0,6908.0,3629.0,5584.0,3376.0,15467.0,2550.0,,2849.0,,195540.0,15336.0,7451.0,4420.0,5843.0,,,3653.0,1715.0,3216.0,7999.0,5147.0,3162.0,12984.0,4509.0,,2742.0,6056.0,,6576.0,,7556.0,5685.0,10195.0,3684.0,2745.0,1753.0,,8223.0,4200.0,2401.0,,3788.0,14547.0,,400.0,4185.0,3211.0,,,,,6503.0,4058.0,938.0,1476.0,5264.0,4000.0,3036.0,4721.0,1414.0,,4483.0,4246.0,85873.0,3121.0,4259.0,,,3590.0,4623.0,3341.0,4310.0,,3592.0,1384.0,1501.0,3087.0,6435.0,,,4000.0,2121.0,,1771.0,4537.0,9599.0,1664.0,1071.0,3373.0,,3042.0,3382.0,11065.0,4875.0,2576.0,1684.0,3374.0,,9954.0,,4621.0,11197.0,5958.0,4320.0,1985.0,1876.0,2952.0,10954.0,5273.0,3571.0,4080.0,6308.0,,8789.0,2738.0,3687.0,2271.0,2868.0,2819.0,,,3725.0,47299.0,3312.0,,1351.0,,5971.0,1663.0,,3064.0,2983.0,1962.0,2677.0,3111.0,,2503.0,10812.0,9785.0,5714.0,,13397.0,5660.0,4127.0,,16710.0,,6142.0,3174.0,,4551.0,5691.0,49661.0,1867.0,1500.0,6377.0,1333.0,2975.0,3874.0,3154.0,2473.0,2462.0,3752.0,,7259.0,,4512.0
1968,5719.0,7867.0,2898.0,3871.0,252647.0,,1596.0,3684833.0,4159.0,2271.0,2168.0,1903.0,1453.0,5067.0,2991.0,2947.0,,7681.0,,6467.0,7016.0,4737.0,3498.0,10630.0,2561.0,2995.0,,,4385.0,3245.0,4075.0,2340.0,,5106.0,5513.0,3280.0,1826.0,5213.0,3012.0,4454.0,8214.0,4324.0,5792.0,3238.0,14457.0,2744.0,,2471.0,,188856.0,22210.0,7000.0,4379.0,5843.0,,,3461.0,1535.0,3056.0,7716.0,5144.0,3448.0,13305.0,4727.0,,3290.0,6375.0,,6468.0,,7270.0,5737.0,10223.0,3575.0,2670.0,1936.0,,8556.0,4200.0,1208.0,,3866.0,14710.0,,400.0,3828.0,3254.0,,,,,4760.0,5377.0,954.0,1418.0,5253.0,4000.0,2950.0,2634.0,1669.0,,5691.0,5532.0,83740.0,3179.0,4524.0,,,3590.0,5221.0,3182.0,3968.0,,3905.0,1186.0,1644.0,2185.0,6760.0,,,4253.0,2000.0,,1567.0,4290.0,7177.0,2065.0,1335.0,3423.0,,3124.0,3576.0,10893.0,5822.0,2362.0,1849.0,3272.0,,8331.0,,5500.0,12016.0,6035.0,4280.0,1960.0,1791.0,3113.0,10055.0,6537.0,3571.0,4495.0,5992.0,,10131.0,2714.0,3931.0,1772.0,2829.0,3019.0,,,3751.0,38801.0,2700.0,,1343.0,,6044.0,1922.0,,2773.0,3663.0,2802.0,2498.0,2229.0,,2689.0,9719.0,10151.0,5600.0,,12402.0,6268.0,4606.0,,17361.0,,5571.0,3082.0,,4785.0,6177.0,52132.0,1733.0,1535.0,7220.0,1353.0,2858.0,8523.0,3383.0,2096.0,2469.0,3418.0,,6587.0,,4029.0
1969,5404.0,8836.0,3118.0,3866.0,289782.0,,1628.0,2119748.0,4185.0,2307.0,2195.0,2228.0,2152.0,5067.0,3205.0,3302.0,,7722.0,,5662.0,6522.0,3665.0,3427.0,12881.0,2211.0,2693.0,,,4464.0,3015.0,3468.0,2350.0,,6811.0,5377.0,3317.0,2241.0,6262.0,3150.0,4127.0,8032.0,3975.0,5545.0,2624.0,11831.0,3728.0,,3209.0,,212324.0,24172.0,7111.0,4299.0,5577.0,,,3940.0,1545.0,3059.0,7679.0,4777.0,3516.0,10061.0,5091.0,,3636.0,5100.0,,5154.0,,6976.0,5592.0,8858.0,3195.0,2791.0,2046.0,,9194.0,4200.0,1231.0,,4238.0,11007.0,,400.0,4037.0,2688.0,,,,,5140.0,4830.0,939.0,980.0,5380.0,3976.0,2989.0,3499.0,1660.0,,5040.0,4762.0,119750.0,3262.0,4250.0,,,3559.0,5347.0,3284.0,4321.0,,3510.0,1107.0,1610.0,2402.0,6803.0,,,3857.0,2041.0,,2341.0,4302.0,6115.0,1915.0,1530.0,3491.0,,3277.0,3247.0,10707.0,5576.0,2471.0,1960.0,2980.0,,10389.0,,4829.0,11906.0,5722.0,4276.0,1997.0,2052.0,3464.0,9762.0,7510.0,3690.0,4380.0,6000.0,,7186.0,2285.0,4223.0,1693.0,2873.0,3040.0,,,3763.0,53794.0,3190.0,,1562.0,,5734.0,1663.0,,3157.0,2811.0,2515.0,3755.0,3458.0,,2655.0,9752.0,9874.0,5676.0,,13429.0,6838.0,3558.0,,11642.0,,5621.0,3168.0,,5059.0,6136.0,48766.0,1600.0,1479.0,6934.0,1370.0,2979.0,7506.0,3298.0,2780.0,2635.0,3621.0,,7688.0,,4303.0
1970,5791.0,9273.0,2816.0,3840.0,335733.0,,1381.0,1337640.0,4823.0,2301.0,2277.0,2678.0,2101.0,5067.0,3521.0,3603.0,,7154.0,,6309.0,6140.0,4810.0,3435.0,15128.0,2294.0,2566.0,,,4466.0,3484.0,3400.0,2427.0,,6993.0,6526.0,3257.0,2081.0,5717.0,3559.0,4803.0,6300.0,4431.0,5369.0,3336.0,12188.0,2960.0,,3828.0,,270480.0,34000.0,8243.0,4320.0,5749.0,,,3814.0,1642.0,3144.0,8668.0,4533.0,3510.0,11216.0,4873.0,,3538.0,6557.0,,5374.0,,7416.0,4973.0,8815.0,2977.0,2397.0,1545.0,,8675.0,4200.0,1320.0,,3909.0,12945.0,,400.0,3831.0,3348.0,,,,,2810.0,5207.0,952.0,980.0,5387.0,4024.0,3595.0,2863.0,1753.0,,4882.0,4630.0,105436.0,3268.0,4568.0,,,3559.0,5573.0,3321.0,3031.0,,3498.0,1384.0,1665.0,2142.0,6980.0,,,2143.0,1890.0,,2274.0,4355.0,9241.0,1666.0,1594.0,3607.0,,3179.0,3495.0,10554.0,5677.0,2302.0,1811.0,2789.0,,8116.0,,5463.0,11579.0,6513.0,4284.0,2197.0,1910.0,2947.0,13430.0,7279.0,3810.0,4346.0,5825.0,,7991.0,2410.0,4589.0,1835.0,3139.0,2972.0,,,3772.0,61750.0,2308.0,,1713.0,,6527.0,1481.0,,3091.0,4294.0,1523.0,3045.0,3117.0,,2670.0,9655.0,9731.0,5478.0,,12602.0,6602.0,4503.0,,13477.0,,5085.0,3330.0,,5532.0,6618.0,55355.0,1459.0,1223.0,7165.0,1391.0,2467.0,9050.0,3365.0,3742.0,2846.0,3397.0,,6125.0,,4611.0
1971,5668.0,8813.0,3094.0,3851.0,404180.0,,1827.0,171923.0,4901.0,2322.0,2331.0,3109.0,2280.0,5093.0,3117.0,4030.0,,7808.0,,6131.0,5922.0,3885.0,3433.0,12381.0,2755.0,2588.0,,,5073.0,3015.0,2715.0,2458.0,,7688.0,8407.0,2879.0,2352.0,6823.0,3499.0,5103.0,8435.0,4175.0,5391.0,3338.0,12898.0,3656.0,,3757.0,,6844.0,35991.0,7850.0,4352.0,5628.0,,,3754.0,1581.0,3028.0,7556.0,4305.0,3601.0,12068.0,4800.0,,3957.0,6800.0,,7644.0,,9011.0,4210.0,9965.0,3130.0,2975.0,1311.0,,9059.0,4240.0,1893.0,,3161.0,14607.0,,400.0,4322.0,3877.0,,,,,3129.0,6178.0,966.0,980.0,8239.0,4000.0,3079.0,3953.0,1776.0,,3969.0,3790.0,103254.0,3666.0,4780.0,,,3609.0,5776.0,3183.0,4147.0,,3139.0,1345.0,1585.0,2415.0,7176.0,,,3100.0,1767.0,,2457.0,4509.0,8478.0,1596.0,1660.0,3636.0,,3268.0,3440.0,11750.0,6091.0,2314.0,1632.0,3071.0,,8499.0,,5386.0,12089.0,6505.0,4373.0,2354.0,1788.0,2968.0,14419.0,6519.0,3929.0,4364.0,6665.0,,7524.0,2866.0,4195.0,2844.0,3044.0,3993.0,,,3739.0,53985.0,3561.0,,1414.0,,6515.0,1502.0,,2875.0,4401.0,968.0,3048.0,4116.0,,2611.0,9119.0,9219.0,4826.0,,13025.0,7118.0,4247.0,,14343.0,,6431.0,3344.0,,5853.0,5365.0,86622.0,1467.0,1556.0,7207.0,1394.0,2623.0,7479.0,3527.0,3733.0,2648.0,3755.0,,7053.0,,4638.0
1972,5211.0,8947.0,1939.0,3888.0,679643.0,,1946.0,505258.0,4689.0,2444.0,2646.0,3327.0,2267.0,5252.0,2770.0,5030.0,,8011.0,,6570.0,6463.0,3702.0,3585.0,12381.0,2256.0,2563.0,,,6160.0,2822.0,1244.0,2339.0,,7090.0,8576.0,2807.0,2192.0,5682.0,3279.0,5315.0,7510.0,4912.0,5218.0,3063.0,12815.0,2727.0,,3797.0,,5030.0,20788.0,8489.0,4352.0,5538.0,,,3642.0,1708.0,2987.0,8756.0,4128.0,3357.0,12683.0,4145.0,,3335.0,6800.0,,6038.0,,7954.0,4093.0,9179.0,3129.0,3057.0,1790.0,,9340.0,3220.0,1800.0,,3433.0,14616.0,,400.0,5394.0,3399.0,,,,,7875.0,6273.0,800.0,978.0,8399.0,4000.0,3170.0,3980.0,1726.0,,3637.0,3525.0,89590.0,3600.0,4727.0,,,3609.0,4823.0,3171.0,2915.0,,2459.0,1345.0,1775.0,2333.0,7028.0,,,3714.0,1793.0,,2354.0,4435.0,7889.0,1618.0,1639.0,3545.0,,3153.0,3144.0,12617.0,5741.0,2349.0,1598.0,2723.0,,10285.0,,5556.0,12244.0,5399.0,4143.0,1885.0,1925.0,3097.0,14528.0,9433.0,3929.0,4445.0,7456.0,,6162.0,3411.0,4328.0,2753.0,2736.0,3993.0,,,3837.0,44565.0,2111.0,,1309.0,,5421.0,1726.0,,2645.0,4091.0,2299.0,3137.0,4153.0,,3574.0,8800.0,10467.0,2930.0,,12037.0,6998.0,3617.0,,12462.0,,7495.0,3360.0,,5550.0,3833.0,77593.0,1360.0,1419.0,6987.0,1398.0,2844.0,7264.0,3775.0,3733.0,2809.0,4002.0,,7652.0,,4100.0
1973,6456.0,9262.0,2313.0,3863.0,579080.0,,1953.0,303761.0,4742.0,2363.0,2812.0,2847.0,1954.0,5252.0,3339.0,5902.0,,7073.0,,6412.0,5443.0,3763.0,3605.0,12333.0,1908.0,2523.0,,,6254.0,2805.0,661.0,2402.0,,7387.0,8478.0,2547.0,2423.0,7052.0,3213.0,6029.0,8924.0,4810.0,5452.0,3673.0,11865.0,3978.0,,3776.0,,4273.0,13873.0,8590.0,4320.0,5400.0,,,3994.0,1693.0,3079.0,7600.0,4159.0,3230.0,11869.0,5455.0,,3886.0,7650.0,,6305.0,,7101.0,4181.0,11226.0,2449.0,2601.0,2200.0,,8471.0,3220.0,1957.0,,4054.0,13106.0,,400.0,6556.0,3405.0,,,,,7245.0,7098.0,800.0,1257.0,9510.0,4000.0,3087.0,3210.0,1630.0,,3687.0,3547.0,87566.0,3699.0,5113.0,,,3657.0,4719.0,2779.0,2961.0,,2404.0,1422.0,1717.0,816.0,6078.0,,,3771.0,1725.0,,2600.0,4240.0,8567.0,1796.0,1923.0,3328.0,,3135.0,3126.0,12031.0,5740.0,2351.0,1285.0,2684.0,,8263.0,,5512.0,12635.0,6673.0,4109.0,2333.0,1974.0,3096.0,13098.0,8832.0,4000.0,4695.0,7137.0,,10251.0,2930.0,3760.0,3091.0,2753.0,3422.0,,,3834.0,45213.0,2588.0,,1354.0,,6686.0,1334.0,,2494.0,3536.0,1095.0,3398.0,2618.0,,1719.0,8490.0,9969.0,3183.0,,10232.0,6582.0,4171.0,,14092.0,,6055.0,3611.0,,5785.0,5637.0,62778.0,1379.0,1515.0,8237.0,1402.0,2952.0,6477.0,2765.0,3040.0,2703.0,3658.0,,7710.0,,3882.0
1974,6269.0,7781.0,3218.0,3776.0,582629.0,,1901.0,154166.0,4792.0,2292.0,3136.0,3051.0,2185.0,5277.0,3837.0,7722.0,,6996.0,,5552.0,6393.0,3843.0,3493.0,14543.0,1983.0,2497.0,,,5580.0,3093.0,1467.0,2342.0,,7744.0,7656.0,2501.0,2520.0,6139.0,2856.0,5275.0,7330.0,5401.0,5193.0,3395.0,13323.0,3035.0,,2842.0,,5172.0,13481.0,8965.0,4352.0,5419.0,,,3939.0,1742.0,3203.0,6768.0,4135.0,3157.0,15060.0,5091.0,,3155.0,5100.0,,6387.0,,7640.0,3824.0,12955.0,2989.0,2419.0,1209.0,,9462.0,3220.0,2400.0,,3580.0,17377.0,,400.0,5897.0,3457.0,,,,,4491.0,7210.0,960.0,1531.0,10721.0,4000.0,2795.0,5539.0,1612.0,,5072.0,4979.0,124921.0,3384.0,5156.0,,,3702.0,5685.0,2906.0,2784.0,,2029.0,1472.0,1759.0,1903.0,7293.0,,,2963.0,2179.0,,3372.0,4333.0,10070.0,2044.0,1745.0,3614.0,,3254.0,3135.0,11527.0,7679.0,2366.0,2102.0,2604.0,,9756.0,,5552.0,10673.0,6294.0,4000.0,2191.0,2019.0,3172.0,14979.0,9330.0,4118.0,4556.0,6698.0,,11056.0,2173.0,4427.0,4338.0,3099.0,3777.0,,,3819.0,43236.0,3246.0,,1803.0,,6313.0,1784.0,,3155.0,3482.0,907.0,3112.0,3704.0,,2270.0,8553.0,10846.0,2849.0,,9604.0,6341.0,4638.0,,14264.0,,6439.0,3625.0,,5396.0,5701.0,219038.0,1429.0,1538.0,7647.0,1406.0,2837.0,6608.0,2785.0,3067.0,3097.0,3897.0,,6208.0,,4713.0
