,"China, Taiwan Province of","China, mainland",Japan,Republic of Korea,Philippines,Brazil,Lao People's Democratic Republic,China,Thailand
1961,1135.0,18000.0,1180.0,700.0,2000.0,24000.0,200.0,19135.0,
1962,684.0,20000.0,1080.0,848.0,3730.0,24000.0,300.0,20684.0,
1963,767.0,22000.0,840.0,992.0,5500.0,22000.0,300.0,22767.0,
1964,876.0,24000.0,650.0,866.0,5355.0,28000.0,280.0,24876.0,
1965,690.0,23000.0,516.0,1725.0,5502.0,30000.0,280.0,23690.0,
1966,624.0,22000.0,-1.0,2813.0,4253.0,34000.0,280.0,22624.0,
1967,604.0,22000.0,-1.0,3715.0,3930.0,36000.0,304.0,22604.0,
1968,638.0,23000.0,-1.0,1662.0,1256.0,38000.0,304.0,23638.0,
1969,579.0,23000.0,-1.0,1799.0,1945.0,42000.0,320.0,23579.0,
1970,562.0,24000.0,-1.0,1134.0,3073.0,44000.0,320.0,24562.0,
1971,274.0,24000.0,-1.0,1161.0,3109.0,53941.0,330.0,24274.0,
1972,257.0,24000.0,-1.0,948.0,3074.0,54599.0,340.0,24257.0,
1973,95.0,25000.0,-1.0,1155.0,3191.0,44418.0,350.0,25095.0,
1974,39.0,25000.0,-1.0,1018.0,2800.0,35790.0,350.0,25039.0,
1975,72.0,25000.0,-1.0,984.0,1379.0,23780.0,300.0,25072.0,
1976,49.0,26000.0,-1.0,540.0,386.0,18500.0,320.0,26049.0,
1977,44.0,26000.0,-1.0,348.0,396.0,14020.0,300.0,26044.0,
1978,44.0,26100.0,-1.0,290.0,1404.0,7220.0,290.0,26144.0,
1979,30.0,34700.0,-1.0,250.0,1400.0,8980.0,350.0,34730.0,
1980,28.0,38000.0,-1.0,200.0,200.0,17283.0,400.0,38028.0,
1981,8.0,49000.0,-1.0,170.0,506.0,10259.0,450.0,49008.0,
1982,26.0,59000.0,-1.0,140.0,731.0,9657.0,500.0,59026.0,
1983,19.0,44350.0,-1.0,120.0,615.0,9583.0,600.0,44369.0,
1984,,50000.0,-1.0,70.0,510.0,9625.0,650.0,50000.0,
1985,,81684.0,-1.0,60.0,1388.0,10004.0,700.0,81684.0,
1986,,226540.0,-1.0,50.0,20621.0,7000.0,780.0,226540.0,
1987,,567000.0,-1.0,42.0,18306.0,15500.0,820.0,567000.0,
1988,,318000.0,-1.0,84.0,7744.0,19060.0,820.0,318000.0,
1989,,184470.0,-1.0,62.0,6484.0,9193.0,850.0,184470.0,
1990,0.0,89068.0,-1.0,85.0,5556.0,10183.0,1000.0,89068.0,0.0
1991,0.0,58000.0,-1.0,95.0,3509.0,7999.0,1100.0,58000.0,-1.0
1992,0.0,61211.0,-1.0,90.0,2707.0,6955.0,1200.0,61211.0,-1.0
1993,0.0,67574.0,-1.0,91.0,2500.0,7079.0,1300.0,67574.0,-1.0
1994,0.0,116351.0,-1.0,-1.0,2300.0,3992.0,1400.0,116351.0,-1.0
1995,0.0,147093.0,-1.0,-1.0,2185.0,3485.0,1334.0,147093.0,-1.0
1996,0.0,140531.0,-1.0,-1.0,2000.0,4807.0,1300.0,140531.0,
1997,0.0,136635.0,-1.0,-1.0,1500.0,3616.0,1366.0,136635.0,
1998,0.0,122346.0,-1.0,-1.0,1187.0,1615.0,1400.0,122346.0,
1999,0.0,120000.0,-1.0,-1.0,892.0,992.0,1500.0,120000.0,
2000,0.0,160966.0,-1.0,-1.0,670.0,950.0,1554.0,160966.0,
2001,0.0,197044.0,-1.0,-1.0,513.0,897.0,1600.0,197044.0,
2002,0.0,238491.0,-1.0,-1.0,473.0,1378.0,1700.0,238491.0,
2003,0.0,245000.0,-1.0,-1.0,488.0,1381.0,1735.0,245000.0,
2004,0.0,255000.0,-1.0,-1.0,795.0,1196.0,1782.0,255000.0,
2005,0.0,277052.0,-1.0,-1.0,874.0,1158.0,1800.0,277052.0,
2006,0.0,286819.0,-1.0,-1.0,978.0,1221.0,1900.0,286819.0,
2007,0.0,291259.0,-1.0,-1.0,1093.0,1072.0,2000.0,291259.0,
2008,0.0,250438.0,-1.0,-1.0,1210.0,1023.0,2200.0,250438.0,
2009,0.0,211673.0,-1.0,-1.0,1319.0,499.0,2260.0,211673.0,
2010,0.0,189362.0,-1.0,-1.0,1412.0,831.0,2235.0,189362.0,
2011,0.0,158446.0,-1.0,-1.0,1478.0,971.0,2275.0,158446.0,
2012,0.0,130318.0,-1.0,-1.0,1500.0,624.0,2300.0,130318.0,
2013,0.0,119863.0,-1.0,-1.0,1500.0,495.0,2400.0,119863.0,
2014,0.0,108773.0,-1.0,-1.0,1500.0,108.0,2457.0,108773.0,
