,Kenya,Iceland,"China, Hong Kong SAR","China, Taiwan Province of",Belarus,Croatia,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Belgium,Thailand,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Iran (Islamic Republic of),Republic of Korea,Melanesia,South Africa,Norway,Yemen,Portugal,Australia & New Zealand,Barbados,Mongolia,French Polynesia,Algeria,Slovenia,American Samoa,Senegal,Madagascar,Tajikistan,Latvia,Mauritius,Luxembourg,Israel,Dominica,Fiji,Cabo Verde,Turkmenistan,United Arab Emirates,Switzerland,Sri Lanka,Grenada,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Yugoslav SFR,Malta,Colombia,Libya,Sudan (former),Lebanon,Kyrgyzstan,United Kingdom,Occupied Palestinian Territory,Chile,Hungary,Saint Lucia,Kazakhstan,Estonia,France,Micronesia,Poland,"China, mainland",Russian Federation,Timor-Leste,Ukraine,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Germany,Armenia,Dominican Republic,Uzbekistan,South Sudan,Guadeloupe,Denmark,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,Morocco,Niger,Belize,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Sudan,Djibouti,Kuwait,Cuba,Republic of Moldova,Turkey,Czechia,French Guiana,Suriname,Ghana,Costa Rica,Georgia,India,El Salvador,Austria,Bahrain,Czechoslovakia,Sweden,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Ireland,Côte d'Ivoire,Albania,Slovakia,Jamaica,Brunei Darussalam,Trinidad and Tobago,Italy,Singapore,Polynesia,Panama,Australia,Montserrat,Lithuania,Finland,Netherlands,Oman,Guyana,New Zealand,Guam,Belgium-Luxembourg
1961,-1.0,150.0,1300.0,15454.0,-1.0,-1.0,-1.0,5000.0,40000.0,900.0,-1.0,98000.0,-1.0,35000.0,-1.0,50853.0,3000.0,-1.0,200000.0,25024.0,0.0,7051.0,4101.0,-1.0,-1.0,10725.0,200.0,-1.0,120.0,-1.0,-1.0,-1.0,-1,300.0,-1.0,-1.0,1500.0,-1.0,29600.0,-1.0,-1.0,-1.0,-1.0,-1.0,8000.0,8076.0,-1.0,-1.0,144346.0,-1.0,4616754.0,61600.0,-1.0,1800.0,290.0,-1.0,20000.0,-1.0,32514.0,-1.0,22200.0,67280.0,-1.0,-1.0,-1.0,50660.0,-1.0,216200.0,4600000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,16000.0,-1.0,-1.0,-1.0,5600.0,97490.0,-1.0,347.0,-1.0,-1,300.0,14150.0,36509.0,528500.0,-1.0,47686.0,3600.0,3556.0,2.0,60538.0,1500.0,-1.0,-1.0,30360.0,579171.0,11062.0,250.0,-1.0,-1.0,-1.0,5500.0,-1.0,270000.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0,26000.0,1700.0,21800.0,-1.0,77190.0,17400.0,-1.0,64000.0,1500000.0,80000.0,-1.0,-1.0,50889.0,-1.0,-1.0,-1.0,-1.0,-1.0,1225.0,-1.0,450.0,54000.0,7112.0,120.0,72.0,6065.0,30.0,-1.0,10900.0,145647.0,-1.0,-1.0,4660.0,-1.0,15000.0
1962,-1.0,160.0,1300.0,15721.0,-1.0,-1.0,-1.0,5000.0,44264.0,1000.0,-1.0,105000.0,-1.0,35000.0,-1.0,47567.0,3200.0,-1.0,220000.0,28897.0,0.0,6705.0,3333.0,-1.0,-1.0,9399.0,220.0,-1.0,120.0,-1.0,-1.0,-1.0,-1,300.0,-1.0,-1.0,2500.0,-1.0,34700.0,-1.0,-1.0,-1.0,-1.0,-1.0,8000.0,4093.0,-1.0,-1.0,182918.0,-1.0,4587021.0,59500.0,-1.0,1900.0,240.0,-1.0,25000.0,-1.0,32514.0,-1.0,22300.0,87412.0,-1.0,-1.0,-1.0,53730.0,-1.0,112500.0,4570000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,18000.0,-1.0,-1.0,-1.0,5600.0,77227.0,-1.0,349.0,-1.0,-1,300.0,15250.0,30016.0,630836.0,-1.0,62074.0,3700.0,3810.0,3.0,68402.0,1500.0,-1.0,-1.0,38154.0,554623.0,10579.0,243.0,-1.0,-1.0,-1.0,3331.0,-1.0,275000.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0,29500.0,1700.0,28015.0,-1.0,95200.0,15600.0,-1.0,65000.0,1231000.0,74000.0,-1.0,-1.0,49530.0,-1.0,-1.0,-1.0,-1.0,-1.0,453.0,-1.0,494.0,58600.0,6808.0,120.0,76.0,6611.0,30.0,-1.0,4900.0,170168.0,-1.0,-1.0,2788.0,-1.0,15000.0
1963,-1.0,170.0,1346.0,17094.0,-1.0,-1.0,-1.0,5000.0,38831.0,1000.0,-1.0,112000.0,-1.0,45000.0,-1.0,48772.0,4000.0,-1.0,243000.0,31407.0,0.0,7000.0,4247.0,-1.0,-1.0,10217.0,230.0,-1.0,125.0,-1.0,-1.0,-1.0,-1,350.0,-1.0,-1.0,2400.0,-1.0,28900.0,-1.0,-1.0,-1.0,-1.0,-1.0,8100.0,3888.0,-1.0,-1.0,182023.0,-1.0,4098440.0,46500.0,-1.0,2000.0,300.0,-1.0,20000.0,-1.0,32514.0,-1.0,22400.0,121841.0,-1.0,-1.0,-1.0,63580.0,-1.0,402800.0,4080000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,19000.0,-1.0,-1.0,-1.0,4900.0,164464.0,-1.0,360.0,-1.0,-1,400.0,23051.0,41055.0,701327.0,-1.0,71586.0,3800.0,4470.0,4.0,72052.0,1500.0,-1.0,-1.0,47610.0,643808.0,10868.0,470.0,-1.0,-1.0,-1.0,5416.0,-1.0,285000.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0,31500.0,1800.0,45247.0,-1.0,151042.0,23100.0,-1.0,66000.0,1167000.0,70000.0,-1.0,-1.0,45300.0,-1.0,-1.0,-1.0,-1.0,-1.0,581.0,-1.0,592.0,63100.0,6249.0,125.0,80.0,7547.0,30.0,-1.0,19600.0,189967.0,-1.0,-1.0,2670.0,-1.0,17520.0
1964,-1.0,180.0,1304.0,17145.0,-1.0,-1.0,-1.0,5300.0,38772.0,1000.0,-1.0,119000.0,-1.0,48000.0,-1.0,51171.0,4450.0,-1.0,267000.0,39046.0,0.0,7000.0,3564.0,-1.0,-1.0,11315.0,240.0,-1.0,130.0,-1.0,-1.0,-1.0,-1,400.0,-1.0,-1.0,1400.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8300.0,12743.0,-1.0,-1.0,179942.0,-1.0,3618449.0,54100.0,-1.0,2100.0,300.0,-1.0,19000.0,-1.0,30482.0,-1.0,22500.0,77372.0,-1.0,-1.0,-1.0,71430.0,-1.0,376700.0,3600000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5100.0,20000.0,-1.0,-1.0,-1.0,5300.0,118064.0,-1.0,423.0,-1.0,-1,400.0,16055.0,48035.0,744536.0,-1.0,92300.0,4000.0,3810.0,6.0,75684.0,1000.0,-1.0,-1.0,41473.0,614968.0,11563.0,164.0,-1.0,-1.0,-1.0,9512.0,-1.0,295000.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,34000.0,1800.0,27688.0,-1.0,127960.0,18300.0,-1.0,68000.0,1499000.0,62500.0,-1.0,-1.0,64300.0,-1.0,-1.0,-1.0,-1.0,-1.0,580.0,-1.0,508.0,66370.0,5944.0,130.0,84.0,7915.0,30.0,-1.0,11300.0,200833.0,-1.0,-1.0,3400.0,-1.0,15284.0
1965,-1.0,190.0,1118.0,18659.0,-1.0,-1.0,-1.0,5300.0,42785.0,1100.0,-1.0,126000.0,-1.0,55000.0,-1.0,53169.0,4500.0,-1.0,287000.0,39512.0,0.0,7000.0,3686.0,-1.0,-1.0,11885.0,250.0,-1.0,135.0,-1.0,-1.0,-1.0,-1,450.0,-1.0,-1.0,2210.0,-1.0,35200.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,17143.0,-1.0,-1.0,168473.0,-1.0,3819777.0,41000.0,-1.0,2200.0,300.0,-1.0,16500.0,-1.0,33530.0,-1.0,22588.0,86778.0,-1.0,-1.0,-1.0,75340.0,-1.0,200200.0,3800000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6019.0,20000.0,-1.0,-1.0,-1.0,4500.0,86232.0,-1.0,512.0,-1.0,-1,300.0,15763.0,37160.0,774300.0,-1.0,92538.0,4000.0,6604.0,8.0,74556.0,1000.0,-1.0,-1.0,43902.0,624194.0,12490.0,98.0,-1.0,-1.0,-1.0,14851.0,-1.0,300200.0,-1.0,-1.0,450.0,-1.0,-1.0,-1.0,38000.0,1900.0,30724.0,-1.0,98930.0,15900.0,-1.0,70000.0,1357000.0,42000.0,-1.0,-1.0,60700.0,-1.0,-1.0,-1.0,-1.0,-1.0,569.0,-1.0,424.0,70640.0,5791.0,135.0,88.0,8245.0,25.0,-1.0,6600.0,214071.0,-1.0,-1.0,3640.0,-1.0,10710.0
1966,-1.0,200.0,2000.0,18107.0,-1.0,-1.0,-1.0,5500.0,45377.0,1100.0,-1.0,133000.0,-1.0,65000.0,-1.0,62164.0,3550.0,-1.0,310000.0,47248.0,0.0,7000.0,5285.0,-1.0,-1.0,10873.0,260.0,-1.0,140.0,-1.0,-1.0,-1.0,-1,500.0,-1.0,-1.0,1921.0,-1.0,36600.0,-1.0,-1.0,-1.0,-1.0,0.0,6200.0,5775.0,-1.0,-1.0,172291.0,-1.0,3770107.0,56600.0,-1.0,2300.0,300.0,-1.0,20556.0,-1.0,30583.0,-1.0,22600.0,113492.0,-1.0,-1.0,-1.0,74420.0,-1.0,335900.0,3750000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7644.0,21000.0,-1.0,-1.0,-1.0,5400.0,156099.0,-1.0,548.0,-1.0,-1,300.0,20393.0,54665.0,880927.0,-1.0,72635.0,4220.0,9144.0,10.0,81400.0,1500.0,-1.0,-1.0,59342.0,698166.0,12838.0,125.0,-1.0,-1.0,-1.0,11822.0,-1.0,258800.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,40000.0,1900.0,46241.0,-1.0,124424.0,22400.0,-1.0,75000.0,1375000.0,88500.0,-1.0,-1.0,39600.0,-1.0,-1.0,-1.0,-1.0,-1.0,998.0,-1.0,744.0,74770.0,5558.0,140.0,92.0,8850.0,25.0,-1.0,19000.0,272307.0,-1.0,-1.0,2023.0,-1.0,16052.0
1967,-1.0,200.0,4000.0,21284.0,-1.0,-1.0,-1.0,5500.0,63992.0,1200.0,-1.0,140000.0,-1.0,75000.0,-1.0,62731.0,4500.0,-1.0,333000.0,57040.0,0.0,7000.0,4983.0,-1.0,-1.0,11912.0,280.0,-1.0,145.0,-1.0,-1.0,-1.0,-1,600.0,-1.0,-1.0,1748.0,-1.0,37750.0,-1.0,-1.0,-1.0,-1.0,125.0,6700.0,4253.0,-1.0,-1.0,148000.0,-1.0,3825284.0,60400.0,-1.0,2400.0,350.0,-1.0,21904.0,-1.0,31498.0,-1.0,22700.0,107351.0,-1.0,-1.0,-1.0,86070.0,-1.0,354500.0,3800000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8172.0,21500.0,-1.0,-1.0,-1.0,6700.0,141703.0,-1.0,2255.0,-1.0,-1,200.0,20080.0,46919.0,966068.0,-1.0,78005.0,4642.0,12192.0,20.0,86702.0,1500.0,-1.0,-1.0,53085.0,766241.0,13378.0,190.0,-1.0,-1.0,-1.0,12697.0,-1.0,300000.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,42000.0,2000.0,56169.0,-1.0,136981.0,24000.0,-1.0,80000.0,1581000.0,88822.0,-1.0,-1.0,28200.0,-1.0,-1.0,-1.0,-1.0,-1.0,1948.0,-1.0,2125.0,82800.0,5426.0,145.0,90.0,9012.0,20.0,-1.0,9800.0,274116.0,-1.0,-1.0,2900.0,-1.0,20712.0
1968,-1.0,200.0,2000.0,23473.0,-1.0,-1.0,-1.0,5500.0,69205.0,1200.0,-1.0,147000.0,-1.0,53890.0,-1.0,70259.0,4700.0,-1.0,353000.0,67117.0,0.0,8000.0,5622.0,-1.0,-1.0,13645.0,300.0,-1.0,150.0,-1.0,-1.0,-1.0,-1,600.0,-1.0,-1.0,1357.0,-1.0,42250.0,-1.0,-1.0,-1.0,-1.0,150.0,6900.0,2983.0,-1.0,-1.0,157000.0,-1.0,4325473.0,61600.0,-1.0,2500.0,400.0,-1.0,30015.0,-1.0,29669.0,-1.0,22800.0,108600.0,-1.0,-1.0,-1.0,89098.0,-1.0,377800.0,4300000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7600.0,22000.0,-1.0,-1.0,-1.0,7600.0,112884.0,-1.0,3076.0,-1.0,-1,200.0,22165.0,68414.0,986525.0,-1.0,77984.0,4913.0,12700.0,30.0,89400.0,1500.0,-1.0,-1.0,44801.0,692804.0,15211.0,200.0,-1.0,-1.0,-1.0,11405.0,-1.0,333999.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,44000.0,2000.0,47849.0,-1.0,127872.0,24400.0,-1.0,85000.0,1464000.0,104562.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,4383.0,-1.0,1622.0,83450.0,5385.0,150.0,100.0,10445.0,20.0,-1.0,14300.0,277322.0,-1.0,-1.0,3200.0,-1.0,24200.0
1969,-1.0,200.0,3000.0,30453.0,-1.0,-1.0,-1.0,5800.0,74060.0,1300.0,-1.0,154000.0,-1.0,80000.0,-1.0,75786.0,3750.0,-1.0,377000.0,85840.0,0.0,10000.0,6584.0,-1.0,-1.0,12315.0,354.0,-1.0,155.0,-1.0,-1.0,-1.0,-1,700.0,-1.0,-1.0,1268.0,-1.0,46450.0,-1.0,-1.0,-1.0,-1.0,700.0,6900.0,3880.0,-1.0,-1.0,163000.0,-1.0,4483453.0,67100.0,-1.0,2600.0,400.0,-1.0,28614.0,-1.0,30482.0,-1.0,22900.0,120697.0,-1.0,-1.0,-1.0,85098.0,-1.0,311600.0,4450000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6946.0,23000.0,-1.0,-1.0,-1.0,13800.0,103301.0,-1.0,2470.0,-1.0,-1,200.0,20135.0,69673.0,957432.0,-1.0,122000.0,5558.0,11176.0,45.0,86336.0,1500.0,-1.0,-1.0,46938.0,669589.0,16231.0,250.0,-1.0,-1.0,-1.0,8445.0,-1.0,368257.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,46000.0,2100.0,41150.0,-1.0,122282.0,18500.0,-1.0,90000.0,1443000.0,83045.0,-1.0,-1.0,3997.0,-1.0,-1.0,-1.0,-1.0,-1.0,4222.0,-1.0,1653.0,93070.0,5000.0,155.0,100.0,9915.0,30.0,-1.0,13300.0,298877.0,-1.0,-1.0,2400.0,-1.0,21200.0
1970,-1.0,200.0,2000.0,36484.0,-1.0,-1.0,-1.0,5800.0,51025.0,1300.0,-1.0,161000.0,-1.0,80000.0,-1.0,112432.0,4350.0,-1.0,400000.0,98539.0,0.0,11000.0,6200.0,-1.0,-1.0,12660.0,273.0,-1.0,160.0,-1.0,-1.0,-1.0,-1,700.0,-1.0,-1.0,1214.0,-1.0,44800.0,-1.0,-1.0,-1.0,-1.0,1200.0,6950.0,3974.0,-1.0,-1.0,162000.0,-1.0,3008484.0,83800.0,-1.0,2700.0,400.0,-1.0,29909.0,-1.0,33733.0,-1.0,23000.0,118412.0,-1.0,-1.0,-1.0,79890.0,-1.0,439800.0,2970000.0,-1.0,-1.0,-1.0,-1.0,-1.0,11148.0,24000.0,-1.0,-1.0,-1.0,15000.0,127290.0,-1.0,1027.0,-1.0,-1,115.0,23142.0,75793.0,967200.0,-1.0,129000.0,6075.0,12192.0,60.0,78000.0,1500.0,-1.0,-1.0,47876.0,737265.0,17390.0,250.0,-1.0,-1.0,-1.0,10581.0,-1.0,400000.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,50000.0,2100.0,46443.0,-1.0,134103.0,23100.0,-1.0,100000.0,1582400.0,100000.0,-1.0,-1.0,6787.0,-1.0,-1.0,-1.0,-1.0,-1.0,5220.0,-1.0,1834.0,98940.0,5000.0,160.0,100.0,10260.0,31.0,-1.0,13300.0,311179.0,-1.0,-1.0,2400.0,-1.0,22000.0
