,Kenya,"China, Taiwan Province of",Croatia,Zambia,Philippines,Syrian Arab Republic,Viet Nam,Australia,Nepal,Denmark,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Bangladesh,Republic of Korea,Norway,Australia & New Zealand,Guatemala,Algeria,Slovenia,Iceland,Madagascar,Latvia,Mauritius,Luxembourg,Israel,Belgium,United Arab Emirates,Kuwait,Switzerland,Italy,Egypt,Sudan (former),Germany,Malta,Colombia,Libya,Trinidad and Tobago,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,Estonia,Portugal,Poland,"China, mainland",Russian Federation,Ukraine,Bolivia (Plurinational State of),Peru,United Kingdom,Grenada,Armenia,South Sudan,Indonesia,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Thailand,Czechoslovakia,Czechia,Costa Rica,India,Cabo Verde,Austria,Bahrain,China,Morocco,Bhutan,Sweden,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Ireland,Albania,Slovakia,Jamaica,France,South Africa,Réunion,Sudan,Lithuania,Finland,Netherlands,Oman,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,12800.0,-1.0,-1,-1.0,7000.0,5000.0,73954.0,-1.0,9900.0,-1.0,23840.0,2100.0,-1.0,27363.0,-1.0,9361.0,100154.0,-1.0,-1.0,-1.0,65.0,550.0,-1.0,800.0,-1.0,6400.0,-1.0,-1.0,-1.0,27000.0,656500.0,50586.0,-1.0,128945.0,2600.0,25000.0,300.0,65.0,3000.0,-1.0,-1.0,5400.0,22081.0,-1.0,-1.0,-1.0,40000.0,378000.0,-1.0,-1.0,-1.0,12000.0,282461.0,-1.0,-1.0,-1,-1.0,12606.0,10630.0,-1.0,2387.0,2800.0,3175.0,264209.0,26200.0,13000.0,116989.0,-1.0,14387.0,46124.0,-1.0,-1.0,413000.0,-1.0,-1.0,-1.0,390800.0,500.0,-1.0,6400.0,-1.0,5000.0,6200.0,-1.0,14352.0,-1.0,20288.0,2000.0,-1.0,-1.0,202.0,429800.0,26000.0,-1.0,-1.0,-1.0,1500.0,57067.0,-1.0,30000.0,-1.0,53040.0
1962,-1.0,13000.0,-1.0,-1,-1.0,7312.0,5000.0,78044.0,-1.0,10200.0,-1.0,22915.0,1800.0,-1.0,26170.0,-1.0,7352.0,105444.0,-1.0,-1.0,-1.0,80.0,600.0,-1.0,1400.0,-1.0,6800.0,-1.0,-1.0,-1.0,16100.0,481800.0,47280.0,-1.0,127472.0,2300.0,26000.0,380.0,70.0,3000.0,-1.0,-1.0,5400.0,16303.0,-1.0,-1.0,-1.0,41500.0,398000.0,-1.0,-1.0,-1.0,12000.0,195082.0,-1.0,-1.0,-1,-1.0,15668.0,11340.0,-1.0,3076.0,2900.0,3556.0,251600.0,27400.0,13000.0,116759.0,-1.0,23800.0,75146.0,-1.0,-1.0,400000.0,-1.0,-1.0,-1.0,411000.0,500.0,-1.0,5500.0,-1.0,5100.0,6000.0,-1.0,16230.0,-1.0,20150.0,2000.0,-1.0,-1.0,227.0,366050.0,24000.0,-1.0,-1.0,-1.0,1600.0,57461.0,-1.0,32000.0,-1.0,51500.0
1963,-1.0,13100.0,-1.0,-1,-1.0,7312.0,5500.0,73843.0,-1.0,10100.0,-1.0,28910.0,2900.0,-1.0,26884.0,-1.0,8239.0,105343.0,-1.0,-1.0,-1.0,80.0,650.0,-1.0,1331.0,-1.0,4900.0,-1.0,-1.0,-1.0,11100.0,669900.0,47912.0,-1.0,139574.0,2338.0,27000.0,200.0,73.0,3000.0,-1.0,-1.0,5450.0,20132.0,-1.0,-1.0,-1.0,42000.0,400000.0,-1.0,-1.0,-1.0,12000.0,328184.0,-1.0,-1.0,-1,-1.0,16498.0,12150.0,-1.0,2936.0,3000.0,3810.0,261328.0,31500.0,13000.0,117870.0,-1.0,21500.0,87412.0,-1.0,-1.0,410000.0,-1.0,-1.0,-1.0,413100.0,500.0,-1.0,5000.0,-1.0,5200.0,5800.0,-1.0,9635.0,-1.0,17087.0,2000.0,-1.0,-1.0,227.0,277380.0,28000.0,-1.0,-1.0,-1.0,1300.0,47404.0,-1.0,33000.0,-1.0,54700.0
1964,-1.0,13498.0,-1.0,-1,-1.0,6971.0,5500.0,75454.0,-1.0,11004.0,-1.0,28841.0,2600.0,-1.0,28604.0,-1.0,8219.0,109454.0,-1.0,-1.0,-1.0,92.0,700.0,-1.0,718.0,-1.0,5200.0,-1.0,-1.0,-1.0,11000.0,684500.0,55254.0,-1.0,143882.0,2302.0,28000.0,300.0,68.0,4000.0,-1.0,-1.0,5500.0,20126.0,-1.0,-1.0,-1.0,93000.0,410000.0,-1.0,-1.0,-1.0,13000.0,321072.0,-1.0,-1.0,-1,-1.0,15146.0,11660.0,-1.0,4225.0,3100.0,3048.0,268542.0,34000.0,14000.0,113715.0,-1.0,24700.0,104121.0,-1.0,-1.0,500000.0,-1.0,-1.0,-1.0,423498.0,500.0,-1.0,5500.0,-1.0,5300.0,7400.0,-1.0,10293.0,-1.0,23900.0,2000.0,-1.0,-1.0,124.0,279100.0,28000.0,-1.0,-1.0,-1.0,1100.0,58893.0,-1.0,35000.0,-1.0,62670.0
1965,-1.0,18377.0,-1.0,-1,-1.0,7744.0,5500.0,74880.0,-1.0,10706.0,-1.0,29256.0,2750.0,-1.0,30898.0,-1.0,8865.0,102220.0,-1.0,-1.0,-1.0,92.0,750.0,-1.0,781.0,-1.0,6100.0,-1.0,-1.0,-1.0,11500.0,692500.0,59106.0,-1.0,135991.0,1832.0,29000.0,300.0,62.0,3000.0,-1.0,-1.0,5562.0,15747.0,-1.0,-1.0,-1.0,112000.0,420000.0,-1.0,-1.0,-1.0,15000.0,344441.0,-1.0,-1.0,-1,-1.0,16246.0,19170.0,-1.0,4929.0,3200.0,3048.0,254435.0,27340.0,14000.0,112173.0,-1.0,18300.0,92669.0,-1.0,-1.0,520000.0,-1.0,-1.0,-1.0,438377.0,500.0,-1.0,4800.0,-1.0,5400.0,6700.0,-1.0,10022.0,-1.0,25763.0,2000.0,-1.0,-1.0,142.0,241870.0,30000.0,-1.0,-1.0,-1.0,1400.0,50444.0,-1.0,37100.0,-1.0,57540.0
1966,-1.0,28603.0,-1.0,-1,-1.0,8040.0,5500.0,78407.0,-1.0,11426.0,-1.0,33264.0,2200.0,-1.0,31758.0,-1.0,9140.0,104310.0,-1.0,-1.0,-1.0,92.0,800.0,-1.0,502.0,-1.0,6900.0,-1.0,0.0,-1.0,11500.0,677300.0,61694.0,-1.0,153506.0,2064.0,30000.0,300.0,243.0,3000.0,-1.0,-1.0,5600.0,17457.0,-1.0,-1.0,-1.0,131000.0,424000.0,-1.0,-1.0,-1.0,21860.0,343582.0,-1.0,-1.0,-1,-1.0,14143.0,25090.0,-1.0,4929.0,3344.0,2946.0,262800.0,25903.0,14000.0,114577.0,-1.0,20000.0,89237.0,-1.0,-1.0,600000.0,-1.0,-1.0,-1.0,452603.0,500.0,-1.0,6500.0,-1.0,5500.0,6500.0,-1.0,15663.0,-1.0,13900.0,2000.0,-1.0,-1.0,262.0,317070.0,28000.0,-1.0,-1.0,-1.0,1600.0,48845.0,-1.0,21800.0,-1.0,49710.0
1967,-1.0,38867.0,-1.0,-1,-1.0,8024.0,5800.0,74167.0,-1.0,11431.0,-1.0,31352.0,2250.0,-1.0,33093.0,-1.0,9503.0,100360.0,-1.0,-1.0,-1.0,92.0,850.0,-1.0,791.0,-1.0,5100.0,-1.0,30.0,-1.0,11090.0,715800.0,49533.0,-1.0,162973.0,4309.0,31000.0,350.0,113.0,3100.0,-1.0,-1.0,5650.0,14084.0,-1.0,-1.0,-1.0,140000.0,424000.0,-1.0,-1.0,-1.0,19136.0,374564.0,-1.0,-1.0,-1,-1.0,15770.0,30090.0,-1.0,3862.0,3429.0,3048.0,248200.0,26193.0,15238.0,110903.0,-1.0,20000.0,90239.0,-1.0,-1.0,650000.0,-1.0,-1.0,-1.0,462867.0,500.0,-1.0,7500.0,-1.0,6000.0,7400.0,-1.0,13024.0,-1.0,20000.0,2000.0,-1.0,-1.0,223.0,391900.0,32000.0,-1.0,-1.0,-1.0,1400.0,60386.0,-1.0,22000.0,-1.0,59310.0
1968,-1.0,45900.0,-1.0,-1,-1.0,8493.0,5800.0,70078.0,-1.0,10637.0,-1.0,33604.0,2500.0,-1.0,37628.0,-1.0,9133.0,96647.0,-1.0,-1.0,-1.0,92.0,1000.0,-1.0,534.0,-1.0,5850.0,-1.0,40.0,-1.0,11000.0,750800.0,69000.0,-1.0,158274.0,4897.0,32000.0,400.0,362.0,3200.0,-1.0,-1.0,5700.0,16753.0,-1.0,-1.0,-1.0,127000.0,445000.0,-1.0,-1.0,-1.0,8260.0,324121.0,-1.0,-1.0,-1,-1.0,14680.0,35320.0,-1.0,5025.0,3517.0,3556.0,242500.0,26569.0,25770.0,124148.0,-1.0,20000.0,85830.0,-1.0,-1.0,750000.0,-1.0,-1.0,-1.0,490900.0,500.0,-1.0,7300.0,-1.0,6000.0,6800.0,-1.0,9551.0,-1.0,6600.0,2000.0,-1.0,-1.0,115.0,361170.0,29000.0,-1.0,-1.0,-1.0,1600.0,52615.0,-1.0,23008.0,-1.0,54600.0
1969,-1.0,65895.0,-1.0,-1,-1.0,10766.0,6000.0,93830.0,-1.0,10516.0,-1.0,35090.0,2500.0,-1.0,40942.0,-1.0,6632.0,120712.0,-1.0,-1.0,-1.0,92.0,900.0,-1.0,433.0,-1.0,5600.0,-1.0,40.0,-1.0,11105.0,755600.0,70000.0,-1.0,152992.0,4813.0,33000.0,450.0,308.0,3350.0,-1.0,-1.0,5750.0,18942.0,-1.0,-1.0,-1.0,141000.0,466000.0,-1.0,-1.0,-1.0,8997.0,317709.0,-1.0,-1.0,-1,-1.0,17730.0,42050.0,-1.0,5280.0,3607.0,3474.0,238500.0,26882.0,19886.0,118613.0,-1.0,20000.0,71542.0,-1.0,-1.0,900000.0,-1.0,-1.0,-1.0,531895.0,500.0,-1.0,2700.0,-1.0,7000.0,6700.0,-1.0,9000.0,-1.0,11654.0,2000.0,-1.0,-1.0,48.0,382640.0,28000.0,-1.0,-1.0,-1.0,1700.0,52997.0,-1.0,23117.0,-1.0,47250.0
1970,-1.0,53184.0,-1.0,-1,-1.0,14569.0,6300.0,86412.0,-1.0,9819.0,-1.0,38800.0,3550.0,-1.0,42232.0,-1.0,6276.0,112545.0,-1.0,-1.0,-1.0,92.0,900.0,-1.0,476.0,-1.0,6300.0,-1.0,60.0,-1.0,11080.0,744500.0,75000.0,-1.0,151420.0,2812.0,34500.0,600.0,350.0,2000.0,-1.0,-1.0,5800.0,19178.0,-1.0,-1.0,-1.0,149000.0,488000.0,-1.0,-1.0,-1.0,17662.0,313433.0,-1.0,-1.0,-1,-1.0,19670.0,48700.0,-1.0,5097.0,3700.0,3861.0,181100.0,26133.0,15639.0,104235.0,-1.0,20000.0,63459.0,-1.0,-1.0,950000.0,-1.0,-1.0,-1.0,541184.0,400.0,-1.0,4400.0,-1.0,8000.0,7300.0,-1.0,8000.0,-1.0,6082.0,2000.0,-1.0,-1.0,130.0,404060.0,27000.0,-1.0,-1.0,-1.0,1700.0,49073.0,-1.0,28000.0,-1.0,46500.0
