,Peru,Yemen,Serbia and Montenegro,Croatia,Burkina Faso,Tajikistan,Armenia,Syrian Arab Republic,Brazil,Nepal,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Cyprus,Spain,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Slovenia,United Arab Emirates,Kyrgyzstan,Argentina,Ukraine,Georgia,Israel,Morocco,USSR,Mexico,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Côte d'Ivoire,Libya,Yugoslav SFR,Turkmenistan,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,Australia,Portugal,"China, mainland",Gambia,Swaziland,Republic of Moldova,Turkey
1961,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2300.0,-1,-1.0,3200.0,-1.0,-1.0,-1.0,-1.0,5800.0,203600.0,-1.0,0.0,36138.0,15000.0,13300.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,316000.0,1600.0,-1.0,-1.0,85000.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37000.0,-1.0,-1.0,-1.0,-1.0,13060.0
1962,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,3400.0,-1.0,-1.0,-1.0,-1.0,5800.0,206600.0,-1.0,0.0,37676.0,15000.0,13300.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,-1.0,313400.0,2500.0,-1.0,-1.0,98000.0,-1.0,-1.0,-1.0,-1.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,13345.0
1963,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,3600.0,-1.0,-1.0,-1.0,-1.0,5800.0,208900.0,-1.0,0.0,39578.0,13000.0,13300.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,311300.0,2500.0,-1.0,-1.0,85000.0,-1.0,-1.0,-1.0,-1.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36000.0,-1.0,-1.0,-1.0,-1.0,13570.0
1964,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,3800.0,-1.0,-1.0,-1.0,-1.0,5800.0,217000.0,-1.0,0.0,41196.0,13000.0,14200.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,309800.0,2500.0,-1.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36000.0,-1.0,-1.0,-1.0,-1.0,13625.0
1965,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2539.0,-1,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,8500.0,215300.0,-1.0,0.0,47469.0,13000.0,13800.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,307000.0,2633.0,-1.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,1880.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,14000.0
1966,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2582.0,-1,-1.0,4100.0,-1.0,-1.0,-1.0,-1.0,8500.0,210700.0,-1.0,0.0,47874.0,9000.0,12700.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1.0,-1.0,304200.0,3014.0,-1.0,-1.0,140000.0,-1.0,-1.0,-1.0,-1.0,1993.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,14500.0
1967,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2977.0,-1,-1.0,4200.0,-1.0,-1.0,-1.0,-1.0,9500.0,209700.0,-1.0,0.0,50423.0,15000.0,12900.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,2300.0,-1.0,-1.0,-1.0,-1.0,302000.0,3120.0,-1.0,-1.0,110000.0,-1.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,15315.0
1968,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2545.0,-1,-1.0,4400.0,-1.0,-1.0,-1.0,-1.0,12000.0,222800.0,-1.0,0.0,54672.0,20000.0,10000.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,2400.0,-1.0,-1.0,-1.0,-1.0,299400.0,307.0,-1.0,-1.0,180000.0,-1.0,-1.0,-1.0,-1.0,515.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38750.0,-1.0,-1.0,-1.0,-1.0,12850.0
1969,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2549.0,-1,-1.0,4600.0,-1.0,-1.0,-1.0,-1.0,9500.0,217200.0,-1.0,0.0,60297.0,20000.0,5500.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,296500.0,54.0,-1.0,-1.0,100000.0,-1.0,-1.0,-1.0,-1.0,567.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38860.0,-1.0,-1.0,-1.0,-1.0,13500.0
1970,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2144.0,-1,-1.0,4800.0,-1.0,-1.0,-1.0,-1.0,8696.0,267700.0,-1.0,0.0,68760.0,20000.0,6700.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1.0,-1.0,296000.0,0.0,-1.0,-1.0,186500.0,-1.0,-1.0,-1.0,-1.0,919.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39020.0,-1.0,-1.0,-1.0,-1.0,14140.0
