,Ecuador,Japan,Bolivia (Plurinational State of),Kenya,Papua New Guinea,Rwanda,Brazil,Melanesia,Spain,United Republic of Tanzania
1961,1800.0,2000.0,,30000.0,150.0,1000.0,,150.0,,13000.0
1962,1800.0,2000.0,,30000.0,270.0,1000.0,,270.0,,16000.0
1963,3000.0,2000.0,,28000.0,400.0,840.0,,400.0,,25000.0
1964,4500.0,2000.0,,15000.0,500.0,850.0,,500.0,,25000.0
1965,7000.0,1900.0,,20000.0,600.0,970.0,,600.0,,28000.0
1966,7605.0,1500.0,,21000.0,600.0,1009.0,,600.0,,27000.0
1967,8963.0,1100.0,,30000.0,1200.0,1106.0,,1200.0,,30000.0
1968,8788.0,800.0,,31000.0,932.0,1178.0,,932.0,,24000.0
1969,4244.0,700.0,,25000.0,1209.0,980.0,,1209.0,,32000.0
1970,3480.0,600.0,,20000.0,1086.0,1020.0,,1086.0,,28000.0
1971,2604.0,600.0,,30000.0,902.0,1540.0,,902.0,,30965.0
1972,1630.0,550.0,,30000.0,654.0,2340.0,,654.0,,33200.0
1973,1135.0,550.0,,30000.0,747.0,3156.0,,747.0,,30000.0
1974,776.0,450.0,,35000.0,692.0,3244.0,,692.0,,36500.0
1975,554.0,450.0,,37000.0,750.0,3850.0,,750.0,,59786.0
1976,325.0,400.0,,31000.0,600.0,2812.0,,600.0,,76392.0
1977,304.0,350.0,,24000.0,880.0,2503.0,,880.0,,79481.0
1978,245.0,300.0,,17000.0,400.0,2367.0,,400.0,,54311.0
1979,380.0,250.0,,16000.0,450.0,3167.0,,450.0,,25000.0
1980,380.0,200.0,,15000.0,550.0,1935.0,,550.0,,20000.0
1981,380.0,150.0,,19000.0,850.0,2360.0,,850.0,,14000.0
1982,51.0,100.0,,17545.0,850.0,2360.0,,850.0,,9000.0
1983,401.0,50.0,,18140.0,850.0,2360.0,,850.0,,8000.0
1984,93.0,0.0,,17696.0,850.0,2465.0,,850.0,,8000.0
1985,84.0,,,12460.0,870.0,2262.0,,870.0,,8000.0
1986,84.0,,,7633.0,900.0,2020.0,,900.0,,7500.0
1987,5.0,,,8290.0,900.0,1900.0,,900.0,,8000.0
1988,34.0,,,9000.0,950.0,2100.0,,950.0,,8000.0
1989,23.0,,,9422.0,950.0,2200.0,,950.0,,8000.0
1990,16.0,0.0,,11236.0,980.0,2429.0,,980.0,,8000.0
1991,150.0,0.0,,15000.0,900.0,2200.0,,900.0,-1.0,8000.0
1992,150.0,0.0,,18000.0,920.0,2200.0,,920.0,-1.0,7780.0
1993,150.0,-1.0,-1.0,17000.0,925.0,2200.0,-1.0,925.0,-1.0,8000.0
1994,160.0,-1.0,-1.0,16000.0,1000.0,2200.0,-1.0,1000.0,,8000.0
1995,170.0,-1.0,-1.0,13000.0,1000.0,2200.0,-1.0,1000.0,,8000.0
1996,180.0,-1.0,-1.0,12000.0,1150.0,2200.0,-1.0,1150.0,,8100.0
1997,180.0,-1.0,-1.0,11000.0,1200.0,2200.0,-1.0,1200.0,,8100.0
1998,200.0,-1.0,-1.0,10000.0,1300.0,2200.0,-1.0,1300.0,,8100.0
1999,200.0,-1.0,-1.0,11000.0,1400.0,2200.0,-1.0,1400.0,,8200.0
2000,200.0,-1.0,-1.0,9000.0,1500.0,2200.0,-1.0,1500.0,,8500.0
2001,210.0,-1.0,-1.0,9000.0,1600.0,2200.0,-1.0,1600.0,-1.0,13500.0
2002,220.0,-1.0,-1.0,9000.0,1600.0,2200.0,-1.0,1600.0,-1.0,13500.0
2003,220.0,-1.0,-1.0,9000.0,1700.0,2200.0,-1.0,1700.0,-1.0,6500.0
2004,230.0,-1.0,-1.0,9000.0,1700.0,2200.0,-1.0,1700.0,-1.0,4500.0
2005,230.0,-1.0,-1.0,9000.0,1800.0,2200.0,-1.0,1800.0,-1.0,6000.0
2006,240.0,-1.0,-1.0,9000.0,1800.0,2200.0,-1.0,1800.0,-1.0,15000.0
2007,240.0,-1.0,-1.0,9000.0,1800.0,2200.0,-1.0,1800.0,-1.0,12000.0
2008,250.0,-1.0,-1.0,9000.0,1900.0,2200.0,-1.0,1900.0,-1.0,5000.0
2009,250.0,-1.0,-1.0,6000.0,1900.0,25.0,-1.0,1900.0,-1.0,5500.0
2010,250.0,-1.0,-1.0,6100.0,1900.0,15.0,-1.0,1900.0,-1.0,7999.0
2011,250.0,-1.0,-1.0,8168.0,1900.0,35.0,-1.0,1900.0,-1.0,7386.0
2012,258.0,-1.0,-1.0,8200.0,1796.0,150.0,-1.0,1796.0,-1.0,8769.0
2013,270.0,-1.0,-1.0,3300.0,1767.0,466.0,-1.0,1767.0,-1.0,15580.0
2014,276.0,-1.0,-1.0,3700.0,2080.0,452.0,-1.0,2080.0,-1.0,14747.0
