,India,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Guyana,Cameroon,Malaysia,Comoros,Tonga,Dominican Republic,Philippines,Brazil,Benin,United Republic of Tanzania,Indonesia,Pacific Islands Trust Territory,Liberia,Sri Lanka,Uganda,Sao Tome and Principe,Togo,Papua New Guinea,Melanesia,Guadeloupe,Belize,Democratic Republic of the Congo,Vanuatu,Guatemala,Thailand,American Samoa,Nigeria,Madagascar,Samoa,Saint Lucia,Suriname,Haiti,Costa Rica,Guinea,Cuba,El Salvador,Dominica,Fiji,Congo,Equatorial Guinea,Gabon,Grenada,Ecuador,Honduras,Central African Republic,Mexico,China,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Colombia,Angola,Trinidad and Tobago,Jamaica,Solomon Islands,Micronesia (Federated States of),Polynesia,Panama,Sierra Leone,Saint Vincent and the Grenadines,Martinique,Micronesia,Ghana,Nicaragua,Timor-Leste
1961,-1.0,3452.0,5600.0,-1,700.0,380000.0,1300.0,100.0,-1.0,75000.0,9040.0,474270.0,-1,1000.0,6690.0,40.0,6500.0,13971.0,900.0,31000.0,15000.0,27465.0,28824.0,500.0,80.0,15000.0,1300.0,1400.0,-1.0,63.0,700000.0,1800.0,8903.0,430.0,848.0,4500.0,29000.0,15000.0,12500.0,400.0,500.0,35.0,3000.0,90000.0,10000.0,5000.0,220000.0,209.0,300.0,67994.0,-1,70000.0,260000.0,33000.0,1600.0,20000.0,7170.0,24.0,-1.0,8966.0,4500.0,6000.0,250.0,200.0,40.0,1756000.0,3800.0,150.0
1962,-1.0,3484.0,5500.0,-1,785.0,380000.0,1300.0,85.0,-1.0,75000.0,9740.0,464762.0,-1,1000.0,7375.0,40.0,6500.0,12048.0,1000.0,32000.0,15000.0,30690.0,32375.0,800.0,10.0,15000.0,1600.0,1400.0,-1.0,80.0,700000.0,1800.0,12141.0,290.0,1122.0,4500.0,29900.0,15000.0,12500.0,400.0,500.0,35.0,3000.0,90000.0,10000.0,5000.0,220000.0,192.0,500.0,68073.0,-1,70000.0,277000.0,34000.0,1600.0,20000.0,7340.0,50.0,-1.0,12221.0,4200.0,10000.0,300.0,200.0,40.0,1800000.0,3800.0,150.0
1963,-1.0,3176.0,5560.0,-1,800.0,380000.0,1000.0,110.0,-1.0,80000.0,9170.0,469644.0,-1,1000.0,6659.0,40.0,6500.0,10790.0,1000.0,32000.0,17000.0,32000.0,34125.0,800.0,240.0,15000.0,2000.0,1400.0,-1.0,100.0,700000.0,1800.0,10117.0,290.0,941.0,5000.0,30000.0,15000.0,13500.0,400.0,500.0,45.0,3000.0,90000.0,10000.0,5000.0,225000.0,251.0,450.0,68512.0,-1,70000.0,292000.0,35000.0,1400.0,20000.0,6300.0,80.0,-1.0,10217.0,4000.0,7000.0,350.0,200.0,40.0,1820000.0,3800.0,150.0
1964,-1.0,3206.0,4760.0,-1,812.0,380000.0,2000.0,116.0,-1.0,80000.0,9630.0,487136.0,-1,1000.0,7662.0,40.0,9500.0,9955.0,1100.0,32000.0,22000.0,56300.0,57515.0,500.0,210.0,14000.0,1000.0,1700.0,-1.0,100.0,700000.0,1840.0,10117.0,290.0,827.0,5000.0,30000.0,15000.0,7000.0,400.0,500.0,90.0,3000.0,90000.0,10000.0,5000.0,163000.0,261.0,550.0,68500.0,-1,70000.0,308000.0,37000.0,1400.0,20000.0,8300.0,125.0,-1.0,10217.0,3800.0,7000.0,400.0,200.0,40.0,1848000.0,3800.0,150.0
1965,-1.0,3028.0,4770.0,-1,817.0,380000.0,2000.0,80.0,-1.0,70000.0,9390.0,482317.0,-1,1000.0,8431.0,45.0,8500.0,10783.0,1100.0,32000.0,22000.0,40000.0,41640.0,500.0,220.0,14000.0,1400.0,1700.0,-1.0,100.0,700000.0,2055.0,6000.0,150.0,1025.0,5400.0,30000.0,15000.0,11000.0,400.0,400.0,80.0,3000.0,90000.0,10000.0,4500.0,240000.0,272.0,900.0,69756.0,-1,70000.0,327000.0,37400.0,1400.0,20000.0,6100.0,160.0,-1.0,6100.0,3600.0,7000.0,500.0,200.0,45.0,1830000.0,3800.0,150.0
1966,-1.0,3056.0,4399.0,-1,826.0,395000.0,2000.0,160.0,-1.0,75000.0,9400.0,455866.0,-1,1000.0,7783.0,50.0,10500.0,11403.0,1200.0,32000.0,22000.0,37000.0,38700.0,500.0,90.0,15000.0,1400.0,1700.0,-1.0,90.0,700000.0,2235.0,8000.0,140.0,876.0,4500.0,30000.0,15000.0,11000.0,400.0,400.0,100.0,3000.0,90000.0,22600.0,4500.0,180000.0,286.0,815.0,70015.0,-1,69850.0,342800.0,38000.0,1400.0,20000.0,5100.0,200.0,-1.0,8090.0,3500.0,10000.0,500.0,200.0,50.0,1350000.0,3800.0,150.0
1967,-1.0,3334.0,4400.0,-1,793.0,380000.0,3000.0,116.0,-1.0,75000.0,8800.0,473078.0,-1,1000.0,9176.0,50.0,10000.0,11018.0,1400.0,32000.0,25000.0,45000.0,46605.0,500.0,100.0,15000.0,1400.0,2400.0,-1.0,80.0,700000.0,2245.0,8000.0,140.0,744.0,4800.0,30000.0,15000.0,9000.0,400.0,400.0,80.0,3000.0,90000.0,22000.0,4500.0,200000.0,352.0,937.0,68951.0,-1,69937.0,358000.0,37000.0,1400.0,20000.0,4100.0,125.0,-1.0,8080.0,3400.0,9000.0,500.0,200.0,50.0,1450000.0,3900.0,150.0
1968,-1.0,3611.0,3667.0,-1,796.0,370000.0,3000.0,110.0,-1.0,75000.0,9220.0,432691.0,-1,1000.0,9470.0,50.0,10000.0,9339.0,2000.0,33000.0,28000.0,52400.0,54595.0,500.0,150.0,15000.0,1800.0,1700.0,-1.0,70.0,700000.0,2270.0,7082.0,140.0,601.0,4500.0,32500.0,15000.0,11000.0,400.0,400.0,180.0,3000.0,102000.0,25000.0,5500.0,210000.0,349.0,900.0,69894.0,-1,69754.0,371100.0,39000.0,2000.0,20000.0,3850.0,215.0,-1.0,7152.0,3300.0,12000.0,500.0,200.0,50.0,1300000.0,4000.0,150.0
1969,-1.0,3650.0,4231.0,-1,796.0,374000.0,3000.0,112.0,-1.0,70000.0,9200.0,437637.0,-1,1000.0,10041.0,50.0,9000.0,9983.0,2100.0,33000.0,30000.0,55396.0,56931.0,500.0,50.0,16000.0,1200.0,1400.0,-1.0,70.0,700000.0,2400.0,6515.0,140.0,595.0,4800.0,31200.0,15000.0,8800.0,400.0,400.0,135.0,3000.0,90000.0,25000.0,5000.0,228355.0,377.0,920.0,72908.0,-1,70496.0,386800.0,41300.0,2000.0,20000.0,3850.0,200.0,-1.0,6585.0,3300.0,9000.0,500.0,200.0,50.0,1450000.0,4000.0,150.0
1970,-1.0,3700.0,4251.0,-1,773.0,390000.0,4000.0,110.0,-1.0,105300.0,8400.0,443916.0,-1,1000.0,8107.0,50.0,9000.0,11256.0,2000.0,33000.0,33000.0,54389.0,56579.0,500.0,80.0,21600.0,1800.0,1400.0,-1.0,60.0,700000.0,2800.0,7000.0,140.0,511.0,5500.0,30000.0,15000.0,9000.0,400.0,400.0,130.0,3000.0,90000.0,25000.0,5000.0,228262.0,300.0,960.0,75934.0,-1,70594.0,404300.0,45700.0,4000.0,20000.0,5300.0,260.0,-1.0,7060.0,3221.0,12000.0,500.0,-1.0,50.0,1451000.0,4500.0,150.0
1971,-1.0,3285.0,4304.0,-1,777.0,396922.0,7400.0,60.0,-1.0,90200.0,7400.0,447693.0,-1,1000.0,9163.0,50.0,11774.0,9834.0,2000.0,33000.0,34000.0,55262.0,56682.0,500.0,90.0,21200.0,1000.0,1700.0,-1.0,60.0,700000.0,3245.0,7284.0,140.0,428.0,6200.0,30000.0,15000.0,9000.0,400.0,400.0,180.0,4000.0,90000.0,25000.0,4500.0,219077.0,300.0,1100.0,78358.0,-1,72584.0,422800.0,49000.0,2100.0,20000.0,4000.0,240.0,-1.0,7344.0,3200.0,11000.0,500.0,-1.0,50.0,1500000.0,4500.0,150.0
