,Haiti,Fiji,Paraguay,Panama,Togo,Thailand,Belize,Ethiopia,Kenya,Guyana,Lao People's Democratic Republic,Zambia,Papua New Guinea,Suriname,Equatorial Guinea,Brazil,Mozambique,El Salvador,Saint Lucia,Colombia,Timor-Leste,Central African Republic,India,Jamaica,Ecuador,Cabo Verde,Indonesia,Angola,Ethiopia PDR,Saudi Arabia,Sao Tome and Principe,Malaysia,Mexico,Yemen,Vanuatu,New Caledonia,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Dominican Republic,Tonga,Peru,United States of America,Philippines,Spain,"China, mainland",French Polynesia,Rwanda,Cameroon,Guatemala,Cuba,Puerto Rico,Ghana,Dominica,Madagascar,United Republic of Tanzania,Burundi,Samoa,Nepal,Guinea,Costa Rica,Mauritius,Uganda,Comoros,Benin,China,Cambodia,Guadeloupe,Honduras,Zimbabwe,Gabon,Malawi,"China, Taiwan Province of",Trinidad and Tobago,Melanesia,Nicaragua,Viet Nam,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Cook Islands,Sierra Leone,Sri Lanka,Côte d'Ivoire,Polynesia,Myanmar,Liberia
1961,45720.0,,6000.0,5000.0,10300.0,60.0,-1.0,,28100.0,860.0,1000.0,,2520.0,342.0,6600.0,2228704.0,1000.0,122500.0,25.0,450000.0,1700.0,8200.0,43200.0,2546.0,53500.0,52.0,103100.0,168600.0,127400.0,200.0,258.0,2700.0,126616.0,6300.0,240.0,2250.0,54000.0,1100.0,900.0,2400.0,36210.0,,42643.0,3100.0,32300.0,5.0,1500.0,113.0,10500.0,44700.0,100600.0,37000.0,15876.0,1700.0,,54000.0,33000.0,14000.0,115.0,-1.0,15000.0,61769.0,,94100.0,100.0,2090.0,1612.0,240.0,500.0,21450.0,,1100.0,167.0,112.0,2885.0,5010.0,23200.0,4100.0,4400.0,50.0,57050.0,3.0,5103.0,4002.0,185500.0,231.0,200.0,3400.0
1962,31860.0,1.0,6180.0,4400.0,11600.0,60.0,-1.0,,50000.0,1039.0,1500.0,,4140.0,329.0,8100.0,2190303.0,1000.0,98300.0,25.0,482100.0,2127.0,5800.0,46000.0,1969.0,55500.0,22.0,106700.0,185000.0,132700.0,200.0,297.0,2580.0,139794.0,6300.0,200.0,2125.0,66000.0,2000.0,1300.0,2400.0,45968.0,,46356.0,4900.0,43100.0,5.0,1700.0,271.0,10000.0,45000.0,117700.0,52206.0,17917.0,3920.0,,73000.0,35000.0,13001.0,130.0,-1.0,13000.0,54523.0,,119000.0,100.0,1730.0,1756.0,350.0,500.0,27939.0,,2500.0,198.0,56.0,3900.0,6466.0,29800.0,4020.0,4400.0,50.0,54228.0,5.0,2419.0,3754.0,97071.0,406.0,949.0,3754.0
1963,34980.0,1.0,7140.0,4500.0,13800.0,60.0,-1.0,,40500.0,659.0,2000.0,,5280.0,378.0,6700.0,1650527.0,1000.0,122700.0,25.0,450000.0,2453.0,12600.0,56200.0,2009.0,42800.0,40.0,139600.0,168300.0,139100.0,200.0,258.0,2820.0,137069.0,5800.0,200.0,2250.0,66000.0,2000.0,1500.0,2400.0,44783.0,,48940.0,2400.0,32900.0,5.0,2000.0,141.0,4700.0,53600.0,104400.0,34691.0,14288.0,2650.0,,62000.0,40900.0,5777.0,130.0,-1.0,12300.0,62295.0,,158200.0,150.0,1002.0,2042.0,400.0,300.0,29014.0,,1100.0,230.0,42.0,3625.0,7731.0,26200.0,4500.0,4400.0,55.0,60678.0,7.0,3958.0,5520.0,194639.0,278.0,1688.0,3670.0
1964,36000.0,1.0,7200.0,4300.0,13800.0,60.0,-1.0,,41400.0,1129.0,3500.0,,7500.0,380.0,8235.0,1042013.0,1000.0,123100.0,25.0,468000.0,2378.0,7600.0,69300.0,1997.0,47000.0,39.0,118200.0,198200.0,170400.0,100.0,197.0,3120.0,156477.0,5700.0,200.0,2437.0,57000.0,3000.0,1500.0,2400.0,51974.0,,52740.0,3600.0,39311.0,5.0,2300.0,200.0,8100.0,59100.0,105200.0,32028.0,17010.0,6700.0,,70415.0,43600.0,17737.0,120.0,-1.0,9000.0,47219.0,,172400.0,100.0,1065.0,2346.0,350.0,400.0,29276.0,,1100.0,133.0,46.0,4181.0,10138.0,40200.0,5500.0,7400.0,55.0,56141.0,11.0,6029.0,8395.0,260698.0,331.0,1162.0,3500.0
1965,36720.0,1.0,6018.0,4300.0,13500.0,120.0,-1.0,,39300.0,1156.0,3500.0,,9240.0,397.0,6664.0,2294047.0,1000.0,109200.0,25.0,492000.0,2806.0,11400.0,60900.0,2170.0,66200.0,45.0,134500.0,205000.0,140000.0,100.0,214.0,3120.0,162149.0,6300.0,250.0,2200.0,58500.0,3000.0,2700.0,2400.0,43072.0,,48264.0,2722.0,44145.0,6.0,2500.0,89.0,9998.0,74100.0,126100.0,23880.0,13600.0,1644.0,,65640.0,56400.0,12831.0,135.0,-1.0,9600.0,58384.0,,152100.0,100.0,891.0,2577.0,400.0,200.0,32195.0,,1100.0,128.0,77.0,4198.0,11691.0,31500.0,7500.0,4700.0,60.0,54387.0,10.0,3937.0,7008.0,202105.0,234.0,1534.0,3187.0
1966,30540.0,2.0,6510.0,5000.0,7900.0,120.0,-1.0,,56900.0,1122.0,3500.0,0.0,11700.0,377.0,6400.0,1202868.0,1000.0,123100.0,25.0,492000.0,2088.0,9127.0,63900.0,1861.0,57222.0,106.0,142200.0,225700.0,140000.0,100.0,158.0,3480.0,183005.0,5323.0,250.0,1770.0,54000.0,4000.0,910.0,2400.0,44535.0,,52380.0,2918.0,42793.0,8.0,3200.0,173.0,8603.0,63300.0,106200.0,33407.0,12882.0,8610.0,,71535.0,66900.0,14071.0,150.0,-1.0,13000.0,68344.0,,153900.0,180.0,1041.0,3236.0,480.0,300.0,33569.0,52.0,900.0,166.0,36.0,2920.0,13722.0,24921.0,6300.0,7700.0,60.0,61000.0,11.0,9593.0,6660.0,272566.0,334.0,1292.0,8911.0
1967,31600.0,5.0,7110.0,5166.0,10500.0,120.0,-1.0,,48000.0,1290.0,3500.0,0.0,15720.0,431.0,8700.0,1507500.0,1000.0,144800.0,25.0,456000.0,6602.0,8207.0,78500.0,1991.0,61731.0,121.0,153478.0,235200.0,155000.0,100.0,175.0,3420.0,224505.0,4423.0,300.0,1537.0,60000.0,1712.0,920.0,2400.0,42400.0,,52753.0,1974.0,44300.0,8.0,3500.0,126.0,11157.0,79600.0,102363.0,34246.0,14742.0,4057.0,,73065.0,49600.0,18682.0,150.0,-1.0,13000.0,76014.0,,166400.0,180.0,1086.0,3566.0,433.0,300.0,35041.0,62.0,900.0,151.0,66.0,3117.0,17562.0,33233.0,7000.0,8200.0,70.0,61824.0,12.0,3000.0,11488.0,130759.0,288.0,1506.0,4327.0
1968,30180.0,8.0,7340.0,4500.0,17208.0,180.0,-1.0,,39600.0,1302.0,3500.0,0.0,14570.0,359.0,7500.0,1057700.0,1000.0,123800.0,25.0,480000.0,1023.0,8826.0,57331.0,1972.0,60493.0,82.0,157347.0,198000.0,160000.0,100.0,133.0,3600.0,212656.0,4423.0,240.0,870.0,63300.0,2360.0,890.0,2400.0,44500.0,,64652.0,2068.0,43862.0,8.0,3500.0,190.0,12015.0,81700.0,112392.0,29246.0,11793.0,6440.0,,70850.0,51100.0,16539.0,150.0,-1.0,14500.0,69372.0,,133000.0,180.0,511.0,3540.0,350.0,300.0,36512.0,212.0,1200.0,145.0,40.0,4586.0,15688.0,30246.0,6000.0,9500.0,70.0,45886.0,10.0,4131.0,10020.0,287760.0,350.0,1406.0,4686.0
1969,27000.0,11.0,6090.0,5139.0,13795.0,240.0,-1.0,,52400.0,684.0,3450.0,3.0,21478.0,233.0,7200.0,1283500.0,1000.0,143980.0,24.0,474000.0,5025.0,12163.0,73430.0,1589.0,44345.0,94.0,173613.0,215000.0,165000.0,120.0,151.0,3780.0,172734.0,5013.0,180.0,1620.0,68000.0,4776.0,1111.0,600.0,43550.0,,68439.0,1498.0,44172.0,7.0,3700.0,145.0,12399.0,81815.0,118685.0,31649.0,9078.0,4700.0,,63945.0,51545.0,14551.0,150.0,-1.0,10000.0,84549.0,,247200.0,180.0,2268.0,3748.0,460.0,300.0,37984.0,212.0,1200.0,154.0,48.0,3191.0,23289.0,33904.0,6500.0,10100.0,80.0,60665.0,10.0,8257.0,10943.0,210124.0,305.0,1210.0,4261.0
1970,32610.0,11.0,4310.0,4436.0,13877.0,600.0,-1.0,,58300.0,703.0,3200.0,7.0,27495.0,207.0,7200.0,754800.0,1000.0,129490.0,24.0,507000.0,4906.0,10665.0,63619.0,1805.0,72053.0,114.0,185091.0,204000.0,170000.0,120.0,125.0,3540.0,185293.0,4813.0,120.0,780.0,69600.0,2826.0,1102.0,600.0,42494.0,,65368.0,1560.0,49017.0,8.0,3800.0,102.0,14240.0,92993.0,126546.0,19742.0,15422.0,6510.0,,66555.0,46140.0,22084.0,150.0,-1.0,11500.0,73192.0,,201500.0,180.0,1940.0,3836.0,600.0,300.0,39456.0,615.0,900.0,263.0,36.0,2302.0,28406.0,39418.0,7300.0,11200.0,80.0,60586.0,10.0,6188.0,7306.0,279610.0,262.0,1016.0,4967.0
