,Kenya,"China, Taiwan Province of",Belarus,Croatia,Zambia,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Uzbekistan,Denmark,The former Yugoslav Republic of Macedonia,Greece,Ireland,Zimbabwe,Republic of Korea,Norway,Yemen,Australia & New Zealand,Yugoslav SFR,Algeria,Slovenia,Madagascar,Latvia,Ukraine,Israel,Belgium,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Saint Vincent and the Grenadines,Portugal,Poland,"China, mainland",Russian Federation,Italy,Luxembourg,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,Germany,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Djibouti,Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,India,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Slovakia,France,South Africa,Australia,Lithuania,Netherlands,Belgium-Luxembourg,Republic of Moldova,Turkey
1961,-1.0,963.0,-1.0,-1.0,-1,2000.0,45092.0,-1.0,-1.0,-1.0,9000.0,-1.0,94000.0,-1.0,-1.0,29913.0,5000.0,-1.0,123314.0,93000.0,9000.0,-1.0,100.0,-1.0,-1.0,2400.0,-1.0,200000.0,4000.0,-1.0,9000.0,-1.0,481963.0,-1.0,-1.0,100.0,9000.0,-1.0,-1.0,19000.0,41600.0,-1.0,-1.0,20.0,50000.0,21100.0,481000.0,-1.0,791000.0,-1.0,5000.0,5200.0,10000.0,-1.0,-1.0,398000.0,-1.0,53000.0,33489.0,294800.0,2000.0,1000.0,355.0,125000.0,13900.0,64260.0,598000.0,17000.0,-1.0,8100.0,41000.0,-1.0,76000.0,50.0,-1.0,33000.0,319000.0,2000.0,-1.0,12000.0,287000.0,20931.0,29000.0,5000.0,438.0,3000.0,4500.0,-1.0,333000.0,55992.0,109414.0,-1.0,125000.0,55400.0,-1.0,145200.0
1962,-1.0,932.0,-1.0,-1.0,-1,7000.0,47287.0,-1.0,-1.0,-1.0,10100.0,-1.0,95000.0,-1.0,-1.0,27247.0,9000.0,-1.0,152425.0,101000.0,10000.0,-1.0,100.0,-1.0,-1.0,5300.0,-1.0,220000.0,4500.0,-1.0,11000.0,-1.0,443932.0,-1.0,-1.0,200.0,4500.0,-1.0,-1.0,19000.0,127800.0,-1.0,-1.0,20.0,42000.0,61500.0,443000.0,-1.0,875000.0,-1.0,5000.0,5400.0,10000.0,-1.0,-1.0,618000.0,-1.0,60000.0,39005.0,324300.0,2000.0,1200.0,508.0,124000.0,18380.0,80431.0,645000.0,19000.0,-1.0,25200.0,43000.0,-1.0,114000.0,50.0,-1.0,37000.0,221000.0,2000.0,-1.0,18000.0,307000.0,25761.0,44000.0,5039.0,444.0,1900.0,4000.0,-1.0,565000.0,53095.0,134045.0,-1.0,92000.0,52800.0,-1.0,132660.0
1963,-1.0,1101.0,-1.0,-1.0,-1,7000.0,50868.0,-1.0,-1.0,-1.0,8766.0,-1.0,94000.0,-1.0,-1.0,23560.0,7000.0,-1.0,131173.0,80000.0,9000.0,-1.0,100.0,-1.0,-1.0,6600.0,-1.0,136000.0,5000.0,-1.0,9000.0,-1.0,501101.0,-1.0,-1.0,200.0,4000.0,-1.0,-1.0,20000.0,39400.0,-1.0,-1.0,30.0,58000.0,34700.0,500000.0,-1.0,962000.0,-1.0,5000.0,5600.0,9000.0,-1.0,-1.0,516000.0,-1.0,66000.0,38278.0,340400.0,2000.0,1400.0,572.0,158000.0,15500.0,70609.0,428000.0,21000.0,-1.0,27300.0,40000.0,-1.0,98000.0,50.0,-1.0,40000.0,240000.0,2000.0,-1.0,13000.0,392000.0,31761.0,41000.0,5535.0,338.0,2600.0,3900.0,-1.0,381000.0,61450.0,115673.0,-1.0,110000.0,50600.0,-1.0,151570.0
1964,-1.0,2391.0,-1.0,-1.0,-1,6000.0,49070.0,-1.0,-1.0,-1.0,12213.0,-1.0,107000.0,-1.0,-1.0,28364.0,6000.0,-1.0,159079.0,96000.0,7937.0,-1.0,130.0,-1.0,-1.0,8100.0,-1.0,180000.0,5500.0,-1.0,13000.0,-1.0,501391.0,-1.0,-1.0,200.0,14000.0,-1.0,-1.0,20000.0,69300.0,-1.0,-1.0,30.0,48000.0,125800.0,499000.0,-1.0,1081000.0,-1.0,5000.0,5800.0,10000.0,-1.0,-1.0,597000.0,-1.0,69000.0,45347.0,331800.0,2400.0,1500.0,508.0,159000.0,17900.0,92230.0,661000.0,23000.0,-1.0,27400.0,51000.0,-1.0,105000.0,50.0,-1.0,46000.0,263000.0,5000.0,-1.0,18000.0,433000.0,32950.0,40000.0,4298.0,470.0,2000.0,3800.0,-1.0,398000.0,79009.0,141179.0,-1.0,146000.0,70600.0,-1.0,142660.0
1965,-1.0,3296.0,-1.0,-1.0,-1,5000.0,51698.0,-1.0,-1.0,-1.0,10892.0,-1.0,92000.0,-1.0,-1.0,39541.0,8000.0,-1.0,139345.0,40000.0,8061.0,-1.0,130.0,-1.0,-1.0,14400.0,-1.0,100000.0,6000.0,-1.0,16095.0,-1.0,514296.0,-1.0,-1.0,210.0,5100.0,-1.0,-1.0,24000.0,47094.0,-1.0,-1.0,35.0,62000.0,64300.0,511000.0,-1.0,962000.0,-1.0,5000.0,5800.0,12000.0,-1.0,-1.0,366000.0,-1.0,67000.0,23235.0,360200.0,2700.0,1500.0,325.0,169000.0,18500.0,80412.0,453501.0,25000.0,-1.0,35300.0,31000.0,-1.0,87000.0,50.0,-1.0,45000.0,137000.0,9000.0,-1.0,15000.0,447000.0,35168.0,54000.0,3416.0,577.0,2750.0,3800.0,-1.0,342000.0,67554.0,120845.0,-1.0,80000.0,45500.0,-1.0,133500.0
1966,-1.0,3741.0,-1.0,-1.0,-1,6000.0,52747.0,-1.0,-1.0,-1.0,9777.0,-1.0,108000.0,-1.0,-1.0,41358.0,9227.0,-1.0,172790.0,83900.0,7716.0,-1.0,130.0,-1.0,-1.0,18700.0,-1.0,150000.0,6463.0,-1.0,11366.0,-1.0,603741.0,-1.0,-1.0,200.0,5386.0,-1.0,-1.0,25000.0,68219.0,-1.0,-1.0,35.0,43000.0,185300.0,600000.0,-1.0,1590000.0,-1.0,4900.0,5988.0,14000.0,-1.0,-1.0,484000.0,-1.0,39000.0,43157.0,403800.0,3000.0,1700.0,406.0,177500.0,20000.0,102670.0,678755.0,25000.0,-1.0,14200.0,72000.0,-1.0,82000.0,55.0,-1.0,47000.0,250247.0,3500.0,-1.0,12000.0,453000.0,35853.0,63100.0,3511.0,577.0,3150.0,3800.0,-1.0,341000.0,94649.0,152790.0,-1.0,116000.0,30200.0,-1.0,135000.0
1967,-1.0,9791.0,-1.0,-1.0,-1,6000.0,55843.0,-1.0,-1.0,-1.0,11077.0,-1.0,122695.0,-1.0,-1.0,40799.0,5244.0,-1.0,152841.0,86800.0,8992.0,-1.0,500.0,-1.0,-1.0,21050.0,-1.0,236000.0,6600.0,-1.0,18117.0,-1.0,659791.0,-1.0,-1.0,200.0,11272.0,-1.0,-1.0,26000.0,66647.0,-1.0,-1.0,40.0,82000.0,124100.0,650000.0,-1.0,1317000.0,-1.0,4900.0,6155.0,15000.0,-1.0,-1.0,514000.0,-1.0,16000.0,36303.0,446800.0,3700.0,1700.0,609.0,119200.0,19000.0,114989.0,410773.0,27000.0,-1.0,17100.0,48000.0,-1.0,119000.0,55.0,-1.0,48000.0,188062.0,6000.0,-1.0,19000.0,363000.0,35219.0,60900.0,2600.0,630.0,3050.0,3500.0,-1.0,362000.0,78658.0,133841.0,-1.0,72000.0,50200.0,-1.0,165000.0
1968,-1.0,20767.0,-1.0,-1.0,-1,5744.0,57725.0,-1.0,-1.0,-1.0,13548.0,-1.0,130784.0,-1.0,-1.0,47796.0,12260.0,-1.0,169642.0,98800.0,9629.0,-1.0,500.0,-1.0,-1.0,27500.0,-1.0,191000.0,6800.0,-1.0,13000.0,-1.0,700767.0,-1.0,-1.0,200.0,16212.0,-1.0,-1.0,28000.0,82232.0,-1.0,-1.0,40.0,58790.0,194200.0,680000.0,-1.0,1395000.0,-1.0,4900.0,4026.0,16000.0,-1.0,-1.0,741000.0,-1.0,76000.0,37539.0,475100.0,3700.0,1800.0,711.0,225500.0,19600.0,129321.0,560368.0,27000.0,-1.0,16800.0,76000.0,-1.0,111800.0,60.0,-1.0,49000.0,208725.0,7000.0,-1.0,19000.0,629000.0,37023.0,59700.0,2697.0,558.0,3900.0,3800.0,-1.0,441000.0,84802.0,150042.0,-1.0,180000.0,100200.0,-1.0,180000.0
1969,-1.0,19942.0,-1.0,-1.0,-1,5528.0,59217.0,-1.0,-1.0,-1.0,10590.0,-1.0,104903.0,-1.0,-1.0,46040.0,11661.0,-1.0,124054.0,111052.0,9682.0,-1.0,500.0,-1.0,-1.0,21350.0,-1.0,180000.0,7000.0,-1.0,13000.0,-1.0,639942.0,-1.0,-1.0,200.0,5805.0,-1.0,-1.0,29000.0,90492.0,-1.0,-1.0,50.0,47230.0,112100.0,620000.0,-1.0,1635000.0,-1.0,5000.0,4950.0,18000.0,-1.0,-1.0,481400.0,-1.0,60250.0,23109.0,489300.0,3700.0,1800.0,355.0,225600.0,17000.0,124633.0,659175.0,30000.0,-1.0,21400.0,58000.0,-1.0,102600.0,70.0,-1.0,50000.0,164882.0,7000.0,-1.0,11000.0,347000.0,35706.0,67600.0,2934.0,-1.0,2750.0,4000.0,-1.0,449000.0,95147.0,107054.0,-1.0,90000.0,60200.0,-1.0,160000.0
1970,-1.0,23749.0,-1.0,-1.0,-1,5965.0,60676.0,-1.0,-1.0,-1.0,15252.0,-1.0,124544.0,-1.0,-1.0,52041.0,10272.0,-1.0,212160.0,111930.0,9634.0,-1.0,450.0,-1.0,-1.0,35800.0,-1.0,170000.0,7178.0,-1.0,23000.0,-1.0,677749.0,-1.0,-1.0,200.0,9755.0,-1.0,-1.0,30000.0,80034.0,-1.0,-1.0,60.0,46000.0,117500.0,654000.0,-1.0,1906000.0,-1.0,5000.0,6530.0,19000.0,-1.0,-1.0,648000.0,-1.0,76000.0,37615.0,463500.0,3600.0,1900.0,609.0,240100.0,21700.0,135019.0,497865.0,30000.0,-1.0,13200.0,60765.0,-1.0,93950.0,74.0,-1.0,52000.0,160493.0,7000.0,-1.0,23400.0,567000.0,30332.0,53899.0,2916.0,10.0,3450.0,4500.0,-1.0,525000.0,88400.0,190460.0,-1.0,160000.0,99100.0,-1.0,180000.0
1971,-1.0,35181.0,-1.0,-1.0,-1,5841.0,54075.0,-1.0,-1.0,-1.0,10772.0,-1.0,107644.0,-1.0,-1.0,48257.0,7774.0,-1.0,207727.0,111667.0,9977.0,-1.0,400.0,-1.0,-1.0,20400.0,-1.0,115000.0,7200.0,-1.0,15000.0,-1.0,855181.0,-1.0,-1.0,430.0,9500.0,-1.0,-1.0,33000.0,89140.0,-1.0,-1.0,70.0,34540.0,100900.0,820000.0,-1.0,1705000.0,-1.0,5000.0,6708.0,30000.0,-1.0,-1.0,478000.0,-1.0,73000.0,41122.0,444900.0,2900.0,2165.0,660.0,418000.0,20100.0,130179.0,679541.0,27083.0,-1.0,13900.0,31076.0,-1.0,74300.0,74.0,-1.0,54000.0,149458.0,7000.0,-1.0,14700.0,700000.0,36784.0,68500.0,2277.0,5.0,4700.0,4500.0,-1.0,535000.0,98119.0,187627.0,-1.0,110000.0,60400.0,-1.0,175000.0
1972,-1.0,41012.0,-1.0,-1.0,-1,5816.0,53927.0,-1.0,-1.0,-1.0,11503.0,-1.0,127953.0,-1.0,-1.0,50088.0,12764.0,-1.0,202680.0,90742.0,8056.0,-1.0,350.0,-1.0,-1.0,48800.0,-1.0,95000.0,7300.0,-1.0,23000.0,-1.0,1089012.0,-1.0,-1.0,510.0,16861.0,-1.0,-1.0,33000.0,66027.0,-1.0,-1.0,80.0,57000.0,86500.0,1048000.0,-1.0,1538100.0,-1.0,5000.0,6771.0,40000.0,-1.0,-1.0,461200.0,-1.0,52327.0,39413.0,463500.0,3500.0,2000.0,1016.0,457400.0,18435.0,106858.0,555285.0,43000.0,-1.0,25300.0,23524.0,-1.0,97900.0,75.0,-1.0,52000.0,83044.0,9000.0,-1.0,22300.0,414000.0,38222.0,55400.0,5407.0,7.0,2900.0,4600.0,-1.0,435000.0,109065.0,184245.0,-1.0,95000.0,51300.0,-1.0,196000.0
1973,-1.0,51605.0,-1.0,-1.0,-1,3465.0,32889.0,-1.0,-1.0,-1.0,9733.0,-1.0,129671.0,-1.0,-1.0,52443.0,4705.0,-1.0,214191.0,140841.0,11518.0,-1.0,320.0,-1.0,-1.0,33200.0,-1.0,167000.0,7400.0,-1.0,21000.0,-1.0,1096605.0,-1.0,-1.0,910.0,12181.0,-1.0,-1.0,31000.0,118893.0,-1.0,-1.0,90.0,59220.0,76800.0,1045000.0,-1.0,1570000.0,-1.0,5000.0,6562.0,40000.0,-1.0,-1.0,472000.0,-1.0,45824.0,31440.0,495400.0,3700.0,2200.0,863.0,470900.0,20720.0,139647.0,662622.0,40000.0,-1.0,32000.0,45722.0,-1.0,43200.0,76.0,-1.0,54000.0,165692.0,11000.0,-1.0,16300.0,844000.0,39327.0,81800.0,11142.0,5.0,5700.0,4600.0,-1.0,482000.0,114258.0,193471.0,-1.0,55000.0,30400.0,-1.0,195000.0
1974,-1.0,81838.0,-1.0,-1.0,-1,6167.0,41605.0,-1.0,-1.0,-1.0,13306.0,-1.0,104092.0,-1.0,-1.0,56545.0,11646.0,-1.0,180588.0,92779.0,15487.0,-1.0,280.0,-1.0,-1.0,38200.0,-1.0,97000.0,7500.0,-1.0,20000.0,-1.0,1193838.0,-1.0,-1.0,547.0,16337.0,-1.0,-1.0,32545.0,73405.0,-1.0,-1.0,100.0,49534.0,62600.0,1112000.0,-1.0,1507000.0,-1.0,5000.0,7039.0,45000.0,-1.0,-1.0,375045.0,-1.0,53500.0,37843.0,524100.0,3700.0,2300.0,965.0,481800.0,15932.0,81572.0,672874.0,40000.0,-1.0,26900.0,20276.0,-1.0,110000.0,78.0,-1.0,54000.0,161562.0,10000.0,-1.0,28800.0,446000.0,36762.0,56067.0,11826.0,15.0,6200.0,5000.0,-1.0,432000.0,94364.0,164656.0,-1.0,140000.0,88835.0,-1.0,230000.0
