,Cameroon,Benin,Chad,Côte d'Ivoire,Nigeria,Ghana,Sierra Leone
1961,-1.0,-1.0,,-1.0,155000.0,-1.0,-1.0
1962,-1.0,-1.0,,-1.0,155000.0,-1.0,-1.0
1963,-1.0,-1.0,,-1.0,160000.0,-1.0,-1.0
1964,-1.0,-1.0,,-1.0,165000.0,-1.0,-1.0
1965,-1.0,-1.0,,-1.0,165000.0,-1.0,-1.0
1966,-1.0,-1.0,,-1.0,170000.0,-1.0,-1.0
1967,-1.0,-1.0,,-1.0,170000.0,-1.0,-1.0
1968,-1.0,-1.0,,-1.0,170000.0,-1.0,-1.0
1969,-1.0,-1.0,,-1.0,170000.0,-1.0,-1.0
1970,-1.0,-1.0,,-1.0,130000.0,-1.0,-1.0
1971,-1.0,-1.0,,-1.0,130000.0,-1.0,-1.0
1972,-1.0,-1.0,,-1.0,130000.0,-1.0,-1.0
1973,-1.0,-1.0,,-1.0,130000.0,-1.0,-1.0
1974,-1.0,-1.0,,-1.0,130000.0,-1.0,-1.0
1975,-1.0,-1.0,,-1.0,130000.0,-1.0,-1.0
1976,-1.0,-1.0,,-1.0,135000.0,-1.0,-1.0
1977,-1.0,-1.0,,-1.0,135000.0,-1.0,-1.0
1978,-1.0,-1.0,,-1.0,140000.0,-1.0,-1.0
1979,-1.0,-1.0,,-1.0,140000.0,-1.0,-1.0
1980,-1.0,-1.0,,-1.0,140000.0,-1.0,-1.0
1981,-1.0,-1.0,,-1.0,140000.0,-1.0,-1.0
1982,-1.0,-1.0,,-1.0,150000.0,-1.0,-1.0
1983,-1.0,-1.0,,-1.0,160000.0,-1.0,-1.0
1984,-1.0,-1.0,,-1.0,170000.0,-1.0,-1.0
1985,95000.0,1800.0,,91000.0,175000.0,26500.0,15000.0
1986,95000.0,1800.0,,100000.0,175000.0,27000.0,15000.0
1987,95000.0,1800.0,,94000.0,170000.0,30000.0,15000.0
1988,95000.0,1800.0,,94000.0,140000.0,38000.0,15000.0
1989,95000.0,1800.0,,75000.0,130000.0,40000.0,15000.0
1990,95000.0,1800.0,,90000.0,125000.0,44000.0,15000.0
1991,95000.0,1800.0,,83000.0,130000.0,44000.0,15000.0
1992,95000.0,1800.0,,84000.0,101200.0,52000.0,8000.0
1993,95000.0,1800.0,-1.0,76000.0,114200.0,55000.0,15000.0
1994,95000.0,1800.0,-1.0,90000.0,115000.0,52000.0,15000.0
1995,94228.0,1813.0,-1.0,77229.0,105000.0,53761.0,14701.0
1996,93922.0,1818.0,-1.0,95000.0,94000.0,55000.0,15697.0
1997,93671.0,1822.0,-1.0,110000.0,91000.0,60014.0,16098.0
1998,94044.0,1826.0,-1.0,123048.0,91265.0,70000.0,17006.0
1999,93960.0,1832.0,-1.0,112581.0,91655.0,67276.0,17784.0
2000,93904.0,1835.0,-1.0,111752.0,91000.0,69287.0,18000.0
2001,94434.0,1815.0,-1.0,111856.0,91000.0,69441.0,19000.0
2002,94861.0,1807.0,-1.0,106410.0,94000.0,70044.0,20000.0
2003,95318.0,1826.0,-1.0,84512.0,94000.0,70433.0,21000.0
2004,98000.0,1861.0,-1.0,95900.0,94000.0,70946.0,21000.0
2005,93788.0,1850.0,-1.0,96624.0,94250.0,71025.0,22000.0
2006,95000.0,1891.0,-1.0,94888.0,94500.0,71150.0,23000.0
2007,93688.0,1900.0,-1.0,96496.0,125000.0,71000.0,23000.0
2008,95000.0,2000.0,-1.0,96000.0,150000.0,71000.0,23500.0
2009,95000.0,1967.0,-1.0,96743.0,270140.0,70000.0,24000.0
2010,95000.0,1973.0,-1.0,96476.0,270143.0,71000.0,24756.0
2011,95000.0,1990.0,-1.0,95581.0,230000.0,84496.0,25724.0
2012,94500.0,2000.0,-1.0,88541.0,225000.0,85764.0,25699.0
2013,105594.0,2000.0,-1.0,82502.0,220000.0,80837.0,26164.0
2014,98543.0,2009.0,-1.0,80143.0,219310.0,80734.0,26669.0
