,Iran (Islamic Republic of),Uzbekistan,Cyprus,Italy,China,Spain,Mexico,United States of America,Australia,Azerbaijan,Syrian Arab Republic,Jordan,Australia & New Zealand,Tunisia,"China, mainland",Madagascar,Pakistan,Kyrgyzstan,Greece,Afghanistan,Turkey
1984,9305.0,-1.0,532.0,-1.0,-1.0,-1.0,3333.0,22970.0,-1.0,-1.0,3529.0,21333.0,-1.0,100.0,-1.0,-1.0,23077.0,-1.0,-1.0,7500.0,9148.0
1985,9747.0,-1.0,1250.0,6061.0,11875.0,-1.0,4815.0,9403.0,-1.0,-1.0,16254.0,20000.0,-1.0,109.0,11875.0,-1.0,28101.0,-1.0,11142.0,5946.0,13536.0
1986,8943.0,-1.0,745.0,606.0,13125.0,-1.0,7273.0,24545.0,-1.0,-1.0,16250.0,20000.0,-1.0,125.0,13125.0,-1.0,29367.0,-1.0,9709.0,7647.0,11266.0
1987,9895.0,-1.0,1800.0,9091.0,13750.0,-1.0,-1.0,9042.0,-1.0,-1.0,13559.0,20000.0,-1.0,129.0,13750.0,-1.0,31899.0,-1.0,11323.0,6452.0,11066.0
1988,10092.0,-1.0,1905.0,727.0,12500.0,-1.0,-1.0,22302.0,-1.0,-1.0,16273.0,20000.0,-1.0,127.0,12500.0,-1.0,31899.0,-1.0,10827.0,7586.0,5428.0
1989,9940.0,-1.0,1360.0,6091.0,13438.0,-1.0,-1.0,8587.0,-1.0,-1.0,12188.0,-1.0,-1.0,176.0,13438.0,-1.0,31818.0,-1.0,13947.0,6071.0,13953.0
1990,10555.0,-1.0,1379.0,545.0,13415.0,-1.0,-1.0,25048.0,-1.0,-1.0,8725.0,-1.0,-1.0,217.0,13415.0,5000.0,30864.0,-1.0,8956.0,7407.0,4808.0
1991,11302.0,-1.0,1724.0,6536.0,13612.0,12241.0,7143.0,15497.0,-1.0,-1.0,8471.0,-1.0,-1.0,188.0,13612.0,5000.0,28880.0,-1.0,12760.0,7845.0,21253.0
1992,11748.0,1500.0,1667.0,434.0,14071.0,11907.0,11584.0,29169.0,-1.0,-1.0,9439.0,-1.0,-1.0,220.0,14071.0,5000.0,29082.0,-1.0,11208.0,7778.0,9227.0
1993,11359.0,2222.0,1459.0,5014.0,14458.0,11573.0,9000.0,29887.0,-1.0,-1.0,10301.0,-1.0,-1.0,233.0,14458.0,5000.0,22772.0,-1.0,12357.0,8148.0,15252.0
1994,9466.0,1250.0,1000.0,5714.0,15073.0,11240.0,1500.0,25140.0,-1.0,-1.0,10223.0,-1.0,-1.0,237.0,15073.0,5200.0,21000.0,-1.0,10702.0,8519.0,11997.0
1995,10953.0,1250.0,1500.0,5625.0,15648.0,10906.0,1875.0,27512.0,-1.0,-1.0,9692.0,-1.0,-1.0,257.0,15648.0,5200.0,21053.0,-1.0,11410.0,8889.0,10566.0
1996,11213.0,1545.0,1591.0,6250.0,16653.0,10572.0,1625.0,18319.0,-1.0,-1.0,13513.0,-1.0,-1.0,313.0,16653.0,5200.0,22095.0,-1.0,17608.0,9259.0,17152.0
1997,12706.0,1500.0,1455.0,12500.0,17647.0,10238.0,6420.0,30544.0,-1.0,-1.0,13985.0,-1.0,-1.0,429.0,17647.0,5192.0,22885.0,-1.0,18093.0,9630.0,19337.0
1998,5050.0,2000.0,1364.0,13740.0,14857.0,9904.0,4876.0,30588.0,-1.0,-1.0,17842.0,-1.0,-1.0,462.0,14857.0,5098.0,21441.0,-1.0,15827.0,9630.0,9405.0
1999,11854.0,1803.0,947.0,7354.0,19333.0,9570.0,4444.0,19165.0,-1.0,-1.0,15859.0,-1.0,-1.0,500.0,19333.0,5000.0,16441.0,10000.0,16413.0,10370.0,10614.0
2000,4077.0,1759.0,1071.0,7685.0,18333.0,9237.0,3647.0,36497.0,-1.0,-1.0,14017.0,12924.0,-1.0,738.0,18333.0,4510.0,15481.0,10671.0,17338.0,10370.0,20633.0
2001,8877.0,1767.0,1250.0,4892.0,17333.0,8903.0,2283.0,23136.0,-1.0,-1.0,12054.0,13660.0,-1.0,509.0,17333.0,4118.0,14627.0,10906.0,18669.0,10370.0,8108.0
2002,8441.0,2000.0,1250.0,5211.0,18588.0,8569.0,4375.0,40917.0,-1.0,-1.0,15974.0,14396.0,-1.0,500.0,18588.0,3960.0,14444.0,11143.0,16407.0,10370.0,9351.0
2003,10243.0,1667.0,1027.0,5536.0,19585.0,8236.0,4375.0,15159.0,-1.0,25000.0,13357.0,15176.0,-1.0,545.0,19585.0,3900.0,14444.0,11397.0,14161.0,6875.0,23955.0
2004,4286.0,1563.0,959.0,6654.0,20235.0,7903.0,2821.0,41821.0,-1.0,25000.0,6083.0,16000.0,-1.0,563.0,20235.0,4000.0,46986.0,11662.0,16953.0,11550.0,7985.0
2005,5219.0,1500.0,980.0,7480.0,21250.0,7570.0,6667.0,30210.0,-1.0,27500.0,12571.0,-1.0,-1.0,556.0,21250.0,4118.0,34912.0,10000.0,17891.0,11113.0,15000.0
2006,5631.0,1072.0,800.0,3117.0,21648.0,7237.0,1600.0,24251.0,11905.0,50000.0,19779.0,-1.0,11905.0,551.0,21648.0,4272.0,31443.0,12473.0,16612.0,11113.0,27243.0
2007,9014.0,1053.0,1852.0,7578.0,21714.0,6904.0,2778.0,40546.0,5882.0,7500.0,13712.0,-1.0,5882.0,556.0,21714.0,4423.0,28973.0,16000.0,16683.0,11930.0,18055.0
2008,17762.0,1000.0,2087.0,5714.0,22222.0,6571.0,6364.0,26407.0,20000.0,7500.0,13796.0,19313.0,20000.0,593.0,22222.0,4315.0,40899.0,13174.0,16531.0,11379.0,29329.0
2009,17762.0,1000.0,10417.0,8848.0,22500.0,6860.0,5410.0,31580.0,6522.0,5000.0,16180.0,18760.0,6522.0,595.0,22500.0,4204.0,40684.0,13330.0,16706.0,11000.0,18994.0
2010,17762.0,1000.0,2794.0,7849.0,24167.0,6601.0,4965.0,42707.0,10526.0,4000.0,15265.0,20498.0,10526.0,602.0,24167.0,4102.0,33655.0,13333.0,17288.0,11382.0,30253.0
2011,12420.0,2500.0,3200.0,8742.0,29600.0,6403.0,5610.0,32527.0,10299.0,6000.0,13617.0,21724.0,10299.0,589.0,29600.0,4000.0,33795.0,13333.0,17591.0,11707.0,25399.0
2012,12433.0,2500.0,952.0,2661.0,28800.0,5083.0,5758.0,37404.0,10406.0,7500.0,9550.0,23276.0,10406.0,527.0,28800.0,4000.0,33938.0,13333.0,19118.0,11734.0,28264.0
2013,12677.0,3000.0,1930.0,9106.0,29600.0,4326.0,6824.0,25951.0,10390.0,12000.0,9101.0,25241.0,10390.0,776.0,29600.0,4000.0,34145.0,15000.0,16806.0,11875.0,3149.0
2014,13117.0,3500.0,3833.0,10024.0,29278.0,4051.0,3297.0,26068.0,10475.0,16000.0,4806.0,24153.0,10475.0,936.0,29278.0,3953.0,34145.0,15000.0,13936.0,12012.0,2834.0
