,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Mexico,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,59.7773265083934,,,,,,1809.31145170851,935.460426850415,,70.34907860648521,1273.69165910289,93.02250899071068,68.424748569325,88.69121062947309,,,1550.3243149571601,,,304.917107253962,152.461845803403,210.027470429478,,,,57.9776818816842,74.5959442514248,2294.56881421577,1787.36034770201,532.616266826495,89.52054151035841,153.471594052014,119.534187181074,220.314063056673,127.00474592564501,245.19746620756402,,,380.71913070489603,,,,,,,1364.5171601725501,204.126025108362,244.82480648363202,222.266862762517,,,396.39225333761397,,,1179.3530109999401,285.542500528956,1338.29960630568,,283.400464698401,1380.30624126257,,182.979191212292,,,,,533.686381232649,,247.841986231897,,297.673299079368,429.442874392053,164.644318728641,,,,,81.28476374967441,685.61471237976,191.680877458532,231.02561724371398,1414.98226940621,1229.1747476372,804.492623346178,429.32585311513196,,478.995340162869,,97.62153057863951,,111.342479726807,158.236636232018,,,,170.037837640017,,,142.469073320517,40.605535302547494,,2242.0158166161,,,164.800779039246,,131.993036021481,,342.016285801226,,,,,,,,107.91502676781799,,45.0340893263276,234.91689290327201,,,132.652162430184,92.96180014562592,126.13669510529199,1068.78458723735,1441.75566002633,50.5151404450504,2312.94999239859,,82.5472458033972,474.125821659233,255.61836980583197,254.427071304839,114.636032029372,,717.514843087362,360.499298506858,,,,,,40.5668807961198,,124.512169921714,247.236284269612,427.880407170241,,140.180257616588,,,,,,323.658635840064,,,1983.1065440309696,100.45466866613899,187.53737427309602,104.472101193636,76.6384541690086,100.767596362992,,,,,631.329859370633,,509.424111754814,,62.315122319985,,489.350135974915,3007.12344537862,,161.417161159312,1072.43199656743,756.25,,,,,435.450027872492,234.166194283717,280.994585801398
1961,,59.87815280894711,,,,,,1876.01411997625,1031.8150043291,,71.48727772914141,1350.19767333123,95.5721547147448,71.558180092437,97.1427301802098,,,1651.47547707967,,,316.403606143266,162.695705424543,204.92930153477297,,,,61.2422482773277,80.52080199190391,2231.2938237478,1971.31632279228,584.237786011743,75.8058379259965,167.35553095223,124.42169183506901,197.39094767751098,142.537516443893,268.097370705937,,,354.81521800099,,,,,,,1503.5370134281604,192.02665414868198,213.485905063471,209.351790774245,,,450.053289246968,,,1327.427224366,287.32914389997603,1440.55433032888,,332.504720423437,1452.54470901356,,189.713380333786,,,,,597.287321012322,,248.308208470062,,315.385459502551,436.754411520393,169.909755119116,,,,,84.4264369282297,739.276406442666,196.924678820004,245.03198833228,1418.12586971526,1436.3844393592701,887.3367446044749,453.129464893641,,563.586759838827,,94.83526489444412,,109.459474271003,93.81620864101579,,,,160.631571041043,,,142.046393695165,41.201213687709,,2222.36636636277,,,158.924091336756,,133.847581548997,,359.29092575882987,,,,,,,,121.969678277921,,47.18352825611521,225.916444133692,,,139.341401610981,96.9804300443769,131.405552572428,1159.39235716074,1560.3249311723,52.04188062174621,2343.29221317425,,88.17241934625791,513.289061596268,280.15333751285,267.147774114598,119.31693899671998,,777.215027407341,382.729946994368,,,,,,40.7196618532917,,131.656344413491,253.844835391658,448.959183778733,,140.74966407571898,,,,,,329.993158678418,,,2147.22931080409,120.36603272600901,200.18335689970797,109.129606410562,79.1201330726748,107.497932415054,,,,,675.974402163949,,285.012708941702,,63.0151613499201,,601.701143178101,3066.56286916615,,170.435140784319,1070.48669527656,753.66568914956,,,,,446.656607486936,221.72840063310397,283.315869044703
1962,,58.4928738323479,,,,1148.5799570666302,,1853.6142475177896,1087.8342434189,,73.78176494961929,1438.5232330684,94.464534984382,76.5206113987061,99.57671365353079,,,1752.97029278086,,,327.126867468401,174.493385987331,260.225266127099,,,,64.7070068014752,79.96779577436409,2255.23004413036,2131.39165159983,671.399704588187,70.90941166710071,167.995942976352,129.515519153265,235.632406846809,152.451212554226,283.917439182864,,,334.48683627743304,,,,,,,1681.0299129876,234.03434775669498,171.209809463866,199.17309455108398,,,520.206131380005,,,1411.70239818044,291.539706762499,1585.91726742846,,358.560975155028,1513.6514485492596,,195.11998853899,,,,34.741427522691104,630.61394129381,,256.168506729799,,321.54576713955396,487.821134050813,179.87597255957803,,,,,88.91491859604771,797.006288353959,203.436311458713,254.70133408689603,1562.23073045837,1094.63584823375,990.26015216342,463.959699180364,,633.640315173776,,100.604266650635,,109.47904539107799,106.133999009007,,,,163.917196363885,,,137.33183746057898,47.450222538449104,,2311.79884893619,,,181.183703096042,,138.119849134351,,374.445517135377,,,,,,,,122.25227029372101,,48.387659731310606,230.24793219320702,,,148.192163309158,104.38853344843001,140.621717529912,1240.67789437294,1667.2474297782,55.2850368881796,2448.62863326468,,89.8377121474164,542.361563341825,308.597873530068,156.682154281877,124.688813824059,,854.74480496849,407.852843612372,,,,,,40.975494688920605,,139.214550602488,253.162267338223,471.880512940725,,145.035841878424,,,,,,337.873129456008,,,2315.8465274022196,125.60869678798299,227.788663942808,114.582173703088,81.9947491285797,113.782501575937,,,,,703.753421603779,,309.446903352699,,62.016821504062214,,656.71223997392,3243.8430775498805,,174.56528326493302,1140.08287726795,1016.52892561983,,,,,463.7962379466989,213.89422877486598,279.440988803624
1963,,78.78275803628921,,,,845.077184202247,,1965.9914771579504,1167.00053244585,,78.9002836003344,1535.02372901043,99.8591138855553,78.372071942432,101.26049123389299,,,1867.11298751475,,,336.94146611457,184.275535005149,291.950589001802,,,,67.3758705909335,81.58791565256449,2354.83912197975,2294.18284731738,687.268374393674,74.3136434486145,190.407375498013,131.083486516416,377.42754184488996,153.541995989696,268.324398443765,,,344.8290256111261,,,,,,,1775.3703846878898,258.558967830732,225.530596175825,209.617603999687,,,609.487384056513,,,1522.3192420995001,296.77293544272203,1752.9644028354599,,299.226645708781,1592.61447661562,,210.96897849835705,,,,40.66082689429379,701.62041775285,,274.789958024245,,282.306338501804,565.727810358046,185.04926451714198,,,,,100.048591708733,852.1353017178882,208.130832177464,250.78707823701802,1831.7056558197198,1257.81140535239,1126.01933699825,485.319298336954,,717.866915230894,,104.012736326074,,117.820382551689,146.294590315099,,,,167.291563969955,,,117.243646655411,52.3443123037362,,2441.03855530008,,,196.534112346045,,138.40716571000098,,403.82414065085504,,,,,,,,121.576294437236,,49.280562413264,279.708407864318,,,158.721209559822,107.54210848728201,150.708864082886,1328.03664879968,1775.5826554497894,47.0939471530651,2622.2202714036,,93.9886873870576,583.44452758788,328.508382139096,168.016967371737,128.999042902078,,931.751665981242,432.511729575075,,,,,,41.2507750633908,,137.810411361295,254.58129648353298,510.9871891045689,,145.323931623778,,,,,,349.73038966324094,,,2492.54534595494,144.768151208625,238.43730608976898,116.77746097236601,87.7919751328937,118.143244658458,,,,,759.868842676093,,350.663222672222,,68.9352511712817,,584.290762857477,3374.51517105082,,162.869284852427,1185.4835765729,1069.76744186047,,,,,500.96980834277497,214.85295427082696,280.566212958133
1964,,82.2084438594401,,,,1166.31739957616,,2130.1744597839,1269.41258289256,,86.6031946364808,1701.84627554319,104.339768039886,80.47276674551891,99.5038642672935,,,1994.5449196447696,,,351.161126269562,203.60114945371004,261.331083055664,,,,71.6495191117864,87.85874650277269,2529.5181790541,2501.2931899637697,709.579264372884,85.4985551596313,221.517801724046,138.56548726880501,170.466067382292,161.134841398156,322.472169354379,,,353.001882996353,,,,,,,2013.24307693268,272.91429170538396,236.610189565084,226.719902950922,,,675.241639141208,,,1707.50393824701,310.872996932687,1919.2667177055896,,411.76858481662697,1729.3999780356799,,230.43119990765098,,,,46.830516052343796,784.954348432918,,274.619789706883,,305.361611188496,629.591525784494,200.434640544375,,,,,114.31516095901199,965.135422676745,221.31918855495,288.163481655289,2297.9206432038,1375.8922558922598,1222.5445404629,518.8897231020491,,835.657252484116,,108.558944552504,,123.643191374326,123.588455464345,,,,178.813389047523,,,120.12729516276801,56.712943367571,,2755.6331165327892,,,201.26936560216,,142.659339874138,,463.896306864935,,,,,,,,157.611041182176,,49.1344100075454,289.00498041014,,,153.266256131635,113.17033804468201,170.80591056632602,1541.94736519029,1937.88461385928,46.2425117015135,2813.546975639389,,103.536036230726,608.126690465072,386.216476995649,175.93119793865398,139.64527185855698,,1006.43444609497,468.7810816354429,,,,,,41.1168065270719,,137.719538234422,262.30838294385603,485.303259779105,,152.696905374489,,,,,,374.152081907882,,,2758.94346624034,169.894240878063,257.578412322649,120.82147343125901,99.9378893887589,125.937894852064,,,,,788.1247322855942,,369.58378634900595,,76.0446097264213,,741.243017910556,3573.94118474743,,173.48517495500198,961.456069340495,1302.66343825666,,,,,537.274877590628,243.10532045674998,285.053173837193
1965,,101.290471274167,,,,1272.01049600796,,2279.82031923936,1374.53213986075,,51.657364677122494,1835.59476553194,110.13279383511299,81.72511549550191,105.78917034368901,,,2144.8309713592307,,,377.5943051661821,223.278329931788,260.964692542291,,1113.40244720819,,76.67722123162241,91.3220540229146,2739.5858492818898,2620.475547353,699.377961923747,98.48677775222059,212.821803836904,140.907450050738,232.811108983153,167.453672719811,302.454041568969,,,373.033045149851,,,,,,,2243.93159483536,228.953829749716,248.37814358709,454.665552428761,165.553406317711,,774.761609330096,,,1882.08685764849,317.072947341209,2042.2403837278305,,425.295037261407,1850.95476855498,,266.31864579845103,,,,233.414805308416,888.921997905322,,273.40401370429004,,327.11422269178297,676.805507110096,216.81493258766997,,,,,118.06338245921002,1023.77372640936,248.338664386554,,2723.52094989073,1429.3146052802695,1304.45381661965,553.52694705065,511.56196310398803,919.776688184802,,104.992162298397,,134.304155041423,108.703823210388,4429.171106575611,,,182.97360196397,,,152.124626274731,58.7785664104531,,2780.0927188658397,,,206.46515222617802,,144.484654967434,,489.202674949801,,,,,,,,174.096088731806,,56.5357651886991,310.327762928688,,1763.4750668376605,172.047742818894,117.19028533183099,274.670140721866,1708.09635648862,2164.46882336736,67.3708701350945,2151.29492695315,101.258693092966,115.73776217352,648.4622242371589,445.124316254181,187.11300749025003,153.903298866448,,1110.83269082498,520.910659367884,184.31859981225898,1889.32329034642,,,,46.0262968560447,,139.55212852313298,259.53491056601104,516.292928548597,,145.304139438359,274.47079502780497,,,,,417.881028231458,,,3007.59797817136,179.49000737617405,273.962221828686,125.97585941252702,109.620184806171,137.91803991825398,,,,,807.272181388719,218.03601866607102,385.64097574915604,,110.410491012345,,701.704718154626,3827.52710972039,,175.738134600497,966.5691753435568,1511.3636363636401,,,,,572.030061276215,303.882532322899,297.363437403916
1966,,137.899361896954,,,,1266.34498858151,,2342.168925132,1486.9686060056601,,52.47672295617829,1957.6260804276199,112.940836383512,82.5456368946943,111.658639482303,,,2322.94385308063,,,406.09796707357697,239.374916047239,315.27738237919,,1237.0792370242698,,83.7346999598829,93.8448211707177,3010.70590757947,2784.73354771646,803.1491022273468,104.324566181147,228.227429439799,144.25207575515898,253.76163604093102,181.218345108373,276.488779734634,,,394.173151024719,,,,,,,2443.2597913502,245.89047514916803,234.188908344417,449.399014890535,168.451804482512,,889.6598720115289,,,2010.21345619725,316.179586827145,2189.67088787159,,453.131710983177,1959.6278296212602,,269.45923557261904,,108.31582561328199,,242.603591839027,981.652394470053,,277.41024461052797,,344.166523485249,685.926614135084,227.740767688681,,,,,89.0535834865115,1074.50650554958,264.97677361784696,,3215.69417804329,1513.8836059338198,1402.44235441032,616.053610722171,519.889279618154,1058.5035609090198,,118.55635446648,,138.84862640308202,133.449807989201,4556.463064988139,,,190.56503904696999,,,153.113959982105,59.5447476939649,,2900.4332184397804,,,196.342203677819,,152.107820130914,,528.9433374661098,,,,,,,,176.478941621488,,62.6244451767869,321.097473074127,,1756.21965306604,174.36402084179196,124.309273036642,285.460204024016,1835.8014235103399,2317.1948838265603,81.62208928775941,2191.3125419395897,105.55734502153601,123.90256904525499,686.091191930294,511.97063375770404,199.935567850299,170.79712380878402,,1207.8118244034802,575.0076806682209,189.156267073608,2229.45307672024,,,,37.5181158094747,,139.153733701427,259.933529188255,566.537479639236,,149.435675854858,282.493585147874,,,,,501.563906159768,,,3240.61103693285,191.579560526601,241.712244801693,128.343150689247,121.833557350245,161.005683636648,,,,,786.752120100022,224.426620015497,445.250491463183,,111.635754797097,,664.438376954482,4146.31664631665,,185.36060230553002,981.2543119799832,1778.01268498943,,,,,607.853042988537,343.912055197846,281.490800457589
1967,,161.32200008848102,,,,1057.7556614712,,2578.27780211969,1569.6671828996698,,55.13168671253821,2086.63600544654,111.951601925237,84.3631649403545,121.662093380214,,,2556.83530087592,,,420.431888198165,255.847966443004,346.880100387651,,1235.89209715094,,92.6258754025788,95.32192069253179,3173.07619352225,2960.7225858838397,779.47568621022,96.5895319417819,232.568899340755,154.175627217415,184.134506205191,189.659550497546,281.969888700868,,,412.7293866608,,,,,,,2644.7866468916,250.85397743429297,252.418252162025,458.7800828885829,171.487210557498,,968.3067817659828,,,2034.1890496547799,333.309188038613,2346.36295154832,,490.307698089977,2023.62756371118,,216.841425755252,,112.15707189546801,,246.447133767446,1052.12099276566,,281.652804930581,,370.154172302459,723.2392256166611,240.547229865984,,,,53.5161516974502,95.33078293868392,1152.00495214994,287.079167389165,,3125.64949185014,1468.1238615664802,1533.69287748547,636.708074336816,458.63656114477203,1228.9092104006,,121.380811266845,,144.02556500813,161.115764840224,4217.38083851017,,,198.657550072644,,,158.887893751699,60.998541226155005,,2909.6606293685804,,,202.90088606633202,,157.476387051252,,559.908945032293,,48.2798654834855,,,,,,181.72034770099498,,63.3065380726841,317.428918354582,,1865.66599868404,160.599284778396,99.4068327311812,300.094451077403,1991.36068565042,2514.04377214705,74.40019184377842,2188.3991386256102,162.323339038911,138.154386212673,742.127379916329,505.1467461767609,207.427343769087,188.363003163066,,1335.27411162524,646.8227200608402,197.208103751329,2209.203022415,,,,46.6779464865312,,146.378954216131,252.512316981489,625.719676739075,173.397665186781,136.593437161037,288.50066835101603,,,,,565.78598492948,,,3490.55033678895,181.73852279775798,275.267309289062,130.961011536037,124.87939556403,166.92454592742502,,,,,822.9550355632782,229.16837600644504,482.37839397204397,,112.770492537363,,580.9698362964119,4336.42658722171,,180.48666377442902,983.69767311435,2271.65354330709,,,,,660.9703783411151,360.770244471948,297.2318752113011
1968,,129.506653844251,,,,1136.51783223167,,2721.94778767531,1677.6735280427201,,55.243404187824,2222.3615105191298,116.89506602186,84.7330493468762,121.528897680862,,,2804.70513080569,,,386.95323701087005,210.1898901212,374.08326175821196,,1363.45304412287,,101.476551980837,109.247781037155,3411.0601543445696,3121.8890308771997,779.978865247552,91.4727183066072,265.04081491166,169.624568468257,206.72228418284,195.141231652414,283.11115552507704,,,442.987707916062,,,,,,,2712.61240033933,253.904388797713,280.268288209403,450.57113032136596,183.032170183079,,950.545740593734,,,1907.07727217667,334.647453025916,2532.3147484766,,520.379245050336,1896.3867486073495,,202.761885709078,,96.7325293660246,,224.03721122499402,1134.35615147538,,303.203451304358,,334.84127284863604,714.4829695806097,252.58451994296902,,,,65.0281528331395,98.83123468950649,1124.51663608246,318.987576000733,312.822277421474,2354.48002671305,1647.8772743489099,1651.9393767975598,593.702762457851,374.54713445697604,1450.61965234374,,128.857730658348,,157.21460348378704,198.365658261865,4194.56947244816,,,205.586743617299,,,150.212186275444,61.972091632277,,3175.3673688269105,,,212.810684951698,,165.47845506561,,600.556726580402,,59.4675275565151,,,,,,194.443050288027,,56.0923656923047,323.408202373802,,2165.90114607294,150.387564650093,97.2021478063696,308.359416385177,2185.2486588865804,2662.11749153117,66.9508382507482,1885.15615175625,277.907187360649,146.979219586474,775.6495803526559,454.18753721791603,224.623298495623,201.84799197886295,,1480.69317642251,719.0804918532901,202.906252836003,2510.88228863677,,,,48.819727363681096,777.3157482193201,148.375296849011,257.70115732204897,708.265109460836,187.327010614089,127.036954912807,290.349341613035,,,,,613.232591950141,,,3683.3136938765297,189.033031771259,295.449415865686,129.732618111699,124.349572232268,174.78713003871002,,,,,814.7353961703461,250.85187410237305,526.213996739037,,116.96432809609699,,574.344191694413,4695.92339043178,,173.22514755171397,1042.4048572384402,3183.15018315018,,,,,696.811704980836,410.486260614773,304.9821588723
1969,,129.798541408375,,,,1324.0829347070098,,2989.415343585,1825.3861255212398,,56.0788814178728,2458.0818200377303,116.025094341185,86.5202111123235,133.575436746777,,,3215.486671995769,,,396.654306282497,218.555801207905,403.065252307126,,1303.73941344179,,114.83420533047199,104.91970367678499,3703.9904052552893,3344.78360254639,893.2475969385539,100.12990326618,270.75736062717704,181.06780126449402,258.61862368208097,200.008026323959,298.052406430129,,,474.684414305193,,,,,,,3068.23674114413,281.189400313616,300.981825658516,527.499764536255,200.53710830467895,,1077.67869994591,,,2178.03525044982,357.45944869612197,2725.21764331867,,550.285934546744,2032.3470096450305,,233.651241966957,,103.64600732349199,,219.524722305285,1284.2123155908198,,313.858957770105,,358.320936550029,825.523449142012,253.26852869573898,,,,74.5743875367994,106.496379410417,1291.34992028637,350.90957453247495,313.81744555746496,2039.19629517262,1852.39253852393,1813.38812575706,644.143307829431,432.720750475045,1669.09819990781,,134.19373632822501,,142.29496294827499,243.334402146913,4007.2581875182,,,222.333459120681,,,160.426560438083,65.1835009030367,,3658.9006829688788,,,232.19857873517898,,165.01157301658898,,644.853376941588,,57.9918001150996,,,,,,178.925964939572,,59.271651676653995,347.378659180734,,2529.89263977581,142.70463268337602,121.246037729658,321.550625122329,2446.33545399539,2875.2358439685804,67.05299288890929,2077.8955430230108,342.47501021924,152.68050288487498,827.174446775064,494.583863925693,241.70200300012002,223.66669937400397,,1661.8668852336905,795.759371391099,212.524318933346,2273.54105825822,,,,51.8322538840534,801.08493715019,158.617735080273,238.00100466144798,812.266963251985,184.706449704865,154.65410059913,293.726857534077,,,,,636.3671057222609,,,3972.00274870609,243.12917249132198,365.69376424268404,132.17094300723,131.569868489524,186.880654141176,,,,,830.8382595047391,260.578766334043,571.618273747463,,127.58582624474501,,717.1386388170239,5032.14474262003,,186.000268108495,1049.8023134409,3605.8020477815694,,,,,765.2986465582111,486.692686568743,348.93580495033996
