,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,Tonga,China,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Liberia,Greece,Tunisia,Zimbabwe,Uganda,Bangladesh,Malawi,Melanesia,Papua New Guinea,Uzbekistan,Eritrea,Yemen,Rwanda,Libya,Australia & New Zealand,Yugoslav SFR,Mozambique,Guatemala,Algeria,Slovenia,Senegal,Madagascar,Tajikistan,Ukraine,Haiti,Bhutan,Guinea,Botswana,Zambia,Fiji,Cabo Verde,Chad,Belgium,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,Germany,Nigeria,Colombia,Latvia,Portugal,Sweden,Lebanon,Kyrgyzstan,United Kingdom,Occupied Palestinian Territory,Chile,Guinea-Bissau,Kazakhstan,South Africa,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Namibia,Kenya,Poland,"China, mainland",Nicaragua,Mali,Timor-Leste,Thailand,Luxembourg,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Comoros,Sudan (former),Dominican Republic,South Sudan,El Salvador,Benin,Denmark,Canada,Japan,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Philippines,New Zealand,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Turkmenistan,Somalia,Pakistan,Morocco,Cuba,Turkey,Czechia,Togo,Argentina,Cambodia,Lithuania,Costa Rica,Georgia,India,Guadeloupe,Paraguay,Austria,Niger,Czechoslovakia,Ethiopia PDR,Congo,Republic of Korea,Gabon,USSR,Romania,Ecuador,Honduras,Jordan,Israel,Mexico,Russian Federation,Viet Nam,Suriname,Ireland,Côte d'Ivoire,Angola,Albania,Slovakia,Spain,Italy,Polynesia,Panama,Sierra Leone,Swaziland,Australia,Egypt,Ghana,Netherlands,Mauritania,Gambia,Guyana,Norway,Republic of Moldova,Belgium-Luxembourg
1961,223.0,2231.0,-1.0,-1.0,15512.0,2689.0,20.0,275712.0,3751.0,28006.0,96.0,2046.0,650.0,-1.0,15487.0,102.0,5623.0,28.0,4095.0,7072.0,2333.0,4641.0,48.0,48.0,-1.0,-1.0,204.0,57.0,140.0,1297.0,1024.0,8231.0,299.0,214.0,-1.0,19538.0,1286.0,-1.0,-1.0,119.0,4.0,1539.0,14.0,2389.0,1.0,34.0,7404.0,-1.0,0.0,183.0,2.0,3626.0,-1.0,2397.0,-1.0,9.0,2555.0,39407.0,1189.0,-1.0,19.0,162.0,51.0,-1.0,4.0,0.0,387.0,2100.0,-1.0,5660.0,4.0,9.0,1239.0,1776.0,0.0,466.0,11646.0,273481.0,337.0,4506.0,15.0,3051.0,-1.0,0.0,125.0,1954.0,4560.0,-1.0,4828.0,-1.0,52.0,0.0,5031.0,663.0,-1.0,449.0,1788.0,533.0,13982.0,3907.0,1318.0,378.0,-1.0,248.0,13.0,2.0,6826.0,156.0,0.0,4688.0,235948.0,1940.0,8177.0,-1.0,-1.0,297.0,12078.0,419.0,674.0,8752.0,-1.0,1117.0,25613.0,836.0,-1.0,11.0,-1.0,200069.0,1.0,676.0,10.0,5840.0,740.0,4547.0,834.0,3045.0,59.0,258799.0,2096.0,495.0,21.0,26.0,254.0,7475.0,-1.0,1688.0,15.0,0.0,1398.0,899.0,628.0,-1.0,4060.0,777.0,20.0,1.0,408.0,112.0,1141.0,6037.0,1440.0,609.0,29.0,1620.0,0.0,2.0,-1.0,1717.0
1962,243.0,2102.0,-1.0,-1.0,16946.0,2319.0,20.0,293045.0,3618.0,27761.0,91.0,2262.0,661.0,-1.0,15118.0,77.0,4824.0,27.0,3798.0,7521.0,2273.0,4857.0,54.0,53.0,-1.0,-1.0,267.0,93.0,188.0,1636.0,1195.0,8094.0,372.0,169.0,-1.0,18059.0,1276.0,-1.0,-1.0,105.0,4.0,1569.0,30.0,2392.0,1.0,43.0,6716.0,-1.0,0.0,202.0,2.0,3928.0,-1.0,2334.0,-1.0,9.0,2410.0,49654.0,1112.0,-1.0,27.0,152.0,61.0,-1.0,6.0,0.0,421.0,2100.0,-1.0,7055.0,4.0,5.0,2439.0,2158.0,0.0,477.0,9229.0,290943.0,406.0,4812.0,16.0,2997.0,-1.0,0.0,134.0,1984.0,4704.0,-1.0,5590.0,-1.0,51.0,0.0,5410.0,661.0,-1.0,497.0,1823.0,337.0,9905.0,3552.0,1488.0,331.0,-1.0,232.0,13.0,2.0,8733.0,188.0,0.0,4339.0,241667.0,1998.0,8156.0,-1.0,-1.0,213.0,13150.0,479.0,551.0,8631.0,-1.0,1171.0,25264.0,503.0,-1.0,12.0,-1.0,194803.0,1.0,719.0,15.0,5771.0,779.0,4714.0,583.0,2854.0,59.0,253318.0,2310.0,576.0,30.0,23.0,254.0,7837.0,-1.0,1620.0,18.0,0.0,1593.0,920.0,657.0,-1.0,3536.0,668.0,20.0,1.0,408.0,123.0,1448.0,6868.0,1464.0,673.0,34.0,1800.0,0.0,4.0,-1.0,1781.0
1963,236.0,2098.0,-1.0,-1.0,16759.0,2938.0,20.0,319074.0,3631.0,29049.0,95.0,2325.0,635.0,-1.0,14698.0,77.0,3014.0,22.0,4133.0,7790.0,2108.0,4481.0,57.0,56.0,-1.0,-1.0,233.0,280.0,132.0,1995.0,1226.0,8858.0,401.0,197.0,-1.0,19530.0,1291.0,-1.0,-1.0,102.0,4.0,1584.0,26.0,2395.0,1.0,39.0,7193.0,-1.0,0.0,194.0,1.0,3260.0,-1.0,2289.0,-1.0,9.0,2507.0,50273.0,1199.0,-1.0,16.0,160.0,58.0,-1.0,6.0,0.0,483.0,2100.0,-1.0,7559.0,4.0,6.0,2384.0,2303.0,0.0,510.0,11049.0,316977.0,498.0,3934.0,16.0,3098.0,-1.0,0.0,144.0,1906.0,4848.0,-1.0,5201.0,-1.0,72.0,0.0,5333.0,639.0,-1.0,638.0,1469.0,514.0,11666.0,3334.0,1488.0,441.0,-1.0,265.0,15.0,1.0,9911.0,195.0,0.0,4028.0,246317.0,1996.0,7821.0,-1.0,-1.0,252.0,13138.0,518.0,429.0,9775.0,-1.0,1204.0,26237.0,809.0,-1.0,23.0,-1.0,204505.0,1.0,1042.0,17.0,5319.0,760.0,4739.0,562.0,2826.0,59.0,264066.0,2359.0,686.0,37.0,18.0,254.0,7683.0,-1.0,1784.0,17.0,0.0,1643.0,888.0,672.0,-1.0,3009.0,594.0,20.0,1.0,408.0,131.0,1801.0,8143.0,1548.0,770.0,34.0,1800.0,0.0,5.0,-1.0,2057.0
1964,248.0,2119.0,-1.0,-1.0,16009.0,2975.0,21.0,294146.0,3661.0,31303.0,95.0,2795.0,650.0,-1.0,15298.0,77.0,2822.0,21.0,4176.0,8044.0,2051.0,4903.0,47.0,46.0,-1.0,-1.0,356.0,205.0,126.0,947.0,1298.0,9367.0,411.0,167.0,-1.0,21636.0,1259.0,-1.0,-1.0,104.0,4.0,1629.0,8.0,1873.0,1.0,37.0,7493.0,-1.0,0.0,195.0,1.0,2823.0,-1.0,2210.0,-1.0,5.0,2418.0,55000.0,1298.0,-1.0,21.0,93.0,46.0,-1.0,6.0,0.0,463.0,2100.0,-1.0,5759.0,8.0,7.0,2302.0,1919.0,0.0,524.0,12353.0,292028.0,573.0,4023.0,15.0,3447.0,-1.0,0.0,147.0,1851.0,4992.0,-1.0,6207.0,-1.0,67.0,0.0,5356.0,639.0,-1.0,644.0,1816.0,543.0,14109.0,3437.0,1261.0,515.0,-1.0,314.0,6.0,2.0,9307.0,110.0,0.0,4422.0,265710.0,2001.0,8272.0,-1.0,-1.0,278.0,14163.0,591.0,439.0,9848.0,-1.0,1163.0,26651.0,892.0,-1.0,33.0,-1.0,207254.0,0.0,1132.0,18.0,6198.0,585.0,4820.0,542.0,3073.0,59.0,271135.0,2395.0,694.0,57.0,18.0,254.0,7852.0,-1.0,1937.0,18.0,0.0,1601.0,935.0,687.0,-1.0,2960.0,543.0,21.0,1.0,412.0,137.0,838.0,8525.0,746.0,556.0,34.0,1800.0,0.0,9.0,-1.0,1418.0
1965,249.0,626.0,-1.0,-1.0,15833.0,3176.0,21.0,290099.0,3309.0,31889.0,92.0,2826.0,615.0,-1.0,14878.0,77.0,2802.0,20.0,4194.0,8308.0,2340.0,5054.0,38.0,37.0,-1.0,-1.0,190.0,144.0,146.0,1289.0,1246.0,9392.0,349.0,177.0,-1.0,22546.0,1297.0,-1.0,-1.0,101.0,4.0,1668.0,9.0,2666.0,1.0,41.0,6189.0,-1.0,0.0,176.0,1.0,2079.0,-1.0,2272.0,-1.0,7.0,2345.0,55702.0,1404.0,-1.0,25.0,16.0,47.0,-1.0,12.0,0.0,506.0,1890.0,-1.0,5839.0,7.0,7.0,2119.0,1937.0,0.0,534.0,12177.0,289474.0,624.0,3254.0,16.0,5355.0,-1.0,0.0,157.0,1602.0,3883.0,-1.0,6777.0,-1.0,60.0,0.0,5509.0,598.0,-1.0,557.0,1810.0,419.0,16755.0,3139.0,1076.0,513.0,-1.0,278.0,5.0,4.0,9071.0,78.0,0.0,4455.0,268562.0,1868.0,8643.0,-1.0,-1.0,391.0,14917.0,615.0,405.0,10677.0,-1.0,1249.0,24763.0,863.0,-1.0,28.0,-1.0,203227.0,1.0,1186.0,20.0,6449.0,504.0,4918.0,437.0,2785.0,59.0,272680.0,2824.0,703.0,61.0,11.0,254.0,8841.0,-1.0,1855.0,20.0,0.0,1457.0,909.0,689.0,-1.0,3673.0,496.0,21.0,1.0,366.0,147.0,1210.0,8186.0,779.0,478.0,34.0,1800.0,0.0,12.0,-1.0,1237.0
1966,305.0,4467.0,-1.0,-1.0,13970.0,3260.0,22.0,296287.0,3177.0,31714.0,96.0,2509.0,644.0,-1.0,15898.0,81.0,2891.0,18.0,4231.0,8234.0,2804.0,5554.0,48.0,41.0,-1.0,-1.0,164.0,504.0,157.0,1567.0,1192.0,9539.0,383.0,148.0,-1.0,23175.0,1315.0,-1.0,-1.0,97.0,5.0,1684.0,31.0,2665.0,7.0,34.0,6222.0,-1.0,0.0,187.0,1.0,2048.0,-1.0,2601.0,-1.0,7.0,2351.0,54537.0,1497.0,-1.0,27.0,12.0,65.0,-1.0,30.0,0.0,381.0,1890.0,-1.0,6082.0,8.0,6.0,1908.0,1839.0,0.0,487.0,14021.0,291820.0,666.0,3500.0,19.0,4031.0,-1.0,0.0,157.0,1439.0,3926.0,-1.0,7594.0,-1.0,67.0,0.0,6030.0,556.0,-1.0,382.0,2053.0,403.0,14739.0,2830.0,1103.0,560.0,-1.0,341.0,6.0,4.0,10213.0,81.0,0.0,4642.0,263222.0,1624.0,8977.0,-1.0,-1.0,427.0,16544.0,480.0,366.0,10745.0,-1.0,1312.0,21822.0,799.0,-1.0,32.0,-1.0,206087.0,3.0,1055.0,21.0,6473.0,487.0,5106.0,438.0,3121.0,59.0,262803.0,3991.0,603.0,60.0,5.0,277.0,7855.0,-1.0,1744.0,17.0,0.0,1184.0,942.0,773.0,-1.0,3541.0,386.0,22.0,1.0,366.0,155.0,1486.0,8061.0,1117.0,262.0,34.0,1584.0,0.0,17.0,-1.0,736.0
1967,333.0,5264.0,-1.0,-1.0,15294.0,3451.0,22.0,284553.0,3680.0,33328.0,100.0,2564.0,650.0,-1.0,15418.0,81.0,2939.0,19.0,4372.0,7680.0,3086.0,5263.0,62.0,43.0,-1.0,-1.0,132.0,355.0,153.0,1421.0,1108.0,9711.0,416.0,160.0,-1.0,22953.0,1312.0,-1.0,-1.0,92.0,5.0,1701.0,51.0,2682.0,19.0,30.0,6706.0,-1.0,0.0,236.0,1.0,1519.0,-1.0,2873.0,-1.0,7.0,2605.0,47924.0,1815.0,-1.0,9.0,6.0,87.0,-1.0,26.0,0.0,385.0,1890.0,-1.0,7240.0,6.0,5.0,1898.0,1320.0,0.0,592.0,15611.0,279289.0,653.0,5218.0,18.0,4291.0,-1.0,0.0,222.0,1331.0,3984.0,-1.0,7621.0,-1.0,93.0,0.0,5872.0,565.0,-1.0,252.0,2212.0,301.0,10914.0,2374.0,1103.0,576.0,-1.0,336.0,5.0,2.0,8667.0,82.0,0.0,4637.0,288340.0,1876.0,9666.0,-1.0,-1.0,470.0,16260.0,463.0,366.0,11171.0,-1.0,1275.0,18445.0,805.0,-1.0,24.0,-1.0,192677.0,3.0,965.0,20.0,7833.0,550.0,5253.0,439.0,3155.0,59.0,264461.0,4086.0,603.0,49.0,5.0,270.0,8336.0,-1.0,1721.0,13.0,0.0,1289.0,985.0,818.0,-1.0,2990.0,253.0,22.0,1.0,366.0,151.0,1339.0,8626.0,1458.0,290.0,36.0,1584.0,0.0,21.0,-1.0,768.0
1968,317.0,5262.0,-1.0,-1.0,17166.0,3220.0,23.0,282350.0,3907.0,37664.0,115.0,2660.0,686.0,-1.0,16625.0,81.0,3215.0,24.0,4703.0,7546.0,3068.0,5716.0,61.0,42.0,-1.0,-1.0,236.0,176.0,122.0,1929.0,1373.0,9691.0,358.0,164.0,-1.0,22756.0,1359.0,-1.0,-1.0,93.0,5.0,1719.0,54.0,2827.0,19.0,19.0,7044.0,-1.0,0.0,220.0,1.0,2067.0,-1.0,2741.0,-1.0,7.0,2613.0,46916.0,2035.0,-1.0,14.0,4.0,113.0,-1.0,36.0,0.0,396.0,1890.0,-1.0,7564.0,9.0,5.0,1688.0,1669.0,0.0,569.0,7264.0,277089.0,593.0,5198.0,25.0,3716.0,-1.0,0.0,188.0,1299.0,4042.0,-1.0,7490.0,-1.0,75.0,0.0,6359.0,879.0,-1.0,308.0,2153.0,245.0,12515.0,2175.0,1116.0,605.0,-1.0,358.0,6.0,2.0,8441.0,119.0,0.0,4677.0,300256.0,2298.0,10743.0,-1.0,-1.0,488.0,16194.0,559.0,338.0,11027.0,-1.0,831.0,20326.0,898.0,-1.0,10.0,-1.0,199407.0,3.0,1104.0,10.0,5827.0,557.0,5421.0,453.0,3135.0,59.0,260123.0,4369.0,491.0,45.0,2.0,259.0,8143.0,-1.0,1732.0,7.0,0.0,1628.0,1116.0,896.0,-1.0,1732.0,196.0,23.0,1.0,366.0,132.0,1810.0,9016.0,1782.0,253.0,40.0,1530.0,0.0,14.0,-1.0,818.0
1969,297.0,6228.0,-1.0,-1.0,17560.0,3289.0,23.0,277828.0,3311.0,43287.0,122.0,2852.0,706.0,-1.0,15138.0,81.0,2996.0,19.0,4566.0,7682.0,2805.0,5595.0,61.0,47.0,-1.0,-1.0,167.0,189.0,113.0,2113.0,1279.0,9664.0,321.0,182.0,-1.0,21491.0,1316.0,-1.0,-1.0,97.0,5.0,1737.0,52.0,2822.0,14.0,22.0,6473.0,-1.0,0.0,198.0,0.0,3396.0,-1.0,3061.0,-1.0,7.0,2686.0,46977.0,2251.0,-1.0,16.0,3.0,110.0,-1.0,20.0,0.0,358.0,1890.0,-1.0,8644.0,10.0,5.0,1708.0,1782.0,0.0,612.0,12889.0,271600.0,494.0,7309.0,25.0,3673.0,-1.0,0.0,208.0,1094.0,4099.0,-1.0,8592.0,-1.0,79.0,0.0,6958.0,781.0,-1.0,348.0,2214.0,255.0,18525.0,1974.0,1112.0,653.0,-1.0,362.0,7.0,2.0,7420.0,119.0,0.0,4588.0,298064.0,2184.0,11863.0,-1.0,-1.0,540.0,15801.0,688.0,338.0,10806.0,-1.0,1036.0,20483.0,792.0,-1.0,2.0,-1.0,199827.0,3.0,1212.0,10.0,6499.0,460.0,5576.0,408.0,3055.0,59.0,258906.0,5441.0,338.0,21.0,3.0,293.0,8067.0,-1.0,1688.0,8.0,0.0,1548.0,1195.0,879.0,-1.0,1517.0,153.0,23.0,1.0,297.0,135.0,1994.0,9451.0,2358.0,169.0,126.0,1566.0,0.0,7.0,-1.0,431.0
1970,315.0,5952.0,-1.0,-1.0,20129.0,3344.0,23.0,277666.0,3383.0,43028.0,137.0,2487.0,740.0,-1.0,16495.0,87.0,2980.0,24.0,4018.0,9102.0,2764.0,6205.0,62.0,50.0,-1.0,-1.0,220.0,210.0,135.0,2000.0,1208.0,9725.0,313.0,210.0,-1.0,33038.0,1302.0,-1.0,-1.0,94.0,5.0,1755.0,74.0,2985.0,12.0,9.0,6522.0,-1.0,0.0,161.0,0.0,2152.0,-1.0,3221.0,-1.0,7.0,2947.0,46449.0,2308.0,-1.0,15.0,3.0,130.0,-1.0,26.0,0.0,335.0,1680.0,-1.0,8005.0,9.0,6.0,1745.0,1852.0,0.0,509.0,15349.0,271714.0,445.0,6469.0,25.0,4014.0,-1.0,0.0,245.0,1040.0,4142.0,-1.0,8714.0,-1.0,75.0,0.0,7643.0,860.0,-1.0,366.0,2123.0,483.0,25888.0,2093.0,1120.0,536.0,-1.0,384.0,7.0,2.0,8011.0,147.0,0.0,4494.0,298389.0,1987.0,11999.0,-1.0,-1.0,484.0,17897.0,589.0,338.0,12767.0,-1.0,1120.0,22832.0,625.0,-1.0,3.0,-1.0,210226.0,1.0,1375.0,9.0,7162.0,415.0,5703.0,502.0,2858.0,59.0,250498.0,7385.0,520.0,17.0,6.0,347.0,9904.0,-1.0,1788.0,6.0,0.0,1497.0,1381.0,936.0,-1.0,1969.0,142.0,23.0,1.0,298.0,123.0,1853.0,9093.0,2364.0,233.0,84.0,1710.0,3.0,3.0,-1.0,654.0
1971,306.0,5741.0,-1.0,-1.0,19346.0,2540.0,23.0,280405.0,3396.0,48482.0,147.0,2456.0,781.0,-1.0,16337.0,87.0,3587.0,24.0,4130.0,9329.0,2503.0,6192.0,58.0,50.0,-1.0,-1.0,268.0,220.0,144.0,2268.0,1093.0,9569.0,309.0,149.0,-1.0,35336.0,1565.0,-1.0,-1.0,96.0,5.0,1773.0,62.0,2986.0,7.0,4.0,6266.0,-1.0,0.0,242.0,0.0,1952.0,-1.0,3368.0,-1.0,5.0,3243.0,50083.0,2227.0,-1.0,930.0,2.0,128.0,-1.0,34.0,0.0,333.0,1680.0,-1.0,7679.0,12.0,4.0,1831.0,1648.0,0.0,531.0,12021.0,274664.0,525.0,6343.0,25.0,4297.0,-1.0,0.0,389.0,973.0,4200.0,-1.0,9307.0,-1.0,126.0,0.0,8874.0,938.0,-1.0,434.0,2023.0,583.0,18335.0,1995.0,1116.0,472.0,-1.0,341.0,12.0,3.0,10194.0,147.0,0.0,4489.0,299806.0,2252.0,12075.0,-1.0,-1.0,422.0,17987.0,898.0,338.0,14684.0,-1.0,547.0,20581.0,552.0,-1.0,1.0,-1.0,200633.0,1.0,1661.0,9.0,7573.0,417.0,5623.0,492.0,2902.0,39.0,247460.0,6272.0,570.0,19.0,6.0,362.0,9365.0,-1.0,1717.0,6.0,0.0,1561.0,1026.0,979.0,-1.0,2177.0,176.0,23.0,1.0,281.0,128.0,2121.0,9687.0,2220.0,233.0,42.0,1530.0,1.0,4.0,-1.0,423.0
1972,306.0,3537.0,-1.0,-1.0,18288.0,3824.0,24.0,273836.0,2853.0,54713.0,149.0,2679.0,770.0,-1.0,15742.0,89.0,3156.0,18.0,4018.0,8050.0,2491.0,6012.0,44.0,36.0,-1.0,-1.0,309.0,235.0,133.0,2131.0,1359.0,9746.0,392.0,177.0,-1.0,39278.0,1239.0,-1.0,-1.0,143.0,5.0,1790.0,62.0,3115.0,8.0,2.0,6237.0,-1.0,0.0,271.0,0.0,1497.0,-1.0,3518.0,-1.0,5.0,3426.0,52225.0,2228.0,-1.0,1079.0,1.0,130.0,-1.0,68.0,0.0,207.0,1680.0,-1.0,5984.0,13.0,4.0,2137.0,1658.0,0.0,573.0,13225.0,270299.0,690.0,5200.0,37.0,4586.0,-1.0,1.0,525.0,1022.0,4258.0,-1.0,9736.0,-1.0,154.0,0.0,8048.0,836.0,-1.0,520.0,1662.0,875.0,14805.0,1738.0,1295.0,419.0,-1.0,399.0,10.0,3.0,12543.0,147.0,0.0,4169.0,315643.0,2332.0,12426.0,-1.0,-1.0,353.0,17138.0,878.0,338.0,13614.0,-1.0,552.0,24148.0,515.0,-1.0,4.0,-1.0,200667.0,1.0,1674.0,5.0,6578.0,510.0,5803.0,545.0,3154.0,39.0,258718.0,8422.0,846.0,30.0,4.0,345.0,9296.0,-1.0,1683.0,8.0,0.0,1727.0,1448.0,1042.0,-1.0,2827.0,179.0,24.0,1.0,281.0,120.0,1984.0,9888.0,1924.0,210.0,36.0,1887.0,2.0,7.0,-1.0,349.0
1973,292.0,3419.0,-1.0,-1.0,19659.0,4063.0,24.0,272687.0,3006.0,64011.0,141.0,2633.0,772.0,-1.0,16361.0,92.0,3116.0,21.0,5416.0,6937.0,2487.0,6027.0,44.0,36.0,-1.0,-1.0,314.0,286.0,166.0,2585.0,1231.0,9422.0,453.0,154.0,-1.0,39848.0,1337.0,-1.0,-1.0,183.0,5.0,1808.0,69.0,2792.0,8.0,2.0,6487.0,-1.0,0.0,332.0,0.0,1339.0,-1.0,3591.0,-1.0,5.0,3443.0,49878.0,2075.0,-1.0,739.0,4.0,101.0,-1.0,122.0,0.0,178.0,1680.0,-1.0,8254.0,11.0,1.0,1967.0,1866.0,0.0,621.0,11018.0,269267.0,838.0,6020.0,39.0,4823.0,-1.0,1.0,551.0,1124.0,4308.0,-1.0,9402.0,-1.0,145.0,0.0,8225.0,771.0,-1.0,584.0,1511.0,933.0,15421.0,1702.0,1643.0,374.0,-1.0,448.0,13.0,2.0,10883.0,66.0,0.0,4379.0,366690.0,2668.0,12683.0,-1.0,-1.0,304.0,18675.0,1049.0,338.0,14448.0,-1.0,592.0,23919.0,512.0,-1.0,5.0,-1.0,204005.0,1.0,2192.0,4.0,4658.0,545.0,5001.0,581.0,2993.0,68.0,255905.0,10215.0,1135.0,43.0,4.0,361.0,9885.0,-1.0,1650.0,9.0,0.0,1814.0,1429.0,1072.0,-1.0,3338.0,175.0,24.0,1.0,292.0,129.0,2519.0,10169.0,2693.0,259.0,42.0,1886.0,2.0,7.0,-1.0,476.0
1974,291.0,3193.0,-1.0,-1.0,19826.0,3739.0,24.0,271784.0,3030.0,79623.0,97.0,2394.0,719.0,-1.0,14434.0,93.0,2834.0,24.0,5787.0,6817.0,2810.0,5940.0,26.0,18.0,-1.0,-1.0,248.0,363.0,164.0,2450.0,1214.0,9434.0,485.0,130.0,-1.0,44033.0,1124.0,-1.0,-1.0,269.0,5.0,1826.0,74.0,2813.0,8.0,2.0,7118.0,-1.0,0.0,386.0,0.0,1899.0,-1.0,3169.0,-1.0,6.0,3150.0,37701.0,2439.0,-1.0,945.0,3.0,76.0,-1.0,193.0,0.0,257.0,1890.0,-1.0,5866.0,10.0,3.0,2582.0,2107.0,0.0,819.0,13017.0,268591.0,853.0,5459.0,39.0,4331.0,-1.0,1.0,607.0,1019.0,4358.0,-1.0,11974.0,-1.0,192.0,0.0,9036.0,608.0,-1.0,571.0,1404.0,1379.0,15872.0,1784.0,1600.0,384.0,-1.0,460.0,14.0,2.0,8599.0,169.0,0.0,4059.0,334323.0,2567.0,12938.0,-1.0,-1.0,458.0,17330.0,922.0,338.0,12830.0,-1.0,611.0,24511.0,512.0,-1.0,2.0,-1.0,204343.0,0.0,2399.0,5.0,5810.0,588.0,6152.0,612.0,2939.0,92.0,231932.0,6636.0,662.0,39.0,2.0,369.0,10892.0,-1.0,1494.0,9.0,0.0,1838.0,1083.0,1092.0,-1.0,3418.0,204.0,24.0,1.0,303.0,169.0,2282.0,9839.0,2533.0,208.0,84.0,1778.0,4.0,9.0,-1.0,488.0
1975,287.0,3127.0,-1.0,-1.0,19772.0,3700.0,26.0,265510.0,2789.0,79649.0,177.0,3517.0,721.0,-1.0,15389.0,101.0,3072.0,23.0,6059.0,6028.0,2763.0,5969.0,26.0,18.0,-1.0,-1.0,276.0,368.0,162.0,1643.0,1236.0,9324.0,386.0,216.0,-1.0,48969.0,1709.0,-1.0,-1.0,353.0,5.0,1854.0,75.0,4949.0,8.0,0.0,7078.0,-1.0,0.0,429.0,0.0,2698.0,-1.0,3263.0,-1.0,6.0,3134.0,27407.0,2982.0,-1.0,1030.0,2.0,70.0,-1.0,237.0,0.0,330.0,1890.0,-1.0,4792.0,11.0,3.0,2540.0,2447.0,0.0,842.0,16476.0,262384.0,712.0,5724.0,39.0,4385.0,-1.0,2.0,569.0,767.0,4416.0,-1.0,11240.0,-1.0,165.0,0.0,7455.0,699.0,-1.0,510.0,1779.0,861.0,8472.0,1736.0,1690.0,349.0,-1.0,356.0,29.0,2.0,12915.0,121.0,0.0,4133.0,346710.0,2647.0,13219.0,-1.0,-1.0,405.0,17668.0,843.0,338.0,12283.0,-1.0,679.0,23702.0,489.0,-1.0,12.0,-1.0,203596.0,0.0,2721.0,4.0,2999.0,605.0,5210.0,633.0,2740.0,103.0,248063.0,7689.0,752.0,25.0,1.0,400.0,6763.0,-1.0,2122.0,7.0,4.0,1916.0,1083.0,1097.0,-1.0,2746.0,259.0,26.0,1.0,303.0,126.0,1522.0,10952.0,2277.0,212.0,95.0,1937.0,5.0,11.0,-1.0,472.0
1976,303.0,2823.0,-1.0,-1.0,18412.0,3771.0,28.0,262032.0,2766.0,88072.0,184.0,3211.0,682.0,-1.0,14327.0,104.0,3679.0,25.0,5808.0,6162.0,2934.0,6208.0,25.0,18.0,-1.0,-1.0,211.0,405.0,160.0,2795.0,1419.0,8969.0,543.0,139.0,-1.0,48122.0,1593.0,-1.0,-1.0,412.0,6.0,1872.0,86.0,2955.0,7.0,0.0,6804.0,-1.0,0.0,383.0,0.0,1898.0,-1.0,2973.0,-1.0,6.0,3486.0,29531.0,2504.0,-1.0,483.0,3.0,70.0,-1.0,274.0,0.0,240.0,1680.0,-1.0,5214.0,8.0,1.0,3110.0,2246.0,0.0,880.0,16202.0,259209.0,944.0,5634.0,42.0,4234.0,-1.0,3.0,597.0,852.0,4416.0,-1.0,11373.0,-1.0,162.0,0.0,8276.0,651.0,-1.0,594.0,1765.0,750.0,16573.0,1507.0,1690.0,286.0,-1.0,352.0,26.0,2.0,15973.0,108.0,0.0,4246.0,330041.0,2399.0,13434.0,-1.0,-1.0,521.0,17910.0,1251.0,338.0,13235.0,-1.0,645.0,29980.0,442.0,-1.0,55.0,-1.0,205933.0,0.0,3678.0,5.0,3164.0,653.0,4904.0,651.0,2768.0,117.0,250449.0,8008.0,708.0,49.0,2.0,508.0,12005.0,-1.0,2220.0,8.0,4.0,1947.0,1093.0,1061.0,-1.0,2754.0,422.0,28.0,1.0,345.0,92.0,2687.0,13849.0,2193.0,219.0,95.0,1897.0,8.0,9.0,-1.0,524.0
