,"China, mainland",Israel,Uzbekistan,Chile,Spain,New Zealand,"China, Taiwan Province of",Republic of Korea,Mexico,Australia,Azerbaijan,Brazil,Australia & New Zealand,Slovenia,Nepal,China,Japan,Iran (Islamic Republic of),Italy
1976,530000.0,1700.0,-1.0,-1.0,-1.0,-1.0,3826.0,16946.0,-1.0,-1.0,-1.0,22364.0,-1.0,-1.0,-1.0,533826.0,264100.0,60.0,60690.0
1977,525000.0,2400.0,-1.0,-1.0,-1.0,-1.0,4422.0,30138.0,-1.0,-1.0,-1.0,23801.0,-1.0,-1.0,-1.0,529422.0,275400.0,60.0,62100.0
1978,570000.0,1900.0,-1.0,-1.0,-1.0,-1.0,4463.0,29984.0,-1.0,-1.0,-1.0,36340.0,-1.0,-1.0,-1.0,574463.0,287000.0,60.0,57800.0
1979,506500.0,2500.0,-1.0,-1.0,-1.0,-1.0,5267.0,33386.0,-1.0,-1.0,-1.0,40385.0,-1.0,-1.0,-1.0,511767.0,263900.0,65.0,58500.0
1980,560400.0,3400.0,-1.0,-1.0,-1.0,-1.0,6238.0,31837.0,-1.0,-1.0,-1.0,39958.0,-1.0,-1.0,-1.0,566638.0,265200.0,65.0,61100.0
1981,506000.0,5600.0,-1.0,-1.0,-1.0,-1.0,7313.0,39254.0,52.0,-1.0,-1.0,37598.0,-1.0,-1.0,-1.0,513313.0,260500.0,90.0,62800.0
1982,482000.0,8100.0,-1.0,-1.0,-1.0,-1.0,6621.0,57807.0,140.0,-1.0,-1.0,38396.0,-1.0,-1.0,-1.0,488621.0,333700.0,252.0,65400.0
1983,553000.0,12700.0,-1.0,-1.0,-1.0,-1.0,7850.0,91052.0,126.0,82.0,-1.0,45298.0,82.0,-1.0,-1.0,560850.0,309900.0,150.0,76700.0
1984,608000.0,13900.0,-1.0,-1.0,-1.0,-1.0,9525.0,68812.0,300.0,125.0,-1.0,41915.0,125.0,-1.0,-1.0,617525.0,297400.0,100.0,78400.0
1985,680000.0,8100.0,-1.0,-1.0,-1.0,-1.0,10945.0,97031.0,255.0,216.0,-1.0,43658.0,216.0,-1.0,-1.0,690945.0,289700.0,60.0,56200.0
1986,750000.0,11900.0,-1.0,-1.0,-1.0,450.0,10626.0,98906.0,404.0,211.0,-1.0,43488.0,661.0,-1.0,-1.0,760626.0,291300.0,47.0,69700.0
1987,820000.0,19200.0,-1.0,-1.0,-1.0,580.0,11811.0,75677.0,201.0,233.0,-1.0,45000.0,813.0,-1.0,-1.0,831811.0,290200.0,45.0,69820.0
1988,732921.0,7000.0,-1.0,-1.0,-1.0,650.0,15694.0,98337.0,237.0,230.0,-1.0,45745.0,880.0,-1.0,-1.0,748615.0,287600.0,100.0,69170.0
1989,650283.0,16000.0,-1.0,-1.0,-1.0,640.0,16404.0,113403.0,320.0,232.0,-1.0,46836.0,872.0,-1.0,-1.0,666687.0,268100.0,400.0,72920.0
1990,624773.0,17200.0,-1.0,-1.0,0.0,972.0,15457.0,95758.0,275.0,329.0,-1.0,46712.0,1301.0,-1.0,370.0,640230.0,285700.0,925.0,68770.0
1991,641576.0,16200.0,-1.0,-1.0,591.0,1585.0,14935.0,109722.0,119.0,480.0,-1.0,47662.0,2065.0,-1.0,400.0,656511.0,248800.0,786.0,61810.0
1992,724329.0,17390.0,-1.0,-1.0,591.0,1217.0,14636.0,155111.0,294.0,510.0,-1.0,46611.0,1727.0,-1.0,448.0,738965.0,307700.0,1000.0,66546.0
1993,789113.0,15780.0,-1.0,-1.0,2963.0,1530.0,16380.0,116070.0,336.0,640.0,-1.0,48086.0,2170.0,-1.0,420.0,805493.0,241900.0,1000.0,56753.0
1994,826870.0,13800.0,-1.0,-1.0,6895.0,1500.0,15100.0,167471.0,314.0,617.0,-1.0,55406.0,2117.0,-1.0,465.0,841970.0,302200.0,1065.0,48999.0
1995,969363.0,11000.0,-1.0,-1.0,10826.0,1600.0,16440.0,194585.0,274.0,623.0,-1.0,51685.0,2223.0,-1.0,500.0,985803.0,254100.0,1124.0,61300.0
1996,1025219.0,18200.0,-1.0,-1.0,14757.0,1200.0,15811.0,210766.0,369.0,650.0,-1.0,52534.0,1850.0,-1.0,295.0,1041030.0,240500.0,1184.0,67800.0
1997,1075417.0,16800.0,-1.0,-1.0,18688.0,1378.0,19018.0,239570.0,435.0,635.0,-1.0,52198.0,2013.0,-1.0,350.0,1094435.0,301700.0,1245.0,59800.0
1998,1314136.0,17400.0,-1.0,-1.0,21842.0,1982.0,18962.0,260671.0,440.0,641.0,47900.0,60423.0,2623.0,-1.0,340.0,1333098.0,260100.0,1305.0,62000.0
1999,1481327.0,14000.0,-1.0,-1.0,29469.0,2415.0,25754.0,273846.0,398.0,646.0,60300.0,64096.0,3061.0,-1.0,365.0,1507081.0,286000.0,1367.0,40769.0
2000,1591906.0,14186.0,16000.0,-1.0,33000.0,3278.0,23891.0,287847.0,247.0,652.0,70300.0,63300.0,3929.0,-1.0,360.0,1615797.0,278800.0,1429.0,42450.0
2001,1584660.0,14900.0,16000.0,-1.0,34500.0,2600.0,26169.0,270338.0,402.0,658.0,86000.0,105000.0,3258.0,-1.0,390.0,1610829.0,281800.0,1492.0,48240.0
2002,1740591.0,35700.0,16500.0,-1.0,36050.0,2900.0,34747.0,281143.0,192.0,662.0,104800.0,141364.0,3562.0,-1.0,410.0,1775338.0,269300.0,1569.0,54170.0
2003,1795110.0,40100.0,17000.0,-1.0,45200.0,3000.0,38247.0,249207.0,347.0,669.0,114899.0,158131.0,3669.0,550.0,415.0,1833357.0,265000.0,1635.0,47000.0
2004,1998214.0,38700.0,19000.0,-1.0,45800.0,3000.0,36177.0,299046.0,275.0,675.0,48089.0,162288.0,3675.0,525.0,423.0,2034391.0,232500.0,1702.0,57110.0
2005,2185041.0,48000.0,21000.0,-1.0,51950.0,3000.0,27111.0,363822.0,369.0,681.0,108965.0,164849.0,3681.0,499.0,443.0,2212152.0,285900.0,1769.0,51332.0
2006,2320346.0,24606.0,27213.0,-1.0,63000.0,3331.0,26395.0,352822.0,287.0,700.0,124485.0,168274.0,4031.0,398.0,476.0,2346741.0,232700.0,1837.0,53100.0
2007,2574143.0,37347.0,28000.0,-1.0,67000.0,2717.0,32962.0,395614.0,442.0,715.0,128407.0,159851.0,3432.0,538.0,489.0,2607105.0,244800.0,1907.0,52500.0
2008,2710988.0,45350.0,31000.0,-1.0,95400.0,2900.0,33899.0,430521.0,362.0,720.0,132179.0,173297.0,3620.0,441.0,509.0,2744887.0,266600.0,1978.0,51600.0
2009,2834165.0,32291.0,40000.0,-1.0,100200.0,2700.0,37032.0,416705.0,412.0,700.0,135549.0,171555.0,3400.0,569.0,527.0,2871197.0,258000.0,2052.0,51593.0
2010,2875600.0,28201.0,38000.0,-1.0,125280.0,2615.0,58401.0,390630.0,363.0,696.0,142188.0,167215.0,3311.0,805.0,690.0,2934001.0,189400.0,2127.0,48165.0
2011,3187239.0,29271.0,53400.0,320.0,159400.0,2300.0,90100.0,390820.0,223.0,692.0,146084.0,154625.0,2992.0,813.0,1609.0,3277339.0,207500.0,2203.0,50347.0
2012,3417586.0,31292.0,56000.0,700.0,212300.0,2350.0,81894.0,401049.0,244.0,660.0,140082.0,158241.0,3010.0,681.0,2806.0,3499480.0,253800.0,2250.0,51165.0
2013,3538823.0,35692.0,75000.0,670.0,242800.0,2584.0,63694.0,351990.0,179.0,702.0,143106.0,173169.0,3286.0,696.0,1936.0,3602517.0,214700.0,2400.0,41858.0
2014,3730800.0,36592.0,66000.0,-1.0,245000.0,2600.0,72764.0,428363.0,175.0,715.0,140405.0,182290.0,3315.0,801.0,1918.0,3803564.0,240600.0,2452.0,39149.0
