,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Slovakia,Democratic Republic of the Congo,Ethiopia,Kenya,Romania,Serbia,Zambia,Lebanon,Yemen,Tunisia,Albania,Brazil,Democratic People's Republic of Korea,Slovenia,Hungary,Argentina,Colombia,Spain,India,Lesotho,Ecuador,Republic of Moldova,Canada,Turkey,Jordan,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,New Zealand,United Arab Emirates,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Bangladesh,Italy,Qatar,Germany,Syrian Arab Republic,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Mongolia,Chile,Malta,Uruguay,Denmark,Zimbabwe,Ireland,Egypt,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Switzerland,Thailand,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Oman,Bosnia and Herzegovina,Russian Federation,Bolivia (Plurinational State of),Western Sahara,Sudan,Latvia,Ukraine,Kuwait,South Africa,Mauritania,Tajikistan,Croatia,Bulgaria,Myanmar,China
1961,12271000.0,,1018771.0,941304.0,120000.0,,439.0,,13513.0,468100.0,,,12000.0,141000.0,70000.0,8930.0,24310.0,200000.0,,984385.0,800000.0,99390.0,1743700.0,2819000.0,3271.0,70352.0,,2452398.0,2948000.0,61700.0,427776.0,748000.0,,,221442.0,1580538.0,5412790.0,1662000.0,1339000.0,77467.0,-1.0,,,174132.0,571000.0,802000.0,,8546000.0,3710000.0,45720.0,216872.0,307.0,,52051.0,385077.0,50.0,511571.0,2200.0,,427700.0,911194.0,,100.0,,18000.0,,72000.0,17272.0,278700.0,,3669020.0,335000.0,944580.0,,-1.0,365161.0,,,130.0,571680.0,11000.0,71880.0,1900.0,27870.0,2808149.0,1000.0,515400.0,132910.0,211919.0,304.0,62500.0,1976300.0,,378000.0,92200.0,,9000.0,,5053833.0,,-1.0,,,59900.0,,,,,,36000.0,200.0,,,611517.0,,3710304.0
1962,17985008.0,,978415.0,897655.0,116000.0,,439.0,,10000.0,419300.0,,,13100.0,140000.0,145000.0,6934.0,27637.0,200000.0,,1150031.0,345000.0,108000.0,2161952.0,3150000.0,2800.0,106056.0,,3611322.0,3500000.0,35700.0,522498.0,760000.0,,,232447.0,1751607.0,6003010.0,1546000.0,1315000.0,80760.0,-1.0,,,151115.0,475000.0,765000.0,,9314000.0,5940000.0,91440.0,199526.0,275.0,,72100.0,430996.0,60.0,556640.0,2400.0,,342700.0,1125257.0,,100.0,,20000.0,,87900.0,18288.0,285400.0,,4908212.0,797758.0,925720.0,,-1.0,270100.0,,,170.0,1422000.0,17000.0,73290.0,1906.0,35053.0,3299515.0,1565.0,603200.0,146296.0,818700.0,264.0,48200.0,1726200.0,,378000.0,124600.0,,9200.0,,5865657.0,,-1.0,,,60500.0,,,,,,43000.0,200.0,,,599200.0,,5940264.0
1963,18220000.0,,1079493.0,984200.0,124000.0,,392.0,,20000.0,351300.0,,,10000.0,138000.0,350000.0,7886.0,20484.0,210000.0,,874977.0,1020000.0,117587.0,2070700.0,2420000.0,2400.0,130020.0,,4816728.0,4288000.0,23000.0,504204.0,774000.0,,,207005.0,1619544.0,7384040.0,1035000.0,1479000.0,95293.0,-1.0,,,185616.0,524000.0,740000.0,,8554000.0,4500000.0,89408.0,196380.0,380.0,,61167.0,386835.0,70.0,617331.0,2700.0,,463000.0,790328.0,,200.0,,22000.0,,91500.0,21336.0,280300.0,,4759281.0,783806.0,1155350.0,,-1.0,492300.0,,,1308.0,1751771.0,12000.0,69730.0,2180.0,18296.0,3398857.0,1524.0,588900.0,134362.0,691083.0,397.0,36300.0,1758900.0,,378000.0,94900.0,,9500.0,,6704914.0,,-1.0,,,63000.0,,,,,,37000.0,200.0,,,617680.0,,4500397.0
1964,26310000.0,,1249465.0,1118465.0,111000.0,,352.0,,19508.0,348400.0,,,15000.0,135000.0,180000.0,8304.0,28668.0,200000.0,,822293.0,826000.0,113649.0,1926900.0,2038000.0,2000.0,80788.0,,3667776.0,3200000.0,97156.0,534001.0,786000.0,,,242000.0,1428616.0,6790980.0,1704000.0,1261000.0,131000.0,-1.0,,,170564.0,534000.0,718000.0,,8406892.0,4400000.0,66040.0,182894.0,939.0,,45531.0,375753.0,80.0,605177.0,2700.0,,480000.0,622927.0,,300.0,,24000.0,,88000.0,13208.0,251500.0,,5411377.0,636906.0,1374600.0,,-1.0,369700.0,,,140.0,1401705.0,11400.0,80430.0,1901.0,39992.0,3899590.0,1334.0,550699.0,142174.0,277266.0,740.0,116600.0,1202800.0,,380000.0,105100.0,,9800.0,,7522834.0,,-1.0,,,61600.0,,,,,,47000.0,210.0,,,763664.0,,4400740.0
1965,18680000.0,,1054742.0,948822.0,118000.0,,341.0,,13107.0,485410.0,,,12600.0,133000.0,250000.0,7300.0,27451.0,180000.0,,1015847.0,404000.0,90000.0,1891447.0,2521000.0,1800.0,92983.0,,4752828.0,3300000.0,94800.0,550460.0,805000.0,,,337505.0,1399043.0,7377700.0,2027000.0,1445000.0,105920.0,-1.0,,,193235.0,682000.0,935000.0,,8559056.0,4800000.0,137160.0,178951.0,1100.0,,72013.0,372764.0,90.0,522864.0,2800.0,,484900.0,806903.0,,200.0,,26000.0,,95982.0,12192.0,284700.0,,5015922.0,690100.0,1436700.0,,-1.0,501602.0,,,141.0,1431565.0,8600.0,73996.0,2175.0,19606.0,4125804.0,1161.0,615730.0,129606.0,378643.0,1051.0,67400.0,1234000.0,,380000.0,94600.0,,10200.0,,8191000.0,,-1.0,,,60000.0,,,,,,35000.0,200.0,,,875936.0,,4801051.0
1966,25649008.0,,1510888.0,1396808.0,83000.0,,382.0,,14428.0,482900.0,,,12723.0,131000.0,108000.0,9600.0,34705.0,150000.0,,919127.0,438000.0,95000.0,2006300.0,2382000.0,1600.0,76886.0,,6558488.0,3800000.0,22800.0,522829.0,822000.0,,,563438.0,1608402.0,7421160.0,2267000.0,1398000.0,114080.0,-1.0,,,220063.0,713000.0,1080000.0,,8538543.0,2800000.0,50800.0,154238.0,860.0,,49700.0,416450.0,100.0,705712.0,2800.0,,405104.0,832090.0,,200.0,,28000.0,,99058.0,12200.0,252700.0,,5394619.0,203000.0,1407700.0,,-1.0,596700.0,,,102.0,703500.0,8900.0,88039.0,1914.0,27718.0,4158559.0,1500.0,638200.0,102070.0,129770.0,1037.0,21200.0,1104900.0,,375000.0,106800.0,,10700.0,,8730350.0,,-1.0,,,60000.0,,,,,,38000.0,200.0,,,1063936.0,,2801037.0
1967,22689008.0,,968594.0,834580.0,88000.0,,401.0,,6385.0,530800.0,,,15746.0,131000.0,85000.0,10400.0,30682.0,130000.0,,939091.0,588000.0,95200.0,2575765.0,2348400.0,1300.0,81421.0,,5505420.0,3800000.0,48400.0,668625.0,800000.0,,,773718.0,1935874.0,9874340.0,2153000.0,1394000.0,134014.0,-1.0,,,203373.0,606000.0,1035000.0,,8138822.0,3000000.0,86360.0,172447.0,2197.0,,74200.0,446679.0,96.0,772210.0,3000.0,,485459.0,855000.0,,456.0,,28000.0,,109964.0,15200.0,295000.0,,6661234.0,590000.0,1563950.0,,-1.0,680800.0,,,81.0,1520000.0,11200.0,117540.0,2159.0,13520.0,4382339.0,1700.0,676700.0,114000.0,339619.0,820.0,56000.0,1032300.0,,357000.0,116600.0,,28025.0,,9221300.0,,-1.0,,,56000.0,,,,,,51000.0,200.0,,,985375.0,,3000820.0
1968,26592000.0,,1865635.0,1646296.0,108000.0,,2020.0,,11810.0,589566.0,,,11567.0,130000.0,155000.0,7900.0,28988.0,120000.0,,906141.0,556000.0,74800.0,3440975.0,3503600.0,1000.0,76008.0,,7098652.0,3560000.0,19729.0,621912.0,780000.0,,,470899.0,2112996.0,9139410.0,2333000.0,1478000.0,219339.0,-1.0,,,252706.0,450000.0,1160000.0,,9279401.0,2400000.0,50800.0,145855.0,163.0,,94300.0,389478.0,133.0,769979.0,3200.0,,621255.0,992000.0,,420.0,,22600.0,,98421.0,16300.0,258100.0,,7094694.0,512000.0,1776400.0,,-1.0,717700.0,,,,3212000.0,6000.0,157155.0,1925.0,48058.0,5047017.0,1900.0,752400.0,126000.0,537852.0,843.0,24500.0,1020500.0,,361000.0,111600.0,,11200.0,,8277503.0,,-1.0,,,60100.0,770.0,,,,3.0,37000.0,220.0,,,807446.0,,2400843.0
1969,30040000.0,,1931292.0,1698732.0,97000.0,,2515.0,,11274.0,543708.0,,,6750.0,127000.0,120000.0,7500.0,30620.0,110000.0,,909394.0,570000.0,81800.0,3877300.0,2423800.0,827.0,77659.0,,8083682.0,3740000.0,42480.0,610263.0,800000.0,,,447545.0,2498944.0,9452070.0,2314000.0,1947600.0,232560.0,-1.0,,,212477.0,458540.0,1143000.0,,9298494.0,2400000.0,101600.0,163665.0,288.0,,54800.0,389393.0,147.0,933706.0,3200.0,,485614.0,963000.0,,91.0,,23400.0,,123955.0,18300.0,291900.0,,7197820.0,626959.0,1575180.0,,-1.0,840000.0,,,,2042000.0,4100.0,80100.0,1693.0,36136.0,5255194.0,2000.0,788000.0,117000.0,466377.0,1229.0,20500.0,812100.0,,365000.0,132300.0,,14000.0,,8670401.0,,-1.0,,,61600.0,762.0,,,,5.0,20000.0,220.0,,,905102.0,,2401229.0
1970,35118000.0,,2525443.0,2351000.0,103637.0,,1975.0,,16280.0,513491.0,,,5878.0,126000.0,151000.0,9700.0,26735.0,120000.0,,553115.0,367000.0,87100.0,3103200.0,2716300.0,573.0,79887.0,,8889225.0,3250000.0,5537.0,570821.0,815000.0,,,736910.0,2279503.0,8154000.0,2210000.0,2148900.0,174443.0,-1.0,,,237563.0,402000.0,1083000.0,,9060146.0,2680000.0,55880.0,169955.0,0.0,,54400.0,334300.0,161.0,913301.0,3300.0,,580475.0,682000.0,,140.0,,24400.0,,52807.0,19300.0,314600.0,,6679942.0,234920.0,1903650.0,,-1.0,933400.0,,,,1955200.0,9000.0,97401.0,1481.0,45481.0,4813107.0,2500.0,782000.0,84000.0,571438.0,851.0,13600.0,572500.0,,370000.0,141800.0,,16000.0,,7534893.0,,-1.0,,,61500.0,850.0,,,,8.0,33000.0,220.0,,,1167015.0,,2680851.0
