,"China, mainland",United States of America,Argentina,USSR,Brazil,Madagascar,Paraguay,China,Malawi
1961,215000.0,101187.0,108000.0,1875.0,10124.0,7000.0,28750.0,215000.0,3688.0
1962,183000.0,20684.0,110000.0,1875.0,10729.0,5000.0,32500.0,183000.0,3971.0
1963,329000.0,66678.0,125000.0,1875.0,11913.0,7000.0,38750.0,329000.0,4255.0
1964,357000.0,111856.0,108000.0,1875.0,11883.0,7400.0,30625.0,357000.0,4255.0
1965,130000.0,30209.0,41800.0,3125.0,12521.0,9100.0,32500.0,130000.0,4255.0
1966,264000.0,75206.0,174500.0,625.0,18649.0,7625.0,53750.0,264000.0,4287.0
1967,326000.0,36378.0,102600.0,3750.0,20435.0,8860.0,78750.0,326000.0,4689.0
1968,367000.0,15422.0,137150.0,3125.0,16876.0,5200.0,76250.0,367000.0,5421.0
1969,394000.0,17055.0,68300.0,4375.0,13969.0,4710.0,65000.0,394000.0,2888.0
1970,357000.0,10623.0,142000.0,1875.0,14725.0,4350.0,88638.0,357000.0,1980.0
1971,259000.0,270.0,110000.0,3125.0,14415.0,3990.0,133000.0,259000.0,2890.0
1972,330000.0,8500.0,170000.0,3125.0,16615.0,2145.0,140000.0,330000.0,2624.0
1973,302000.0,0.0,25000.0,3750.0,7763.0,2000.0,69800.0,302000.0,1574.0
1974,375000.0,,136000.0,1875.0,13404.0,1770.0,125640.0,375000.0,1940.0
1975,370000.0,,145100.0,5000.0,9904.0,4665.0,120000.0,370000.0,1489.0
1976,302000.0,,118000.0,3750.0,9566.0,1530.0,131200.0,302000.0,1415.0
1977,340000.0,,100000.0,2500.0,9706.0,1660.0,137700.0,340000.0,1300.0
1978,391000.0,,82400.0,1188.0,8863.0,1095.0,96390.0,391000.0,1300.0
1979,325000.0,,58300.0,1813.0,7688.0,945.0,106030.0,325000.0,1700.0
1980,303000.0,,81000.0,3375.0,7981.0,1500.0,90000.0,303000.0,1761.0
1981,360000.0,,82000.0,3980.0,7247.0,1500.0,90000.0,360000.0,1480.0
1982,339000.0,,80500.0,1310.0,7116.0,1600.0,74555.0,339000.0,1500.0
1983,368000.0,,39400.0,5000.0,5674.0,1700.0,106000.0,368000.0,1600.0
1984,361600.0,,66700.0,5370.0,5426.0,1800.0,64021.0,361600.0,1700.0
1985,378770.0,,66200.0,5620.0,5212.0,1800.0,70423.0,378770.0,1700.0
1986,346227.0,,39500.0,4690.0,5348.0,1900.0,63381.0,346227.0,1700.0
1987,341742.0,,48000.0,5310.0,4450.0,2000.0,56843.0,341742.0,1700.0
1988,358697.0,,63500.0,5600.0,4137.0,2100.0,45475.0,358697.0,1700.0
1989,334757.0,,65000.0,6250.0,3807.0,2200.0,47203.0,334757.0,1800.0
1990,350770.0,0.0,73820.0,6300.0,2937.0,2300.0,46542.0,350770.0,1373.0
1991,327544.0,0.0,58650.0,6500.0,2278.0,2300.0,45890.0,327544.0,1424.0
1992,437154.0,0.0,32970.0,,1536.0,2350.0,46290.0,437154.0,1600.0
1993,421027.0,-1.0,47380.0,,1526.0,2400.0,46310.0,421027.0,1800.0
1994,434539.0,-1.0,4600.0,,1286.0,2200.0,46241.0,434539.0,1700.0
1995,402148.0,-1.0,6740.0,,993.0,2300.0,45581.0,402148.0,1800.0
1996,407744.0,-1.0,6910.0,,632.0,2400.0,42938.0,407744.0,1900.0
1997,453535.0,-1.0,30620.0,,780.0,2500.0,42029.0,453535.0,1800.0
1998,432104.0,-1.0,14140.0,,535.0,2500.0,41977.0,432104.0,1900.0
1999,448323.0,-1.0,10772.0,,632.0,2600.0,41042.0,448323.0,2000.0
2000,453461.0,-1.0,2050.0,,618.0,2500.0,39047.0,453461.0,2047.0
2001,406716.0,-1.0,12010.0,,591.0,2504.0,45240.0,406716.0,2030.0
2002,388114.0,-1.0,5720.0,,435.0,2500.0,31370.0,388114.0,2041.0
2003,372645.0,-1.0,9860.0,,425.0,2500.0,27276.0,372645.0,2049.0
2004,381428.0,-1.0,6860.0,,286.0,2550.0,46423.0,381428.0,2050.0
2005,368688.0,-1.0,12900.0,,383.0,2550.0,43230.0,368688.0,2100.0
2006,382989.0,-1.0,13000.0,,383.0,2600.0,45600.0,382989.0,2369.0
2007,361285.0,-1.0,8680.0,,425.0,2700.0,46000.0,361285.0,2637.0
2008,370966.0,-1.0,5469.0,,403.0,2683.0,48347.0,370966.0,2920.0
2009,367287.0,-1.0,6812.0,,322.0,2661.0,48350.0,367287.0,3267.0
2010,433624.0,-1.0,3439.0,,318.0,2657.0,52285.0,433624.0,3555.0
2011,437702.0,-1.0,3518.0,,343.0,2649.0,52285.0,437702.0,3800.0
2012,427048.0,-1.0,5275.0,,225.0,2650.0,52285.0,427048.0,4000.0
2013,418294.0,-1.0,5456.0,,264.0,2600.0,35980.0,418294.0,4100.0
2014,416065.0,-1.0,5397.0,,302.0,2611.0,52285.0,416065.0,4217.0
