,Kenya,Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Cameroon,Serbia,India,Armenia,Syrian Arab Republic,Nepal,Uzbekistan,Yugoslav SFR,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Iraq,Cyprus,South Africa,Japan,New Zealand,Yemen,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Pakistan,Morocco,Madagascar,Tajikistan,Kyrgyzstan,Argentina,Ukraine,Georgia,Germany,Slovenia,Austria,Turkmenistan,Czechoslovakia,Bhutan,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Egypt,Bosnia and Herzegovina,China,Tunisia,Malta,Libya,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Ecuador,Hungary,Kazakhstan,Chile,Israel,Australia,France,Jordan,Republic of Moldova,Poland,"China, mainland",Russian Federation,Italy,Turkey
1961,2.0,-1.0,451.0,-1.0,-1.0,-1.0,-1.0,2900.0,-1.0,10000.0,-1.0,-1.0,-1.0,790.0,-1.0,6300.0,4820.0,-1.0,-1.0,272.0,2800.0,-1.0,325.0,-1.0,4486.0,4119.0,16070.0,14000.0,4200.0,800.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,416.0,49000.0,-1.0,-1.0,10400.0,932.0,-1.0,451.0,12000.0,-1.0,-1.0,-1.0,1000.0,-1.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,750.0,80.0,3794.0,10329.0,500.0,-1.0,-1.0,-1.0,-1.0,13000.0,42010.0
1962,2.0,-1.0,510.0,-1.0,-1.0,-1.0,-1.0,2700.0,-1.0,10000.0,-1.0,-1.0,-1.0,930.0,-1.0,6300.0,4820.0,-1.0,-1.0,279.0,3000.0,-1.0,337.0,-1.0,4821.0,4131.0,15540.0,14000.0,4600.0,900.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,401.0,55000.0,-1.0,-1.0,10800.0,855.0,-1.0,510.0,12500.0,-1.0,-1.0,-1.0,1000.0,-1.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,750.0,100.0,3794.0,10549.0,500.0,-1.0,-1.0,-1.0,-1.0,13000.0,44280.0
1963,2.0,-1.0,792.0,-1.0,-1.0,-1.0,-1.0,2800.0,-1.0,10000.0,-1.0,-1.0,-1.0,300.0,-1.0,6300.0,4820.0,-1.0,-1.0,284.0,3000.0,-1.0,340.0,-1.0,4967.0,4345.0,15580.0,7000.0,4000.0,1100.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,446.0,55000.0,-1.0,-1.0,11700.0,865.0,-1.0,792.0,15000.0,-1.0,-1.0,-1.0,1000.0,-1.0,950.0,-1.0,-1.0,-1.0,-1.0,-1.0,780.0,150.0,4005.0,10724.0,500.0,-1.0,-1.0,-1.0,-1.0,13000.0,44155.0
1964,2.0,-1.0,893.0,-1.0,-1.0,-1.0,-1.0,2900.0,-1.0,10000.0,-1.0,-1.0,-1.0,1160.0,-1.0,6000.0,5100.0,-1.0,-1.0,289.0,3400.0,-1.0,372.0,-1.0,4952.0,4431.0,16030.0,10000.0,4200.0,1700.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,463.0,55000.0,-1.0,-1.0,12900.0,979.0,-1.0,893.0,10000.0,-1.0,-1.0,-1.0,1000.0,-1.0,1030.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,300.0,4059.0,10615.0,600.0,-1.0,-1.0,-1.0,-1.0,12400.0,46550.0
1965,2.0,-1.0,1012.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,6000.0,-1.0,-1.0,-1.0,60.0,-1.0,5800.0,5370.0,-1.0,-1.0,293.0,3000.0,-1.0,380.0,-1.0,4931.0,4170.0,15460.0,10000.0,4000.0,1300.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,483.0,60000.0,-1.0,-1.0,15100.0,1016.0,-1.0,1012.0,15000.0,-1.0,-1.0,-1.0,1000.0,-1.0,945.0,-1.0,-1.0,-1.0,-1.0,-1.0,760.0,700.0,3790.0,11472.0,600.0,-1.0,-1.0,-1.0,-1.0,12000.0,46500.0
1966,2.0,-1.0,1039.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,9540.0,-1.0,-1.0,-1.0,840.0,-1.0,6300.0,5930.0,-1.0,-1.0,307.0,2800.0,-1.0,392.0,-1.0,4843.0,4185.0,15180.0,10000.0,3900.0,1820.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,495.0,54000.0,-1.0,-1.0,15500.0,1250.0,-1.0,1039.0,14000.0,-1.0,-1.0,-1.0,1000.0,-1.0,925.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,800.0,3793.0,11777.0,667.0,-1.0,-1.0,-1.0,-1.0,13000.0,47250.0
1967,2.0,-1.0,1235.0,-1.0,-1.0,-1.0,-1.0,3200.0,-1.0,9856.0,-1.0,-1.0,-1.0,400.0,-1.0,6300.0,6620.0,-1.0,-1.0,316.0,2800.0,-1.0,420.0,-1.0,4606.0,4249.0,14930.0,11000.0,4500.0,1860.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,511.0,50000.0,-1.0,-1.0,14200.0,1260.0,-1.0,1235.0,17000.0,-1.0,-1.0,-1.0,1000.0,-1.0,486.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,800.0,3829.0,10050.0,664.0,-1.0,-1.0,-1.0,-1.0,13000.0,47750.0
1968,2.0,-1.0,1872.0,-1.0,-1.0,-1.0,-1.0,3400.0,-1.0,10148.0,-1.0,-1.0,-1.0,430.0,-1.0,7100.0,6480.0,-1.0,-1.0,325.0,3000.0,-1.0,453.0,-1.0,4162.0,4043.0,14770.0,12000.0,3800.0,2200.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,526.0,55000.0,-1.0,-1.0,16500.0,1260.0,-1.0,1872.0,13000.0,-1.0,-1.0,-1.0,1030.0,-1.0,1768.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,800.0,3590.0,11259.0,639.0,-1.0,-1.0,-1.0,-1.0,14700.0,39810.0
1969,2.0,-1.0,1938.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,10685.0,-1.0,-1.0,-1.0,50.0,-1.0,7400.0,6590.0,-1.0,-1.0,330.0,2700.0,-1.0,469.0,-1.0,4088.0,4001.0,14730.0,12200.0,4000.0,1660.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,565.0,75000.0,-1.0,-1.0,17400.0,1260.0,-1.0,1938.0,17000.0,-1.0,-1.0,-1.0,1090.0,-1.0,1885.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,800.0,3532.0,11698.0,165.0,-1.0,-1.0,-1.0,-1.0,15300.0,38880.0
1970,2.0,41.0,2132.0,-1.0,-1.0,-1.0,-1.0,3600.0,-1.0,9816.0,-1.0,-1.0,-1.0,460.0,-1.0,7500.0,6630.0,-1.0,-1.0,333.0,2900.0,-1.0,502.0,-1.0,3915.0,3932.0,13760.0,12200.0,4000.0,1820.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,810.0,88000.0,-1.0,-1.0,22500.0,1680.0,-1.0,2132.0,18000.0,-1.0,-1.0,-1.0,1160.0,-1.0,2481.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,800.0,3430.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15500.0,40415.0
1971,2.0,43.0,2263.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,10250.0,-1.0,-1.0,-1.0,397.0,-1.0,7100.0,6630.0,-1.0,-1.0,334.0,2900.0,-1.0,546.0,-1.0,3782.0,3986.0,13030.0,14000.0,4300.0,1740.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,899.0,74000.0,-1.0,-1.0,20500.0,1680.0,-1.0,2263.0,18000.0,-1.0,-1.0,-1.0,1240.0,-1.0,2559.0,-1.0,-1.0,-1.0,-1.0,-1.0,1250.0,800.0,3440.0,12499.0,4.0,-1.0,-1.0,-1.0,-1.0,14600.0,41295.0
1972,2.0,47.0,2386.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,10797.0,-1.0,-1.0,-1.0,380.0,-1.0,7100.0,6810.0,-1.0,-1.0,334.0,2900.0,-1.0,587.0,-1.0,4090.0,4027.0,12460.0,14000.0,4300.0,2100.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,994.0,90000.0,-1.0,-1.0,22600.0,1680.0,-1.0,2386.0,18000.0,-1.0,-1.0,-1.0,1330.0,-1.0,2578.0,-1.0,-1.0,-1.0,-1.0,-1.0,1280.0,800.0,3440.0,13310.0,150.0,-1.0,-1.0,-1.0,-1.0,14700.0,41000.0
1973,2.0,52.0,2881.0,-1.0,-1.0,-1.0,-1.0,3600.0,-1.0,10274.0,-1.0,-1.0,-1.0,440.0,-1.0,7200.0,6950.0,-1.0,-1.0,334.0,2900.0,-1.0,615.0,-1.0,4461.0,3955.0,11860.0,14000.0,3600.0,2060.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1088.0,90000.0,-1.0,-1.0,22900.0,1680.0,-1.0,2881.0,18380.0,-1.0,-1.0,-1.0,1418.0,-1.0,2090.0,-1.0,-1.0,-1.0,-1.0,-1.0,1300.0,550.0,3340.0,13000.0,150.0,-1.0,-1.0,-1.0,-1.0,14800.0,42500.0
1974,2.0,52.0,3300.0,-1.0,-1.0,-1.0,-1.0,3800.0,-1.0,10537.0,-1.0,-1.0,-1.0,380.0,-1.0,6800.0,7070.0,-1.0,-1.0,334.0,3500.0,-1.0,534.0,-1.0,5397.0,3644.0,12060.0,14000.0,4500.0,2350.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1118.0,113000.0,-1.0,-1.0,22800.0,2100.0,-1.0,3300.0,18610.0,-1.0,-1.0,-1.0,1477.0,-1.0,2294.0,-1.0,-1.0,-1.0,-1.0,-1.0,1363.0,700.0,3110.0,13500.0,330.0,-1.0,-1.0,-1.0,-1.0,14000.0,41550.0
1975,2.0,60.0,3396.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,10783.0,-1.0,-1.0,-1.0,500.0,-1.0,6800.0,7080.0,-1.0,-1.0,201.0,3000.0,-1.0,579.0,-1.0,5430.0,3399.0,11980.0,14000.0,6500.0,2609.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1163.0,71000.0,-1.0,-1.0,23300.0,2100.0,-1.0,3396.0,18981.0,-1.0,-1.0,-1.0,1541.0,-1.0,2700.0,-1.0,-1.0,-1.0,-1.0,-1.0,1379.0,650.0,2820.0,13284.0,145.0,-1.0,-1.0,-1.0,-1.0,14000.0,41500.0
1976,2.0,60.0,3576.0,-1.0,-1.0,-1.0,-1.0,3300.0,-1.0,11339.0,-1.0,-1.0,-1.0,370.0,-1.0,6600.0,7080.0,5.0,-1.0,207.0,4000.0,-1.0,574.0,-1.0,6073.0,3204.0,11490.0,14000.0,6000.0,2709.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1012.0,70000.0,-1.0,-1.0,21600.0,1993.0,-1.0,3576.0,19000.0,-1.0,-1.0,-1.0,1733.0,-1.0,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,1399.0,670.0,2630.0,13150.0,43.0,-1.0,-1.0,-1.0,-1.0,13700.0,44000.0
1977,2.0,56.0,4054.0,-1.0,-1.0,-1.0,-1.0,2700.0,-1.0,11888.0,-1.0,-1.0,-1.0,350.0,-1.0,6600.0,7100.0,10.0,-1.0,214.0,3500.0,-1.0,541.0,-1.0,6450.0,2961.0,11410.0,14000.0,9200.0,2825.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1089.0,70000.0,-1.0,-1.0,20200.0,2011.0,-1.0,4054.0,19162.0,-1.0,-1.0,-1.0,1794.0,-1.0,2900.0,-1.0,-1.0,-1.0,-1.0,-1.0,1439.0,600.0,2420.0,13238.0,460.0,-1.0,-1.0,-1.0,-1.0,13600.0,44000.0
