,"China, mainland",Mali,Ghana,Benin,Côte d'Ivoire,Nigeria,China,Burkina Faso,Togo
1961,,30000.0,11000.0,2500.0,1200.0,25000.0,,15000.0,400.0
1962,,30000.0,11000.0,3000.0,1200.0,35000.0,,14000.0,400.0
1963,,30000.0,11000.0,3500.0,1200.0,50000.0,,12000.0,800.0
1964,,30000.0,16000.0,1500.0,2500.0,35000.0,,16000.0,800.0
1965,,30000.0,15000.0,3000.0,1200.0,50000.0,,15000.0,400.0
1966,,31000.0,15000.0,3000.0,2000.0,40000.0,,16000.0,1200.0
1967,,32000.0,17000.0,3500.0,600.0,60000.0,,14000.0,400.0
1968,,32000.0,17000.0,2500.0,1000.0,54000.0,,17000.0,1200.0
1969,,32000.0,18000.0,2500.0,1200.0,62000.0,,18000.0,1200.0
1970,,32000.0,18000.0,3500.0,1200.0,62000.0,,18000.0,1200.0
1971,,32000.0,18000.0,2500.0,2000.0,64000.0,,16000.0,1800.0
1972,,32000.0,17000.0,2500.0,600.0,68000.0,,18000.0,1800.0
1973,,32000.0,17000.0,2500.0,600.0,72000.0,,18000.0,1800.0
1974,,31000.0,17000.0,3500.0,1000.0,76000.0,,16000.0,2000.0
1975,,31000.0,20000.0,3000.0,1800.0,80000.0,,18000.0,2200.0
1976,,32000.0,17000.0,3000.0,3000.0,84000.0,,32000.0,2000.0
1977,,34000.0,18000.0,3500.0,1200.0,88000.0,,24000.0,2700.0
1978,,33000.0,18000.0,3500.0,2600.0,91000.0,,17000.0,2000.0
1979,,35000.0,18000.0,3500.0,2800.0,96000.0,,22000.0,2000.0
1980,,33000.0,18000.0,3500.0,3700.0,100000.0,,32000.0,3700.0
1981,,33000.0,18000.0,3500.0,3700.0,106000.0,,40000.0,2500.0
1982,,33000.0,18000.0,2500.0,3000.0,112000.0,,32000.0,1800.0
1983,,33000.0,21000.0,3000.0,10000.0,90000.0,,32000.0,5000.0
1984,,33000.0,20000.0,10000.0,6000.0,94000.0,,40000.0,400.0
1985,,33000.0,21000.0,10000.0,24000.0,94000.0,,64000.0,8500.0
1986,,33000.0,24000.0,10000.0,5000.0,87000.0,,35000.0,1800.0
1987,,33000.0,20000.0,8000.0,8000.0,84000.0,,37000.0,6500.0
1988,,33000.0,25000.0,8000.0,5000.0,81000.0,,35000.0,3600.0
1989,,33000.0,20000.0,3000.0,4000.0,168000.0,,48000.0,1700.0
1990,,44624.0,21000.0,3533.0,9000.0,184000.0,,35000.0,2500.0
1991,,58728.0,20618.0,4000.0,5000.0,204000.0,,35555.0,1200.0
1992,,58848.0,20000.0,3500.0,6000.0,198000.0,,33000.0,4000.0
1993,,58968.0,20865.0,4500.0,4000.0,210000.0,,30000.0,2600.0
1994,-1.0,59087.0,22000.0,6000.0,9000.0,196000.0,-1.0,28000.0,2800.0
1995,-1.0,59207.0,21000.0,6102.0,17089.0,235000.0,-1.0,30000.0,3400.0
1996,,59327.0,22000.0,5740.0,8365.0,225000.0,,28000.0,1000.0
1997,,59446.0,21720.0,5769.0,14500.0,224500.0,,28822.0,2600.0
1998,,59566.0,21500.0,5806.0,15500.0,223000.0,,28614.0,2800.0
1999,,59686.0,21000.0,5852.0,16500.0,224100.0,,28460.0,2526.0
2000,,59805.0,22000.0,5908.0,16878.0,232000.0,,28358.0,3247.0
2001,,59925.0,21367.0,5973.0,16906.0,233000.0,,28300.0,2954.0
2002,,60045.0,20474.0,5767.0,17856.0,247000.0,,26927.0,3031.0
2003,,60166.0,22096.0,6035.0,15186.0,247000.0,,30100.0,3077.0
2004,,59945.0,20612.0,5757.0,15553.0,248000.0,,31145.0,3094.0
2005,,39967.0,27095.0,5890.0,17000.0,259648.0,,35245.0,3000.0
2006,,21000.0,25329.0,6057.0,17500.0,264118.0,,34934.0,3100.0
2007,,72000.0,29177.0,6235.0,18500.0,250000.0,,34897.0,3500.0
2008,,75000.0,25624.0,6416.0,18865.0,284949.0,,34899.0,3122.0
2009,,66055.0,27077.0,6598.0,20000.0,342750.0,,34869.0,3200.0
2010,,67287.0,28364.0,6777.0,21000.0,342750.0,,37721.0,3210.0
2011,,80000.0,30000.0,7100.0,22000.0,326339.0,,33094.0,3200.0
2012,,82000.0,30500.0,7200.0,22500.0,318288.0,,30000.0,3250.0
2013,,78000.0,30500.0,7800.0,22500.0,332558.0,,30000.0,3300.0
2014,,19409.0,31000.0,7983.0,23594.0,346283.0,,31087.0,3134.0
