,Costa Rica,Guinea,India,El Salvador,Cameroon,Burkina Faso,Philippines,Honduras,Central African Republic,Nepal,Viet Nam,Pakistan,Liberia,Colombia,United Republic of Tanzania,Panama,Democratic Republic of the Congo,United States of America,Guatemala,Egypt,Ghana,Nigeria,Madagascar,Angola,Myanmar,Cambodia
1981,55000.0,6600.0,7712400.0,67890.0,18750.0,9600.0,1041143.0,87611.0,0.0,51000.0,43608.0,3235943.0,4650.0,595400.0,28308.0,28670.0,18220.0,1127600.0,0.0,128255.0,2538.0,18520.0,28408.0,1600.0,143750.0,8000.0
1982,34000.0,6600.0,9317880.0,71160.0,26919.0,10500.0,1028490.0,92867.0,0.0,52000.0,50346.0,3657970.0,4650.0,572000.0,26532.0,22508.0,18762.0,1198400.0,0.0,126000.0,1755.0,18000.0,28171.0,1250.0,159750.0,9000.0
1983,39500.0,6600.0,9475280.0,90480.0,41250.0,9900.0,1023753.0,94508.0,0.0,46000.0,62585.0,3253350.0,4650.0,634400.0,27818.0,20884.0,19290.0,870900.0,0.0,123000.0,2577.0,16200.0,32424.0,1250.0,154750.0,9000.0
1984,37000.0,6600.0,8703800.0,102060.0,39750.0,9600.0,921368.0,91630.0,0.0,36000.0,72233.0,3428730.0,4800.0,530400.0,24000.0,22302.0,23838.0,1208400.0,0.0,126052.0,2700.0,16420.0,33200.0,1200.0,158750.0,9000.0
1985,37500.0,6000.0,8515960.0,103650.0,44250.0,10200.0,750295.0,89667.0,0.0,48000.0,61157.0,3213960.0,5250.0,592800.0,22140.0,15041.0,20506.0,1212000.0,0.0,131927.0,3300.0,17240.0,34883.0,1350.0,176000.0,9000.0
1986,35800.0,6000.0,8584050.0,109410.0,40000.0,10500.0,673175.0,89658.0,0.0,50000.0,54630.0,2785630.0,5850.0,561600.0,27014.0,6704.0,20746.0,1247400.0,0.0,134970.0,3300.0,17940.0,39000.0,1600.0,162000.0,10000.0
1987,35850.0,5250.0,9304475.0,102150.0,37500.0,10200.0,539100.0,79768.0,1100.0,60000.0,60141.0,4360800.0,6300.0,603200.0,29310.0,22353.0,25924.0,1081000.0,0.0,138726.0,3300.0,17640.0,39612.0,1600.0,147750.0,11000.0
1988,30000.0,5250.0,9836845.0,82080.0,32500.0,10200.0,654340.0,75274.0,1250.0,60000.0,62696.0,3402880.0,6750.0,592800.0,30536.0,30390.0,26316.0,1292000.0,0.0,138782.0,3300.0,17775.0,39700.0,1600.0,135500.0,12000.0
1989,29500.0,6600.0,10151840.0,77460.0,36250.0,11400.0,796008.0,81742.0,1500.0,63000.0,58791.0,3697570.0,6750.0,644800.0,30752.0,30391.0,27024.0,1235000.0,0.0,132701.0,3300.0,18000.0,39800.0,1350.0,128500.0,12000.0
1990,30000.0,6750.0,11278460.0,88695.0,32500.0,11400.0,900988.0,86936.0,1000.0,66000.0,59462.0,3599360.0,6300.0,686400.0,32338.0,17323.0,33822.0,1507000.0,0.0,134588.0,3300.0,18412.0,40000.0,1350.0,129500.0,12000.0
1991,30000.0,6750.0,12052275.0,121140.0,33750.0,12000.0,889418.0,81904.0,881.0,74820.0,67788.0,3598870.0,6750.0,876949.0,33662.0,16975.0,33984.0,1172000.0,0.0,136519.0,3300.0,17760.0,39000.0,1675.0,146750.0,7000.0
1992,30000.0,6000.0,12700242.0,133920.0,33750.0,12000.0,960023.0,85163.0,2173.0,76640.0,70807.0,3886490.0,6750.0,842400.0,33676.0,31757.0,34147.0,1352000.0,0.0,140288.0,3300.0,17924.0,38000.0,1350.0,155425.0,12500.0
1993,30000.0,6600.0,11401628.0,118889.0,33750.0,12000.0,1004088.0,87564.0,2749.0,80580.0,66910.0,4005890.0,6900.0,868400.0,29644.0,15658.0,34310.0,1314500.0,0.0,151692.0,3300.0,18100.0,39000.0,1100.0,131528.0,13000.0
1994,30000.0,6600.0,11483500.0,108429.0,33750.0,12000.0,937745.0,92334.0,2961.0,83380.0,83051.0,4592700.0,7050.0,878800.0,26618.0,15677.0,34222.0,1382500.0,0.0,154528.0,3300.0,12660.0,43320.0,1200.0,167000.0,13400.0
1995,30000.0,6600.0,13777003.0,106960.0,33750.0,12000.0,989100.0,91773.0,3288.0,89640.0,117822.0,4916840.0,7200.0,910000.0,29692.0,9630.0,34133.0,1488700.0,0.0,151254.0,3300.0,11780.0,42000.0,1650.0,206500.0,12800.0
1996,30000.0,6900.0,14055003.0,147255.0,33750.0,12000.0,879963.0,107406.0,2906.0,92280.0,125090.0,4522970.0,7350.0,1038581.0,30000.0,8928.0,34045.0,1611000.0,0.0,146732.0,4197.0,12300.0,43000.0,1450.0,269000.0,14000.0
1997,30000.0,7200.0,13878003.0,155096.0,33750.0,12000.0,859010.0,109114.0,3120.0,97780.0,131130.0,4199840.0,7500.0,1099484.0,22000.0,23622.0,34527.0,1548000.0,0.0,146957.0,4185.0,13500.0,43200.0,1550.0,314750.0,12000.0
1998,30000.0,7200.0,13977080.0,166832.0,33750.0,12000.0,784690.0,113356.0,3120.0,107788.0,152279.0,5310420.0,7500.0,989651.0,28000.0,18545.0,34628.0,1781700.0,0.0,154901.0,4401.0,13500.0,43600.0,1700.0,337000.0,10000.0
1999,30000.0,8100.0,15516641.0,159199.0,33750.0,12000.0,987338.0,112673.0,3125.0,116252.0,195363.0,5519110.0,7500.0,1009063.0,30000.0,12700.0,34003.0,1562000.0,0.0,160788.0,4200.0,13640.0,43600.0,1700.0,347000.0,10000.0
2000,30000.0,8100.0,14966210.0,154210.0,33750.0,12000.0,967665.0,119220.0,3125.0,118844.0,165487.0,4633260.0,7500.0,1028553.0,32000.0,22278.0,33380.0,1653789.0,0.0,157271.0,4200.0,13900.0,43773.0,1750.0,405750.0,12469.0
2001,30000.0,8100.0,14797802.0,159967.0,35000.0,12600.0,959363.0,123510.0,3125.0,118954.0,161226.0,2280315.0,7650.0,942241.0,33000.0,15453.0,31200.0,1643828.0,0.0,163068.0,4200.0,14100.0,44169.0,1800.0,371250.0,12881.0
2002,30000.0,8100.0,14860390.0,150695.0,35000.0,13500.0,959750.0,109801.0,3125.0,120850.0,188320.0,4804160.0,7650.0,1066283.0,36000.0,19791.0,32074.0,1762670.0,0.0,164982.0,4200.0,15000.0,44468.0,1800.0,377500.0,12886.0
2003,30000.0,8400.0,14369160.0,147946.0,36250.0,13500.0,971568.0,160883.0,3125.0,118850.0,185402.0,5205580.0,7650.0,1126809.0,36000.0,17628.0,31587.0,1729000.0,0.0,162371.0,4200.0,15960.0,44720.0,1800.0,365250.0,10000.0
2004,30000.0,8400.0,11693090.0,158412.0,36250.0,13500.0,922360.0,163976.0,3125.0,118164.0,172142.0,5582000.0,7650.0,1152594.0,40000.0,17506.0,31011.0,1435000.0,0.0,161976.0,4200.0,17080.0,44480.0,1725.0,334000.0,9000.0
2005,30000.0,8400.0,11854420.0,163646.0,28500.0,13500.0,980700.0,168764.0,3225.0,124116.0,164436.0,4724410.0,7650.0,1132810.0,42000.0,17671.0,30446.0,1496000.0,0.0,164712.0,4200.0,18280.0,48925.0,1725.0,373250.0,12000.0
2006,30000.0,8430.0,14058590.0,192195.0,36250.0,13500.0,957390.0,167100.0,3300.0,128038.0,183915.0,4466550.0,7650.0,1145037.0,64000.0,17297.0,29890.0,1602000.0,0.0,168940.0,4200.0,19740.0,53818.0,2250.0,422000.0,16000.0
2007,30000.0,8490.0,17775985.0,239893.0,36250.0,13650.0,994978.0,182427.0,3300.0,125924.0,191364.0,5474160.0,7950.0,1096691.0,80000.0,21570.0,33888.0,1703000.0,0.0,163090.0,4350.0,30120.0,52000.0,0.0,412750.0,16000.0
2008,30000.0,8490.0,17409395.0,224000.0,36250.0,13650.0,1010000.0,184252.0,3300.0,116202.0,177601.0,6392000.0,7950.0,998802.0,90000.0,31095.0,35868.0,1470880.0,0.0,159623.0,4350.0,28241.0,50000.0,0.0,400650.0,17000.0
2009,32000.0,8490.0,14251465.0,226000.0,36250.0,13650.0,887195.0,206860.0,3300.0,122000.0,171691.0,5004540.0,7950.0,1226844.0,100000.0,32705.0,36543.0,1940290.0,0.0,161446.0,4350.0,28034.0,60000.0,0.0,385000.0,25000.0
2010,33000.0,8490.0,14615080.0,244000.0,36250.0,13650.0,1099245.0,194719.0,3375.0,125996.0,177779.0,4937290.0,7950.0,1053584.0,114146.0,36050.0,39000.0,1696500.0,0.0,164051.0,4350.0,28000.0,60000.0,0.0,387500.0,33000.0
2011,33000.0,8490.0,17119100.0,263000.0,30000.0,13800.0,1083253.0,171737.0,3500.0,128944.0,192935.0,5530850.0,7950.0,1181156.0,113426.0,41923.0,39000.0,1486000.0,0.0,164304.0,4350.0,29000.0,61000.0,0.0,392500.0,42000.0
2012,36000.0,8850.0,18051850.0,277000.0,31250.0,14550.0,1005261.0,192000.0,3625.0,128966.0,209190.0,6239700.0,7950.0,1082151.0,117000.0,43847.0,39000.0,1727000.0,0.0,268000.0,4350.0,29200.0,65400.0,0.0,395000.0,43000.0
2013,36000.0,9000.0,17060000.0,286000.0,32875.0,14400.0,1036862.0,198000.0,4556.0,130000.0,201311.0,6374990.0,7950.0,1121549.0,118000.0,43647.0,40000.0,1738000.0,0.0,377000.0,4350.0,29100.0,65000.0,0.0,395000.0,45000.0
2014,36000.0,9030.0,17607100.0,203484.0,32875.0,14365.0,1036862.0,199815.0,4556.0,130000.0,198276.0,6746000.0,7986.0,1121549.0,118000.0,38349.0,40189.0,1738000.0,0.0,377000.0,4470.0,21146.0,58823.0,0.0,395000.0,45000.0
