,"China, Taiwan Province of",Niue,Zambia,Tonga,Syrian Arab Republic,Brazil,Nepal,Ethiopia,Denmark,Liberia,Greece,Bangladesh,Malawi,Eritrea,New Caledonia,Bahamas,Mongolia,Guatemala,Latvia,Slovenia,Croatia,Madagascar,Tajikistan,Tokelau,Luxembourg,Guinea,Botswana,Saudi Arabia,Fiji,Sweden,Pacific Islands Trust Territory,Equatorial Guinea,Switzerland,Sri Lanka,Azerbaijan,Central African Republic,Bosnia and Herzegovina,China,Colombia,Libya,Brunei Darussalam,Guinea-Bissau,Montenegro,Kazakhstan,Estonia,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Togo,Mali,Costa Rica,Seychelles,Germany,Melanesia,Georgia,Serbia and Montenegro,Cameroon,Grenada,Dominican Republic,Guadeloupe,El Salvador,Cook Islands,Canada,Spain,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Antigua and Barbuda,New Zealand,Belize,Czechia,Faroe Islands,Nigeria,Egypt,Kyrgyzstan,Argentina,Kiribati,Democratic People's Republic of Korea,Cuba,Cabo Verde,Bahrain,Morocco,Ethiopia PDR,Tuvalu,Gabon,USSR,Romania,Ecuador,Jordan,Mexico,Albania,Slovakia,Jamaica,Trinidad and Tobago,Polynesia,United Arab Emirates,Indonesia,Samoa,Thailand,Lithuania,Finland,Netherlands,Oman,Angola,Norway,Guam,Turkey,Burundi,"China, Hong Kong SAR",Belarus,Iceland,Myanmar,Burkina Faso,Saint Kitts and Nevis,Philippines,Martinique,Lao People's Democratic Republic,Australia,United Republic of Tanzania,Maldives,Tunisia,Zimbabwe,Uganda,Yugoslav SFR,Republic of Korea,Australia & New Zealand,Papua New Guinea,Rwanda,Mozambique,Barbados,French Polynesia,Algeria,Senegal,Saint Lucia,Vanuatu,"China, Macao SAR",Dominica,Belgium,Chad,Wallis and Futuna Islands,Lesotho,American Samoa,Comoros,Uruguay,Italy,Panama,Sudan (former),Armenia,Lebanon,Uzbekistan,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Portugal,Micronesia,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Haiti,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Czechoslovakia,Serbia,Malaysia,Israel,Malta,South Sudan,Namibia,Benin,United Kingdom,Japan,Bermuda,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Cyprus,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Pakistan,Kuwait,French Guiana,Suriname,Cambodia,Timor-Leste,Paraguay,India,Austria,Niger,Bhutan,Congo,Qatar,Cayman Islands,Honduras,Puerto Rico,Viet Nam,Ireland,Côte d'Ivoire,Gambia,Turkmenistan,Solomon Islands,South Africa,Singapore,Saint Pierre and Miquelon,Sierra Leone,Réunion,Montserrat,Ghana,Mauritania,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,3497089.0,1350.0,172702.0,74978.0,30100.0,20579432.0,270000.0,-1.0,1490089.0,284000.0,402129.0,673408.0,207400.0,-1.0,18600.0,640.0,16400.0,21393.0,-1.0,-1.0,-1.0,1385000.0,-1.0,160.0,-1.0,610000.0,30000.0,600.0,118820.0,1525580.0,8629.0,65000.0,1239300.0,359068.0,-1.0,860180.0,-1.0,92091965.0,1319300.0,14000.0,2937.0,40000.0,-1.0,-1.0,-1.0,3720.0,39536.0,1831022.0,14331130.0,673000.0,59000.0,22026.0,431.0,29945536.0,980128.0,-1.0,-1.0,1336000.0,3210.0,262577.0,47335.0,11820.0,8800.0,2012000.0,5033925.0,130000.0,10000.0,-1.0,136.0,237466.0,1600.0,-1.0,1737.0,12198000.0,504927.0,-1.0,2685100.0,5800.0,500000.0,440000.0,11000.0,20.0,150650.0,902000.0,-1.0,197000.0,84310000.0,2874800.0,523667.0,13500.0,447587.0,30188.0,-1.0,77405.0,10328.0,126008.0,-1.0,14553200.0,20420.0,1828719.0,-1.0,1057135.0,3719681.0,-1.0,1355000.0,1222200.0,882.0,1406000.0,880700.0,34876.0,-1.0,13000.0,60450.0,84930.0,1160.0,1422785.0,28500.0,29000.0,459513.0,3035000.0,4287.0,42000.0,61581.0,1715000.0,2689300.0,1402113.0,696979.0,756888.0,684100.0,2647000.0,23280.0,11900.0,244300.0,163652.0,6533.0,24800.0,-1,15950.0,-1.0,201300.0,4900.0,3000.0,3500.0,49000.0,204489.0,3958760.0,39500.0,352000.0,-1.0,51100.0,-1.0,-1.0,0.0,849900.0,1107096.0,15311.0,759000.0,45203008.0,88560000.0,-1.0,13200.0,436400.0,-1.0,716700.0,1874941.0,20400.0,5330505.0,-1.0,331000.0,85200.0,25349.0,-1.0,140000.0,931055.0,6811000.0,10959200.0,1090.0,9500.0,528524.0,85852.0,32000.0,445994.0,13964005.0,300000.0,9093721.0,-1.0,18000.0,118800.0,-1.0,15000.0,2807.0,44800.0,53272.0,1069900.0,5949000.0,3394825.0,157384.0,24800.0,532080.0,0.0,-1.0,25529.0,46947.0,2230640.0,2145000.0,1747000.0,6300.0,-1.0,61020.0,373000.0,6705.0,-1.0,89874.0,10300.0,20.0,2899000.0,5400.0,24919.0,-1.0,1888639.0
1962,3343165.0,1280.0,177504.0,85000.0,33745.0,22513068.0,272000.0,-1.0,1162510.0,284000.0,404835.0,686296.0,209400.0,-1.0,19600.0,660.0,23900.0,19100.0,-1.0,-1.0,-1.0,1422000.0,-1.0,165.0,-1.0,617000.0,30000.0,650.0,121820.0,1515550.0,9082.0,65000.0,1127000.0,326234.0,-1.0,790350.0,-1.0,98901835.0,1774500.0,15000.0,2901.0,40000.0,-1.0,-1.0,-1.0,3756.0,39436.0,2150619.0,13389000.0,662000.0,61400.0,23121.0,442.0,38388000.0,1002150.0,-1.0,-1.0,1423939.0,3280.0,282461.0,49840.0,12620.0,8800.0,2136000.0,4263018.0,115000.0,10000.0,-1.0,145.0,237267.0,1700.0,-1.0,1651.0,12801000.0,453072.0,-1.0,1791800.0,5800.0,504000.0,476575.0,12400.0,20.0,216700.0,906200.0,-1.0,195000.0,69677008.0,2597400.0,550083.0,10900.0,539511.0,19552.0,-1.0,82469.0,11539.0,138432.0,-1.0,16005900.0,22785.0,2183424.0,-1.0,950182.0,3953263.0,-1.0,1390000.0,919200.0,1131.0,1490050.0,880700.0,28670.0,-1.0,10000.0,63119.0,81930.0,1160.0,1326797.0,28800.0,32000.0,536176.0,3133000.0,4592.0,40800.0,64171.0,1715000.0,2634300.0,1564108.0,773443.0,773095.0,875500.0,2798400.0,26665.0,12000.0,250000.0,176500.0,7183.0,25000.0,-1,16160.0,-1.0,216400.0,4900.0,3000.0,3502.0,49000.0,142710.0,3590550.0,40300.0,362000.0,-1.0,61000.0,-1.0,-1.0,0.0,773260.0,945000.0,16013.0,779000.0,37817008.0,95530000.0,-1.0,13532.0,447600.0,-1.0,720000.0,1887196.0,21400.0,5002073.0,-1.0,314000.0,111300.0,25349.0,-1.0,150000.0,892864.0,7185000.0,10652197.0,975.0,9500.0,560712.0,121603.0,39414.0,362634.0,12799856.0,300000.0,9320372.0,-1.0,18000.0,135500.0,-1.0,17500.0,3004.0,43752.0,52500.0,1070800.0,5197000.0,3213739.0,163139.0,26100.0,534610.0,0.0,-1.0,26382.0,46690.0,2374405.0,2117100.0,1868000.0,6300.0,-1.0,62635.0,378000.0,7396.0,-1.0,88300.0,10500.0,20.0,2912000.0,5700.0,24821.0,-1.0,1991443.0
1963,2406569.0,1300.0,172211.0,88289.0,31778.0,25055686.0,284000.0,-1.0,1333948.0,289000.0,467484.0,732712.0,200400.0,-1.0,20100.0,730.0,21000.0,19600.0,-1.0,-1.0,-1.0,1493000.0,-1.0,170.0,-1.0,573000.0,31000.0,650.0,119840.0,1907750.0,9082.0,63000.0,1245500.0,370704.0,-1.0,790500.0,-1.0,89735829.0,1498500.0,12600.0,2420.0,40000.0,-1.0,-1.0,-1.0,6990.0,36927.0,2300145.0,15974000.0,667000.0,64200.0,23647.0,451.0,38697568.0,1009399.0,-1.0,-1.0,1606935.0,3400.0,275281.0,56644.0,13130.0,8850.0,2099000.0,5184266.0,122000.0,10000.0,-1.0,154.0,231589.0,2000.0,-1.0,1856.0,14013000.0,529793.0,-1.0,2050000.0,5800.0,510000.0,540744.0,11800.0,20.0,225980.0,941800.0,-1.0,185000.0,71834000.0,2691900.0,513100.0,12400.0,602737.0,23726.0,-1.0,87418.0,12570.0,142236.0,-1.0,15733500.0,23516.0,2219400.0,-1.0,1221200.0,3854466.0,-1.0,1450000.0,1217700.0,1163.0,1601100.0,887700.0,29260.0,-1.0,9000.0,72560.0,88000.0,1180.0,1446074.0,30100.0,33000.0,679009.0,3235502.0,4602.0,52200.0,65347.0,1855000.0,3027200.0,1796008.0,910598.0,779109.0,707574.0,2650300.0,23437.0,11700.0,206200.0,174000.0,6456.0,25200.0,-1,16770.0,-1.0,220500.0,4900.0,3000.0,3511.0,50000.0,201948.0,4416680.0,41000.0,364000.0,-1.0,70700.0,-1.0,-1.0,0.0,856620.0,1201300.0,16045.0,800000.0,44868000.0,87300000.0,-1.0,14200.0,471800.0,-1.0,741000.0,1878150.0,22400.0,6506291.0,-1.0,400000.0,109200.0,26536.0,-1.0,152000.0,879911.0,7196000.0,10869900.0,896.0,9500.0,571736.0,114300.0,32328.0,416851.0,12962235.0,350000.0,9423958.0,-1.0,18500.0,125900.0,-1.0,15250.0,2486.0,46800.0,51600.0,1080600.0,5972000.0,3498695.0,160212.0,26900.0,526600.0,0.0,-1.0,28470.0,50408.0,2403406.0,1969400.0,1870000.0,6096.0,-1.0,65150.0,435000.0,7473.0,-1.0,90107.0,10500.0,20.0,3068265.0,5700.0,25476.0,-1.0,1644736.0
1964,3644293.0,1350.0,171994.0,88900.0,47656.0,27315238.0,231000.0,-1.0,1213115.0,286000.0,545903.0,724104.0,202400.0,-1.0,20600.0,800.0,23000.0,26000.0,-1.0,-1.0,-1.0,1503695.0,-1.0,175.0,-1.0,609000.0,32000.0,700.0,117020.0,1477080.0,7858.0,65000.0,1206000.0,442088.0,-1.0,770520.0,-1.0,85912981.0,1696700.0,12500.0,1655.0,40000.0,-1.0,-1.0,-1.0,6997.0,41235.0,1951597.0,11566400.0,680000.0,67100.0,24529.0,460.0,33495232.0,1036242.0,-1.0,-1.0,1407136.0,3480.0,294134.0,56644.0,13830.0,8900.0,2157000.0,4342199.0,129000.0,10000.0,-1.0,163.0,244564.0,2100.0,-1.0,1529.0,14788000.0,495394.0,-1.0,2074100.0,5650.0,514000.0,538509.0,12500.0,20.0,188600.0,957500.0,300.0,178000.0,93642000.0,2639700.0,540308.0,10900.0,609909.0,33706.0,-1.0,97561.0,13348.0,144033.0,-1.0,17246800.0,24052.0,1667300.0,-1.0,850200.0,4110433.0,-1.0,1490000.0,803600.0,935.0,1701150.0,922700.0,18688.0,-1.0,8500.0,60511.0,80000.0,1180.0,1584576.0,30100.0,35000.0,572725.0,3326447.0,4807.0,51400.0,65405.0,1715000.0,2818800.0,3221896.0,817289.0,807052.0,455600.0,2752500.0,21348.0,11850.0,187813.0,168000.0,6129.0,25400.0,-1,17030.0,-1.0,228600.0,4900.0,3000.0,3606.0,51000.0,178557.0,3859330.0,41700.0,376000.0,-1.0,65750.0,-1.0,-1.0,0.0,818410.0,1205100.0,14443.0,816000.0,47860000.0,82250000.0,-1.0,14900.0,485000.0,-1.0,758000.0,2302261.0,23400.0,7656044.0,-1.0,443000.0,107200.0,21904.0,-1.0,160000.0,933595.0,7549000.0,10519000.0,1020.0,9600.0,556457.0,140843.0,37708.0,499887.0,11534560.0,350000.0,9698751.0,-1.0,20000.0,145100.0,-1.0,10625.0,2688.0,49300.0,47807.0,1543450.0,6271000.0,3438204.0,172730.0,27700.0,558000.0,0.0,-1.0,29307.0,48715.0,2321000.0,1525900.0,1925000.0,6000.0,-1.0,66170.0,438000.0,8082.0,-1.0,90310.0,10500.0,20.0,3169608.0,6000.0,26200.0,-1.0,1829017.0
1965,3443011.0,1250.0,166873.0,88680.0,48897.0,28059838.0,334000.0,-1.0,936891.0,289000.0,518147.0,841320.0,203400.0,-1.0,23600.0,870.0,24400.0,28575.0,-1.0,-1.0,-1.0,1693985.0,-1.0,180.0,-1.0,588000.0,32000.0,700.0,121250.0,1542300.0,7800.0,65000.0,905600.0,381326.0,-1.0,920420.0,-1.0,104662611.0,1695290.0,8219.0,1640.0,40000.0,-1.0,-1.0,-1.0,4981.0,30330.0,1764496.0,11223210.0,718000.0,69800.0,25742.0,460.0,30951200.0,1054885.0,-1.0,-1.0,1382162.0,3440.0,292023.0,37980.0,14640.0,8950.0,2087000.0,4146900.0,132000.0,10000.0,-1.0,172.0,294242.0,2200.0,-1.0,1429.0,15975000.0,559578.0,-1.0,3089900.0,5600.0,518000.0,580116.0,12100.0,20.0,270600.0,974400.0,300.0,184000.0,88676000.0,2194700.0,673379.0,15800.0,499678.0,21395.0,-1.0,109699.0,13593.0,144965.0,-1.0,16363600.0,25150.0,1593700.0,-1.0,1257400.0,3229591.0,-1.0,1580000.0,1133594.0,1031.0,1681150.0,924700.0,19600.0,-1.0,12500.0,60463.0,81000.0,1210.0,1537710.0,30700.0,41000.0,518005.0,3421738.0,4813.0,57700.0,65383.0,2020000.0,2383000.0,3577830.0,812247.0,816035.0,436132.0,2754000.0,17900.0,12000.0,232650.0,161475.0,6749.0,25600.0,-1,17400.0,-1.0,231700.0,4900.0,3000.0,3555.0,52000.0,185151.0,3585100.0,46200.0,387000.0,-1.0,54390.0,-1.0,-1.0,0.0,713266.0,955000.0,14431.0,836000.0,42665008.0,101200000.0,-1.0,15700.0,509000.0,-1.0,783000.0,2295346.0,24400.0,3678079.0,-1.0,420500.0,109200.0,16562.0,-1.0,162000.0,987035.0,8006000.0,9721700.0,1329.0,9900.0,561456.0,157911.0,33339.0,286507.0,13917009.0,350000.0,10049293.0,-1.0,22000.0,181700.0,-1.0,10900.0,2228.0,55200.0,48925.0,1620500.0,7736000.0,2539433.0,169713.0,28500.0,562100.0,0.0,-1.0,31474.0,49215.0,2195000.0,1647837.0,1980000.0,8000.0,-1.0,68400.0,424000.0,8036.0,-1.0,105500.0,9000.0,20.0,3280000.0,6000.0,26200.0,-1.0,1493520.0
1966,3771627.0,1195.0,212000.0,89290.0,40767.0,28056408.0,327000.0,-1.0,1001702.0,292000.0,533171.0,947800.0,208400.0,-1.0,23200.0,930.0,20100.0,25700.0,-1.0,-1.0,-1.0,1558780.0,-1.0,185.0,-1.0,599300.0,33000.0,750.0,118010.0,1339690.0,7800.0,66000.0,1049100.0,359709.0,-1.0,758800.0,-1.0,118433387.0,1739000.0,8989.0,2486.0,40000.0,-1.0,-1.0,-1.0,9597.0,30025.0,2909524.0,10613530.0,726070.0,71500.0,26841.0,469.0,31662576.0,1085165.0,-1.0,-1.0,1446662.0,3568.0,299033.0,50880.0,15140.0,9400.0,2490000.0,4477400.0,136000.0,10000.0,-1.0,189.0,278374.0,2300.0,-1.0,1614.0,16999000.0,442373.0,-1.0,2087000.0,5950.0,518000.0,615245.0,11741.0,20.0,275600.0,998800.0,300.0,177000.0,87853008.0,3351900.0,644910.0,22400.0,564561.0,107816.0,-1.0,126131.0,14394.0,146227.0,-1.0,14823100.0,25200.0,2012500.0,-1.0,1066400.0,4123941.0,-1.0,1655000.0,1090201.0,1050.0,1751200.0,914700.0,11760.0,-1.0,3494.0,52502.0,86000.0,1240.0,1497151.0,31300.0,45000.0,650671.0,3561405.0,5019.0,68000.0,64486.0,1550000.0,3226000.0,3378941.0,929045.0,849035.0,523800.0,2756000.0,17272.0,12200.0,170124.0,255326.0,7050.0,26000.0,-1,17800.0,-1.0,233800.0,4900.0,3500.0,3557.0,53000.0,222253.0,3892040.0,46990.0,387000.0,-1.0,79800.0,-1.0,-1.0,0.0,814999.0,1063706.0,14800.0,870000.0,45798208.0,114650000.0,-1.0,16100.0,524400.0,-1.0,767100.0,2259592.0,26406.0,5846348.0,-1.0,423000.0,104300.0,16457.0,-1.0,163000.0,1059300.0,6897000.0,9017200.0,1382.0,10150.0,570867.0,153035.0,22671.0,422414.0,14563991.0,269000.0,9906616.0,-1.0,22000.0,162900.0,-1.0,9900.0,1528.0,35600.0,60562.0,1536800.0,8534000.0,3007318.0,155133.0,29300.0,546900.0,0.0,35.0,31203.0,52707.0,2136000.0,1678400.0,2015500.0,8000.0,-1.0,68920.0,446000.0,7899.0,-1.0,121600.0,11000.0,20.0,3390000.0,6000.0,27533.0,-1.0,1542798.0
1967,4073973.0,1248.0,219080.0,89300.0,39700.0,31072418.0,352000.0,-1.0,886838.0,293500.0,601026.0,1333500.0,218400.0,-1.0,16500.0,985.0,19800.0,25800.0,-1.0,-1.0,-1.0,1593355.0,-1.0,190.0,-1.0,617500.0,33000.0,780.0,113070.0,1398310.0,7800.0,66000.0,1124800.0,468215.0,-1.0,799200.0,-1.0,118254973.0,1791000.0,10196.0,2449.0,40000.0,-1.0,-1.0,-1.0,10286.0,25722.0,1858134.0,10406250.0,756070.0,73700.0,27405.0,476.0,35358912.0,1089867.0,-1.0,-1.0,1702920.0,3575.0,299740.0,25120.0,15050.0,7950.0,2130000.0,4534870.0,147000.0,10000.0,-1.0,213.0,227963.0,2400.0,-1.0,1428.0,18237000.0,383540.0,-1.0,2543400.0,6500.0,520000.0,586585.0,13385.0,20.0,205600.0,1016300.0,300.0,178000.0,95464000.0,3096400.0,745374.0,4600.0,623358.0,115830.0,-1.0,126461.0,15681.0,145528.0,-1.0,14055100.0,25250.0,2186000.0,-1.0,880600.0,4840196.0,-1.0,1701000.0,806766.0,1100.0,1761200.0,940700.0,11000.0,-1.0,6521.0,40674.0,93000.0,1290.0,1361733.0,31400.0,48000.0,655116.0,3788849.0,5029.0,78900.0,65700.0,1851000.0,2810000.0,2237134.0,883079.0,864167.0,709150.0,2863119.0,19450.0,12450.0,203520.0,259324.0,7635.0,26100.0,-1,18150.0,-1.0,252900.0,5255.0,3500.0,3585.0,52000.0,174625.0,4045340.0,47170.0,344000.0,-1.0,81465.0,-1.0,-1.0,0.0,728550.0,1448173.0,15400.0,882000.0,48213696.0,114170000.0,-1.0,17000.0,546500.0,-1.0,760600.0,2523301.0,30406.0,6037357.0,-1.0,427000.0,94000.0,18351.0,-1.0,165000.0,1077000.0,7559000.0,8405700.0,1136.0,10400.0,575037.0,191517.0,18597.0,382038.0,14488428.0,423000.0,10159842.0,-1.0,22000.0,177100.0,-1.0,11330.0,1451.0,39800.0,53889.0,1559600.0,8635500.0,3048976.0,181400.0,30100.0,536100.0,0.0,36.0,30732.0,51029.0,2138000.0,1747700.0,2053000.0,7000.0,-1.0,70030.0,525000.0,7838.0,-1.0,120500.0,11100.0,20.0,3607800.0,6300.0,27714.0,-1.0,2034086.0
1968,3843183.0,1298.0,216451.0,88600.0,50312.0,33045251.0,299300.0,-1.0,895873.0,298500.0,604666.0,1484300.0,222400.0,-1.0,20400.0,1040.0,25400.0,30400.0,-1.0,-1.0,-1.0,1697704.0,-1.0,195.0,-1.0,616800.0,34000.0,780.0,118350.0,1486160.0,8000.0,67000.0,1098000.0,519085.0,-1.0,842650.0,-1.0,117552983.0,1880000.0,11803.0,2686.0,45000.0,-1.0,-1.0,-1.0,10545.0,25908.0,1635257.0,10048470.0,778000.0,75900.0,28537.0,480.0,31834800.0,1110602.0,-1.0,-1.0,1758974.0,3590.0,308122.0,46945.0,14950.0,7400.0,2408176.0,4588262.0,150000.0,10000.0,-1.0,248.0,286414.0,2200.0,-1.0,1483.0,18570000.0,593000.0,-1.0,2618150.0,7250.0,522000.0,608511.0,9106.0,20.0,160600.0,1042800.0,300.0,192000.0,102184000.0,3737300.0,770930.0,3100.0,608277.0,159695.0,-1.0,104887.0,16739.0,147150.0,-1.0,14955247.0,27500.0,2737500.0,-1.0,908200.0,5045308.0,-1.0,1717000.0,912327.0,1150.0,1806242.0,945700.0,9800.0,-1.0,5604.0,53117.0,89166.0,1340.0,1324433.0,31200.0,52000.0,670171.0,3899101.0,5034.0,60000.0,66000.0,1730000.0,2888600.0,2667046.0,956585.0,874017.0,687530.0,2865028.0,21430.0,12700.0,272162.0,256110.0,8130.0,26800.0,-1,18450.0,-1.0,272500.0,5260.0,3500.0,3897.0,53000.0,101276.0,3993630.0,52720.0,316000.0,-1.0,79016.0,-1.0,-1.0,0.0,739156.0,1228388.0,16400.0,902000.0,50280000.0,113700000.0,-1.0,18000.0,568600.0,-1.0,858800.0,2202279.0,35406.0,6526476.0,-1.0,383000.0,110300.0,19145.0,-1.0,165000.0,1143700.0,7273000.0,8457400.0,1032.0,10750.0,613193.0,191393.0,19833.0,368859.0,14013645.0,424000.0,10302000.0,-1.0,25000.0,199000.0,-1.0,10400.0,2085.0,59900.0,65885.0,1599400.0,10540000.0,3473076.0,207302.0,30750.0,534900.0,0.0,36.0,38295.0,40596.0,2110000.0,1624200.0,2101000.0,7700.0,-1.0,71035.0,587000.0,7940.0,-1.0,96500.0,8300.0,20.0,3658600.0,6000.0,29000.0,-1.0,1631683.0
1969,4085632.0,1200.0,220800.0,89000.0,47377.0,33875579.0,305700.0,-1.0,692715.0,299000.0,678318.0,1605526.0,173572.0,-1.0,17800.0,1095.0,14500.0,33200.0,-1.0,-1.0,-1.0,1814490.0,-1.0,200.0,-1.0,633000.0,35000.0,780.0,118657.0,931160.0,8300.0,69000.0,979100.0,495640.0,-1.0,883300.0,-1.0,127092732.0,1901300.0,11958.0,3197.0,40000.0,-1.0,-1.0,-1.0,6687.0,24544.0,2015708.0,9046600.0,826000.0,77000.0,27349.0,478.0,24818976.0,1131199.0,-1.0,-1.0,1548912.0,3620.0,329411.0,49640.0,15560.0,8550.0,2361501.0,4831400.0,154000.0,15000.0,-1.0,343.0,312323.0,1350.0,-1.0,1227.0,20765000.0,618943.0,-1.0,3120346.0,7400.0,524000.0,591005.0,8916.0,20.0,300600.0,1061700.0,300.0,173000.0,91779008.0,2165134.0,875174.0,877.0,695139.0,120958.0,-1.0,109276.0,17407.0,149382.0,-1.0,14490710.0,27650.0,3208000.0,-1.0,779300.0,4703913.0,-1.0,1769000.0,856835.0,1195.0,1937175.0,935700.0,7100.0,-1.0,4465.0,69985.0,91000.0,1350.0,1334053.0,33200.0,55000.0,812750.0,3761673.0,5038.0,61000.0,68100.0,2340000.0,3144173.0,2722931.0,1125073.0,896002.0,771085.0,2884270.0,17258.0,13000.0,224083.0,198628.0,8565.0,27000.0,-1,18830.0,-1.0,287500.0,5465.0,3500.0,4017.0,52000.0,211538.0,3999720.0,52860.0,304000.0,-1.0,88214.0,-1.0,-1.0,0.0,616500.0,1272670.0,16895.0,927000.0,44935008.0,123000000.0,-1.0,18300.0,571400.0,-1.0,902500.0,2628494.0,35406.0,5179710.0,-1.0,358000.0,115100.0,22548.0,-1.0,168000.0,1114030.0,6513000.0,7236300.0,657.0,10900.0,568108.0,170944.0,24014.0,356697.0,14823973.0,437000.0,10540700.0,-1.0,26000.0,241143.0,-1.0,11200.0,2296.0,52900.0,76749.0,1654560.0,11403600.0,2940545.0,206153.0,31550.0,525200.0,0.0,36.0,36759.0,42411.0,2145000.0,1452600.0,2250900.0,7700.0,-1.0,71740.0,561000.0,8174.0,-1.0,103963.0,9400.0,20.0,3824000.0,6300.0,30600.0,-1.0,1539971.0
1970,3814155.0,1182.0,226540.0,87200.0,65324.0,33305720.0,321200.0,-1.0,1063010.0,304500.0,758287.0,1716754.0,167221.0,-1.0,19900.0,1150.0,20800.0,36400.0,-1.0,-1.0,-1.0,1756380.0,-1.0,205.0,-1.0,642000.0,38000.0,800.0,114916.0,1490160.0,8500.0,69000.0,976500.0,457650.0,-1.0,929200.0,-1.0,139716193.0,2213100.0,9982.0,2982.0,40000.0,-1.0,-1.0,-1.0,7616.0,20486.0,1815669.0,8025300.0,810500.0,73200.0,24382.0,495.0,29303808.0,1158701.0,-1.0,-1.0,1797745.0,3575.0,339351.0,48640.0,14460.0,8600.0,2510324.0,5346400.0,144000.0,20000.0,-1.0,447.0,304916.0,1350.0,-1.0,1636.0,23757385.0,665000.0,-1.0,3066000.0,7550.0,536000.0,539465.0,6463.0,20.0,275650.0,1081000.0,300.0,180000.0,96783008.0,2064325.0,940628.0,1962.0,741749.0,106707.0,-1.0,142628.0,16749.0,147132.0,-1.0,13953630.0,27800.0,3562500.0,-1.0,1135900.0,5647683.0,-1.0,1781000.0,856800.0,1220.0,1916200.0,887900.0,2038.0,-1.0,5406.0,62375.0,99000.0,1400.0,1327265.0,33200.0,60000.0,763149.0,3734936.0,4936.0,67000.0,69200.0,4298000.0,2963693.0,2742175.0,1068065.0,924040.0,918573.0,2985000.0,22464.0,13300.0,262050.0,177500.0,9058.0,27300.0,-1,19250.0,-1.0,303000.0,5470.0,4000.0,3075.0,52000.0,196935.0,3693830.0,59100.0,300000.0,-1.0,94787.0,-1.0,-1.0,0.0,697800.0,1354633.0,17270.0,965000.0,50301408.0,135900000.0,-1.0,18700.0,591600.0,-1.0,944100.0,2808430.0,20406.0,4792598.0,-1.0,439000.0,137550.0,17355.0,-1.0,169000.0,1113770.0,7821000.0,6993000.0,1285.0,11150.0,560556.0,213590.0,25688.0,373663.0,15375680.0,415000.0,10861300.0,-1.0,28000.0,189800.0,-1.0,8050.0,1945.0,57300.0,70920.0,1682397.0,10747700.0,2703894.0,189945.0,32200.0,542500.0,0.0,38.0,35224.0,42365.0,2164750.0,1468200.0,2293700.0,7800.0,-1.0,72545.0,660000.0,7091.0,-1.0,123100.0,7970.0,8.0,3595000.0,6200.0,31346.0,-1.0,1665205.0
