,Kenya,"China, Taiwan Province of",Mozambique,Belize,Tokelau,Bulgaria,Philippines,Martinique,Nepal,Ethiopia,Indonesia,Maldives,Zimbabwe,Malawi,Melanesia,Papua New Guinea,Eritrea,French Polynesia,Slovenia,Saint Lucia,Vanuatu,Haiti,Botswana,Dominica,Fiji,Wallis and Futuna Islands,Lesotho,Equatorial Guinea,"China, Macao SAR",Egypt,China,Colombia,United Republic of Tanzania,Occupied Palestinian Territory,Hungary,Estonia,Suriname,Guinea-Bissau,France,Togo,Micronesia,Tuvalu,"China, mainland",Nicaragua,Kiribati,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Cameroon,Malaysia,Grenada,Namibia,Cook Islands,Pakistan,Saint Vincent and the Grenadines,Japan,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Cyprus,Spain,Guyana,Tonga,Iran (Islamic Republic of),Democratic Republic of the Congo,Ethiopia PDR,Cambodia,Timor-Leste,Costa Rica,Guadeloupe,Morocco,Bhutan,Congo,Republic of Korea,Mexico,Ecuador,Honduras,Puerto Rico,Tunisia,Côte d'Ivoire,Mali,Jamaica,Brunei Darussalam,Trinidad and Tobago,Singapore,Polynesia,Panama,Samoa,Thailand,Ghana,Swaziland,Guam
1961,5000.0,8992.0,5000.0,1600.0,160.0,1000.0,25274.0,3000.0,40000.0,-1.0,840000.0,4000.0,-1.0,400.0,193300.0,168000.0,-1.0,6000.0,-1.0,2891.0,24800.0,14400.0,30000.0,-1.0,500.0,950.0,-1.0,-1.0,-1,-1.0,8992.0,-1.0,-1.0,-1.0,1000.0,-1.0,121.0,40000.0,-1,-1.0,5790.0,-1.0,-1.0,400.0,5000.0,600.0,43000.0,117200.0,15000.0,106000.0,2250.0,140000.0,4200.0,-1.0,30000.0,72300.0,4000.0,11843.0,508.0,1710.0,32000.0,-1.0,-1,18000.0,417000.0,4000.0,20000.0,-1.0,6000.0,150.0,10800.0,16000.0,-1.0,22165.0,10000.0,2362.0,14334.0,-1,-1.0,-1,7955.0,300.0,-1.0,30.0,12110.0,-1.0,800.0,22000.0,-1.0,16000.0,790.0
1962,5000.0,10700.0,5000.0,1700.0,165.0,2000.0,22323.0,3000.0,42000.0,-1.0,880000.0,4300.0,-1.0,400.0,197500.0,172000.0,-1.0,6100.0,-1.0,2800.0,25000.0,14600.0,30000.0,-1.0,500.0,950.0,-1.0,-1.0,-1,-1.0,10700.0,-1.0,-1.0,-1.0,2000.0,-1.0,107.0,40000.0,-1,-1.0,6032.0,-1.0,-1.0,400.0,5000.0,600.0,43000.0,127445.0,30000.0,64000.0,2300.0,150000.0,4300.0,-1.0,31000.0,77000.0,4000.0,11762.0,572.0,2160.0,39414.0,-1.0,-1,19000.0,417000.0,4000.0,21000.0,-1.0,6000.0,200.0,11100.0,16500.0,-1.0,27177.0,10000.0,2362.0,14878.0,-1,-1.0,-1,7965.0,300.0,-1.0,30.0,12515.0,-1.0,1000.0,24000.0,-1.0,16000.0,1032.0
1963,5000.0,11119.0,5000.0,2000.0,170.0,2000.0,21617.0,3100.0,44000.0,-1.0,920000.0,4300.0,-1.0,400.0,195700.0,170000.0,-1.0,6200.0,-1.0,3150.0,25200.0,14800.0,31000.0,-1.0,500.0,950.0,-1.0,-1.0,-1,-1.0,11119.0,-1.0,-1.0,-1.0,2500.0,-1.0,64.0,40000.0,-1,-1.0,6032.0,-1.0,-1.0,400.0,5000.0,600.0,46000.0,117770.0,30000.0,120000.0,2400.0,152000.0,4450.0,-1.0,27384.0,84100.0,4000.0,12469.0,635.0,2250.0,32328.0,-1.0,-1,19500.0,422000.0,4000.0,23000.0,-1.0,16000.0,150.0,11400.0,17000.0,-1.0,33097.0,12000.0,2507.0,16511.0,-1,-1.0,-1,8618.0,363.0,-1.0,30.0,12870.0,-1.0,1100.0,26000.0,-1.0,16500.0,1032.0
1964,6000.0,11913.0,5000.0,2100.0,175.0,3000.0,26581.0,3100.0,46000.0,-1.0,960000.0,4500.0,-1.0,400.0,210900.0,185000.0,-1.0,6300.0,-1.0,3300.0,25400.0,15000.0,32000.0,-1.0,500.0,950.0,-1.0,-1.0,-1,-1.0,11913.0,-1.0,-1.0,-1.0,2500.0,-1.0,74.0,40000.0,-1,-1.0,5636.0,300.0,-1.0,400.0,4800.0,600.0,46000.0,104000.0,30000.0,182000.0,2450.0,160000.0,4600.0,-1.0,31572.0,95400.0,4000.0,12082.0,635.0,1800.0,37708.0,-1.0,-1,20000.0,425000.0,4000.0,23000.0,-1.0,16000.0,100.0,11700.0,17000.0,-1.0,35558.0,12000.0,2611.0,17826.0,-1,-1.0,-1,10113.0,22.0,-1.0,30.0,13475.0,-1.0,1150.0,28000.0,-1.0,17000.0,836.0
1965,6000.0,9639.0,5000.0,2200.0,180.0,2000.0,26479.0,3200.0,48000.0,-1.0,1000000.0,4500.0,-1.0,400.0,208100.0,182000.0,-1.0,6400.0,-1.0,3200.0,25600.0,15000.0,32000.0,-1.0,500.0,950.0,-1.0,-1.0,-1,-1.0,9639.0,-1.0,-1.0,-1.0,2500.0,-1.0,69.0,40000.0,-1,-1.0,5600.0,300.0,-1.0,400.0,4700.0,600.0,47000.0,148150.0,30000.0,140000.0,2400.0,162000.0,4700.0,-1.0,18432.0,86200.0,4300.0,12956.0,635.0,1800.0,33339.0,-1.0,-1,20000.0,432000.0,4000.0,25000.0,-1.0,13000.0,100.0,12000.0,18000.0,-1.0,32941.0,16000.0,2500.0,16148.0,-1,-1.0,-1,15731.0,59.0,-1.0,30.0,13730.0,-1.0,1200.0,30000.0,-1.0,17000.0,900.0
1966,6000.0,10406.0,5000.0,2300.0,185.0,1000.0,29521.0,3300.0,50000.0,-1.0,1040000.0,4700.0,-1.0,400.0,216500.0,190000.0,-1.0,6500.0,-1.0,3300.0,26000.0,18000.0,33000.0,-1.0,500.0,950.0,-1.0,-1.0,-1,-1.0,10406.0,-1.0,-1.0,-1.0,3000.0,-1.0,116.0,40000.0,-1,-1.0,5950.0,300.0,-1.0,400.0,5000.0,600.0,47000.0,131991.0,30000.0,115000.0,2480.0,163000.0,4900.0,-1.0,18000.0,91800.0,4300.0,14168.0,635.0,2700.0,22671.0,-1.0,-1,21000.0,440000.0,4000.0,31000.0,-1.0,14500.0,100.0,12300.0,18500.0,-1.0,35206.0,14000.0,2400.0,19368.0,-1,-1.0,-1,16346.0,966.0,-1.0,35.0,14085.0,-1.0,1250.0,32000.0,-1.0,18000.0,950.0
1967,7000.0,11297.0,5000.0,2400.0,190.0,1000.0,29114.0,3400.0,52000.0,-1.0,1080000.0,4700.0,-1.0,400.0,218600.0,192000.0,-1.0,6600.0,-1.0,3450.0,26100.0,20000.0,33000.0,-1.0,500.0,1000.0,-1.0,-1.0,-1,-1.0,11297.0,-1.0,-1.0,-1.0,3000.0,-1.0,145.0,40000.0,-1,-1.0,6500.0,300.0,-1.0,400.0,5500.0,650.0,50000.0,146756.0,30000.0,110000.0,2450.0,165000.0,3500.0,-1.0,15500.0,91200.0,4500.0,15457.0,508.0,2070.0,18597.0,-1.0,-1,22000.0,449000.0,4000.0,31000.0,-1.0,15000.0,100.0,12600.0,19000.0,-1.0,27074.0,16000.0,2300.0,18144.0,-1,-1.0,-1,12191.0,967.0,-1.0,35.0,12890.0,-1.0,1300.0,34000.0,-1.0,18000.0,1000.0
1968,7000.0,14969.0,5000.0,2200.0,195.0,-1.0,28663.0,3000.0,54000.0,-1.0,1170000.0,4700.0,-1.0,400.0,222300.0,195000.0,-1.0,6700.0,-1.0,3500.0,26800.0,22000.0,34000.0,-1.0,500.0,1000.0,-1.0,-1.0,-1,-1.0,14969.0,-1.0,-1.0,-1.0,3000.0,-1.0,208.0,45000.0,-1,-1.0,7250.0,300.0,-1.0,400.0,6200.0,650.0,50000.0,122680.0,30000.0,105000.0,2450.0,165000.0,3500.0,-1.0,15000.0,73600.0,4800.0,15545.0,384.0,2100.0,19833.0,-1.0,-1,23000.0,458000.0,4000.0,33000.0,-1.0,15500.0,100.0,12750.0,19400.0,-1.0,30339.0,19300.0,2200.0,12474.0,-1,-1.0,-1,10394.0,1036.0,-1.0,40.0,13195.0,-1.0,1500.0,36000.0,-1.0,18500.0,1050.0
1969,7000.0,16505.0,5000.0,1350.0,200.0,-1.0,27241.0,2500.0,56000.0,-1.0,1210000.0,4700.0,-1.0,300.0,224500.0,197000.0,-1.0,6800.0,-1.0,3700.0,27000.0,24000.0,35000.0,-1.0,500.0,1000.0,-1.0,-1.0,-1,-1.0,16505.0,-1.0,-1.0,-1.0,3000.0,-1.0,185.0,40000.0,-1,-1.0,7400.0,300.0,-1.0,400.0,6300.0,650.0,51000.0,155006.0,30000.0,83000.0,2450.0,168000.0,3500.0,-1.0,13400.0,73500.0,4900.0,17038.0,256.0,2200.0,24014.0,-1.0,-1,23000.0,467200.0,4000.0,34000.0,-1.0,16000.0,100.0,13050.0,19700.0,-1.0,32063.0,17000.0,2150.0,13426.0,-1,-1.0,-1,11430.0,1014.0,-1.0,45.0,13400.0,-1.0,1600.0,38000.0,-1.0,19000.0,1100.0
1970,7000.0,21260.0,5000.0,1350.0,205.0,-1.0,26604.0,2500.0,58000.0,-1.0,1230000.0,4300.0,-1.0,300.0,227800.0,200000.0,-1.0,6900.0,-1.0,3799.0,27300.0,26000.0,38000.0,-1.0,500.0,1000.0,-1.0,-1.0,-1,-1.0,21260.0,-1.0,-1.0,-1.0,3000.0,-1.0,140.0,40000.0,-1,-1.0,7550.0,300.0,-1.0,400.0,6400.0,650.0,55600.0,187373.0,30000.0,87000.0,2400.0,169000.0,3600.0,-1.0,12100.0,66900.0,5100.0,16981.0,230.0,3500.0,25688.0,-1.0,-1,24000.0,476500.0,4400.0,35000.0,-1.0,16000.0,150.0,13200.0,20000.0,-1.0,35388.0,17000.0,2100.0,15195.0,-1,-1.0,-1,20523.0,682.0,-1.0,40.0,13755.0,-1.0,1750.0,40000.0,-1.0,19000.0,1150.0
