,Burundi,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Belize,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Pacific Islands Trust Territory,Liberia,Greece,Zimbabwe,Bangladesh,Malawi,Melanesia,Papua New Guinea,Rwanda,Portugal,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Senegal,Madagascar,Tajikistan,Haiti,Ukraine,Guinea,Saudi Arabia,Fiji,Chad,Sri Lanka,Uruguay,Azerbaijan,Egypt,Mauritania,Réunion,China,Uzbekistan,Colombia,Brunei Darussalam,Micronesia (Federated States of),Chile,Guinea-Bissau,Kazakhstan,South Africa,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Togo,Micronesia,Kenya,"China, mainland",Russian Federation,Nicaragua,Uganda,Thailand,Paraguay,Bolivia (Plurinational State of),Peru,Angola,Cameroon,Zambia,Malaysia,Comoros,Armenia,Dominican Republic,South Sudan,Benin,Pakistan,Japan,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Spain,New Zealand,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Cuba,Kyrgyzstan,French Guiana,Argentina,Cambodia,Timor-Leste,Costa Rica,Democratic People's Republic of Korea,India,El Salvador,Niger,Morocco,Bhutan,Congo,Republic of Korea,Gabon,USSR,Romania,Ecuador,Honduras,Puerto Rico,Mexico,Viet Nam,Suriname,Côte d'Ivoire,Mali,Albania,Turkmenistan,Jamaica,Solomon Islands,Trinidad and Tobago,Italy,Central African Republic,Sierra Leone,Australia,Panama,Ghana,Sudan (former),Gambia,Nigeria,Swaziland,Republic of Moldova,Turkey
1961,797.0,14821.0,780000.0,60000.0,1168.0,4253700.0,53835.0,3179190.0,200.0,3174037.0,620000.0,82000.0,1088000.0,-1.0,6857000.0,7.0,200000.0,22122.0,1000.0,8483516.0,13100.0,13515.0,450.0,-1.0,37918.0,20000.0,5620.0,8982.0,2090.0,72500.0,804000.0,-1.0,32000.0,-1.0,123985.0,1000.0,12950.0,22000.0,495550.0,17190.0,-1.0,226000.0,300.0,-1.0,27044821.0,-1.0,237100.0,2836.0,-1.0,38490.0,61000.0,-1.0,1600.0,-1.0,-1.0,22041.0,33000.0,14973.0,7.0,6400.0,26250000.0,-1.0,23700.0,2630.0,6120000.0,8500.0,23762.0,81086.0,25000.0,7452.0,-1.0,516489.0,8000.0,-1,58000.0,-1,2125.0,1214475.0,3312000.0,210000.0,25000.0,-1.0,58450.0,61900.0,-1,106141.0,10385.0,643000.0,280000.0,88000.0,-1.0,-1.0,150000.0,-1.0,205.0,46000.0,2182000.0,8400.0,48200.0,420000.0,34694000.0,8888.0,9155.0,5000.0,18500.0,5000.0,1128000.0,350.0,118000.0,10600.0,94646.0,9081.0,450.0,146341.0,4744000.0,25629.0,206000.0,182000.0,2967.0,-1.0,3237.0,115.0,4540.0,123262.0,3500.0,283000.0,20000.0,100400.0,27518.0,1370.0,24280.0,149000.0,1938.0,-1,59000.0
1962,1100.0,11295.0,792000.0,60000.0,1136.0,4654000.0,66843.0,3161320.0,418.0,3349810.0,590000.0,83000.0,1090000.0,-1.0,7283000.0,7.0,210000.0,18543.0,1000.0,8694360.0,6000.0,13367.0,500.0,-1.0,36645.0,20309.0,5580.0,10291.0,2000.0,66000.0,857000.0,-1.0,33000.0,-1.0,129445.0,800.0,12747.0,23350.0,526734.0,17788.0,-1.0,349000.0,300.0,-1.0,27711295.0,-1.0,297550.0,2831.0,-1.0,27690.0,65000.0,-1.0,1500.0,-1.0,-1.0,19219.0,31100.0,24963.0,7.0,5800.0,26908000.0,-1.0,22600.0,3197.0,6540000.0,7000.0,26733.0,90791.0,19000.0,9688.0,-1.0,544223.0,8000.0,-1,58000.0,-1,1558.0,1185742.0,3295000.0,210000.0,40000.0,-1.0,68998.0,63040.0,-1,99149.0,11812.0,717000.0,300000.0,93000.0,-1.0,-1.0,164210.0,-1.0,310.0,53060.0,2286000.0,9000.0,51800.0,440000.0,35695008.0,10863.0,9115.0,5000.0,19000.0,5100.0,1139000.0,480.0,119000.0,6500.0,111751.0,9635.0,450.0,133904.0,4888860.0,27071.0,260000.0,200000.0,3408.0,-1.0,3318.0,120.0,4740.0,118472.0,4000.0,255110.0,20309.0,99600.0,28000.0,535.0,25090.0,218000.0,2404.0,-1,81000.0
1963,960.0,7877.0,792000.0,65000.0,1267.0,4877500.0,32800.0,3087450.0,465.0,3721800.0,600000.0,115000.0,1090000.0,-1.0,6731000.0,8.0,239000.0,18886.0,2000.0,9007995.0,4451.0,12765.0,500.0,-1.0,36529.0,22229.0,6080.0,12557.0,1512.0,75000.0,850000.0,-1.0,33000.0,-1.0,135145.0,789.0,12140.0,26500.0,535080.0,20986.0,-1.0,403000.0,350.0,-1.0,28486885.0,-1.0,254000.0,2821.0,-1.0,30850.0,65000.0,-1.0,1300.0,-1.0,-1.0,19066.0,29530.0,19940.0,8.0,5326.0,27687008.0,-1.0,21500.0,1376.0,6500000.0,7000.0,29000.0,72790.0,20000.0,13695.0,-1.0,552947.0,9100.0,-1,60000.0,-1,2099.0,1286105.0,3276000.0,210000.0,55000.0,-1.0,73699.0,62700.0,-1,80565.0,11712.0,717000.0,300000.0,75000.0,-1.0,-1.0,140000.0,-1.0,40.0,52300.0,2233000.0,9100.0,51300.0,450000.0,35809008.0,9100.0,9373.0,4000.0,19500.0,4600.0,1155000.0,240.0,147000.0,13700.0,113059.0,8490.0,480.0,134757.0,4496520.0,27513.0,245000.0,123000.0,3871.0,-1.0,2549.0,125.0,4650.0,115081.0,5000.0,263936.0,22229.0,103300.0,32374.0,1024.0,25495.0,162000.0,2412.0,-1,55000.0
1964,1200.0,8638.0,763000.0,65000.0,1734.0,4976100.0,34800.0,3199670.0,600.0,4182361.0,916000.0,110000.0,1101000.0,-1.0,6980000.0,8.0,255000.0,24690.0,2000.0,9228955.0,4856.0,10747.0,500.0,-1.0,37799.0,24038.0,6510.0,11414.0,1310.0,86000.0,854760.0,-1.0,34000.0,-1.0,141095.0,1000.0,10117.0,27000.0,538059.0,20557.0,-1.0,404000.0,350.0,-1.0,30348646.0,-1.0,302500.0,2600.0,-1.0,30553.0,80000.0,-1.0,1300.0,-1.0,-1.0,17898.0,30017.0,27100.0,8.0,5358.0,29577008.0,-1.0,22500.0,1983.0,6310000.0,8000.0,31428.0,82200.0,20000.0,12702.0,-1.0,555785.0,9200.0,-1,65000.0,-1,2254.0,1355712.0,3264000.0,220000.0,65000.0,-1.0,90721.0,64088.0,-1,148422.0,11377.0,723000.0,322000.0,68000.0,-1.0,-1.0,70969.0,-1.0,45.0,54020.0,2377000.0,9300.0,54400.0,480000.0,36462000.0,14806.0,9360.0,5000.0,20000.0,4650.0,1195000.0,394.0,191000.0,20000.0,108911.0,8122.0,500.0,132594.0,4987800.0,30277.0,271000.0,158500.0,3539.0,-1.0,1821.0,130.0,4590.0,119613.0,6500.0,264013.0,24038.0,120800.0,42653.0,1890.0,26709.0,179000.0,2367.0,-1,35000.0
1965,1050.0,8538.0,771000.0,62000.0,2581.0,4848300.0,33000.0,3109180.0,1100.0,4618898.0,916000.0,56000.0,1111000.0,-1.0,7327000.0,8.0,257000.0,23720.0,2000.0,9360480.0,6000.0,8718.0,500.0,-1.0,35297.0,24935.0,5860.0,7500.0,1900.0,82168.0,848990.0,-1.0,35000.0,-1.0,147310.0,1800.0,8083.0,27390.0,431823.0,27529.0,-1.0,356000.0,350.0,-1.0,30574546.0,-1.0,374750.0,2510.0,-1.0,27463.0,60000.0,-1.0,1300.0,-1.0,-1.0,17357.0,29704.0,27110.0,8.0,2482.0,29795008.0,-1.0,24900.0,4000.0,6270000.0,8000.0,32785.0,74920.0,23000.0,10932.0,-1.0,581904.0,10900.0,-1,76000.0,-1,2784.0,1393348.0,3258500.0,220000.0,65000.0,-1.0,105102.0,58998.0,-1,119154.0,10777.0,725470.0,360000.0,102076.0,-1.0,-1.0,38000.0,-1.0,45.0,67880.0,2344000.0,5745.0,54800.0,480000.0,35470000.0,13230.0,8700.0,5000.0,20500.0,4800.0,1228000.0,376.0,217000.0,18684.0,102806.0,8869.0,530.0,138065.0,4826300.0,33555.0,261000.0,169000.0,3933.0,-1.0,1619.0,135.0,4530.0,126436.0,7000.0,301000.0,24935.0,133100.0,32306.0,1295.0,26911.0,188000.0,2200.0,-1,50000.0
1966,962.0,9469.0,787000.0,75000.0,1853.0,4516500.0,34500.0,3096120.0,918.0,4004850.0,930000.0,127000.0,1100000.0,-1.0,7691000.0,15.0,133000.0,16870.0,2000.0,9075000.0,16300.0,9007.0,500.0,-1.0,34729.0,26061.0,5080.0,6137.0,1920.0,87974.0,962960.0,-1.0,37000.0,-1.0,153795.0,1000.0,8369.0,28335.0,534033.0,30499.0,-1.0,355000.0,350.0,-1.0,31294469.0,-1.0,350000.0,2448.0,-1.0,36884.0,45000.0,-1.0,1300.0,-1.0,-1.0,18849.0,27991.0,30725.0,15.0,2830.0,30498000.0,-1.0,26300.0,3000.0,7353000.0,4600.0,33524.0,95875.0,22000.0,14051.0,-1.0,572995.0,12000.0,-1,76000.0,-1,2383.0,1409535.0,3258000.0,222000.0,65000.0,-1.0,110001.0,59100.0,-1,137287.0,12215.0,796086.0,429000.0,113200.0,-1.0,-1.0,32000.0,-1.0,85.0,46795.0,2182000.0,7087.0,55700.0,500000.0,35251008.0,19725.0,9200.0,5500.0,21000.0,3000.0,1231000.0,350.0,248000.0,20500.0,110625.0,9280.0,550.0,152642.0,4681300.0,29350.0,258000.0,177500.0,3846.0,-1.0,927.0,138.0,4450.0,132494.0,7000.0,327000.0,26061.0,131500.0,33000.0,469.0,27000.0,160000.0,2218.0,-1,65000.0
1967,1424.0,6309.0,786000.0,75000.0,2076.0,4706000.0,35827.0,3304000.0,908.0,4291147.0,960000.0,110000.0,1154290.0,-1.0,7516000.0,22.0,134000.0,17861.0,2150.0,9889400.0,15800.0,9407.0,500.0,110.0,32268.0,29835.0,4350.0,11699.0,1710.0,101200.0,981000.0,-1.0,38000.0,-1.0,160570.0,789.0,8767.0,24700.0,544793.0,33976.0,-1.0,452000.0,300.0,-1.0,31198309.0,-1.0,290700.0,3480.0,-1.0,33000.0,35000.0,-1.0,1300.0,-1.0,-1.0,20076.0,27190.0,27998.0,22.0,2830.0,30406000.0,-1.0,25500.0,6000.0,6400000.0,7280.0,30716.0,106690.0,22200.0,15487.0,-1.0,597599.0,10900.0,-1,80625.0,-1,1781.0,1419653.0,3267000.0,206000.0,103000.0,-1.0,114318.0,59810.0,-1,116812.0,13725.0,797260.0,343000.0,125000.0,-1.0,-1.0,44367.0,-1.0,40.0,61830.0,2020000.0,8700.0,57000.0,500000.0,36437408.0,28000.0,11507.0,5400.0,21500.0,3000.0,1235000.0,350.0,281000.0,22228.0,113510.0,9711.0,600.0,168363.0,4795800.0,33684.0,300900.0,197600.0,4032.0,-1.0,480.0,140.0,4250.0,143700.0,7000.0,350000.0,29835.0,129500.0,43705.0,2339.0,18000.0,262000.0,2299.0,-1,60000.0
1968,2200.0,9955.0,789000.0,74589.0,1789.0,4763400.0,46021.0,3332150.0,3905.0,4458952.0,656000.0,128000.0,1162015.0,-1.0,8020770.0,30.0,140000.0,20980.0,2300.0,9742100.0,11000.0,10328.0,500.0,315.0,32929.0,30738.0,5000.0,13563.0,1950.0,64600.0,1008500.0,-1.0,38000.0,-1.0,167640.0,789.0,8960.0,30980.0,567243.0,30747.0,-1.0,507000.0,738.0,-1.0,30662955.0,-1.0,277125.0,3480.0,-1.0,32480.0,30000.0,-1.0,1300.0,31.0,-1.0,21282.0,24487.0,28552.0,30.0,3440.0,29864000.0,-1.0,31700.0,5000.0,6940000.0,9334.0,39035.0,75975.0,22000.0,14210.0,486.0,660372.0,9000.0,-1,88060.0,-1,2270.0,1554819.0,3284000.0,206000.0,109000.0,-1.0,115202.0,60468.0,-1,114932.0,13537.0,952374.0,358000.0,232000.0,-1.0,-1.0,71900.0,-1.0,10.0,70800.0,2324000.0,11000.0,62000.0,500000.0,36966304.0,27300.0,15291.0,7800.0,22000.0,3500.0,1151000.0,350.0,312000.0,25192.0,111820.0,10191.0,650.0,138712.0,4893800.0,35273.0,300000.0,162300.0,4154.0,-1.0,400.0,868.0,4130.0,155520.0,10000.0,320000.0,30738.0,128600.0,45729.0,1615.0,29137.0,235000.0,2347.0,-1,45000.0
1969,2069.0,8067.0,785000.0,73660.0,1683.0,4671600.0,40128.0,3195830.0,1069.0,4620699.0,664773.0,129000.0,1173170.0,-1.0,8013620.0,40.0,147000.0,21240.0,2500.0,10314000.0,16000.0,11357.0,620.0,440.0,37559.0,33696.0,6902.0,9347.0,1970.0,102600.0,980350.0,-1.0,38000.0,-1.0,175020.0,1000.0,9713.0,36393.0,536349.0,34340.0,-1.0,502000.0,612.0,-1.0,31195067.0,-1.0,250460.0,3650.0,-1.0,16190.0,30000.0,-1.0,1300.0,201.0,-1.0,22085.0,22913.0,24000.0,40.0,4923.0,30402000.0,-1.0,25125.0,7000.0,7259000.0,10226.0,54560.0,109855.0,15000.0,14792.0,1012.0,684234.0,9000.0,-1,84000.0,-1,2676.0,1622000.0,3279000.0,206000.0,106000.0,-1.0,118596.0,63600.0,-1,113151.0,15538.0,861321.0,364000.0,212500.0,-1.0,-1.0,128300.0,-1.0,30.0,87500.0,1944000.0,7000.0,52400.0,530000.0,37680304.0,10710.0,15485.0,8800.0,22500.0,3500.0,1220000.0,130.0,328000.0,28969.0,91672.0,10694.0,680.0,152980.0,4930000.0,32460.0,288300.0,133300.0,4366.0,-1.0,470.0,1024.0,3970.0,168988.0,15000.0,310000.0,33696.0,125700.0,49000.0,3314.0,26709.0,258000.0,2829.0,-1,56500.0
1970,3510.0,6861.0,775000.0,76893.0,1775.0,4808700.0,40315.0,3195000.0,656.0,4979165.0,664693.0,151000.0,1182470.0,-1.0,8135080.0,50.0,154000.0,15800.0,2650.0,9912800.0,19600.0,12069.0,580.0,716.0,41721.0,40145.0,7729.0,11278.0,1370.0,88000.0,997050.0,-1.0,38000.0,-1.0,182730.0,1000.0,10781.0,41000.0,718681.0,35691.0,-1.0,480000.0,1098.0,-1.0,33107861.0,-1.0,233213.0,3456.0,-1.0,25220.0,30000.0,-1.0,1300.0,263.0,-1.0,23400.0,21500.0,25011.0,50.0,5844.0,32326000.0,-1.0,25253.0,15621.0,6854000.0,22999.0,55125.0,140395.0,25000.0,16573.0,1113.0,704767.0,9000.0,-1,83028.0,-1,3300.0,1503423.0,2927000.0,202000.0,75000.0,-1.0,130254.0,64155.0,-1,110824.0,17166.0,734373.0,378000.0,244400.0,-1.0,350.0,195300.0,-1.0,10.0,101900.0,2399000.0,7000.0,43400.0,530000.0,37591696.0,11900.0,16400.0,8000.0,23000.0,2000.0,1203000.0,365.0,350000.0,27916.0,86593.0,11222.0,700.0,149973.0,4724400.0,39132.0,289100.0,172000.0,5024.0,-1.0,405.0,708.0,3743.0,172946.0,12700.0,326810.0,40145.0,93114.0,55000.0,5123.0,28327.0,255000.0,2406.0,-1,66000.0
1971,3113.0,4653.0,752000.0,78000.0,3110.0,4763800.0,40002.0,3332290.0,290.0,4763998.0,664770.0,153000.0,1200760.0,-1.0,8324320.0,65.0,162000.0,14900.0,2600.0,9297682.0,32000.0,10841.0,770.0,680.0,42204.0,40721.0,7848.0,13750.0,670.0,83700.0,997150.0,-1.0,38000.0,-1.0,190775.0,760.0,8930.0,54732.0,693771.0,31408.0,-1.0,477631.0,1500.0,-1.0,35639661.0,-1.0,253510.0,2734.0,-1.0,27260.0,30000.0,-1.0,1300.0,188.0,-1.0,26440.0,20200.0,26290.0,65.0,6330.0,34883008.0,-1.0,26155.0,24000.0,7096000.0,22700.0,53450.0,147340.0,22000.0,15652.0,850.0,734532.0,9000.0,-1,74000.0,-1,3800.0,1456480.0,2698000.0,200000.0,109075.0,-1.0,112626.0,61100.0,-1,101617.0,17001.0,735668.0,344000.0,250000.0,-1.0,500.0,168100.0,-1.0,30.0,77200.0,1880000.0,7000.0,35500.0,530000.0,37757808.0,14644.0,17110.0,1000.0,23500.0,3000.0,1190000.0,400.0,390000.0,27500.0,56587.0,11776.0,700.0,153572.0,4692100.0,40153.0,282000.0,169400.0,3408.0,-1.0,320.0,1141.0,3764.0,175075.0,13000.0,356000.0,40721.0,95600.0,60700.0,5041.0,28327.0,304000.0,2371.0,-1,65000.0
1972,2223.0,3803.0,740000.0,76000.0,3369.0,4528100.0,40454.0,3194150.0,159.0,4532933.0,664790.0,155000.0,1140153.0,-1.0,7897640.0,80.0,170000.0,14942.0,2000.0,9629708.0,42000.0,9828.0,530.0,630.0,43487.0,40469.0,7125.0,10997.0,1070.0,53700.0,1017850.0,-1.0,42000.0,-1.0,199170.0,47.0,8903.0,50052.0,638971.0,31146.0,-1.0,481412.0,2000.0,-1.0,35851803.0,-1.0,273840.0,2473.0,-1.0,25700.0,32000.0,-1.0,1300.0,263.0,-1.0,27571.0,17900.0,16000.0,80.0,6880.0,35108000.0,-1.0,26159.0,17900.0,6780000.0,21600.0,51300.0,118055.0,22000.0,16909.0,710.0,766177.0,9100.0,-1,66800.0,-1,4366.0,1479547.0,2643000.0,210000.0,94000.0,-1.0,65336.0,59100.0,-1,80390.0,14846.0,735668.0,377000.0,252800.0,-1.0,870.0,170107.0,-1.0,25.0,83100.0,1399000.0,9000.0,32000.0,530000.0,36687808.0,10990.0,17185.0,3100.0,24000.0,5584.0,1191000.0,400.0,421000.0,26900.0,91393.0,12358.0,700.0,156145.0,4900000.0,37409.0,282000.0,167200.0,4000.0,-1.0,100.0,395.0,4386.0,183347.0,13500.0,348000.0,40469.0,105200.0,70000.0,5041.0,23300.0,237000.0,1699.0,-1,51000.0
1973,2652.0,3144.0,723000.0,75000.0,3225.0,4879500.0,38940.0,3527750.0,30.0,4794832.0,664800.0,130824.0,1227027.0,-1.0,8403600.0,80.0,182000.0,17100.0,1200.0,9878297.0,40000.0,8754.0,360.0,733.0,39182.0,45100.0,7025.0,12405.0,1220.0,64558.0,1053200.0,-1.0,39000.0,-1.0,207945.0,180.0,8000.0,55000.0,671689.0,34540.0,-1.0,418820.0,815.0,-1.0,35781152.0,-1.0,290860.0,2522.0,-1.0,18540.0,35000.0,-1.0,1300.0,200.0,-1.0,27423.0,15900.0,9530.0,80.0,7408.0,35055008.0,-1.0,25041.0,9800.0,7743000.0,21436.0,46700.0,117805.0,22000.0,18927.0,900.0,751640.0,9200.0,-1,65700.0,-1,4500.0,1511922.0,2622000.0,210000.0,63960.0,-1.0,113034.0,61400.0,-1,92781.0,16246.0,878237.0,434000.0,257900.0,-1.0,550.0,225300.0,-1.0,100.0,76550.0,811000.0,10000.0,65458.0,570000.0,38285008.0,9520.0,17775.0,2700.0,24500.0,5000.0,1181718.0,450.0,462000.0,23100.0,84757.0,13549.0,700.0,150400.0,5030000.0,44985.0,290000.0,185100.0,4800.0,-1.0,140.0,394.0,4386.0,189896.0,7810.0,351000.0,45100.0,105300.0,66000.0,5461.0,18800.0,373000.0,1328.0,-1,59500.0
1974,3067.0,1906.0,777000.0,75000.0,4063.0,4884100.0,32590.0,3632490.0,540.0,4664883.0,685900.0,163000.0,1239853.0,-1.0,8508600.0,80.0,201000.0,21000.0,1000.0,9792191.0,42000.0,9701.0,400.0,974.0,33000.0,67502.0,7041.0,12257.0,1020.0,84000.0,1063520.0,-1.0,45000.0,-1.0,217100.0,180.0,8907.0,43200.0,797021.0,42660.0,-1.0,442344.0,1000.0,-1.0,36254906.0,-1.0,368550.0,3363.0,-1.0,13770.0,50000.0,-1.0,1300.0,171.0,-1.0,28330.0,14500.0,10155.0,80.0,6561.0,35476000.0,-1.0,29543.0,17300.0,7333000.0,22900.0,53300.0,115755.0,15000.0,21229.0,1066.0,740000.0,9500.0,-1,67300.0,-1,5850.0,1604190.0,2724000.0,210000.0,31415.0,-1.0,117309.0,61200.0,-1,115763.0,16792.0,1024245.0,436000.0,261300.0,-1.0,570.0,203643.0,-1.0,100.0,82700.0,555000.0,10000.0,79520.0,600000.0,37888400.0,11130.0,14810.0,3800.0,25000.0,6668.0,1204515.0,300.0,495000.0,23300.0,102687.0,14218.0,700.0,172949.0,5111920.0,44353.0,317000.0,197900.0,4000.0,-1.0,160.0,394.0,6405.0,187600.0,13956.0,370000.0,67502.0,112200.0,66800.0,6179.0,21900.0,269000.0,1106.0,-1,58000.0
1975,2968.0,1975.0,789000.0,75000.0,4451.0,5029600.0,41300.0,3674040.0,1047.0,5306270.0,680000.0,204000.0,1255795.0,-1.0,8495100.0,80.0,191000.0,20000.0,836.0,10329868.0,40000.0,11389.0,600.0,1042.0,30225.0,75562.0,8104.0,16366.0,580.0,87100.0,1078210.0,-1.0,43000.0,-1.0,226660.0,200.0,10190.0,40681.0,597229.0,46923.0,-1.0,442213.0,1036.0,-1.0,36483983.0,-1.0,381450.0,3636.0,-1.0,22880.0,75000.0,-1.0,1300.0,244.0,-1.0,27027.0,10200.0,10780.0,80.0,6305.0,35693008.0,-1.0,29540.0,17900.0,8357000.0,24600.0,74750.0,122480.0,15000.0,23716.0,1690.0,750339.0,9500.0,-1,88800.0,-1,7300.0,1709724.0,2764000.0,210000.0,29880.0,-1.0,113548.0,62100.0,-1,134000.0,16810.0,1140388.0,461000.0,267800.0,-1.0,1600.0,178200.0,-1.0,100.0,92500.0,900000.0,12000.0,87100.0,625000.0,39475408.0,16940.0,17200.0,6200.0,25500.0,3800.0,1218000.0,250.0,500000.0,21890.0,122371.0,20692.0,680.0,256661.0,4855900.0,47500.0,390000.0,220000.0,4000.0,-1.0,1400.0,599.0,8094.0,174100.0,12926.0,380000.0,75562.0,115370.0,78500.0,7244.0,22300.0,261000.0,1613.0,-1,54750.0
1976,3025.0,1829.0,786343.0,75000.0,4290.0,4911500.0,45000.0,3641380.0,311.0,6656480.0,524564.0,267000.0,1261619.0,-1.0,8368760.0,80.0,200000.0,19000.0,554.0,9882050.0,45000.0,10998.0,690.0,1070.0,22284.0,74840.0,8236.0,18730.0,500.0,80100.0,1063920.0,-1.0,40000.0,-1.0,236640.0,200.0,9011.0,46978.0,635471.0,52327.0,-1.0,453030.0,1187.0,-1.0,36969180.0,-1.0,355650.0,3680.0,-1.0,28590.0,90000.0,-1.0,1300.0,103.0,-1.0,28447.0,7800.0,11600.0,80.0,7000.0,36181008.0,-1.0,21102.0,24409.0,8167000.0,28100.0,71790.0,133165.0,20000.0,25688.0,2236.0,733000.0,10000.0,-1,114200.0,-1,10200.0,1749383.0,2779000.0,210000.0,52407.0,-1.0,66867.0,64000.0,-1,97000.0,16655.0,1003606.0,413350.0,272600.0,-1.0,1800.0,163240.0,-1.0,100.0,87270.0,1000000.0,12000.0,80165.0,630000.0,38511104.0,13797.0,21700.0,5300.0,26000.0,3880.0,1214904.0,250.0,524000.0,20900.0,134790.0,17998.0,680.0,159410.0,5297300.0,48400.0,398000.0,178000.0,4000.0,-1.0,1000.0,1297.0,7648.0,182400.0,13500.0,400000.0,74840.0,122350.0,77000.0,9452.0,22800.0,172000.0,1864.0,-1,54000.0
1977,4100.0,733.0,777609.0,80000.0,3440.0,4864000.0,31896.0,3601700.0,50.0,5992090.0,561100.0,243000.0,1264060.0,-1.0,8359570.0,80.0,206000.0,18300.0,458.0,10027652.0,45000.0,11692.0,440.0,1235.0,34303.0,92038.0,8302.0,12085.0,570.0,63300.0,1175265.0,-1.0,40036.0,-1.0,247060.0,289.0,9312.0,16800.0,782285.0,56840.0,-1.0,436652.0,1600.0,-1.0,36268342.0,-1.0,337225.0,2833.0,-1.0,35460.0,80000.0,-1.0,1300.0,46.0,-1.0,27908.0,11100.0,15550.0,80.0,6700.0,35490000.0,-1.0,24500.0,19600.0,8750000.0,33600.0,69315.0,134356.0,20000.0,24555.0,2200.0,723000.0,10300.0,-1,112591.0,-1,8900.0,1899100.0,2757000.0,210000.0,63485.0,-1.0,165809.0,67900.0,-1,136000.0,17184.0,910150.0,403790.0,276800.0,-1.0,4400.0,151760.0,-1.0,150.0,90600.0,1000000.0,13000.0,71035.0,650000.0,40282608.0,12460.0,23000.0,6200.0,26500.0,3900.0,1230041.0,300.0,546000.0,19800.0,107054.0,24347.0,680.0,180464.0,5468700.0,49700.0,409000.0,178000.0,4000.0,-1.0,600.0,1940.0,7527.0,185764.0,18000.0,410000.0,92038.0,109980.0,129000.0,11762.0,22200.0,246000.0,1900.0,-1,57950.0
1978,4200.0,186.0,752308.0,85000.0,2630.0,5010500.0,35000.0,3560700.0,50.0,5623515.0,578500.0,258000.0,1262650.0,-1.0,8929170.0,80.0,194000.0,18400.0,577.0,10101807.0,47000.0,11837.0,350.0,1311.0,32933.0,91434.0,8336.0,11469.0,260.0,91487.0,1133000.0,-1.0,51614.0,-1.0,257940.0,159.0,8824.0,50000.0,839425.0,58380.0,-1.0,434968.0,1700.0,-1.0,35173502.0,-1.0,434265.0,2410.0,-1.0,32640.0,60000.0,-1.0,1300.0,36.0,-1.0,23938.0,11300.0,16000.0,80.0,7500.0,34421008.0,-1.0,28070.0,24400.0,8935000.0,31800.0,63140.0,114274.0,15000.0,31879.0,3800.0,583000.0,10500.0,-1,102500.0,-1,9100.0,2025600.0,2548000.0,210000.0,54717.0,-1.0,166148.0,68292.0,-1,115000.0,16616.0,1201930.0,386200.0,278700.0,-1.0,9800.0,151733.0,-1.0,220.0,95000.0,1000000.0,14000.0,75747.0,657000.0,40482208.0,13895.0,25400.0,9000.0,27000.0,3500.0,1229750.0,380.0,580000.0,21700.0,81300.0,15526.0,680.0,121314.0,5462500.0,55200.0,428000.0,111675.0,4000.0,-1.0,1200.0,2663.0,5069.0,191148.0,12808.0,425000.0,91434.0,99110.0,123000.0,8400.0,22900.0,292000.0,1900.0,-1,70000.0
