,Costa Rica,Israel,Kenya,Peru,Morocco,Switzerland,Mexico,Malta,Romania,Italy,Syrian Arab Republic,Jordan,China,Tunisia,Greece,Zimbabwe,Lebanon,Uzbekistan,Cyprus,Occupied Palestinian Territory,Chile,Spain,Kazakhstan,United States of America,Iran (Islamic Republic of),France,Egypt,Algeria,"China, mainland",Turkey,Argentina,Lithuania
1971,-1.0,63682.0,-1.0,91200.0,42593.0,-1.0,-1.0,-1.0,-1.0,115167.0,-1.0,-1.0,-1.0,65657.0,96628.0,-1.0,128478.0,-1.0,110000.0,-1.0,72500.0,92583.0,-1.0,80710.0,-1.0,81253.0,261905.0,89768.0,-1.0,80000.0,184565.0,-1.0
1972,-1.0,61438.0,-1.0,89450.0,41667.0,-1.0,-1.0,-1.0,-1.0,120580.0,-1.0,-1.0,-1.0,69167.0,104002.0,-1.0,125000.0,-1.0,97633.0,-1.0,68421.0,116284.0,-1.0,71694.0,-1.0,79612.0,285714.0,61033.0,-1.0,72727.0,190421.0,-1.0
1973,-1.0,56034.0,-1.0,98000.0,41667.0,-1.0,-1.0,-1.0,-1.0,112008.0,-1.0,40000.0,-1.0,49524.0,127385.0,-1.0,119608.0,-1.0,88594.0,-1.0,68750.0,114291.0,-1.0,56044.0,-1.0,74266.0,190476.0,84614.0,-1.0,80000.0,187841.0,-1.0
1974,-1.0,66667.0,-1.0,92971.0,46552.0,-1.0,-1.0,-1.0,-1.0,119522.0,-1.0,-1.0,-1.0,52273.0,127549.0,-1.0,125077.0,-1.0,90391.0,-1.0,68750.0,112910.0,-1.0,72848.0,-1.0,73540.0,357143.0,72073.0,-1.0,78571.0,187907.0,-1.0
1975,-1.0,118750.0,-1.0,68828.0,46552.0,-1.0,-1.0,-1.0,-1.0,126577.0,-1.0,-1.0,-1.0,61765.0,106633.0,-1.0,120000.0,-1.0,63342.0,-1.0,71429.0,117306.0,-1.0,80654.0,-1.0,62914.0,333333.0,62803.0,-1.0,80000.0,190174.0,-1.0
1976,-1.0,58222.0,-1.0,69310.0,46667.0,-1.0,-1.0,-1.0,-1.0,128481.0,-1.0,50000.0,-1.0,54167.0,82718.0,-1.0,120000.0,-1.0,67157.0,-1.0,70000.0,105581.0,-1.0,85219.0,-1.0,56841.0,234181.0,72619.0,-1.0,78947.0,177305.0,-1.0
1977,-1.0,73846.0,-1.0,63944.0,46774.0,-1.0,-1.0,-1.0,-1.0,111755.0,-1.0,125000.0,-1.0,59574.0,82715.0,-1.0,120000.0,-1.0,67747.0,-1.0,70588.0,102327.0,-1.0,73990.0,-1.0,76735.0,200719.0,55352.0,-1.0,80000.0,185000.0,-1.0
1978,-1.0,71031.0,-1.0,61429.0,48387.0,-1.0,-1.0,-1.0,-1.0,117267.0,-1.0,-1.0,-1.0,53571.0,107146.0,-1.0,130000.0,-1.0,203743.0,-1.0,68966.0,140634.0,-1.0,59443.0,-1.0,68420.0,248714.0,62284.0,-1.0,77500.0,185069.0,-1.0
1979,-1.0,64516.0,-1.0,63233.0,50794.0,-1.0,-1.0,-1.0,-1.0,82750.0,-1.0,-1.0,-1.0,80000.0,98545.0,-1.0,130000.0,-1.0,202189.0,-1.0,78261.0,114248.0,-1.0,100887.0,-1.0,71738.0,179384.0,58857.0,-1.0,60000.0,185333.0,-1.0
1980,-1.0,58000.0,-1.0,68750.0,52381.0,-1.0,50000.0,-1.0,-1.0,111860.0,-1.0,-1.0,-1.0,81250.0,128098.0,-1.0,130000.0,-1.0,184740.0,-1.0,75000.0,131598.0,-1.0,114411.0,-1.0,70749.0,146465.0,52142.0,-1.0,70000.0,196656.0,-1.0
1981,-1.0,54000.0,-1.0,81487.0,53125.0,-1.0,40000.0,-1.0,-1.0,98180.0,-1.0,-1.0,-1.0,62069.0,129408.0,-1.0,116667.0,-1.0,179728.0,-1.0,75000.0,103891.0,-1.0,146492.0,-1.0,68649.0,182045.0,41731.0,-1.0,82547.0,202970.0,-1.0
1982,-1.0,83333.0,-1.0,74752.0,107143.0,-1.0,60000.0,-1.0,-1.0,107682.0,-1.0,-1.0,-1.0,71429.0,95957.0,-1.0,116667.0,-1.0,175172.0,-1.0,75000.0,112719.0,-1.0,113702.0,-1.0,60276.0,169439.0,27910.0,-1.0,55928.0,201285.0,-1.0
1983,-1.0,66452.0,-1.0,76244.0,125000.0,-1.0,120000.0,-1.0,-1.0,103996.0,-1.0,50000.0,-1.0,80000.0,95100.0,-1.0,125000.0,-1.0,182320.0,-1.0,76667.0,109745.0,-1.0,84485.0,-1.0,52113.0,206349.0,51588.0,-1.0,57692.0,202187.0,-1.0
1984,-1.0,69630.0,-1.0,79175.0,111111.0,-1.0,-1.0,-1.0,-1.0,99099.0,-1.0,-1.0,-1.0,84615.0,90497.0,-1.0,130000.0,-1.0,180749.0,-1.0,81010.0,112737.0,-1.0,99660.0,-1.0,55035.0,202381.0,52060.0,-1.0,78947.0,184545.0,-1.0
1985,-1.0,82083.0,-1.0,80252.0,112500.0,-1.0,27778.0,-1.0,-1.0,85008.0,-1.0,-1.0,-1.0,81481.0,95349.0,-1.0,133333.0,-1.0,204082.0,-1.0,80999.0,99385.0,-1.0,124642.0,-1.0,40889.0,195238.0,38750.0,-1.0,83333.0,199479.0,-1.0
1986,-1.0,77778.0,-1.0,82155.0,111111.0,-1.0,13043.0,-1.0,-1.0,99420.0,-1.0,-1.0,-1.0,86667.0,108310.0,-1.0,129032.0,-1.0,204082.0,-1.0,85929.0,138846.0,-1.0,88246.0,-1.0,50571.0,223810.0,54036.0,-1.0,85714.0,185000.0,-1.0
1987,-1.0,69697.0,-1.0,88279.0,128000.0,-1.0,33452.0,-1.0,-1.0,92281.0,-1.0,-1.0,-1.0,85294.0,94636.0,-1.0,135135.0,-1.0,204082.0,-1.0,85125.0,133491.0,-1.0,122574.0,-1.0,27615.0,210317.0,43650.0,-1.0,89655.0,200000.0,-1.0
1988,-1.0,58737.0,-1.0,90244.0,130000.0,-1.0,68588.0,-1.0,-1.0,103996.0,-1.0,-1.0,-1.0,88235.0,123077.0,-1.0,142857.0,-1.0,204082.0,-1.0,84698.0,138842.0,-1.0,117441.0,-1.0,61753.0,178571.0,47695.0,-1.0,91667.0,200000.0,-1.0
1989,-1.0,101500.0,-1.0,92095.0,135426.0,-1.0,49552.0,-1.0,-1.0,94727.0,187500.0,50000.0,-1.0,84375.0,114074.0,-1.0,155556.0,-1.0,233333.0,-1.0,75000.0,150346.0,-1.0,127366.0,-1.0,60131.0,282313.0,65085.0,-1.0,102667.0,200000.0,-1.0
1990,-1.0,107720.0,-1.0,83774.0,127507.0,-1.0,71842.0,-1.0,-1.0,101096.0,172222.0,-1.0,-1.0,80000.0,104916.0,71429.0,160000.0,-1.0,193333.0,-1.0,75002.0,137588.0,-1.0,125895.0,125000.0,64453.0,242703.0,53419.0,-1.0,114416.0,200000.0,-1.0
1991,-1.0,48584.0,-1.0,88039.0,154794.0,-1.0,50700.0,-1.0,-1.0,115741.0,100000.0,-1.0,-1.0,60000.0,108000.0,104227.0,160360.0,-1.0,196552.0,-1.0,75000.0,132243.0,-1.0,137968.0,128165.0,68428.0,252364.0,42369.0,-1.0,125858.0,195654.0,-1.0
1992,-1.0,48278.0,-1.0,88596.0,121761.0,-1.0,79661.0,-1.0,-1.0,103892.0,114574.0,-1.0,26667.0,72289.0,123704.0,108596.0,162517.0,120000.0,234483.0,-1.0,75002.0,142070.0,-1.0,128906.0,130631.0,58742.0,198333.0,86227.0,26667.0,108814.0,197297.0,-1.0
1993,-1.0,60857.0,-1.0,89818.0,118056.0,-1.0,71316.0,-1.0,-1.0,96604.0,114140.0,-1.0,28104.0,71038.0,115000.0,133333.0,169643.0,107825.0,214286.0,-1.0,75000.0,141568.0,-1.0,123387.0,133108.0,54289.0,147368.0,77333.0,28104.0,119048.0,194999.0,-1.0
1994,-1.0,76923.0,-1.0,111452.0,124176.0,-1.0,73462.0,-1.0,-1.0,103574.0,115419.0,-1.0,30000.0,89474.0,113478.0,114373.0,168421.0,102696.0,181818.0,-1.0,75002.0,129908.0,-1.0,145833.0,135597.0,53522.0,145000.0,84881.0,30000.0,116000.0,194737.0,-1.0
1995,-1.0,93782.0,-1.0,94050.0,155830.0,-1.0,93965.0,-1.0,-1.0,100872.0,107143.0,-1.0,31095.0,93617.0,113182.0,115689.0,173529.0,97886.0,169697.0,-1.0,70190.0,136250.0,-1.0,103134.0,138097.0,45464.0,135685.0,83360.0,31095.0,120000.0,192308.0,-1.0
1996,-1.0,122996.0,-1.0,131930.0,105233.0,-1.0,79452.0,-1.0,-1.0,90421.0,119748.0,-1.0,32000.0,81395.0,111739.0,116561.0,169892.0,90707.0,175758.0,-1.0,72627.0,145759.0,-1.0,112077.0,140609.0,55514.0,181254.0,74903.0,32000.0,117647.0,193091.0,-1.0
1997,-1.0,109600.0,-1.0,95234.0,127895.0,-1.0,105955.0,-1.0,-1.0,109877.0,120317.0,-1.0,34102.0,93750.0,100000.0,117085.0,150000.0,88889.0,156250.0,37143.0,72046.0,148563.0,-1.0,112062.0,143133.0,54676.0,180579.0,81931.0,34102.0,116667.0,192949.0,-1.0
1998,-1.0,83929.0,-1.0,105560.0,111638.0,-1.0,120000.0,81818.0,-1.0,99713.0,109976.0,-1.0,33333.0,85185.0,96970.0,117405.0,130000.0,93832.0,193939.0,-1.0,77496.0,143314.0,-1.0,100763.0,145668.0,62607.0,170563.0,83905.0,33333.0,115217.0,192865.0,-1.0
1999,50000.0,71689.0,-1.0,110000.0,130855.0,-1.0,121453.0,80971.0,75000.0,92675.0,106430.0,-1.0,44615.0,67857.0,106139.0,117396.0,110000.0,100000.0,212121.0,-1.0,77245.0,153931.0,-1.0,128539.0,148216.0,57078.0,182447.0,81438.0,44615.0,118037.0,188889.0,-1.0
2000,50000.0,72991.0,-1.0,112533.0,131864.0,-1.0,119520.0,80870.0,84052.0,102012.0,131250.0,-1.0,41333.0,66667.0,110714.0,117278.0,100000.0,100000.0,194375.0,-1.0,77047.0,147634.0,100000.0,128933.0,150776.0,53798.0,192659.0,95362.0,41333.0,118256.0,192343.0,-1.0
2001,50000.0,74938.0,-1.0,164769.0,139937.0,-1.0,120735.0,80857.0,86868.0,94214.0,121189.0,-1.0,45000.0,69231.0,116667.0,117109.0,100000.0,100000.0,193750.0,-1.0,77031.0,148267.0,100000.0,140000.0,153350.0,50828.0,186124.0,109679.0,45000.0,118437.0,192291.0,-1.0
2002,50000.0,79125.0,-1.0,168795.0,135576.0,-1.0,125427.0,80718.0,89660.0,90185.0,124209.0,-1.0,47785.0,62000.0,106452.0,116893.0,274648.0,100000.0,193548.0,-1.0,76471.0,150043.0,100000.0,128825.0,155936.0,64848.0,194896.0,107653.0,47785.0,112500.0,186957.0,-1.0
2003,50000.0,75193.0,71429.0,154313.0,161122.0,-1.0,74140.0,80076.0,92431.0,78496.0,126985.0,-1.0,50000.0,57778.0,107407.0,116670.0,204225.0,100000.0,180000.0,-1.0,77027.0,160513.0,100000.0,157113.0,158535.0,48117.0,191543.0,124004.0,50000.0,112000.0,187234.0,-1.0
2004,50000.0,84179.0,75000.0,149258.0,167769.0,100000.0,126596.0,76923.0,95165.0,97703.0,123529.0,-1.0,53897.0,60000.0,112953.0,117647.0,100000.0,100000.0,135647.0,-1.0,76250.0,165481.0,100000.0,123092.0,161150.0,58118.0,194244.0,152171.0,53897.0,120377.0,193602.0,-1.0
2005,40000.0,115988.0,70833.0,160165.0,145808.0,100000.0,97696.0,80593.0,97831.0,93757.0,127350.0,-1.0,60000.0,57692.0,105441.0,117384.0,90000.0,100000.0,156400.0,-1.0,76190.0,106500.0,100000.0,123188.0,160494.0,49267.0,200000.0,130848.0,60000.0,138462.0,194551.0,-1.0
2006,40000.0,118822.0,75000.0,167406.0,173780.0,120000.0,97654.0,83929.0,100413.0,93080.0,124000.0,-1.0,59256.0,72072.0,109935.0,116667.0,83333.0,107692.0,157811.0,-1.0,76744.0,126109.0,100000.0,96761.0,166472.0,51930.0,215385.0,149416.0,59256.0,120714.0,195851.0,100000.0
2007,50000.0,80815.0,66667.0,172572.0,145063.0,40000.0,94373.0,84933.0,102899.0,94629.0,125629.0,-1.0,60731.0,79832.0,106955.0,121377.0,109091.0,111111.0,174615.0,-1.0,76061.0,130972.0,100000.0,123136.0,176829.0,47791.0,215849.0,126067.0,60731.0,120739.0,191489.0,100000.0
2008,50000.0,80725.0,60927.0,172783.0,145738.0,7500.0,126219.0,89063.0,110000.0,96805.0,126250.0,-1.0,62996.0,78261.0,118333.0,122654.0,108596.0,113333.0,240450.0,-1.0,75957.0,126730.0,100000.0,145758.0,171831.0,47374.0,230221.0,148824.0,62996.0,121067.0,205098.0,100000.0
2009,50000.0,83421.0,50000.0,180543.0,138030.0,3333.0,107910.0,86228.0,110000.0,95987.0,190636.0,-1.0,65285.0,74419.0,105556.0,123976.0,93750.0,200000.0,192061.0,-1.0,75915.0,127781.0,100000.0,140115.0,174496.0,59627.0,249511.0,145136.0,65285.0,120203.0,212427.0,100000.0
2010,50000.0,1648524.0,52854.0,185927.0,122402.0,9757.0,122256.0,87000.0,109023.0,95410.0,178884.0,-1.0,64000.0,77778.0,107576.0,125278.0,98671.0,220000.0,199669.0,-1.0,75253.0,113175.0,100000.0,134674.0,177175.0,56475.0,241928.0,152898.0,64000.0,121125.0,220402.0,100000.0
2011,50000.0,3746495.0,50000.0,190643.0,155785.0,10000.0,131942.0,88514.0,111118.0,95720.0,171820.0,-1.0,68182.0,78261.0,172727.0,126519.0,108489.0,240000.0,195191.0,-1.0,74847.0,120259.0,100000.0,151299.0,178947.0,64675.0,213653.0,124489.0,68182.0,123926.0,228845.0,100000.0
2012,49494.0,5694000.0,56000.0,179536.0,167292.0,10000.0,162896.0,90649.0,113208.0,102512.0,124771.0,-1.0,64167.0,65455.0,158000.0,136364.0,110907.0,244080.0,185538.0,-1.0,76039.0,124915.0,150000.0,162847.0,180000.0,54042.0,216655.0,128736.0,64167.0,123742.0,265000.0,100000.0
2013,48541.0,5359581.0,56000.0,192998.0,178014.0,12500.0,116491.0,80706.0,116711.0,97499.0,124771.0,-1.0,64167.0,72000.0,161111.0,136364.0,108952.0,229412.0,179483.0,37143.0,76548.0,130037.0,200000.0,151568.0,185390.0,50246.0,203912.0,186436.0,64167.0,123687.0,245713.0,100000.0
2014,48693.0,4384601.0,50000.0,195365.0,169222.0,12500.0,118240.0,83424.0,119672.0,97214.0,130518.0,-1.0,66984.0,49351.0,60266.0,129614.0,106997.0,247686.0,184103.0,37143.0,76008.0,134319.0,245518.0,145932.0,188152.0,49778.0,210482.0,172383.0,66984.0,125731.0,221664.0,100000.0
