,Iraq,"China, Taiwan Province of",United Arab Emirates,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Lao People's Democratic Republic,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Republic of Korea,Melanesia,Australia & New Zealand,Barbados,Guatemala,French Polynesia,El Salvador,American Samoa,Haiti,Ukraine,Guinea,Israel,Fiji,Wallis and Futuna Islands,Kuwait,Switzerland,Uruguay,Azerbaijan,Egypt,Sudan (former),China,Colombia,Libya,Lebanon,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Guam,Portugal,Brazil,Micronesia,"China, mainland",Costa Rica,Peru,Yemen,Cameroon,Grenada,Malta,Dominican Republic,South Sudan,Namibia,Denmark,Canada,Japan,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Belize,France,United States of America,Bangladesh,Sudan,Djibouti,Pakistan,Czechoslovakia,Cuba,Czechia,Argentina,Paraguay,Democratic People's Republic of Korea,India,Guadeloupe,Austria,Niger,Morocco,Qatar,Mexico,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Albania,Slovakia,Jamaica,Solomon Islands,Italy,Polynesia,Réunion,Panama,Ghana,Netherlands,Oman,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,83282.0,36561.0,-1.0,-1.0,2000.0,180000.0,-1.0,1500.0,-1.0,-1.0,83521.0,-1.0,150000.0,37137.0,600.0,11000.0,-1.0,-1.0,45.0,8500.0,-1.0,2100.0,-1.0,-1.0,25300.0,300.0,50.0,1500.0,-1.0,500.0,-1.0,252411.0,8000.0,2296561.0,5700.0,2500.0,1500.0,-1.0,160000.0,24242.0,-1,-1.0,5316.0,-1.0,26400.0,7878.0,-1.0,2260000.0,-1.0,5000.0,-1.0,-1.0,-1.0,1329.0,300.0,-1.0,-1.0,1000.0,2946.0,65000.0,15700.0,10800.0,-1.0,6604.0,-1.0,593144.0,200.0,700.0,-1.0,163530.0,638973.0,100000.0,-1.0,-1.0,74000.0,7700.0,18000.0,-1.0,39500.0,16500.0,18000.0,130000.0,600.0,-1,-1.0,30000.0,-1.0,94667.0,154800.0,1094.0,396.0,30000.0,-1.0,28000.0,-1.0,-1.0,-1.0,300.0,239600.0,95.0,-1.0,53.0,-1.0,5330.0,-1.0,1133000.0,-1.0,-1
1962,84423.0,29701.0,-1.0,-1.0,2000.0,208452.0,-1.0,1500.0,-1.0,-1.0,79627.0,-1.0,155000.0,40769.0,710.0,11050.0,-1.0,-1.0,46.0,8600.0,-1.0,2200.0,-1.0,-1.0,25200.0,400.0,50.0,1750.0,-1.0,600.0,-1.0,311187.0,8000.0,1759701.0,5800.0,2100.0,2200.0,-1.0,166000.0,26082.0,-1,-1.0,7485.0,-1.0,25800.0,4034.0,-1.0,1730000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2000.0,300.0,-1.0,-1.0,1000.0,2041.0,75000.0,15700.0,10800.0,-1.0,8128.0,-1.0,556710.0,250.0,7.0,-1.0,160080.0,661334.0,100000.0,-1.0,-1.0,80000.0,6730.0,16000.0,-1.0,40900.0,16600.0,19000.0,135000.0,750.0,-1,-1.0,32000.0,-1.0,186694.0,115500.0,1301.0,408.0,31000.0,-1.0,38000.0,-1.0,-1.0,-1.0,310.0,235800.0,96.0,-1.0,55.0,-1.0,5073.0,-1.0,1188000.0,-1.0,-1
1963,92321.0,34364.0,-1.0,-1.0,2000.0,128074.0,-1.0,1600.0,-1.0,-1.0,90949.0,-1.0,160000.0,38804.0,820.0,11550.0,-1.0,-1.0,47.0,8700.0,-1.0,2300.0,-1.0,-1.0,22000.0,500.0,50.0,2000.0,-1.0,800.0,-1.0,351818.0,8500.0,1579364.0,5900.0,1600.0,2700.0,-1.0,172000.0,39911.0,-1,-1.0,8664.0,-1.0,30000.0,3790.0,-1.0,1545000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2320.0,350.0,-1.0,-1.0,1400.0,2043.0,86700.0,16600.0,11250.0,-1.0,8382.0,-1.0,623499.0,300.0,8.0,-1.0,155210.0,667140.0,100000.0,-1.0,-1.0,73000.0,4580.0,16974.0,-1.0,44600.0,16800.0,20000.0,140000.0,750.0,-1,-1.0,35000.0,-1.0,184326.0,220100.0,1546.0,436.0,45400.0,-1.0,28000.0,-1.0,-1.0,-1.0,320.0,279300.0,97.0,-1.0,57.0,-1.0,4723.0,-1.0,1202000.0,-1.0,-1
1964,120434.0,29366.0,-1.0,-1.0,2000.0,117184.0,-1.0,1400.0,-1.0,-1.0,114346.0,-1.0,165000.0,49438.0,1030.0,11970.0,-1.0,-1.0,48.0,8800.0,-1.0,2320.0,-1.0,-1.0,27600.0,700.0,50.0,2000.0,-1.0,1000.0,-1.0,327682.0,8500.0,1409366.0,6000.0,1400.0,3200.0,-1.0,180000.0,32858.0,-1,-1.0,9800.0,-1.0,29300.0,4082.0,-1.0,1380000.0,-1.0,5000.0,-1.0,-1.0,-1.0,1866.0,400.0,-1.0,-1.0,1500.0,1826.0,97900.0,17500.0,11700.0,-1.0,7112.0,-1.0,642364.0,270.0,8.0,-1.0,145930.0,611167.0,100000.0,-1.0,-1.0,76000.0,7180.0,15241.0,-1.0,44400.0,17000.0,21000.0,150000.0,750.0,-1,-1.0,47000.0,-1.0,188475.0,169800.0,2148.0,450.0,49500.0,-1.0,24000.0,-1.0,-1.0,-1.0,330.0,267000.0,98.0,-1.0,58.0,-1.0,5182.0,-1.0,1320000.0,-1.0,-1
1965,138076.0,28829.0,-1.0,-1.0,2000.0,142423.0,-1.0,1700.0,-1.0,-1.0,99111.0,-1.0,170000.0,53274.0,940.0,11520.0,-1.0,-1.0,49.0,8900.0,-1.0,2324.0,-1.0,-1.0,30600.0,600.0,50.0,2500.0,-1.0,1200.0,-1.0,350455.0,8500.0,1478829.0,6100.0,2300.0,3500.0,-1.0,188880.0,22856.0,-1,-1.0,8700.0,-1.0,17500.0,4294.0,-1.0,1450000.0,-1.0,5000.0,-1.0,-1.0,-1.0,2133.0,437.0,-1.0,-1.0,1200.0,2171.0,106900.0,18000.0,11250.0,-1.0,7112.0,-1.0,575200.0,270.0,8.0,-1.0,138320.0,586718.0,100000.0,-1.0,-1.0,71000.0,7570.0,32198.0,-1.0,42200.0,17300.0,20000.0,155000.0,800.0,-1,-1.0,78000.0,-1.0,261078.0,145700.0,1685.0,466.0,45000.0,-1.0,19000.0,-1.0,-1.0,-1.0,340.0,268300.0,99.0,-1.0,60.0,-1.0,5475.0,-1.0,1320000.0,-1.0,-1
1966,152562.0,39264.0,-1.0,-1.0,2000.0,39195.0,-1.0,1500.0,-1.0,-1.0,114266.0,-1.0,175000.0,59913.0,950.0,11960.0,-1.0,-1.0,50.0,9000.0,-1.0,2330.0,-1.0,-1.0,27200.0,600.0,50.0,2500.0,-1.0,1511.0,-1.0,332261.0,9000.0,1429264.0,6200.0,2300.0,2925.0,-1.0,171000.0,21699.0,-1,-1.0,13200.0,-1.0,20000.0,3946.0,-1.0,1390000.0,-1.0,5927.0,-1.0,-1.0,-1.0,1422.0,857.0,-1.0,-1.0,1210.0,1259.0,122300.0,18500.0,11700.0,-1.0,6604.0,8.0,633100.0,260.0,8.0,-1.0,148580.0,542539.0,100000.0,-1.0,-1.0,84000.0,6100.0,13332.0,-1.0,44300.0,17500.0,20500.0,165000.0,800.0,-1,-1.0,61187.0,-1.0,213425.0,194700.0,1175.0,443.0,12700.0,-1.0,25000.0,-1.0,-1.0,-1.0,350.0,250600.0,100.0,-1.0,62.0,-1.0,3795.0,-1.0,1400000.0,-1.0,-1
1967,156489.0,49772.0,3.0,-1.0,2000.0,138339.0,-1.0,1400.0,-1.0,-1.0,102000.0,-1.0,180000.0,68708.0,960.0,14605.0,-1.0,-1.0,51.0,9200.0,-1.0,2350.0,-1.0,-1.0,31500.0,600.0,60.0,3000.0,-1.0,2000.0,-1.0,303018.0,8800.0,1449772.0,6300.0,2300.0,1869.0,-1.0,167000.0,29174.0,-1,-1.0,15900.0,-1.0,22000.0,4603.0,-1.0,1400000.0,-1.0,4524.0,-1.0,-1.0,-1.0,1828.0,460.0,-1.0,-1.0,1232.0,1559.0,143800.0,20000.0,14400.0,-1.0,7112.0,10.0,566301.0,205.0,9.0,-1.0,167760.0,640288.0,100000.0,-1.0,-1.0,96000.0,2740.0,23232.0,-1.0,49300.0,17700.0,21000.0,180000.0,800.0,-1,-1.0,104737.0,-1.0,212391.0,163800.0,1000.0,482.0,18948.0,-1.0,25000.0,-1.0,-1.0,-1.0,360.0,295900.0,111.0,-1.0,64.0,-1.0,5041.0,-1.0,1393000.0,-1.0,-1
1968,174978.0,53777.0,20.0,-1.0,2000.0,183089.0,-1.0,1500.0,-1.0,-1.0,108308.0,-1.0,185000.0,74181.0,970.0,15500.0,-1.0,-1.0,52.0,9200.0,-1.0,2380.0,-1.0,-1.0,31200.0,600.0,60.0,3000.0,-1.0,2200.0,-1.0,283000.0,8800.0,1503777.0,6400.0,2500.0,896.0,-1.0,161000.0,17464.0,-1,-1.0,17399.0,-1.0,23600.0,4275.0,-1.0,1450000.0,-1.0,9441.0,-1.0,-1.0,-1.0,1817.0,511.0,-1.0,-1.0,1529.0,949.0,158700.0,20500.0,15300.0,-1.0,7112.0,12.0,639400.0,200.0,9.0,-1.0,171610.0,676847.0,110000.0,-1.0,-1.0,159000.0,4940.0,21462.0,-1.0,42900.0,17900.0,21500.0,183000.0,800.0,-1,-1.0,130000.0,-1.0,199968.0,121200.0,910.0,500.0,12000.0,-1.0,23000.0,-1.0,-1.0,-1.0,370.0,290000.0,112.0,-1.0,74.0,-1.0,5574.0,-1.0,1440000.0,-1.0,-1
1969,181351.0,52743.0,30.0,-1.0,2000.0,97840.0,-1.0,1600.0,-1.0,-1.0,93966.0,-1.0,190000.0,90976.0,880.0,15063.0,-1.0,-1.0,53.0,9225.0,-1.0,2400.0,-1.0,-1.0,30600.0,500.0,60.0,3500.0,-1.0,2500.0,-1.0,249000.0,9000.0,1552743.0,6500.0,2500.0,1419.0,-1.0,156000.0,22780.0,-1,-1.0,14746.0,-1.0,26000.0,4931.0,-1.0,1500000.0,-1.0,7870.0,-1.0,-1.0,-1.0,1415.0,608.0,-1.0,-1.0,1556.0,699.0,172000.0,21000.0,14863.0,-1.0,7112.0,15.0,599920.0,200.0,9.0,-1.0,175740.0,710685.0,110241.0,-1.0,-1.0,131000.0,4401.0,7821.0,-1.0,39500.0,18100.0,22000.0,190000.0,850.0,-1,-1.0,100000.0,-1.0,168500.0,117000.0,715.0,518.0,13600.0,-1.0,20000.0,-1.0,-1.0,-1.0,380.0,285200.0,113.0,-1.0,85.0,-1.0,3645.0,-1.0,1398856.0,-1.0,-1
1970,183301.0,58092.0,40.0,-1.0,2000.0,46538.0,-1.0,1800.0,-1.0,-1.0,100559.0,-1.0,195000.0,97581.0,790.0,13405.0,-1.0,-1.0,54.0,9660.0,-1.0,2450.0,-1.0,-1.0,27700.0,400.0,60.0,3500.0,-1.0,2772.0,-1.0,245000.0,9000.0,1113092.0,6600.0,2500.0,1406.0,-1.0,144000.0,13960.0,-1,-1.0,19160.0,-1.0,21020.0,5221.0,-1.0,1055000.0,-1.0,10109.0,-1.0,-1.0,-1.0,1413.0,500.0,-1.0,-1.0,1332.0,2303.0,192100.0,19600.0,13155.0,-1.0,6604.0,18.0,607800.0,250.0,9.0,-1.0,193490.0,690046.0,108839.0,-1.0,-1.0,125000.0,2434.0,7220.0,-1.0,45000.0,18200.0,22500.0,195000.0,850.0,-1,-1.0,100000.0,-1.0,163115.0,89600.0,1585.0,537.0,6627.0,-1.0,42100.0,-1.0,-1.0,-1.0,390.0,290000.0,114.0,-1.0,60.0,-1.0,3521.0,-1.0,1320000.0,-1.0,-1
