,Ukraine,Germany,Austria,Belarus,Morocco,Switzerland,USSR,Slovakia,Ecuador,Syrian Arab Republic,Egypt,Greece,Latvia,Lebanon,Peru,Occupied Palestinian Territory,Chile,Hungary,Spain,South Africa,France,Australia & New Zealand,Australia,Portugal,Martinique,Lithuania,Poland,Russian Federation,Argentina,Italy
1972,-1.0,15376.0,-1.0,-1.0,1700.0,-1.0,560000.0,-1.0,2520.0,181.0,4621.0,1200.0,-1.0,-1.0,1370.0,-1.0,-1.0,4127.0,5000.0,90000.0,-1.0,45600.0,45600.0,7096.0,-1,-1.0,84000.0,-1.0,370.0,9125.0
1973,-1.0,12682.0,-1.0,-1.0,1700.0,-1.0,494000.0,-1.0,2260.0,200.0,6301.0,962.0,-1.0,-1.0,1355.0,-1.0,-1.0,3518.0,3900.0,90000.0,-1.0,66600.0,66600.0,4648.0,-1,-1.0,75000.0,-1.0,300.0,7368.0
1974,-1.0,11375.0,-1.0,-1.0,1800.0,-1.0,437000.0,-1.0,2041.0,473.0,3361.0,800.0,-1.0,-1.0,1500.0,-1.0,-1.0,4121.0,3800.0,70000.0,-1.0,124591.0,124591.0,4901.0,-1,-1.0,86000.0,-1.0,200.0,6815.0
1975,-1.0,11920.0,-1.0,-1.0,1800.0,-1.0,413000.0,-1.0,1042.0,680.0,3361.0,700.0,-1.0,-1.0,1575.0,-1.0,4.0,4124.0,3000.0,30000.0,-1.0,139332.0,139332.0,5100.0,-1,-1.0,74714.0,-1.0,150.0,5834.0
1976,-1.0,12026.0,-1.0,-1.0,1900.0,-1.0,360000.0,-1.0,953.0,2070.0,4174.0,600.0,-1.0,-1.0,1685.0,-1.0,25.0,5857.0,2500.0,20000.0,-1.0,113218.0,113218.0,6100.0,-1,-1.0,76252.0,-1.0,120.0,5489.0
1977,-1.0,13960.0,-1.0,-1.0,1900.0,-1.0,355000.0,-1.0,380.0,1229.0,4043.0,600.0,-1.0,-1.0,2556.0,-1.0,500.0,5780.0,2400.0,20000.0,-1.0,80777.0,80777.0,5820.0,-1,-1.0,65496.0,-1.0,100.0,5106.0
1978,-1.0,12670.0,-1.0,-1.0,2000.0,-1.0,303000.0,-1.0,460.0,1160.0,2730.0,500.0,-1.0,-1.0,3709.0,-1.0,1700.0,6052.0,2220.0,20000.0,-1.0,67715.0,67715.0,6235.0,-1,-1.0,62373.0,-1.0,65.0,4528.0
1979,-1.0,12110.0,-1.0,-1.0,2200.0,-1.0,288000.0,-1.0,334.0,1084.0,2859.0,280.0,-1.0,-1.0,4500.0,-1.0,2000.0,6177.0,2050.0,20000.0,-1.0,105830.0,105830.0,4631.0,-1,-1.0,40668.0,-1.0,50.0,4543.0
1980,-1.0,12200.0,-1.0,-1.0,2300.0,-1.0,276000.0,-1.0,370.0,1200.0,4476.0,300.0,-1.0,-1.0,5236.0,-1.0,4000.0,6817.0,2200.0,20000.0,-1.0,117939.0,117939.0,5274.0,-1,-1.0,52478.0,-1.0,60.0,4633.0
1981,-1.0,12500.0,-1.0,-1.0,2400.0,-1.0,281000.0,-1.0,592.0,689.0,3856.0,200.0,-1.0,-1.0,6148.0,-1.0,7730.0,15392.0,2800.0,20000.0,-1.0,161137.0,161137.0,3727.0,-1,-1.0,35907.0,-1.0,50.0,4565.0
1982,-1.0,13510.0,-1.0,-1.0,2500.0,-1.0,268000.0,-1.0,681.0,621.0,3649.0,200.0,-1.0,-1.0,5060.0,-1.0,5000.0,10134.0,3100.0,20000.0,-1.0,256850.0,256850.0,5300.0,-1,-1.0,54474.0,-1.0,50.0,4222.0
1983,-1.0,13353.0,-1.0,-1.0,2600.0,-1.0,305000.0,-1.0,657.0,510.0,3800.0,300.0,-1.0,-1.0,4145.0,-1.0,6000.0,7549.0,2500.0,20000.0,-1.0,378868.0,378868.0,4600.0,-1,-1.0,88156.0,-1.0,50.0,4109.0
1984,-1.0,14336.0,-1.0,-1.0,2600.0,-1.0,287000.0,-1.0,785.0,175.0,4200.0,300.0,-1.0,-1.0,4252.0,-1.0,7000.0,6142.0,2769.0,20000.0,-1.0,593818.0,593818.0,294.0,-1,-1.0,114667.0,-1.0,50.0,3857.0
1985,-1.0,14027.0,-1.0,-1.0,2600.0,-1.0,218000.0,-1.0,834.0,391.0,6700.0,300.0,-1.0,-1.0,4250.0,-1.0,8080.0,5312.0,2724.0,20000.0,-1.0,587656.0,587656.0,245.0,-1,-1.0,118995.0,-1.0,50.0,3592.0
1986,-1.0,14439.0,-1.0,-1.0,2700.0,-1.0,186000.0,-1.0,1501.0,300.0,5040.0,200.0,-1.0,-1.0,4000.0,-1.0,7450.0,5279.0,3662.0,20000.0,-1.0,749630.0,749630.0,213.0,-1,-1.0,123713.0,-1.0,50.0,2971.0
1987,-1.0,13124.0,-1.0,-1.0,2800.0,-1.0,162000.0,-1.0,1253.0,190.0,3360.0,195.0,-1.0,-1.0,3862.0,-1.0,7140.0,3206.0,2941.0,20000.0,-1.0,1014931.0,1014931.0,204.0,-1,-1.0,116327.0,-1.0,50.0,3051.0
1988,-1.0,13075.0,-1.0,-1.0,3000.0,-1.0,140000.0,-1.0,4990.0,139.0,3520.0,171.0,-1.0,-1.0,3308.0,-1.0,6740.0,5403.0,2900.0,20000.0,2000.0,849833.0,849833.0,226.0,-1,-1.0,116408.0,-1.0,50.0,3044.0
1989,-1.0,15496.0,-1.0,-1.0,5000.0,-1.0,150000.0,-1.0,4960.0,11.0,3322.0,146.0,-1.0,-1.0,2706.0,-1.0,8570.0,5696.0,2700.0,20000.0,2200.0,810126.0,810126.0,170.0,-1,-1.0,132109.0,-1.0,50.0,2826.0
1990,-1.0,15200.0,-1.0,-1.0,5100.0,-1.0,77000.0,-1.0,3830.0,261.0,3191.0,153.0,-1.0,0.0,3840.0,-1.0,10370.0,2903.0,2200.0,18000.0,2441.0,792561.0,792561.0,57.0,-1,-1.0,103000.0,-1.0,50.0,3303.0
1991,-1.0,3000.0,-1.0,-1.0,5300.0,-1.0,61000.0,-1.0,3900.0,202.0,2914.0,193.0,-1.0,472.0,4367.0,-1.0,8270.0,2142.0,2400.0,15000.0,3686.0,938546.0,938546.0,30.0,-1,-1.0,113000.0,-1.0,60.0,2951.0
1992,-1.0,1000.0,-1.0,-1.0,5400.0,-1.0,-1.0,-1.0,4130.0,148.0,2979.0,153.0,-1.0,519.0,3723.0,-1.0,8510.0,1224.0,2000.0,14000.0,3695.0,1032473.0,1032473.0,42.0,-1,1100.0,120000.0,24100.0,60.0,3028.0
1993,-1.0,500.0,-1.0,-1.0,5300.0,-1.0,-1.0,-1.0,4400.0,26.0,3000.0,100.0,-1.0,500.0,4087.0,-1.0,12690.0,1156.0,3808.0,15000.0,3355.0,1150400.0,1150400.0,34.0,-1,1200.0,74000.0,17730.0,60.0,2791.0
1994,-1.0,200.0,-1.0,-1.0,5400.0,-1.0,-1.0,-1.0,7200.0,82.0,4121.0,100.0,-1.0,470.0,4351.0,-1.0,20740.0,1000.0,19300.0,13603.0,4100.0,1407000.0,1407000.0,23.0,-1,1081.0,55000.0,13200.0,60.0,3071.0
1995,-1.0,-1.0,-1.0,-1.0,7024.0,-1.0,-1.0,-1.0,5300.0,126.0,3732.0,100.0,-1.0,465.0,5172.0,-1.0,24839.0,800.0,19300.0,13000.0,3075.0,1323000.0,1323000.0,13.0,-1,1500.0,45000.0,19390.0,60.0,3070.0
1996,-1.0,-1.0,-1.0,-1.0,5500.0,-1.0,-1.0,-1.0,4532.0,138.0,3771.0,100.0,-1.0,475.0,6207.0,-1.0,17846.0,290.0,25100.0,16000.0,2196.0,1260000.0,1260000.0,8.0,-1,2000.0,45000.0,21780.0,60.0,3000.0
1997,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,4500.0,92.0,3115.0,100.0,-1.0,480.0,6407.0,15.0,15211.0,1498.0,15768.0,18000.0,2547.0,1425000.0,1425000.0,9.0,-1,1500.0,44000.0,18600.0,80.0,3019.0
1998,-1.0,-1.0,-1.0,-1.0,20650.0,-1.0,-1.0,-1.0,3500.0,84.0,2718.0,100.0,-1.0,468.0,6953.0,-1.0,19190.0,1926.0,14100.0,16300.0,3125.0,1406000.0,1406000.0,10.0,-1,4000.0,12595.0,14800.0,80.0,3156.0
1999,-1.0,-1.0,-1.0,-1.0,21000.0,-1.0,-1.0,-1.0,4100.0,51.0,2876.0,400.0,-1.0,470.0,7277.0,-1.0,18724.0,2291.0,14000.0,19000.0,4890.0,1347000.0,1347000.0,12.0,-1,1700.0,20221.0,13800.0,80.0,3137.0
2000,-1.0,-1.0,-1.0,-1.0,24775.0,-1.0,-1.0,-1.0,3744.0,59.0,2670.0,300.0,-1.0,480.0,8355.0,-1.0,22036.0,1425.0,15429.0,14705.0,11109.0,1180000.0,1180000.0,13.0,-1,1900.0,16331.0,12700.0,80.0,3300.0
2001,-1.0,-1.0,-1.0,-1.0,30178.0,-1.0,-1.0,-1.0,6500.0,49.0,2493.0,481.0,-1.0,490.0,9079.0,-1.0,16290.0,662.0,12360.0,14785.0,12552.0,1139000.0,1139000.0,15.0,-1,1500.0,14398.0,20400.0,80.0,3500.0
2002,-1.0,-1.0,-1.0,-1.0,34892.0,-1.0,-1.0,-1.0,2500.0,63.0,3752.0,400.0,-1.0,480.0,9264.0,-1.0,15540.0,283.0,17479.0,11000.0,13482.0,1025000.0,1025000.0,16.0,-1,1600.0,4464.0,21400.0,90.0,3176.0
2003,7600.0,45627.0,197.0,22299.0,38779.0,-1.0,-1.0,-1.0,4100.0,71.0,2413.0,300.0,100.0,450.0,8732.0,-1.0,15720.0,395.0,13832.0,10100.0,11103.0,850899.0,850899.0,17.0,-1,2000.0,8907.0,15100.0,90.0,3428.0
2004,7900.0,35818.0,203.0,35281.0,42636.0,-1.0,-1.0,-1.0,3508.0,25.0,2311.0,285.0,200.0,349.0,8374.0,-1.0,19150.0,204.0,15563.0,7100.0,8940.0,844633.0,844633.0,26.0,-1,2600.0,11621.0,21200.0,87.0,3030.0
2005,5800.0,38600.0,346.0,43272.0,46449.0,-1.0,-1.0,65.0,3720.0,30.0,1478.0,299.0,70.0,290.0,8712.0,-1.0,25300.0,208.0,13690.0,14100.0,7152.0,757000.0,757000.0,22.0,-1,4900.0,28903.0,19000.0,87.0,2500.0
2006,5400.0,32800.0,472.0,46782.0,50218.0,105.0,-1.0,1497.0,3750.0,23.0,1500.0,358.0,0.0,220.0,7468.0,-1.0,28490.0,306.0,9705.0,16000.0,6598.0,736351.0,736351.0,18.0,-1,11900.0,25423.0,12500.0,90.0,3500.0
2007,7200.0,25246.0,430.0,31942.0,-1.0,88.0,-1.0,516.0,3800.0,10.0,1574.0,378.0,100.0,145.0,7500.0,-1.0,21148.0,376.0,7452.0,14000.0,4854.0,752158.0,752158.0,15.0,-1,10300.0,41904.0,15300.0,90.0,3800.0
2008,8500.0,19869.0,174.0,35693.0,-1.0,68.0,-1.0,73.0,4000.0,15.0,1302.0,300.0,0.0,105.0,8048.0,-1.0,15250.0,272.0,5146.0,13110.0,2691.0,573300.0,573300.0,0.0,-1,7500.0,30670.0,12400.0,90.0,3400.0
2009,16700.0,19360.0,207.0,39306.0,-1.0,62.0,-1.0,49.0,3763.0,14.0,1482.0,300.0,58.0,70.0,9302.0,-1.0,10283.0,385.0,6761.0,10860.0,3228.0,483000.0,483000.0,0.0,-1,10400.0,35678.0,7500.0,94.0,3600.0
2010,42100.0,24100.0,194.0,25725.0,-1.0,59.0,-1.0,50.0,3723.0,17.0,1503.0,200.0,67.0,48.0,9303.0,-1.0,29887.0,25.0,6074.0,10579.0,6273.0,691800.0,691800.0,3.0,-1,9900.0,75689.0,9800.0,99.0,3426.0
2011,26600.0,21500.0,147.0,17665.0,-1.0,44.0,-1.0,65.0,3699.0,17.0,1531.0,50.0,79.0,62.0,9750.0,-1.0,23257.0,50.0,7736.0,10527.0,3491.0,755848.0,755848.0,5.0,-1,6000.0,52508.0,13500.0,102.0,3368.0
2012,21100.0,17900.0,98.0,20735.0,-1.0,49.0,-1.0,70.0,3666.0,13.0,764.0,259.0,100.0,50.0,9657.0,-1.0,21467.0,50.0,6700.0,10542.0,2553.0,689064.0,689064.0,6.0,-1,5100.0,49221.0,17800.0,110.0,3355.0
2013,13400.0,17400.0,91.0,14310.0,-1.0,66.0,-1.0,76.0,3633.0,10.0,508.0,180.0,30.0,51.0,9625.0,-1.0,19605.0,70.0,3600.0,10753.0,3065.0,450200.0,450200.0,6.0,-1,4300.0,64265.0,27058.0,100.0,3365.0
2014,15800.0,21400.0,110.0,13448.0,-1.0,77.0,-1.0,237.0,3601.0,2.0,546.0,350.0,230.0,53.0,9537.0,-1.0,11687.0,200.0,4704.0,10624.0,5257.0,387400.0,387400.0,6.0,-1,3300.0,80022.0,50355.0,105.0,3375.0
