,Burundi,"China, Taiwan Province of",Mozambique,Croatia,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Uganda,Bangladesh,Malawi,Melanesia,Yemen,Rwanda,Portugal,Australia & New Zealand,Yugoslav SFR,Guatemala,Mauritius,American Samoa,Senegal,Madagascar,Tajikistan,Ukraine,Algeria,Bhutan,Guinea,Israel,Zambia,Fiji,Belgium,Chad,United Arab Emirates,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,China,Uzbekistan,Colombia,Libya,Sweden,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Saint Vincent and the Grenadines,France,Togo,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Haiti,Paraguay,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Germany,Armenia,Dominican Republic,El Salvador,Benin,Canada,Japan,Pakistan,Iraq,Turkmenistan,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Thailand,Somalia,Czechoslovakia,Cuba,Turkey,Kyrgyzstan,Argentina,Cambodia,Timor-Leste,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Ethiopia PDR,Congo,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Viet Nam,Tunisia,Côte d'Ivoire,Mali,Albania,Slovakia,Jamaica,Solomon Islands,Trinidad and Tobago,Italy,Singapore,Polynesia,Sierra Leone,Samoa,Australia,Panama,Ghana,Oman,Angola,Nigeria,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,5000.0,20579.0,5521.0,-1.0,7957.0,3889.0,6586.0,7417.0,7372.0,27000.0,6986.0,-1.0,3832.0,-1.0,7108.0,11847.0,6014.0,6271.0,2922.0,17778.0,8077.0,9000.0,25000.0,13412.0,7519.0,7097.0,15508.0,10000.0,-1.0,7317.0,-1.0,-1.0,3311.0,-1.0,8000.0,5476.0,9301.0,19111.0,-1.0,-1.0,-1.0,22598.0,6138.0,9462.0,-1.0,4091.0,-1.0,7500.0,12460.0,-1.0,20603.0,13598.0,6333.0,9975.0,5134.0,-1.0,22898.0,10714.0,-1.0,-1.0,7939.0,-1.0,15742.0,5000.0,11062.0,12042.0,12258.0,-1.0,14000.0,11818.0,10000.0,6667.0,9280.0,11935.0,-1.0,6385.0,-1.0,6489.0,16110.0,-1.0,15454.0,15000.0,3121.0,17044.0,22147.0,15424.0,8151.0,-1.0,13749.0,4311.0,17600.0,18298.0,6667.0,5819.0,19684.0,6845.0,5000.0,7136.0,4200.0,10895.0,9025.0,7211.0,-1.0,10522.0,6507.0,6250.0,9613.0,-1.0,7656.0,12000.0,19060.0,4112.0,15000.0,5000.0,4667.0,15767.0,12756.0,9116.0,6335.0,11038.0,10565.0,3904.0,11340.0,12545.0,10262.0,2951.0,7527.0,2799.0,-1.0,11053.0,11111.0,6667.0,5406.0,14028.0,30000.0,-1.0,20000.0,12718.0,7228.0,3896.0,-1.0,4041.0,7017.0,3432.0,-1.0,26303.0
1962,6383.0,21376.0,5930.0,-1.0,8812.0,3889.0,6937.0,6741.0,8052.0,30000.0,7123.0,-1.0,4329.0,-1.0,7318.0,11815.0,6365.0,7277.0,3218.0,17778.0,8077.0,8103.0,25000.0,12304.0,7968.0,7097.0,12532.0,10000.0,-1.0,7636.0,-1.0,-1.0,6395.0,-1.0,7986.0,5284.0,10236.0,19111.0,-1.0,-1.0,-1.0,23009.0,6256.0,13083.0,-1.0,4000.0,-1.0,7576.0,12548.0,-1.0,20147.0,14122.0,16471.0,10000.0,3124.0,-1.0,24567.0,10032.0,-1.0,-1.0,7625.0,-1.0,18247.0,5000.0,8900.0,11935.0,12353.0,-1.0,12000.0,11818.0,13333.0,7000.0,9795.0,12059.0,-1.0,6830.0,-1.0,7024.0,17260.0,-1.0,11209.0,15714.0,3520.0,17364.0,21862.0,15497.0,6478.0,-1.0,13854.0,4232.0,16873.0,22245.0,7143.0,8906.0,21212.0,6039.0,5000.0,7108.0,3500.0,12242.0,6499.0,6012.0,-1.0,12356.0,6771.0,6250.0,10080.0,-1.0,8110.0,15000.0,17519.0,4204.0,16231.0,5000.0,4767.0,15556.0,12978.0,9781.0,6684.0,9617.0,11603.0,4396.0,12753.0,9023.0,9919.0,3119.0,8000.0,4619.0,-1.0,11012.0,11111.0,6667.0,13006.0,14808.0,30000.0,-1.0,20000.0,10549.0,8743.0,3911.0,-1.0,4944.0,7006.0,5180.0,-1.0,30502.0
1963,7000.0,20029.0,5677.0,-1.0,9562.0,3889.0,6948.0,5000.0,8259.0,30000.0,7067.0,-1.0,3084.0,-1.0,8787.0,9250.0,5872.0,7046.0,2437.0,18048.0,8163.0,7000.0,24889.0,12611.0,10227.0,6957.0,14592.0,10000.0,-1.0,7667.0,-1.0,-1.0,6460.0,-1.0,8000.0,3333.0,8355.0,19136.0,-1.0,-1.0,-1.0,21486.0,6307.0,14928.0,-1.0,4000.0,-1.0,7600.0,12797.0,-1.0,19034.0,9086.0,22115.0,9012.0,3917.0,-1.0,19767.0,13292.0,-1.0,-1.0,8813.0,-1.0,18056.0,5000.0,12700.0,21471.0,12632.0,-1.0,14000.0,11667.0,12500.0,7000.0,9695.0,11875.0,-1.0,5661.0,-1.0,7051.0,20428.0,-1.0,12239.0,15318.0,3309.0,19780.0,21614.0,15423.0,3057.0,-1.0,13424.0,4651.0,14971.0,18722.0,7143.0,8458.0,22334.0,6299.0,5000.0,7470.0,5300.0,13823.0,6836.0,5609.0,-1.0,13253.0,5750.0,6250.0,10289.0,-1.0,8420.0,15000.0,19970.0,4016.0,9871.0,5000.0,5000.0,13836.0,13099.0,10344.0,9684.0,8239.0,11533.0,1837.0,13891.0,7857.0,10011.0,3063.0,8000.0,6242.0,-1.0,11159.0,11000.0,7313.0,13423.0,13358.0,20000.0,-1.0,10000.0,11496.0,9320.0,2713.0,-1.0,5930.0,4673.0,6166.0,-1.0,29313.0
1964,6667.0,22305.0,3210.0,-1.0,8066.0,4444.0,6809.0,7407.0,8400.0,36000.0,7013.0,-1.0,3299.0,-1.0,9340.0,14099.0,6433.0,6895.0,3045.0,18048.0,8163.0,7000.0,20000.0,15253.0,10139.0,7021.0,15000.0,8000.0,-1.0,8399.0,-1.0,-1.0,9000.0,-1.0,8013.0,4782.0,10146.0,19136.0,-1.0,-1.0,-1.0,25007.0,6204.0,9529.0,-1.0,3917.0,-1.0,8333.0,13932.0,-1.0,19037.0,8976.0,21176.0,8889.0,5648.0,-1.0,33762.0,12953.0,-1.0,-1.0,9176.0,-1.0,21219.0,5000.0,13298.0,19388.0,13750.0,-1.0,13333.0,11667.0,12632.0,7414.0,10295.0,12121.0,-1.0,5400.0,-1.0,6579.0,19828.0,-1.0,14812.0,15245.0,3108.0,20155.0,25707.0,17052.0,8780.0,-1.0,13445.0,3169.0,13706.0,17886.0,7500.0,11404.0,23179.0,6600.0,5000.0,6035.0,2857.0,15717.0,6778.0,7118.0,-1.0,10995.0,6000.0,6250.0,11203.0,-1.0,8163.0,15000.0,20427.0,4634.0,13910.0,5172.0,3920.0,16494.0,13099.0,14994.0,10347.0,10433.0,10535.0,3899.0,12375.0,7375.0,9472.0,3338.0,8955.0,5555.0,-1.0,11651.0,11000.0,6875.0,14732.0,22081.0,18182.0,-1.0,18333.0,14720.0,8687.0,3102.0,-1.0,6768.0,6723.0,9100.0,-1.0,32240.0
1965,7027.0,20351.0,6135.0,-1.0,8582.0,4444.0,6009.0,7331.0,9063.0,32400.0,11827.0,-1.0,4373.0,-1.0,9503.0,13029.0,5750.0,6523.0,3336.0,18138.0,8253.0,7000.0,21765.0,13163.0,8787.0,7059.0,12347.0,10000.0,-1.0,8614.0,-1.0,-1.0,3727.0,-1.0,7975.0,5395.0,7195.0,19231.0,-1.0,-1.0,-1.0,19319.0,6231.0,9756.0,-1.0,4667.0,-1.0,10000.0,15112.0,-1.0,15792.0,12999.0,-1.0,8800.0,7389.0,-1.0,36263.0,8288.0,-1.0,-1.0,8839.0,-1.0,22983.0,5000.0,8008.0,12621.0,15008.0,-1.0,12857.0,11538.0,12500.0,7600.0,10444.0,12121.0,-1.0,5385.0,-1.0,6304.0,18400.0,-1.0,9750.0,17143.0,3360.0,20240.0,22312.0,16796.0,6847.0,-1.0,13911.0,4430.0,13706.0,18967.0,8000.0,10187.0,21296.0,8473.0,4857.0,5087.0,4000.0,9434.0,6269.0,5961.0,-1.0,10960.0,6034.0,6250.0,9216.0,-1.0,8782.0,15000.0,15561.0,4579.0,14412.0,5172.0,4390.0,16419.0,14406.0,13354.0,9183.0,11528.0,11490.0,3846.0,14581.0,6839.0,8044.0,2892.0,9091.0,5896.0,-1.0,11534.0,10909.0,6528.0,13261.0,22035.0,23846.0,-1.0,24444.0,11875.0,7709.0,2266.0,-1.0,8002.0,7465.0,4144.0,-1.0,27295.0
1966,7500.0,19771.0,6177.0,-1.0,7132.0,5000.0,6784.0,6238.0,8616.0,29654.0,11025.0,-1.0,4172.0,-1.0,8274.0,24254.0,5231.0,6190.0,3169.0,17925.0,8415.0,6800.0,18853.0,14615.0,8560.0,7037.0,10837.0,10000.0,-1.0,7829.0,-1.0,-1.0,5270.0,-1.0,7975.0,5235.0,10728.0,19231.0,-1.0,-1.0,100000.0,23938.0,6138.0,11721.0,-1.0,10451.0,-1.0,10833.0,16945.0,-1.0,16389.0,16622.0,-1.0,9465.0,5043.0,-1.0,20542.0,9106.0,-1.0,-1.0,7893.0,-1.0,22898.0,5000.0,1190.0,12435.0,16899.0,-1.0,12500.0,11538.0,12500.0,8000.0,13019.0,12121.0,-1.0,6643.0,-1.0,6509.0,19413.0,-1.0,10315.0,17143.0,3720.0,20160.0,22614.0,18868.0,3902.0,-1.0,14814.0,3799.0,15926.0,15163.0,9167.0,11286.0,21739.0,10283.0,4727.0,10602.0,4000.0,13660.0,9101.0,5762.0,-1.0,9351.0,5805.0,6250.0,9691.0,-1.0,7772.0,13846.0,17197.0,4426.0,11687.0,5172.0,5072.0,19750.0,14270.0,13598.0,10496.0,11900.0,11426.0,3668.0,10605.0,6432.0,9582.0,3392.0,10000.0,6619.0,-1.0,10604.0,10000.0,6800.0,13510.0,22075.0,26250.0,-1.0,27500.0,14496.0,10011.0,1794.0,5714.0,7806.0,6575.0,5124.0,-1.0,29827.0
1967,6500.0,17728.0,6179.0,-1.0,7524.0,5665.0,6200.0,5413.0,9312.0,32949.0,6625.0,-1.0,4152.0,-1.0,8915.0,19842.0,6120.0,8337.0,3362.0,17492.0,8415.0,8300.0,22153.0,15000.0,9250.0,9191.0,19344.0,10000.0,-1.0,8276.0,-1.0,-1.0,6771.0,-1.0,7975.0,5452.0,11624.0,19011.0,-1.0,-1.0,100000.0,26885.0,6466.0,11007.0,-1.0,7591.0,-1.0,10000.0,16979.0,-1.0,18478.0,13407.0,-1.0,9410.0,5743.0,-1.0,36710.0,12235.0,-1.0,-1.0,7556.0,-1.0,23755.0,5000.0,1060.0,18483.0,16964.0,-1.0,14000.0,11429.0,12500.0,9000.0,11429.0,12121.0,-1.0,8751.0,-1.0,6503.0,19957.0,-1.0,10953.0,15714.0,4520.0,16967.0,24124.0,19581.0,8884.0,-1.0,13289.0,4466.0,17333.0,12662.0,6094.0,11454.0,22981.0,11390.0,4600.0,12601.0,4000.0,17949.0,7401.0,6369.0,-1.0,10678.0,5463.0,6250.0,10986.0,-1.0,8345.0,15385.0,20375.0,3399.0,10911.0,5000.0,5519.0,17560.0,14097.0,16139.0,8827.0,8683.0,10956.0,4015.0,15003.0,9297.0,9790.0,2865.0,10000.0,6672.0,-1.0,10604.0,10833.0,8112.0,16151.0,22360.0,30526.0,-1.0,29333.0,15510.0,11686.0,3423.0,7143.0,7785.0,6521.0,5031.0,-1.0,30751.0
1968,6667.0,18530.0,6654.0,-1.0,8417.0,5000.0,6932.0,7806.0,9360.0,38710.0,7529.0,-1.0,3971.0,-1.0,7997.0,11620.0,6277.0,8631.0,3988.0,17536.0,8415.0,7273.0,22136.0,13414.0,7698.0,9975.0,18015.0,10000.0,-1.0,8529.0,-1.0,-1.0,6705.0,-1.0,7975.0,6140.0,11273.0,18660.0,-1.0,-1.0,98684.0,23871.0,6910.0,7180.0,-1.0,4901.0,-1.0,10400.0,21081.0,-1.0,18455.0,14767.0,-1.0,9191.0,6780.0,-1.0,33035.0,12893.0,-1.0,-1.0,12404.0,-1.0,25322.0,5000.0,1600.0,17927.0,21152.0,-1.0,15000.0,11429.0,12022.0,9000.0,11333.0,12121.0,-1.0,10204.0,-1.0,7677.0,19388.0,-1.0,8991.0,15714.0,5006.0,18184.0,23475.0,18466.0,10537.0,-1.0,13489.0,3995.0,18462.0,13522.0,8901.0,10162.0,21802.0,10992.0,4500.0,10277.0,4000.0,16507.0,7801.0,5956.0,-1.0,10580.0,6343.0,6500.0,11789.0,-1.0,8706.0,13333.0,21137.0,2643.0,9299.0,5294.0,4915.0,18012.0,13636.0,16205.0,9047.0,4873.0,12093.0,2942.0,16574.0,9355.0,10011.0,2841.0,8333.0,5364.0,-1.0,11342.0,10308.0,12262.0,14306.0,22379.0,31364.0,-1.0,30556.0,13390.0,13317.0,3289.0,7143.0,7642.0,6423.0,6061.0,-1.0,32285.0
1969,7273.0,17159.0,6883.0,-1.0,7954.0,5000.0,6362.0,8302.0,9694.0,38000.0,7586.0,-1.0,3995.0,-1.0,7479.0,24089.0,4837.0,8884.0,3727.0,10020.0,8540.0,7500.0,19867.0,16514.0,8683.0,11814.0,17510.0,10000.0,13333.0,8793.0,-1.0,-1.0,6106.0,-1.0,7975.0,6553.0,9158.0,10024.0,-1.0,-1.0,100000.0,24845.0,6936.0,8766.0,-1.0,6081.0,-1.0,13000.0,19372.0,-1.0,18542.0,16608.0,-1.0,10029.0,6311.0,-1.0,31328.0,13395.0,-1.0,-1.0,11118.0,-1.0,22606.0,5000.0,2460.0,19654.0,19439.0,-1.0,17273.0,11333.0,12000.0,10000.0,8902.0,12121.0,-1.0,5878.0,-1.0,6727.0,20281.0,-1.0,11906.0,17154.0,5742.0,20894.0,22805.0,19290.0,6341.0,-1.0,12447.0,5471.0,14029.0,16816.0,11124.0,8244.0,22011.0,11823.0,4444.0,10880.0,4000.0,14579.0,6883.0,4656.0,-1.0,9907.0,6494.0,7700.0,9546.0,-1.0,8208.0,16667.0,22718.0,4444.0,9838.0,4865.0,5113.0,15147.0,16707.0,14606.0,6585.0,8159.0,10417.0,4467.0,15140.0,9365.0,8279.0,2794.0,4200.0,5508.0,-1.0,11518.0,10000.0,11508.0,17046.0,17720.0,32400.0,-1.0,31905.0,16454.0,11698.0,4308.0,7500.0,8322.0,6083.0,5477.0,-1.0,31012.0
1970,6511.0,18818.0,5189.0,-1.0,7863.0,5000.0,7002.0,6535.0,9951.0,38000.0,7614.0,-1.0,4509.0,-1.0,9647.0,12479.0,4942.0,9015.0,5380.0,12256.0,7428.0,7273.0,15860.0,17276.0,9127.0,12513.0,15698.0,10000.0,-1.0,8295.0,-1.0,-1.0,5721.0,-1.0,7975.0,5594.0,9239.0,12750.0,-1.0,13333.0,98039.0,24468.0,6934.0,8545.0,-1.0,6431.0,-1.0,13514.0,20449.0,-1.0,18502.0,19365.0,-1.0,8901.0,6841.0,-1.0,28289.0,10129.0,-1.0,-1.0,7658.0,-1.0,24048.0,5000.0,2460.0,18085.0,20496.0,-1.0,17878.0,11333.0,13503.0,10938.0,9462.0,12121.0,-1.0,6206.0,-1.0,8109.0,20773.0,-1.0,11030.0,17385.0,5608.0,22980.0,21254.0,19204.0,10377.0,-1.0,12597.0,4898.0,17059.0,15976.0,10842.0,10324.0,23788.0,12083.0,4783.0,10941.0,4000.0,13754.0,6113.0,4562.0,-1.0,9538.0,6510.0,7583.0,10378.0,-1.0,7698.0,16667.0,21439.0,3611.0,11143.0,5676.0,5091.0,13095.0,15915.0,15537.0,6699.0,9227.0,12094.0,4165.0,14785.0,7286.0,8063.0,2910.0,17241.0,6770.0,-1.0,11790.0,10000.0,10793.0,18374.0,13425.0,33571.0,-1.0,33333.0,17521.0,9658.0,5748.0,7500.0,6363.0,5312.0,6404.0,-1.0,33644.0
