,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Sweden,Switzerland,USSR,Romania,Azerbaijan,Spain,Uzbekistan,Russian Federation,Denmark,Ireland,The former Yugoslav Republic of Macedonia,Japan,Latvia,Yugoslav SFR,Slovakia,Czechia,United Kingdom,Austria,Chile,Hungary,Greece,New Zealand,Estonia,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Lithuania,Slovenia,Finland,Netherlands,Republic of Moldova,Kyrgyzstan,Norway,Italy,Belgium-Luxembourg
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,81.0,-1.0,964.0,313.0,65.0,232.0,1212.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,1036.0,306.0,69.0,216.0,1220.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,149.0,-1.0,1075.0,377.0,65.0,228.0,1114.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,-1.0,-1.0,-1.0,168.0,-1.0,945.0,378.0,69.0,210.0,1158.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,177.0,-1.0,881.0,384.0,57.0,207.0,1153.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,188.0,-1.0,631.0,397.0,57.0,209.0,1158.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,313.0,-1.0,469.0,516.0,57.0,203.0,1163.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,-1.0,-1.0,-1.0,751.0,-1.0,415.0,996.0,32.0,245.0,1200.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,1370.0,-1.0,285.0,1622.0,32.0,252.0,1300.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,1454.0,-1.0,211.0,1692.0,32.0,238.0,1464.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,1678.0,-1.0,190.0,1924.0,24.0,246.0,1500.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,1302.0,-1.0,166.0,1527.0,-1.0,225.0,1600.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,1406.0,-1.0,205.0,1568.0,-1.0,162.0,1681.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1985,-1.0,20545.0,-1.0,7000.0,31000.0,-1.0,19.0,14000.0,-1.0,-1.0,-1,-1.0,-1.0,535.0,100.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,2950.0,3700.0,-1.0,3200.0,-1.0,1000.0,-1.0,201.0,1154.0,-1.0,154.0,1895.0,-1,-1.0,1050.0,350.0,-1.0,-1.0,3120.0,85.0,560.0
1986,-1.0,21225.0,-1.0,7000.0,28000.0,-1.0,20.0,16000.0,-1.0,-1.0,-1,-1.0,-1.0,535.0,100.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,2950.0,3700.0,-1.0,3000.0,-1.0,704.0,-1.0,153.0,849.0,-1.0,145.0,1903.0,-1,-1.0,1050.0,350.0,-1.0,-1.0,3120.0,85.0,560.0
1987,-1.0,22320.0,-1.0,6900.0,20500.0,-1.0,22.0,17000.0,-1.0,-1.0,-1,-1.0,-1.0,535.0,100.0,-1.0,-1.0,-1.0,75.0,-1.0,-1.0,2950.0,3700.0,-1.0,2800.0,-1.0,676.0,-1.0,114.0,806.0,-1.0,130.0,1982.0,-1,-1.0,1000.0,350.0,-1.0,-1.0,3120.0,85.0,560.0
1988,-1.0,21365.0,-1.0,6900.0,30400.0,800.0,25.0,16700.0,-1.0,-1.0,-1,-1.0,-1.0,535.0,100.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,2950.0,3700.0,-1.0,2800.0,-1.0,660.0,-1.0,115.0,767.0,-1.0,107.0,2091.0,-1,-1.0,900.0,200.0,-1.0,-1.0,3120.0,85.0,430.0
1989,-1.0,21545.0,-1.0,7300.0,30500.0,800.0,24.0,17500.0,-1.0,-1.0,-1,-1.0,-1.0,535.0,100.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,3133.0,3700.0,-1.0,2700.0,-1.0,623.0,-1.0,107.0,724.0,-1.0,101.0,2400.0,-1,-1.0,1100.0,200.0,-1.0,-1.0,3120.0,85.0,430.0
1990,-1.0,20820.0,-1.0,6700.0,30000.0,889.0,24.0,11500.0,-1.0,-1.0,-1,-1.0,-1.0,594.0,100.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,3414.0,288.0,0.0,2500.0,-1.0,703.0,-1.0,82.0,791.0,0.0,88.0,2700.0,-1,-1.0,1300.0,200.0,-1.0,-1.0,3466.0,57.0,459.0
1991,-1.0,21270.0,-1.0,6750.0,30500.0,828.0,24.0,10300.0,120.0,-1.0,-1,-1.0,-1.0,850.0,100.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,3572.0,288.0,3.0,3800.0,-1.0,750.0,-1.0,86.0,841.0,0.0,91.0,2426.0,-1,-1.0,1300.0,200.0,-1.0,-1.0,350.0,32.0,439.0
1992,2800.0,19820.0,-1.0,6700.0,34350.0,746.0,24.0,-1.0,89.0,100.0,-1,300.0,22500.0,900.0,300.0,-1.0,-1.0,800.0,-1.0,-1.0,-1.0,3581.0,288.0,3.0,3500.0,-1.0,778.0,837.0,108.0,870.0,0.0,92.0,2880.0,-1,-1.0,1300.0,300.0,200.0,25.0,300.0,30.0,440.0
1993,2800.0,20000.0,-1.0,-1.0,32600.0,800.0,25.0,-1.0,87.0,100.0,-1,321.0,26000.0,1113.0,100.0,-1.0,-1.0,900.0,-1.0,554.0,5450.0,3317.0,288.0,3.0,3099.0,-1.0,795.0,797.0,80.0,895.0,0.0,100.0,3280.0,-1,-1.0,1313.0,400.0,200.0,20.0,350.0,31.0,507.0
1994,2800.0,20220.0,-1.0,-1.0,31300.0,800.0,25.0,-1.0,135.0,100.0,-1,282.0,26500.0,2351.0,97.0,-1.0,-1.0,900.0,-1.0,520.0,5140.0,3335.0,288.0,3.0,2856.0,-1.0,720.0,821.0,80.0,840.0,0.0,120.0,2960.0,-1,-1.0,1300.0,400.0,200.0,25.0,300.0,36.0,479.0
1995,6900.0,22856.0,-1.0,-1.0,31080.0,800.0,25.0,-1.0,165.0,100.0,-1,251.0,21500.0,1827.0,100.0,-1.0,-1.0,900.0,-1.0,498.0,5090.0,2900.0,176.0,3.0,2577.0,-1.0,714.0,1000.0,82.0,851.0,0.0,137.0,2900.0,-1,-1.0,1722.0,500.0,200.0,20.0,350.0,35.0,498.0
1996,6800.0,20720.0,-1.0,-1.0,32510.0,600.0,27.0,-1.0,69.0,100.0,-1,244.0,28000.0,1783.0,100.0,-1.0,-1.0,450.0,-1.0,522.0,5160.0,2500.0,176.0,3.0,2825.0,-1.0,614.0,1398.0,87.0,777.0,0.0,163.0,2900.0,-1,-1.0,1772.0,500.0,200.0,25.0,260.0,40.0,449.0
1997,7000.0,17300.0,-1.0,-1.0,31000.0,600.0,31.0,-1.0,170.0,100.0,-1,218.0,27700.0,1531.0,116.0,-1.0,-1.0,1000.0,-1.0,561.0,5070.0,2000.0,219.0,3.0,2509.0,-1.0,500.0,1658.0,100.0,653.0,0.0,153.0,2481.0,-1,-1.0,1792.0,700.0,200.0,25.0,232.0,45.0,396.0
1998,4800.0,19400.0,-1.0,-1.0,35104.0,600.0,48.0,-1.0,174.0,100.0,-1,300.0,28700.0,1280.0,100.0,-1.0,-1.0,870.0,-1.0,536.0,4950.0,1300.0,219.0,3.0,2679.0,-1.0,600.0,1656.0,100.0,760.0,0.0,160.0,2280.0,-1,-1.0,1867.0,600.0,200.0,25.0,235.0,52.0,319.0
1999,4600.0,20000.0,-1.0,-1.0,33910.0,415.0,44.0,-1.0,175.0,100.0,-1,100.0,36000.0,1411.0,81.0,-1.0,-1.0,1051.0,-1.0,461.0,4850.0,1500.0,219.0,4.0,2874.0,-1.0,600.0,1509.0,100.0,774.0,0.0,174.0,2277.0,-1,-1.0,1976.0,600.0,300.0,20.0,330.0,56.0,430.0
2000,4400.0,22111.0,100.0,-1.0,33522.0,300.0,40.0,-1.0,174.0,100.0,-1,100.0,50000.0,1492.0,82.0,-1.0,-1.0,1021.0,-1.0,513.0,3900.0,2000.0,220.0,4.0,2500.0,-1.0,834.0,1507.0,100.0,1022.0,0.0,188.0,2370.0,-1,10.0,2144.0,600.0,200.0,20.0,449.0,54.0,-1.0
2001,4400.0,21635.0,100.0,-1.0,34451.0,600.0,43.0,-1.0,180.0,100.0,-1,100.0,56000.0,1850.0,74.0,-1.0,-1.0,935.0,-1.0,972.0,1400.0,2390.0,220.0,4.0,3000.0,-1.0,1071.0,2543.0,80.0,1266.0,0.0,195.0,2306.0,-1,4.0,2258.0,700.0,234.0,20.0,223.0,58.0,-1.0
2002,4200.0,17674.0,100.0,-1.0,42320.0,471.0,48.0,-1.0,150.0,200.0,-1,100.0,71000.0,1939.0,50.0,10.0,-1.0,1044.0,-1.0,1115.0,1700.0,2330.0,280.0,4.0,1730.0,-1.0,1308.0,2185.0,80.0,1527.0,0.0,219.0,2312.0,-1,3.0,2373.0,800.0,278.0,23.0,233.0,58.0,-1.0
2003,4000.0,17983.0,48.0,-1.0,38906.0,471.0,51.0,-1.0,100.0,150.0,-1,100.0,71500.0,1732.0,24.0,9.0,7.0,847.0,-1.0,853.0,2025.0,2600.0,282.0,4.0,3213.0,-1.0,1400.0,2153.0,43.0,1724.0,0.0,324.0,2496.0,-1,1.0,2451.0,800.0,246.0,25.0,248.0,54.0,-1.0
2004,4100.0,10000.0,78.0,-1.0,38914.0,500.0,51.0,-1.0,79.0,130.0,-1,100.0,71000.0,1597.0,14.0,10.0,5.0,1117.0,-1.0,741.0,2185.0,2950.0,281.0,4.0,4234.0,-1.0,1400.0,2131.0,65.0,1715.0,0.0,315.0,2984.0,-1,1.0,2485.0,800.0,251.0,30.0,255.0,69.0,-1.0
2005,4200.0,2100.0,66.0,-1.0,47107.0,511.0,47.0,-1.0,63.0,200.0,-1,100.0,72000.0,1943.0,14.0,10.0,5.0,891.0,-1.0,823.0,2200.0,2700.0,281.0,3.0,4024.0,-1.0,1311.0,1456.0,65.0,1604.0,0.0,293.0,2588.0,-1,0.0,2442.0,800.0,264.0,30.0,261.0,74.0,-1.0
2006,4200.0,2099.0,73.0,-1.0,43020.0,500.0,54.0,-1.0,30.0,300.0,-1,120.0,69000.0,1943.0,15.0,10.0,6.0,1120.0,-1.0,714.0,1405.0,2596.0,281.0,7.0,2200.0,-1.0,1400.0,1033.0,0.0,1709.0,0.0,309.0,2528.0,-1,1.0,2342.0,800.0,322.0,30.0,277.0,100.0,-1.0
2007,4300.0,2043.0,84.0,-1.0,45816.0,446.0,51.0,-1.0,8.0,400.0,-1,150.0,67800.0,2000.0,12.0,10.0,5.0,648.0,-1.0,655.0,1233.0,2553.0,281.0,4.0,2131.0,-1.0,1275.0,1016.0,0.0,1517.0,0.0,242.0,2491.0,-1,1.0,2263.0,800.0,311.0,30.0,277.0,100.0,-1.0
2008,4500.0,2025.0,92.0,-1.0,43321.0,400.0,35.0,-1.0,12.0,400.0,-1,100.0,52700.0,1994.0,12.0,10.0,5.0,909.0,-1.0,652.0,1404.0,2435.0,229.0,4.0,2186.0,-1.0,1270.0,1061.0,0.0,1510.0,0.0,240.0,2014.0,-1,1.0,2190.0,900.0,295.0,30.0,279.0,100.0,-1.0
2009,4400.0,2148.0,83.0,-1.0,43094.0,374.0,36.0,-1.0,16.0,400.0,-1,100.0,52200.0,1979.0,12.0,10.0,5.0,630.0,-1.0,683.0,1347.0,2472.0,222.0,4.0,2150.0,-1.0,1268.0,960.0,0.0,1356.0,0.0,88.0,2218.0,-1,1.0,2096.0,860.0,276.0,30.0,284.0,102.0,-1.0
2010,4400.0,2140.0,100.0,-1.0,45224.0,330.0,35.0,-1.0,50.0,400.0,-1,100.0,52200.0,2232.0,12.0,10.0,6.0,542.0,-1.0,635.0,1215.0,2511.0,222.0,4.0,2358.0,-1.0,1287.0,980.0,1.0,1394.0,0.0,107.0,3350.0,-1,1.0,2007.0,785.0,205.0,30.0,241.0,104.0,-1.0
2011,4400.0,2133.0,100.0,-1.0,39884.0,250.0,40.0,-1.0,22.0,400.0,-1,110.0,49400.0,2232.0,13.0,10.0,6.0,734.0,-1.0,486.0,1201.0,2477.0,228.0,4.0,1873.0,-1.0,1256.0,907.0,0.0,1324.0,0.0,68.0,3270.0,-1,1.0,1920.0,746.0,189.0,30.0,242.0,94.0,-1.0
2012,4400.0,2292.0,46.0,-1.0,44707.0,290.0,34.0,-1.0,17.0,400.0,-1,119.0,46000.0,2199.0,14.0,10.0,20.0,664.0,-1.0,422.0,1202.0,2471.0,228.0,8.0,1460.0,0.0,1408.0,729.0,0.0,1510.0,0.0,102.0,3350.0,-1,2.0,1813.0,684.0,163.0,30.0,246.0,88.0,-1.0
2013,4500.0,2388.0,14.0,-1.0,45938.0,260.0,35.0,-1.0,46.0,400.0,-1,122.0,46000.0,1950.0,12.0,10.0,6.0,716.0,-1.0,447.0,1144.0,2525.0,230.0,8.0,1340.0,-1.0,1499.0,781.0,0.0,1640.0,0.0,141.0,3370.0,-1,1.0,1773.0,658.0,145.0,30.0,237.0,90.0,-1.0
2014,4500.0,2459.0,16.0,-1.0,45392.0,223.0,32.0,-1.0,199.0,500.0,-1,140.0,47700.0,1666.0,10.0,11.0,5.0,486.0,-1.0,279.0,1069.0,2538.0,239.0,8.0,1320.0,-1.0,1432.0,810.0,0.0,1571.0,0.0,138.0,3297.0,-1,1.0,1681.0,626.0,264.0,30.0,254.0,115.0,-1.0
