,Kenya,Melanesia,Yemen,Guyana,Cameroon,Saudi Arabia,Malaysia,Philippines,South Sudan,Benin,Jamaica,Pakistan,Iraq,Cyprus,Belize,Bahamas,United States of America,Barbados,Guatemala,Mauritius,United Arab Emirates,Senegal,Jordan,India,Burkina Faso,Fiji,Bahrain,Kuwait,Congo,Qatar,Mexico,Nigeria,Egypt,Puerto Rico,Oman,Côte d'Ivoire,Albania,Lebanon,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Syrian Arab Republic,Sudan,Ghana,Sudan (former),Turkey
1961,-1.0,20.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150000.0,1000.0,20.0,-1.0,-1.0,-1.0,-1.0,170.0,150000.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,3700.0
1962,-1.0,20.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,158000.0,1100.0,20.0,-1.0,-1.0,-1.0,-1.0,170.0,150000.0,400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,3700.0
1963,-1.0,20.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,165000.0,1200.0,20.0,-1.0,-1.0,-1.0,-1.0,170.0,150000.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,3700.0
1964,-1.0,20.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,170000.0,1300.0,20.0,-1.0,-1.0,-1.0,-1.0,200.0,150000.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,3700.0
1965,-1.0,20.0,-1.0,-1.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,180000.0,1400.0,20.0,-1.0,-1.0,-1.0,-1.0,210.0,155000.0,1100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,4000.0
1966,-1.0,20.0,-1.0,-1.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,185000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,230.0,155000.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21000.0,-1.0,4000.0
1967,-1.0,20.0,-1.0,-1.0,-1.0,950.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,190000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,250.0,155000.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23000.0,-1.0,4000.0
1968,-1.0,20.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,198000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,270.0,155000.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23000.0,-1.0,4000.0
1969,-1.0,20.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98.0,210000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,340.0,155000.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,4000.0
1970,-1.0,20.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98.0,218000.0,1500.0,20.0,-1.0,-1.0,-1.0,-1.0,350.0,160000.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,5000.0
