,Kenya,Peru,Serbia and Montenegro,Serbia,Syrian Arab Republic,Viet Nam,Ethiopia,Denmark,Canada,Greece,Afghanistan,Zimbabwe,Bangladesh,Malawi,Cyprus,Spain,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Guatemala,Madagascar,Argentina,Ukraine,"China, mainland",India,Morocco,Ethiopia PDR,Mexico,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Tunisia,Yugoslav SFR,Slovakia,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Italy,Hungary,Australia,Togo,Lithuania,Poland,Netherlands,Russian Federation,Turkey
1961,-1.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,85.0,-1.0,570.0,-1.0,-1.0,-1,-1.0,47.0,-1.0,1388.0,0.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,90000.0,12000.0,-1.0,25.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,4145.0,-1.0,3100.0
1962,-1.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,161.0,-1.0,550.0,-1.0,-1.0,-1,-1.0,60.0,-1.0,1845.0,0.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,90000.0,20000.0,-1.0,30.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,3947.0,-1.0,3500.0
1963,-1.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,154.0,-1.0,770.0,-1.0,-1.0,-1,-1.0,67.0,-1.0,2084.0,0.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,20000.0,-1.0,30.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,3819.0,-1.0,4000.0
1964,-1.0,-1.0,-1,-1.0,500.0,1000.0,-1.0,135.0,-1.0,720.0,-1.0,-1.0,-1,-1.0,67.0,-1.0,1296.0,0.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,10000.0,-1.0,15.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,4606.0,-1.0,1800.0
1965,-1.0,-1.0,-1,-1.0,500.0,1000.0,-1.0,192.0,-1.0,510.0,-1.0,-1.0,-1,-1.0,8.0,-1.0,2661.0,0.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,20000.0,-1.0,15.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,4621.0,-1.0,1000.0
1966,-1.0,-1.0,-1,-1.0,600.0,1000.0,-1.0,240.0,-1.0,670.0,-1.0,-1.0,-1,-1.0,7.0,-1.0,5498.0,0.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,97000.0,20000.0,-1.0,20.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,3676.0,-1.0,1800.0
1967,-1.0,-1.0,-1,-1.0,900.0,1000.0,-1.0,302.0,-1.0,934.0,-1.0,-1.0,-1,-1.0,15.0,-1.0,2639.0,0.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,97000.0,20000.0,-1.0,25.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,3224.0,-1.0,2500.0
1968,1500.0,-1.0,-1,-1.0,800.0,1000.0,-1.0,264.0,-1.0,800.0,-1.0,-1.0,-1,-1.0,13.0,-1.0,2557.0,0.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,97000.0,28000.0,70.0,25.0,-1.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2996.0,-1.0,2900.0
1969,500.0,-1.0,-1,-1.0,6834.0,1000.0,-1.0,345.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,13.0,-1.0,3689.0,0.0,17500.0,-1.0,-1.0,-1.0,-1.0,-1.0,95000.0,20000.0,70.0,25.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2683.0,-1.0,3100.0
1970,700.0,-1.0,-1,-1.0,3591.0,1000.0,-1.0,431.0,-1.0,900.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,2108.0,0.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,95000.0,20000.0,100.0,35.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,1718.0,-1.0,4000.0
1971,200.0,-1.0,-1,-1.0,2066.0,1000.0,-1.0,473.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,1670.0,0.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,95000.0,24000.0,80.0,50.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,1613.0,-1.0,2600.0
1972,400.0,-1.0,-1,-1.0,2923.0,1000.0,-1.0,638.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0,5.0,-1.0,1833.0,0.0,11000.0,-1.0,-1.0,-1.0,-1.0,-1.0,104000.0,23000.0,80.0,60.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,2300.0,-1.0,2200.0
