,USSR,Syrian Arab Republic,Australia & New Zealand,Australia,Pakistan,Uruguay,Kenya,Romania,Democratic People's Republic of Korea,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Serbia,Slovenia,El Salvador,Hungary,Argentina,Colombia,Spain,India,Malta,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Jordan,Belgium-Luxembourg,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,New Zealand,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Cyprus,Kazakhstan,Lithuania,Portugal,Netherlands,Guatemala,Slovakia,Bhutan,Turkmenistan,Norway,Iraq,Czechia,Belgium,Nepal,Luxembourg,Libya,Poland,Italy,Germany,Croatia,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Morocco,Switzerland,Chile,Honduras,Denmark,Zimbabwe,Ireland,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,Grenada,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Russian Federation,Austria,Georgia,Saint Vincent and the Grenadines,Latvia,Ukraine,Bolivia (Plurinational State of),Tajikistan,South Africa,Bulgaria,China
1961,1744000.0,10000.0,369434.0,295034.0,11500.0,23000.0,-1.0,146000.0,90000.0,85000.0,,7100.0,10004.0,19962.0,1000.0,,,-1.0,349500.0,415000.0,-1.0,385500.0,185000.0,100.0,2000.0,9000.0,,337226.0,283000.0,3000.0,132000.0,,,196000.0,117138.0,2142000.0,79870.0,3000.0,74400.0,,,79723.0,343000.0,65000.0,71000.0,2584000.0,167000.0,1422.0,,,70000.0,292000.0,3000.0,,2000.0,,48000.0,20000.0,,,-1.0,,800.0,285000.0,2167000.0,851000.0,,100000.0,,-1.0,35000.0,,,4000.0,269800.0,99000.0,-1.0,113295.0,1200.0,29000.0,15400.0,,30100.0,,955400.0,,15100.0,520.0,339000.0,,,,456000.0,,10.0,,,16000.0,,95844.0,272703.0,167000.0
1962,1865000.0,23000.0,419772.0,326282.0,8000.0,23000.0,-1.0,132000.0,95000.0,80000.0,,3200.0,8039.0,22600.0,1000.0,,,-1.0,314900.0,397000.0,-1.0,274500.0,160000.0,100.0,1920.0,9000.0,,404610.0,322000.0,3621.0,145000.0,,,206000.0,130763.0,5050000.0,117904.0,5000.0,93490.0,,,95429.0,177000.0,65000.0,72000.0,2581000.0,225000.0,1879.0,,,58000.0,226000.0,3000.0,,2100.0,,64000.0,20000.0,,,-1.0,,700.0,160000.0,2182000.0,2059000.0,,161000.0,,-1.0,35000.0,,,3000.0,480400.0,101000.0,-1.0,108295.0,1300.0,31000.0,14000.0,,41900.0,,1000000.0,,15100.0,525.0,583000.0,,,,431000.0,,10.0,,,16000.0,,105931.0,350612.0,225000.0
1963,2382000.0,28000.0,433571.0,349571.0,18900.0,23000.0,-1.0,198000.0,85000.0,75000.0,,3700.0,7931.0,23241.0,551.0,,,-1.0,503500.0,474000.0,-1.0,480700.0,140000.0,100.0,2120.0,9000.0,,470193.0,327000.0,3225.0,135000.0,,,172000.0,133985.0,2581000.0,110162.0,5000.0,84000.0,,,118820.0,280000.0,65000.0,72000.0,2609000.0,248000.0,1905.0,,,92000.0,279000.0,3300.0,,2200.0,,49000.0,22000.0,,,-1.0,,600.0,377000.0,2336000.0,2216000.0,,136000.0,,-1.0,18000.0,,,8000.0,359600.0,104000.0,-1.0,119798.0,1600.0,35000.0,13000.0,,43000.0,,1155000.0,,15100.0,525.0,545000.0,,,,436000.0,,10.0,,,16000.0,,116240.0,289695.0,248000.0
1964,2639000.0,25000.0,476797.0,367397.0,12600.0,23000.0,-1.0,127000.0,85000.0,125000.0,,3250.0,8498.0,21158.0,557.0,,,-1.0,432200.0,371000.0,-1.0,321600.0,110000.0,110.0,1893.0,10000.0,,409289.0,337000.0,4986.0,189200.0,,,232000.0,158662.0,3424000.0,124693.0,7000.0,109400.0,,,123501.0,159000.0,68000.0,80000.0,2866000.0,300000.0,3251.0,,,85000.0,515000.0,3450.0,,2250.0,,56000.0,22000.0,,,-1.0,,300.0,840000.0,2381000.0,1346000.0,,183000.0,,-1.0,45000.0,,,17199.0,389600.0,106000.0,-1.0,122615.0,1700.0,24000.0,12441.0,,60700.0,,1090000.0,,18400.0,530.0,653000.0,,,,447000.0,,10.0,,,16000.0,,149158.0,364126.0,300000.0
1965,2716000.0,21000.0,462902.0,360002.0,16100.0,23000.0,-1.0,217000.0,100000.0,115080.0,,6650.0,8000.0,40386.0,720.0,,,-1.0,378904.0,544000.0,-1.0,446800.0,90000.0,110.0,1633.0,10000.0,,450928.0,362000.0,4538.0,176000.0,,,184000.0,91630.0,3675000.0,166768.0,6375.0,102900.0,,,136238.0,135000.0,75000.0,74881.0,2785146.0,318000.0,6502.0,,,96000.0,404000.0,3473.0,,2300.0,,43000.0,23000.0,,,-1.0,,1240.0,197000.0,2185000.0,1424000.0,,115000.0,,-1.0,15000.0,,,14654.0,255400.0,121000.0,-1.0,125400.0,1800.0,21000.0,13151.0,,56900.0,,1132000.0,,20400.0,530.0,529000.0,,,,222000.0,,10.0,,,17000.0,,139035.0,299404.0,318000.0
1966,2747000.0,26000.0,490498.0,376878.0,20700.0,24473.0,-1.0,233700.0,100000.0,104010.0,,5750.0,9000.0,23559.0,760.0,,,-1.0,396490.0,414000.0,-1.0,412200.0,97500.0,225.0,2796.0,12000.0,,421753.0,440000.0,6200.0,212000.0,,,219000.0,249213.0,2796000.0,174396.0,6145.0,113620.0,,,139805.0,214000.0,78000.0,83100.0,2613313.0,500000.0,7620.0,,,86533.0,345000.0,3611.0,,2350.0,,40565.0,23000.0,,,-1.0,,1214.0,794000.0,2288600.0,1702000.0,,117000.0,,-1.0,10000.0,,,13855.0,350000.0,125000.0,-1.0,111893.0,2000.0,17000.0,11208.0,,65800.0,,1059000.0,,22800.0,540.0,370000.0,,,,366654.0,,10.0,,,17200.0,,190756.0,343660.0,500000.0
1967,3630000.0,28000.0,475327.0,369924.0,21300.0,26000.0,-1.0,234200.0,90000.0,157021.0,,7300.0,10000.0,24785.0,700.0,,,-1.0,674644.0,516000.0,-1.0,378300.0,127000.0,235.0,3257.0,12000.0,,436644.0,640000.0,2000.0,291000.0,,,240000.0,182235.0,3846000.0,189651.0,5000.0,105403.0,,,115131.0,301000.0,80000.0,84894.0,2451881.0,630000.0,10160.0,,,90501.0,488000.0,3995.0,,2400.0,,49203.0,24000.0,,,-1.0,,1236.0,537000.0,1932000.0,2732000.0,,169000.0,,-1.0,18000.0,,,10000.0,580000.0,129000.0,-1.0,122336.0,2200.0,16000.0,11364.0,,71300.0,,1125000.0,,27600.0,540.0,332000.0,,,,360937.0,,15.0,,,17200.0,,183294.0,413124.0,630000.0
1968,3816000.0,25496.0,486888.0,373688.0,23700.0,28000.0,-1.0,221800.0,115000.0,162907.0,,7900.0,10000.0,26070.0,600.0,,,-1.0,481679.0,469600.0,-1.0,480100.0,163000.0,260.0,3064.0,4000.0,,400896.0,700000.0,1500.0,181000.0,,,244156.0,201401.0,3568000.0,198711.0,4000.0,113200.0,,,126411.0,304000.0,80000.0,64134.0,2470433.0,750000.0,8128.0,,,71400.0,340000.0,4500.0,,2450.0,,65199.0,20000.0,,,-1.0,,1253.0,743100.0,1932000.0,1748000.0,,152000.0,,-1.0,20000.0,,,14000.0,270000.0,133000.0,-1.0,122416.0,2300.0,20000.0,10490.0,,55000.0,,1136000.0,,27900.0,550.0,382000.0,,,,328675.0,,15.0,,,17200.0,,212054.0,427062.0,750000.0
1969,3473000.0,23196.0,534745.0,422445.0,31900.0,30000.0,-1.0,366700.0,120000.0,66547.0,,8000.0,11000.0,28864.0,500.0,,,-1.0,818741.0,436400.0,-1.0,464800.0,201000.0,220.0,4546.0,4000.0,,435241.0,620000.0,1950.0,306000.0,,,228779.0,237834.0,3377000.0,219411.0,4000.0,112300.0,,,145485.0,482853.0,86500.0,65776.0,3093302.0,1000000.0,7620.0,,,82399.0,475000.0,4500.0,,2500.0,,53758.0,30000.0,,,-1.0,,1403.0,654300.0,2010000.0,2913000.0,,117000.0,,-1.0,20000.0,,,14000.0,530000.0,137000.0,-1.0,125816.0,2400.0,22000.0,11877.0,,62300.0,,1085000.0,,28200.0,550.0,447000.0,,,,327690.0,,20.0,,,17400.0,,207502.0,460449.0,1000000.0
1970,5046000.0,17550.0,564470.0,424057.0,33430.0,31932.0,-1.0,175836.0,115000.0,74356.0,,6200.0,9000.0,30850.0,424.0,,,-1.0,660829.0,445000.0,-1.0,483900.0,277000.0,234.0,4752.0,4000.0,,405520.0,748000.0,2200.0,252000.0,,,234890.0,231665.0,3903000.0,212041.0,4000.0,140413.0,,,145615.0,277063.0,88500.0,77759.0,2901933.0,798000.0,7518.0,,,88730.0,450000.0,4600.0,,2550.0,,47993.0,35000.0,,,-1.0,,1358.0,691100.0,2062000.0,1975000.0,,145500.0,,-1.0,23000.0,,,14000.0,280000.0,140000.0,-1.0,120625.0,2500.0,20000.0,12900.0,,61800.0,,1021000.0,,27300.0,560.0,596015.0,,,,308809.0,,40.0,,,17500.0,,222255.0,363126.0,798000.0
