,Burundi,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Belize,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Pacific Islands Trust Territory,Liberia,Greece,Zimbabwe,Bangladesh,Malawi,Melanesia,Papua New Guinea,Rwanda,Portugal,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Senegal,Madagascar,Tajikistan,Haiti,Ukraine,Guinea,Saudi Arabia,Fiji,Chad,Sri Lanka,Uruguay,Azerbaijan,Egypt,Mauritania,Réunion,China,Uzbekistan,Colombia,Brunei Darussalam,Micronesia (Federated States of),Chile,Guinea-Bissau,Kazakhstan,South Africa,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Togo,Micronesia,Kenya,"China, mainland",Russian Federation,Nicaragua,Uganda,Thailand,Paraguay,Bolivia (Plurinational State of),Peru,Angola,Cameroon,Zambia,Malaysia,Comoros,Armenia,Dominican Republic,South Sudan,Benin,Pakistan,Japan,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Spain,New Zealand,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Cuba,Kyrgyzstan,French Guiana,Argentina,Cambodia,Timor-Leste,Costa Rica,Democratic People's Republic of Korea,India,El Salvador,Niger,Morocco,Bhutan,Congo,Republic of Korea,Gabon,USSR,Romania,Ecuador,Honduras,Puerto Rico,Mexico,Viet Nam,Suriname,Côte d'Ivoire,Mali,Albania,Turkmenistan,Jamaica,Solomon Islands,Trinidad and Tobago,Italy,Central African Republic,Sierra Leone,Australia,Panama,Ghana,Sudan (former),Gambia,Nigeria,Swaziland,Republic of Moldova,Turkey
1961,3000.0,29891.0,2547705.0,85000.0,848.0,6834100.0,30171.0,3910100.0,500.0,5392477.0,540000.0,94000.0,2108000.0,-1.0,12084000.0,6.0,115000.0,81247.0,1000.0,14426184.0,9404.0,24560.0,1600.0,-1.0,177384.0,118000.0,19600.0,12563.0,9512.0,83100.0,1465000.0,-1.0,55000.0,-1.0,210940.0,2800.0,22760.0,23000.0,923024.0,60866.0,-1.0,1142000.0,500.0,-1.0,56217596.0,-1.0,473600.0,4908.0,-1.0,104720.0,50000.0,-1.0,2540.0,-1.0,-1.0,38182.0,133690.0,19000.0,6.0,14530.0,53640000.0,-1.0,38659.0,3200.0,10150000.0,18700.0,34320.0,331877.0,29000.0,3583.0,-1.0,1089075.0,9000.0,-1,112856.0,-1,756.0,1690000.0,16160440.0,319000.0,68453.0,-1.0,80658.0,393500.0,-1,215103.0,36490.0,2458000.0,600000.0,70800.0,-1.0,-1.0,206908.0,-1.0,385.0,149000.0,2383000.0,16757.0,60400.0,1809000.0,53494496.0,17882.0,9550.0,15000.0,37000.0,3500.0,4679000.0,785.0,229500.0,31000.0,203000.0,11928.0,2900.0,332944.0,8997400.0,71562.0,156000.0,185000.0,4603.0,-1.0,4877.0,200.0,10160.0,699800.0,3000.0,264000.0,118000.0,108905.0,30400.0,1931.0,29465.0,133000.0,4173.0,-1,233300.0
1962,2750.0,19428.0,2670860.0,85000.0,750.0,7664700.0,45220.0,3966980.0,1091.0,5556834.0,510000.0,104000.0,2108321.0,-1.0,13004000.0,6.0,120000.0,68388.0,1000.0,13304520.0,4601.0,24275.0,1600.0,-1.0,173500.0,139000.0,23200.0,16359.0,8000.0,77000.0,1552000.0,-1.0,60000.0,-1.0,220270.0,2120.0,22455.0,23500.0,1029194.0,60704.0,-1.0,2038000.0,500.0,-1.0,65675296.0,-1.0,585000.0,5245.0,-1.0,78480.0,50000.0,-1.0,2177.0,-1.0,-1.0,36355.0,130230.0,17788.0,6.0,15200.0,62985008.0,-1.0,36848.0,4000.0,11250000.0,16800.0,38571.0,391361.0,23000.0,9048.0,-1.0,1125343.0,9000.0,-1,111300.0,-1,738.0,1643000.0,16927100.0,319000.0,113100.0,-1.0,103133.0,392400.0,-1,220991.0,39037.0,2996000.0,851000.0,74100.0,-1.0,-1.0,230920.0,-1.0,620.0,182300.0,2039000.0,15300.0,65100.0,1897100.0,49825552.0,25634.0,11196.0,17000.0,38000.0,3550.0,4074000.0,553.0,253000.0,20100.0,209000.0,12336.0,2900.0,288972.0,9747040.0,79161.0,229000.0,190000.0,5683.0,-1.0,5080.0,220.0,10600.0,663000.0,3300.0,314976.0,139000.0,109703.0,31000.0,949.0,30481.0,257000.0,5767.0,-1,275000.0
1963,2680.0,14500.0,2659779.0,100000.0,1225.0,7782900.0,25000.0,3842860.0,1138.0,5740065.0,520000.0,183000.0,2109000.0,-1.0,11595000.0,7.0,125000.0,76861.0,2540.0,15934944.0,4603.0,23787.0,1600.0,-1.0,166273.0,140000.0,23300.0,18032.0,6659.0,106000.0,1559000.0,-1.0,64000.0,-1.0,230015.0,2248.0,21947.0,34000.0,1045908.0,76992.0,-1.0,2219000.0,600.0,-1.0,76439287.0,-1.0,550000.0,3868.0,-1.0,79270.0,50000.0,-1.0,1814.0,-1.0,-1.0,48104.0,117390.0,22927.0,7.0,13000.0,73765008.0,-1.0,46600.0,1650.0,12171000.0,16000.0,42857.0,269860.0,25000.0,10750.0,-1.0,1190214.0,10000.0,-1,117849.0,-1,872.0,1788000.0,16648830.0,319000.0,143216.0,-1.0,131117.0,398600.0,-1,163616.0,42316.0,3187000.0,861000.0,60000.0,-1.0,-1.0,236900.0,-1.0,60.0,178200.0,2622000.0,14000.0,69000.0,2072500.0,55497008.0,20637.0,10050.0,20000.0,39000.0,3700.0,5079000.0,673.0,350000.0,51300.0,211000.0,10588.0,3200.0,296373.0,9622670.0,74844.0,219000.0,165000.0,9135.0,-1.0,5588.0,240.0,10400.0,564300.0,4300.0,331000.0,140000.0,111146.0,32514.0,1082.0,30990.0,195000.0,6709.0,-1,216700.0
1964,2880.0,12060.0,2841715.0,105000.0,2045.0,8507700.0,34000.0,3992400.0,1200.0,6344931.0,735000.0,147322.0,2201000.0,-1.0,12306000.0,7.0,130000.0,106759.0,2600.0,15753588.0,4717.0,19744.0,1500.0,4.0,181400.0,146000.0,25300.0,19900.0,5014.0,110000.0,1648080.0,-1.0,68000.0,-1.0,240190.0,2500.0,17984.0,38000.0,1074049.0,47138.0,-1.0,2036000.0,700.0,-1.0,85853775.0,-1.0,600000.0,3441.0,-1.0,80440.0,45000.0,-1.0,1900.0,-1.0,-1.0,34888.0,121900.0,27500.0,7.0,13200.0,83000000.0,-1.0,48400.0,2300.0,11600000.0,20000.0,47142.0,351475.0,26000.0,14099.0,-1.0,1109782.0,11000.0,-1,143058.0,-1,1007.0,2025000.0,16356100.0,380000.0,184350.0,-1.0,165753.0,398060.0,-1,299507.0,31460.0,3319000.0,923000.0,55000.0,-1.0,-1.0,122958.0,-1.0,70.0,190000.0,2760000.0,12696.0,78000.0,2176100.0,58962000.0,33077.0,11790.0,25000.0,40000.0,4000.0,5344000.0,997.0,438000.0,53800.0,239990.0,9859.0,3300.0,274430.0,9697030.0,87963.0,248000.0,157800.0,8173.0,-1.0,2743.0,260.0,10300.0,624000.0,6000.0,373000.0,146000.0,127743.0,42877.0,963.0,36578.0,220000.0,6314.0,-1,166700.0
1965,2178.0,20800.0,2964828.0,93000.0,2372.0,8055100.0,24700.0,4072636.0,2100.0,7579649.0,740000.0,72954.0,2207000.0,-1.0,12975000.0,7.0,135000.0,104461.0,2600.0,15750540.0,5443.0,16106.0,1500.0,8.0,136557.0,158000.0,24600.0,13151.0,5530.0,122275.0,1589345.0,-1.0,72000.0,-1.0,250810.0,4200.0,14326.0,25000.0,764158.0,90042.0,-1.0,1789000.0,650.0,-1.0,90705628.0,-1.0,672000.0,2946.0,-1.0,79956.0,47000.0,-1.0,2000.0,-1.0,-1.0,21423.0,97830.0,15678.0,7.0,14100.0,87720000.0,-1.0,53500.0,4750.0,11164000.0,21600.0,51286.0,290520.0,32000.0,13250.0,-1.0,1255608.0,12000.0,-1,167446.0,-1,1479.0,1975000.0,16126060.0,380000.0,178434.0,-1.0,199900.0,349634.0,-1,246046.0,33490.0,3460000.0,1022000.0,48880.0,-1.0,-1.0,54970.0,-1.0,75.0,267600.0,2500000.0,9536.0,85300.0,1905000.0,45883504.0,34875.0,11704.0,21000.0,41000.0,5000.0,4867000.0,1017.0,542500.0,45816.0,265545.0,10474.0,3300.0,377531.0,9369700.0,100605.0,250000.0,162000.0,10225.0,-1.0,2439.0,280.0,10200.0,508900.0,6500.0,399000.0,158000.0,151472.0,32615.0,1120.0,36883.0,231000.0,5942.0,-1,216700.0
1966,1967.0,16630.0,2997358.0,79000.0,1420.0,6636400.0,30000.0,4094020.0,2130.0,5801814.0,754000.0,133082.0,2007300.0,-1.0,13650000.0,12.0,141000.0,80138.0,2600.0,14363000.0,11000.0,16131.0,1500.0,10.0,154025.0,187000.0,23000.0,14698.0,5550.0,125338.0,1602800.0,-1.0,76000.0,-1.0,261905.0,3000.0,14326.0,36955.0,980746.0,83746.0,-1.0,1678000.0,700.0,-1.0,98403988.0,-1.0,680000.0,3408.0,-1.0,76700.0,48000.0,-1.0,2000.0,-1.0,-1.0,30955.0,102340.0,18000.0,12.0,16600.0,95390000.0,-1.0,63200.0,6198.0,13500000.0,10100.0,51714.0,374032.0,30000.0,15794.0,-1.0,1226678.0,13000.0,-1,177912.0,-1,1526.0,2047000.0,16564000.0,337000.0,182087.0,-1.0,194955.0,375400.0,-1,279901.0,48358.0,3856422.0,1098000.0,90663.0,-1.0,-1.0,63999.0,-1.0,130.0,165300.0,2376000.0,11764.0,89700.0,2128300.0,45657008.0,50427.0,20500.0,24800.0,42000.0,6000.0,5448000.0,550.0,662000.0,55500.0,278200.0,11195.0,3500.0,372227.0,8463500.0,98259.0,275600.0,158000.0,10524.0,-1.0,1390.0,305.0,10000.0,621000.0,6500.0,434000.0,187000.0,140105.0,38000.0,394.0,36900.0,199000.0,6568.0,-1,250000.0
1967,1400.0,12196.0,3037617.0,85000.0,1615.0,7769400.0,43540.0,4560700.0,2115.0,6791990.0,811000.0,109687.0,2119429.0,-1.0,13222000.0,24.0,142000.0,93425.0,3000.0,16757000.0,12000.0,16385.0,1500.0,207.0,146035.0,221000.0,20200.0,20706.0,4558.0,137500.0,1706400.0,-1.0,77000.0,-1.0,273490.0,3000.0,14733.0,32305.0,1158154.0,115617.0,-1.0,2278000.0,400.0,-1.0,96734821.0,-1.0,661500.0,5523.0,-1.0,84000.0,45000.0,-1.0,2000.0,5.0,-1.0,43094.0,116990.0,28030.0,24.0,15938.0,93685008.0,-1.0,68000.0,7824.0,11198000.0,18170.0,56651.0,461420.0,33000.0,22191.0,-1.0,1205068.0,12000.0,-1,167452.0,-1,1253.0,2248000.0,18782000.0,396000.0,314921.0,-1.0,223052.0,365878.0,-1,222635.0,57120.0,4054142.0,960000.0,100423.0,-1.0,-1.0,72093.0,-1.0,90.0,217000.0,2457000.0,15291.0,95000.0,1976800.0,56418304.0,77847.0,32522.0,27500.0,43000.0,7000.0,5008000.0,562.0,833000.0,68497.0,239980.0,11968.0,4000.0,417888.0,9188400.0,119529.0,344600.0,169300.0,11254.0,-1.0,737.0,152.0,10500.0,744700.0,7600.0,468000.0,221000.0,150926.0,52327.0,1785.0,20321.0,385000.0,6359.0,-1,233300.0
1968,4600.0,17707.0,3169063.0,78426.0,2875.0,8022900.0,40905.0,4444656.0,7612.0,6652388.0,771000.0,104000.0,2178255.0,-1.0,17162800.0,33.0,152000.0,102468.0,3500.0,17015504.0,9100.0,21103.0,1471.0,662.0,149023.0,228000.0,17800.0,25061.0,6110.0,58300.0,1796500.0,-1.0,77000.0,-1.0,285585.0,3000.0,17600.0,35000.0,1359542.0,104456.0,-1.0,2591000.0,514.0,-1.0,97716770.0,-1.0,786300.0,5522.0,-1.0,93488.0,45000.0,-1.0,2000.0,118.0,-1.0,41119.0,84810.0,18000.0,33.0,18747.0,94530000.0,-1.0,86800.0,2868.0,12410000.0,20802.0,73560.0,286195.0,15148.0,15847.0,191.0,1433953.0,11000.0,-1,181406.0,-1,1779.0,3048000.0,18779010.0,402000.0,353500.0,-1.0,244592.0,362134.0,-1,176000.0,38929.0,4723777.0,980000.0,186700.0,-1.0,-1.0,113749.0,-1.0,20.0,282900.0,3251000.0,21566.0,107400.0,1913000.0,59641808.0,79616.0,39033.0,41000.0,44000.0,8000.0,4442000.0,596.0,989000.0,60281.0,146720.0,12794.0,4400.0,347249.0,8366150.0,115626.0,365400.0,135700.0,12807.0,-1.0,601.0,2032.0,10179.0,648100.0,9800.0,426100.0,228000.0,163038.0,65332.0,975.0,37000.0,353000.0,5625.0,-1,205000.0
1969,3446.0,19082.0,2914411.0,88500.0,3470.0,7984700.0,39068.0,5464075.0,2426.0,6394285.0,895503.0,126000.0,2241233.0,-1.0,18020200.0,45.0,163000.0,101404.0,4000.0,18007296.0,17200.0,20488.0,1793.0,1144.0,175805.0,267000.0,27820.0,14505.0,6711.0,155900.0,1844000.0,-1.0,83000.0,-1.0,298215.0,3000.0,17273.0,36650.0,1375959.0,134496.0,-1.0,2561000.0,497.0,-1.0,97998501.0,-1.0,694485.0,6782.0,-1.0,36719.0,27500.0,-1.0,2000.0,813.0,-1.0,50058.0,95390.0,15000.0,45.0,22700.0,95065008.0,-1.0,67483.0,4767.0,13410000.0,27157.0,83375.0,444432.0,15945.0,12129.0,417.0,1590596.0,10000.0,-1,195000.0,-1,2605.0,3601000.0,18200000.0,407000.0,318000.0,-1.0,243874.0,410500.0,-1,191106.0,58157.0,4168674.0,1020000.0,170000.0,-1.0,-1.0,224615.0,-1.0,60.0,345000.0,2503000.0,12767.0,93800.0,2343400.0,60644544.0,35682.0,38000.0,51000.0,45000.0,6000.0,5688000.0,258.0,1029000.0,68372.0,274340.0,13678.0,4500.0,394938.0,8815000.0,113328.0,303000.0,156500.0,14276.0,-1.0,711.0,1422.0,10224.0,861900.0,12320.0,507000.0,267000.0,165243.0,60963.0,2905.0,36578.0,325000.0,7983.0,-1,211300.0
1970,5047.0,16239.0,3095633.0,98757.0,3493.0,8161900.0,36285.0,5578405.0,1192.0,7553083.0,903231.0,132000.0,2304204.0,-1.0,19331000.0,52.0,190000.0,78757.0,4726.0,16714900.0,21772.0,24005.0,1675.0,1360.0,194677.0,250000.0,32000.0,22663.0,2166.0,90500.0,1945900.0,-1.0,80000.0,-1.0,311405.0,3000.0,20400.0,39454.0,1615932.0,138611.0,-1.0,2604000.0,1370.0,-1.0,113101872.0,-1.0,752595.0,6781.0,-1.0,76234.0,35000.0,-1.0,2000.0,906.0,-1.0,44639.0,90680.0,14580.0,52.0,28500.0,109990000.0,-1.0,80739.0,11440.0,13850000.0,45218.0,72530.0,586721.0,29950.0,13727.0,454.0,1681415.0,10000.0,-1,210000.0,-1,4840.0,3298400.0,16493000.0,366000.0,180200.0,-1.0,226233.0,381642.0,-1,209697.0,66171.0,3801311.0,1056000.0,179800.0,-1.0,1000.0,374523.0,-1.0,15.0,407000.0,3814000.0,12553.0,79600.0,2327500.0,63337808.0,44231.0,37100.0,40000.0,46000.0,4000.0,5476000.0,595.0,1190000.0,65177.0,230090.0,14622.0,4600.0,405385.0,10173300.0,145399.0,315600.0,169400.0,14924.0,-1.0,610.0,1930.0,10301.0,818500.0,7000.0,450000.0,250000.0,131160.0,48800.0,6098.0,40642.0,343000.0,7348.0,-1,266700.0
