,Jamaica,Eritrea,Israel,Australia & New Zealand,Australia,Iraq,Czechia,Slovakia,Belgium,Nepal,Ethiopia,Luxembourg,Libya,Switzerland,Italy,Ukraine,Lebanon,Syrian Arab Republic,Portugal,Albania,Uzbekistan,Brazil,Paraguay,Sudan (former),Morocco,Slovenia,Sierra Leone,Malta,Argentina,Colombia,Spain,Kyrgyzstan,Germany,Cyprus,Austria,Ecuador,Japan,Poland,Canada,Belgium-Luxembourg,Turkey,Jordan,Denmark,Ethiopia PDR,Egypt,Sudan,Greece,Czechoslovakia,France,Tunisia,Yemen,Hungary,Russian Federation,Dominican Republic,Cameroon,Bolivia (Plurinational State of),Occupied Palestinian Territory,Iran (Islamic Republic of),Guyana,Peru,Mexico,China,"China, mainland",Azerbaijan,Algeria,United Kingdom,Uruguay,Lithuania,Bulgaria,Netherlands,Guatemala,South Sudan
1961,60.0,,350.0,400.0,400.0,12404.0,,,,-1.0,,,5000.0,,537391.0,,2000.0,8266.0,68914.0,-1.0,,114746.0,3000.0,9242.0,150000.0,,300.0,585.0,1177.0,-1.0,156200.0,,34951.0,3035.0,659.0,27405.0,17500.0,-1.0,,3685.0,41000.0,2880.0,10140.0,230000.0,151649.0,,32139.0,6737.0,37600.0,28800.0,,-1.0,,4900.0,-1.0,6000.0,-1.0,-1.0,-1.0,24350.0,31565.0,3590000.0,3590000.0,,27000.0,600.0,200.0,,231.0,1263.0,18500.0,
1962,62.0,,285.0,405.0,405.0,11818.0,,,,-1.0,,,4000.0,,526420.0,,1800.0,9830.0,71275.0,-1.0,,120435.0,2700.0,6528.0,150000.0,,300.0,573.0,1236.0,-1.0,153400.0,,41479.0,3092.0,860.0,28000.0,21100.0,-1.0,,4295.0,40000.0,3200.0,8980.0,230000.0,160891.0,,29993.0,10898.0,35600.0,28500.0,,-1.0,,5100.0,-1.0,6000.0,-1.0,-1.0,-1.0,26230.0,40237.0,4200000.0,4200000.0,,65000.0,-1.0,200.0,,821.0,1077.0,15600.0,
1963,65.0,,240.0,405.0,405.0,12493.0,,,,-1.0,,,4000.0,,500503.0,,1000.0,9451.0,76121.0,-1.0,,141724.0,3200.0,8855.0,150000.0,,300.0,866.0,1313.0,-1.0,153400.0,,42439.0,2893.0,2348.0,24945.0,17900.0,-1.0,,3142.0,41000.0,2220.0,7540.0,240000.0,160470.0,,26160.0,12506.0,28100.0,37000.0,,-1.0,,5200.0,-1.0,6000.0,-1.0,-1.0,-1.0,27510.0,46566.0,3200000.0,3200000.0,,65000.0,-1.0,200.0,,1526.0,1225.0,18600.0,
1964,60.0,,200.0,202.0,202.0,13550.0,,,,-1.0,,,3000.0,,457741.0,,1300.0,10222.0,60936.0,-1.0,,139926.0,3700.0,7498.0,160000.0,,300.0,639.0,1658.0,-1.0,136855.0,,44955.0,2626.0,2313.0,37670.0,16600.0,-1.0,,2960.0,38000.0,3056.0,6016.0,250000.0,179794.0,,21810.0,12117.0,27805.0,40000.0,,-1.0,,6300.0,-1.0,6000.0,-1.0,-1.0,-1.0,29620.0,46784.0,3200000.0,3200000.0,,22890.0,-1.0,200.0,,1028.0,1702.0,17900.0,
1965,55.0,,230.0,202.0,202.0,15425.0,,,,-1.0,,,3000.0,,412965.0,,1500.0,11597.0,72556.0,-1.0,,157410.0,4100.0,7438.0,156000.0,,300.0,638.0,1696.0,-1.0,131211.0,,44887.0,2438.0,2509.0,36977.0,15500.0,-1.0,,2536.0,35000.0,3904.0,3539.0,250000.0,181895.0,,21250.0,10095.0,24137.0,28000.0,,-1.0,,6200.0,-1.0,6000.0,-1.0,-1.0,-1.0,20235.0,47031.0,3200000.0,3200000.0,,23620.0,-1.0,200.0,,380.0,648.0,18300.0,
1966,120.0,,215.0,206.0,206.0,17100.0,,,,-1.0,,,2985.0,,402789.0,,1485.0,12597.0,58185.0,-1.0,,164170.0,4600.0,7103.0,166000.0,,310.0,,1754.0,-1.0,135000.0,,46139.0,1380.0,5035.0,35391.0,13400.0,-1.0,,2102.0,35000.0,3580.0,1000.0,260000.0,175593.0,,19590.0,13256.0,20700.0,50000.0,,-1.0,,6000.0,-1.0,5697.0,-1.0,-1.0,-1.0,21000.0,47703.0,3100000.0,3100000.0,,21700.0,-1.0,215.0,,137.0,474.0,15500.0,
1967,120.0,,255.0,202.0,202.0,18275.0,,,,-1.0,,,2980.0,,386949.0,,631.0,11700.0,57472.0,-1.0,,194665.0,4800.0,7724.0,165000.0,,320.0,,1570.0,-1.0,130482.0,,46464.0,2064.0,5102.0,33593.0,11200.0,-1.0,,2168.0,35000.0,2170.0,6000.0,265000.0,127284.0,,18412.0,12082.0,20639.0,54000.0,,-1.0,,6200.0,-1.0,5760.0,-1.0,-1.0,-1.0,22525.0,46932.0,3100000.0,3100000.0,,23180.0,-1.0,200.0,,91.0,305.0,13800.0,
1968,121.0,,240.0,202.0,202.0,17418.0,,,,-1.0,,,3475.0,,374580.0,,667.0,9090.0,63000.0,-1.0,,187060.0,4200.0,9598.0,114500.0,,320.0,,1440.0,-1.0,130800.0,,41086.0,1751.0,4218.0,33590.0,9300.0,-1.0,,1764.0,33000.0,2325.0,8380.0,275000.0,130225.0,,15580.0,8988.0,20555.0,50000.0,,-1.0,,6100.0,-1.0,5940.0,-1.0,-1.0,-1.0,19050.0,43333.0,3100000.0,3100000.0,,23030.0,-1.0,200.0,,116.0,197.0,14200.0,
1969,280.0,,220.0,202.0,202.0,16789.0,,,,-1.0,,,3970.0,,366745.0,,625.0,7437.0,60800.0,-1.0,,181929.0,4030.0,9662.0,167000.0,,320.0,,1450.0,-1.0,131548.0,,41810.0,2233.0,814.0,20739.0,7700.0,-1.0,,1740.0,35000.0,1476.0,20340.0,275000.0,142827.0,,13170.0,7747.0,20160.0,50000.0,,-1.0,,6200.0,-1.0,11500.0,-1.0,-1.0,-1.0,21495.0,52843.0,3000000.0,3000000.0,,23890.0,-1.0,200.0,,65.0,116.0,15354.0,
1970,231.0,,215.0,202.0,202.0,17802.0,,,,-1.0,,,3960.0,,355170.0,,464.0,8109.0,51500.0,-1.0,,169265.0,3610.0,9662.0,181000.0,,316.0,,1050.0,-1.0,129200.0,,33207.0,2090.0,705.0,24005.0,7000.0,-1.0,,1084.0,29000.0,1169.0,16130.0,280000.0,126864.0,,12200.0,5451.0,19039.0,50000.0,,-1.0,,6200.0,-1.0,5700.0,-1.0,-1.0,-1.0,23900.0,53061.0,3100000.0,3100000.0,,29290.0,-1.0,189.0,,65.0,49.0,14674.0,
1971,173.0,,150.0,200.0,200.0,19750.0,,,,-1.0,,,2005.0,300.0,319719.0,,542.0,7436.0,49904.0,-1.0,,199163.0,5800.0,11342.0,190000.0,,350.0,,875.0,-1.0,112200.0,,33484.0,2903.0,589.0,22711.0,6500.0,-1.0,,1144.0,31000.0,,13470.0,285000.0,110061.0,,13700.0,4911.0,18326.0,52000.0,,-1.0,,6300.0,-1.0,7000.0,-1.0,-1.0,-1.0,22935.0,63533.0,2600000.0,2600000.0,,29760.0,-1.0,190.0,,20.0,0.0,15372.0,
1972,323.0,,235.0,200.0,200.0,14941.0,,,,-1.0,,,2912.0,390.0,284269.0,,548.0,8335.0,50273.0,-1.0,,204126.0,9900.0,18904.0,259300.0,,350.0,,1055.0,-1.0,116900.0,,28403.0,3141.0,507.0,13259.0,4400.0,-1.0,,1026.0,33000.0,266.0,5040.0,295000.0,141567.0,,11200.0,3840.0,9730.0,60000.0,,-1.0,,6400.0,-1.0,6000.0,-1.0,-1.0,-1.0,23961.0,65347.0,2500000.0,2500000.0,,29660.0,23000.0,190.0,,77.0,,16000.0,
